index	i-3	i-2	i-1	i+0	i+1	i+2	i+3	Filter	Time
3	389	486	495	490	498	494	487	0	1860
4	486	495	490	498	494	487	490	0	2358
5	495	490	498	494	487	490	494	0	2852
6	490	498	494	487	490	494	506	0	3339
7	498	494	487	490	494	506	471	0	3829
8	494	487	490	494	506	471	482	0	4323
9	487	490	494	506	471	482	494	0	4829
10	490	494	506	471	482	494	491	0	5300
11	494	506	471	482	494	491	478	0	5782
12	506	471	482	494	491	478	479	0	6276
13	471	482	494	491	478	479	486	0	6767
14	482	494	491	478	479	486	494	0	7245
15	494	491	478	479	486	494	479	0	7724
16	491	478	479	486	494	479	471	0	8210
17	478	479	486	494	479	471	443	0	8704
18	479	486	494	479	471	443	459	0	9183
19	486	494	479	471	443	459	440	0	9654
20	494	479	471	443	459	440	514	0	10097
21	479	471	443	459	440	514	509	0	10556
22	471	443	459	440	514	509	495	0	10996
23	443	459	440	514	509	495	502	0	11510
24	459	440	514	509	495	502	498	0	12019
25	440	514	509	495	502	498	498	0	12514
26	514	509	495	502	498	498	506	0	13016
27	509	495	502	498	498	506	498	0	13514
28	495	502	498	498	506	498	498	0	14012
29	502	498	498	506	498	498	505	0	14518
30	498	498	506	498	498	505	491	0	15016
31	498	506	498	498	505	491	498	0	15514
32	506	498	498	505	491	498	498	0	16019
33	498	498	505	491	498	498	490	0	16510
34	498	505	491	498	498	490	490	0	17008
35	505	491	498	498	490	490	498	0	17506
36	491	498	498	490	490	498	495	0	17996
37	498	498	490	490	498	495	490	0	18486
38	498	490	490	498	495	490	498	0	18984
39	490	490	498	495	490	498	498	0	19479
40	490	498	495	490	498	498	486	0	19969
41	498	495	490	498	498	486	498	0	20467
42	495	490	498	498	486	498	495	0	20965
43	490	498	498	486	498	495	494	0	21451
44	498	498	486	498	495	494	494	0	21949
45	498	486	498	495	494	494	494	0	22444
46	486	498	495	494	494	494	490	0	22938
47	498	495	494	494	494	490	498	0	23432
48	495	494	494	494	490	498	495	0	23926
49	494	494	494	490	498	495	494	0	24416
50	494	494	490	498	495	494	494	0	24914
51	494	490	498	495	494	494	502	0	25409
52	490	498	495	494	494	502	490	0	25903
53	498	495	494	494	502	490	494	0	26397
54	495	494	494	502	490	494	506	0	26899
55	494	494	502	490	494	506	506	0	27389
56	494	502	490	494	506	506	494	0	27883
57	502	490	494	506	506	494	498	0	28389
58	490	494	506	506	494	498	510	0	28895
59	494	506	506	494	498	510	506	0	29389
60	506	506	494	498	510	506	498	0	29887
61	506	494	498	510	506	498	502	0	30397
62	494	498	510	506	498	502	494	0	30903
63	498	510	506	498	502	494	506	0	31401
64	510	506	498	502	494	506	498	0	31903
65	506	498	502	494	506	498	498	0	32397
66	498	502	494	506	498	498	498	0	32903
67	502	494	506	498	498	498	498	0	33401
68	494	506	498	498	498	498	502	0	33899
69	506	498	498	498	498	502	498	0	34397
70	498	498	498	498	502	498	498	0	34895
71	498	498	498	502	498	498	494	0	35397
72	498	498	502	498	498	494	494	0	35895
73	498	502	498	498	494	494	502	0	36393
74	502	498	498	494	494	502	494	0	36887
75	498	498	494	494	502	494	491	0	37381
76	498	494	494	502	494	491	494	0	37883
77	494	494	502	494	491	494	498	0	38377
78	494	502	494	491	494	498	494	0	38868
79	502	494	491	494	498	494	494	0	39362
80	494	491	494	498	494	494	494	0	39860
81	491	494	498	494	494	494	491	0	40354
82	494	498	494	494	494	491	498	0	40848
83	498	494	494	494	491	498	498	0	41342
84	494	494	494	491	498	498	494	0	41833
85	494	494	491	498	498	494	498	0	42331
86	494	491	498	498	494	498	490	0	42829
87	491	498	498	494	498	490	502	0	43323
88	498	498	494	498	490	502	502	0	43821
89	498	494	498	490	502	502	502	0	44311
90	494	498	490	502	502	502	405	0	44813
91	498	490	502	502	502	405	587	0	45315
92	490	502	502	502	405	587	502	0	45817
93	502	502	502	405	587	502	502	1	46222
94	502	502	405	587	502	502	498	0	46809
95	502	405	587	502	502	498	498	0	47311
96	405	587	502	502	498	498	502	0	47813
