index	i-3	i-2	i-1	i+0	i+1	i+2	i+3	Filter	Time
3	280	704	701	681	692	697	704	0	2366
4	704	701	681	692	697	704	681	0	3058
5	701	681	692	697	704	681	704	0	3755
6	681	692	697	704	681	704	720	0	4459
7	692	697	704	681	704	720	728	0	5140
8	697	704	681	704	720	728	704	0	5844
9	704	681	704	720	728	704	720	0	6564
10	681	704	720	728	704	720	724	0	7292
11	704	720	728	704	720	724	727	0	7996
12	720	728	704	720	724	727	728	0	8716
13	728	704	720	724	727	728	696	0	9440
14	704	720	724	727	728	696	697	0	10167
15	720	724	727	728	696	697	704	0	10895
16	724	727	728	696	697	704	720	0	11591
17	727	728	696	697	704	720	720	0	12288
18	728	696	697	704	720	720	693	0	12992
19	696	697	704	720	720	693	712	0	13712
20	697	704	720	720	693	712	712	0	14432
21	704	720	720	693	712	712	731	0	15125
22	720	720	693	712	712	731	724	0	15837
23	720	693	712	712	731	724	692	0	16549
24	693	712	712	731	724	692	705	0	17280
25	712	712	731	724	692	705	700	0	18004
26	712	731	724	692	705	700	704	0	18696
27	731	724	692	705	700	704	689	0	19401
28	724	692	705	700	704	689	685	0	20101
29	692	705	700	704	689	685	696	0	20805
30	705	700	704	689	685	696	709	0	21494
31	700	704	689	685	696	709	716	0	22179
32	704	689	685	696	709	716	704	0	22875
33	689	685	696	709	716	704	689	0	23584
34	685	696	709	716	704	689	692	0	24300
35	696	709	716	704	689	692	704	0	25004
36	709	716	704	689	692	704	713	0	25693
37	716	704	689	692	704	713	712	0	26385
38	704	689	692	704	713	712	684	0	27089
39	689	692	704	713	712	684	701	0	27802
40	692	704	713	712	684	701	700	0	28514
41	704	713	712	684	701	700	712	0	29198
42	713	712	684	701	700	712	689	0	29899
43	712	684	701	700	712	689	704	0	30599
44	684	701	700	712	689	704	705	0	31311
45	701	700	712	689	704	705	716	0	32000
46	700	712	689	704	705	716	712	0	32704
47	712	689	704	705	716	712	700	0	33409
48	689	704	705	716	712	700	704	0	34125
49	704	705	716	712	700	704	712	0	34837
50	705	716	712	700	704	712	728	0	35537
51	716	712	700	704	712	728	712	0	36241
52	712	700	704	712	728	712	704	0	36953
53	700	704	712	728	712	704	712	0	37681
54	704	712	728	712	704	712	720	0	38393
55	712	728	712	704	712	720	728	0	39097
56	728	712	704	712	720	728	700	0	39809
57	712	704	712	720	728	700	720	0	40529
58	704	712	720	728	700	720	728	0	41257
59	712	720	728	700	720	728	743	0	41957
60	720	728	700	720	728	743	720	0	42677
61	728	700	720	728	743	720	716	0	43405
62	700	720	728	743	720	716	723	0	44148
63	720	728	743	720	716	723	751	0	44868
64	728	743	720	716	723	751	775	0	45584
65	743	720	716	723	751	775	751	0	46307
66	720	716	723	751	775	751	723	0	47058
67	716	723	751	775	751	723	736	0	47833
68	723	751	775	751	723	736	735	0	48584
69	751	775	751	723	736	735	740	0	49307
70	775	751	723	736	735	740	700	0	50043
71	751	723	736	735	740	700	731	0	50778
72	723	736	735	740	700	731	728	0	51518
73	736	735	740	700	731	728	739	0	52218
74	735	740	700	731	728	739	740	0	52949
75	740	700	731	728	739	740	712	0	53677
76	700	731	728	739	740	712	731	0	54416
77	731	728	739	740	712	731	740	0	55156
78	728	739	740	712	731	740	735	0	55868
79	739	740	712	731	740	735	704	0	56599
80	740	712	731	740	735	704	704	0	57339
81	712	731	740	735	704	704	709	0	58074
82	731	740	735	704	704	709	704	0	58778
83	740	735	704	704	709	704	693	0	59482
84	735	704	704	709	704	693	677	0	60191
85	704	704	709	704	693	677	681	0	60895
86	704	709	704	693	677	681	684	0	61588
87	709	704	693	677	681	684	662	0	62265
88	704	693	677	681	684	662	669	0	62946
89	693	677	681	684	662	669	677	0	63630
90	677	681	684	662	669	677	693	0	64292
91	681	684	662	669	677	693	720	0	64961
92	684	662	669	677	693	720	688	0	65638
93	662	669	677	693	720	688	677	0	66331
94	669	677	693	720	688	677	681	0	67051
95	677	693	720	688	677	681	701	0	67739
96	693	720	688	677	681	701	739	0	68416
97	720	688	677	681	701	739	778	0	69097
98	688	677	681	701	739	778	759	0	69798
99	677	681	701	739	778	759	728	0	70537
100	681	701	739	778	759	728	754	0	71315
101	701	739	778	759	728	754	779	0	72074
102	739	778	759	728	754	779	809	0	72802
103	778	759	728	754	779	809	782	0	73556
104	759	728	754	779	809	782	735	0	74335
105	728	754	779	809	782	735	755	0	75144
106	754	779	809	782	735	755	763	0	75926
107	779	809	782	735	755	763	774	0	76661
108	809	782	735	755	763	774	775	0	77416
109	782	735	755	763	774	775	735	0	78179
110	735	755	763	774	775	735	751	0	78953
111	755	763	774	775	735	751	751	0	79728
112	763	774	775	735	751	751	751	0	80463
113	774	775	735	751	751	751	724	0	81214
114	775	735	751	751	751	724	747	0	81965
115	735	751	751	751	724	747	762	0	82716
116	751	751	751	724	747	762	783	0	83440
117	751	751	724	747	762	783	739	0	84187
118	751	724	747	762	783	739	755	0	84949
119	724	747	762	783	739	755	770	0	85732
120	747	762	783	739	755	770	778	0	86471
121	762	783	739	755	770	778	744	0	87226
122	783	739	755	770	778	744	731	0	87996
123	739	755	770	778	744	731	739	0	88774
124	755	770	778	744	731	739	759	0	89518
125	770	778	744	731	739	759	747	0	90249
126	778	744	731	739	759	747	724	0	90988
127	744	731	739	759	747	724	728	0	91747
128	731	739	759	747	724	728	747	0	92494
129	739	759	747	724	728	747	754	0	93218
130	759	747	724	728	747	754	759	0	93946
131	747	724	728	747	754	759	716	0	94693
132	724	728	747	754	759	716	724	0	95447
133	728	747	754	759	716	724	728	0	96206
134	747	754	759	716	724	728	727	0	96922
135	754	759	716	724	728	727	693	0	97646
136	759	716	724	728	727	693	688	0	98374
137	716	724	728	727	693	688	689	0	99101
138	724	728	727	693	688	689	712	0	99794
139	728	727	693	688	689	712	755	0	100482
140	727	693	688	689	712	755	806	0	101171
141	693	688	689	712	755	806	770	0	101883
142	688	689	712	755	806	770	747	0	102638
143	689	712	755	806	770	747	771	0	103444
144	712	755	806	770	747	771	766	0	104214
145	755	806	770	747	771	766	751	0	104961
146	806	770	747	771	766	751	720	0	105732
147	770	747	771	766	751	720	689	0	106498
148	747	771	766	751	720	689	692	0	107249
149	771	766	751	720	689	692	689	0	107969
150	766	751	720	689	692	689	739	0	108658
151	751	720	689	692	689	739	751	0	109350
152	720	689	692	689	739	751	817	0	110039
153	689	692	689	739	751	817	821	0	110778
154	692	689	739	751	817	821	849	0	111529
155	689	739	751	817	821	849	805	0	112346
156	739	751	817	821	849	805	770	0	113167
157	751	817	821	849	805	770	732	0	114016
158	817	821	849	805	770	732	712	0	114821
159	821	849	805	770	732	712	704	0	115591
160	849	805	770	732	712	704	712	0	116323
161	805	770	732	712	704	712	697	0	117035
162	770	732	712	704	712	697	716	0	117739
163	732	712	704	712	697	716	739	0	118451
164	712	704	712	697	716	739	755	0	119148
165	704	712	697	716	739	755	786	0	119864
166	712	697	716	739	755	786	802	0	120603
167	697	716	739	755	786	802	762	0	121358
168	716	739	755	786	802	762	767	0	122144
169	739	755	786	802	762	767	770	0	122946
170	755	786	802	762	767	770	774	0	123708
171	786	802	762	767	770	774	759	0	124475
172	802	762	767	770	774	759	728	0	125245
173	762	767	770	774	759	728	727	0	126019
174	767	770	774	759	728	727	740	0	126778
175	770	774	759	728	727	740	762	0	127506
176	774	759	728	727	740	762	763	0	128233
177	759	728	727	740	762	763	724	0	128973
178	728	727	740	762	763	724	700	0	129735
179	727	740	762	763	724	700	704	0	130498
180	740	762	763	724	700	704	689	0	131222
181	762	763	724	700	704	689	704	0	131922
182	763	724	700	704	689	704	705	0	132626
183	724	700	704	689	704	705	708	0	133315
184	700	704	689	704	705	708	731	0	134019
185	704	689	704	705	708	731	751	0	134724
186	689	704	705	708	731	751	751	0	135432
187	704	705	708	731	751	751	755	0	136163
188	705	708	731	751	751	755	767	0	136914
189	708	731	751	751	755	767	774	0	137665
190	731	751	751	755	767	774	798	0	138420
191	751	751	755	767	774	798	794	0	139187
192	751	755	767	774	798	794	801	0	139961
193	755	767	774	798	794	801	751	0	140759
194	767	774	798	794	801	751	774	0	141553
195	774	798	794	801	751	774	767	0	142354
