index	i-3	i-2	i-1	i+0	i+1	i+2	i+3	Filter	Time
3	1063	463	1412	584	1338	938	1058	1	3584
4	463	1412	584	1338	938	1058	506	0	4922
5	1412	584	1338	938	1058	506	1362	0	5860
6	584	1338	938	1058	506	1362	502	0	6918
7	1338	938	1058	506	1362	502	1156	1	7424
8	938	1058	506	1362	502	1156	770	0	8786
9	1058	506	1362	502	1156	770	848	1	9288
10	506	1362	502	1156	770	848	510	0	10444
11	1362	502	1156	770	848	510	1307	0	11214
12	502	1156	770	848	510	1307	860	0	12062
13	1156	770	848	510	1307	860	915	1	12572
14	770	848	510	1307	860	915	836	0	13879
15	848	510	1307	860	915	836	938	0	14739
16	510	1307	860	915	836	938	1125	0	15654
17	1307	860	915	836	938	1125	1097	0	16490
18	860	915	836	938	1125	1097	1120	0	17428
19	915	836	938	1125	1097	1120	1070	0	18553
20	836	938	1125	1097	1120	1070	1047	0	19650
21	938	1125	1097	1120	1070	1047	1078	0	20770
22	1125	1097	1120	1070	1047	1078	1047	0	21840
23	1097	1120	1070	1047	1078	1047	1074	0	22887
24	1120	1070	1047	1078	1047	1074	1023	0	23965
25	1070	1047	1078	1047	1074	1023	1035	0	25012
26	1047	1078	1047	1074	1023	1035	973	0	26086
27	1078	1047	1074	1023	1035	973	976	0	27109
28	1047	1074	1023	1035	973	976	946	0	28144
29	1074	1023	1035	973	976	946	934	0	29117
30	1023	1035	973	976	946	934	973	0	30093
31	1035	973	976	946	934	973	926	0	31039
32	973	976	946	934	973	926	988	0	31973
33	976	946	934	973	926	988	973	0	32946
34	946	934	973	926	988	973	965	0	33872
35	934	973	926	988	973	965	957	0	34860
36	973	926	988	973	965	957	938	0	35833
37	926	988	973	965	957	938	968	0	36798
38	988	973	965	957	938	968	973	0	37755
39	973	965	957	938	968	973	938	0	38693
40	965	957	938	968	973	938	949	0	39661
41	957	938	968	973	938	949	950	0	40634
42	938	968	973	938	949	950	976	0	41572
43	968	973	938	949	950	976	930	0	42521
44	973	938	949	950	976	930	907	0	43471
45	938	949	950	976	930	907	957	0	44447
46	949	950	976	930	907	957	965	0	45377
47	950	976	930	907	957	965	977	0	46284
48	976	930	907	957	965	977	969	0	47241
49	930	907	957	965	977	969	1015	0	48206
50	907	957	965	977	969	1015	954	0	49183
51	957	965	977	969	1015	954	957	0	50152
52	965	977	969	1015	954	957	910	0	51167
53	977	969	1015	954	957	910	950	0	52121
54	969	1015	954	957	910	950	949	0	53078
55	1015	954	957	910	950	949	487	0	53988
56	954	957	910	950	949	487	1311	0	54938
57	957	910	950	949	487	1311	506	0	55887
58	910	950	949	487	1311	506	1272	1	56374
59	950	949	487	1311	506	1272	514	0	57685
60	949	487	1311	506	1272	514	1159	1	58191
61	487	1311	506	1272	514	1159	806	0	59463
62	1311	506	1272	514	1159	806	1066	1	59977
63	506	1272	514	1159	806	1066	1140	0	61136
64	1272	514	1159	806	1066	1140	502	0	61942
65	514	1159	806	1066	1140	502	447	0	63008
66	1159	806	1066	1140	502	447	961	0	64148
67	806	1066	1140	502	447	961	522	1	64650
68	1066	1140	502	447	961	522	1354	1	65097
69	1140	502	447	961	522	1354	945	0	66058
70	502	447	961	522	1354	945	1086	1	66580
71	447	961	522	1354	945	1086	471	0	67934
72	961	522	1354	945	1086	471	475	0	68879
73	522	1354	945	1086	471	475	906	0	69965
74	1354	945	1086	471	475	906	1175	1	70436
75	945	1086	471	475	906	1175	1187	1	70911
76	1086	471	475	906	1175	1187	486	0	71817
77	471	475	906	1175	1187	486	1401	0	72992
78	475	906	1175	1187	486	1401	537	0	74179
79	906	1175	1187	486	1401	537	1378	1	74665
80	1175	1187	486	1401	537	1378	1023	0	76066
81	1187	486	1401	537	1378	1023	1089	1	76603
82	486	1401	537	1378	1023	1089	479	0	77981
83	1401	537	1378	1023	1089	479	1358	0	79004
84	537	1378	1023	1089	479	1358	984	0	80093
85	1378	1023	1089	479	1358	984	1028	1	80572
86	1023	1089	479	1358	984	1028	1058	0	81930
87	1089	479	1358	984	1028	1058	1093	0	82914
88	479	1358	984	1028	1058	1093	487	0	83942
89	1358	984	1028	1058	1093	487	1366	0	85000
90	984	1028	1058	1093	487	1366	552	0	86093
91	1028	1058	1093	487	1366	552	1257	1	86580
92	1058	1093	487	1366	552	1257	533	0	87946
93	1093	487	1366	552	1257	533	1117	1	88498
94	487	1366	552	1257	533	1117	735	0	89755
95	1366	552	1257	533	1117	735	1004	1	90288
96	552	1257	533	1117	735	1004	471	0	91405
97	1257	533	1117	735	1004	471	490	1	92140
98	533	1117	735	1004	471	490	483	0	93144
99	1117	735	1004	471	490	483	1245	1	93615
100	735	1004	471	490	483	1245	583	1	94105
101	1004	471	490	483	1245	583	1152	1	94588
102	471	490	483	1245	583	1152	860	0	95833
103	490	483	1245	583	1152	860	483	1	96416
104	483	1245	583	1152	860	483	1381	0	97568
105	1245	583	1152	860	483	1381	953	0	98428
106	583	1152	860	483	1381	953	1094	1	98911
107	1152	860	483	1381	953	1094	478	0	100292
108	860	483	1381	953	1094	478	1366	0	101245
109	483	1381	953	1094	478	1366	1008	0	102339
110	1381	953	1094	478	1366	1008	976	1	102817
111	953	1094	478	1366	1008	976	475	0	104183
112	1094	478	1366	1008	976	475	1319	0	105191
113	478	1366	1008	976	475	1319	521	0	106167
114	1366	1008	976	475	1319	521	1226	1	106642
115	1008	976	475	1319	521	1226	560	0	107961
116	976	475	1319	521	1226	560	1141	1	108482
