index	i-3	i-2	i-1	i+0	i+1	i+2	i+3	Filter	Time
3	677	463	1097	759	743	739	743	0	3043
4	463	1097	759	743	739	743	740	0	3786
5	1097	759	743	739	743	740	510	0	4525
6	759	743	739	743	740	510	972	0	5268
7	743	739	743	740	510	972	732	0	6008
8	739	743	740	510	972	732	739	1	6518
9	743	740	510	972	732	739	592	0	7490
10	740	510	972	732	739	592	879	0	8222
11	510	972	732	739	592	879	607	0	8961
12	972	732	739	592	879	607	872	1	9553
13	732	739	592	879	607	872	428	0	10432
14	739	592	879	607	872	428	1042	1	11039
15	592	879	607	872	428	1042	728	0	11911
16	879	607	872	428	1042	728	728	1	12339
17	607	872	428	1042	728	728	723	0	13381
18	872	428	1042	728	728	723	736	0	14109
19	428	1042	728	728	723	736	471	0	14837
20	1042	728	728	723	736	471	1031	0	15560
21	728	728	723	736	471	1031	751	0	16296
22	728	723	736	471	1031	751	758	1	16767
23	723	736	471	1031	751	758	767	0	17798
24	736	471	1031	751	758	767	770	0	18549
25	471	1031	751	758	767	770	790	0	19307
26	1031	751	758	767	770	790	794	0	20074
27	751	758	767	770	790	794	798	0	20844
28	758	767	770	790	794	798	498	0	21634
29	767	770	790	794	798	498	1109	0	22428
30	770	790	794	798	498	1109	778	0	23226
31	790	794	798	498	1109	778	786	1	23724
32	794	798	498	1109	778	786	782	0	24833
33	798	498	1109	778	786	782	794	0	25611
34	498	1109	778	786	782	794	463	0	26397
35	1109	778	786	782	794	463	1148	0	27179
36	778	786	782	794	463	1148	801	0	27973
37	786	782	794	463	1148	801	802	1	28436
38	782	794	463	1148	801	802	794	0	29584
39	794	463	1148	801	802	794	801	0	30385
40	463	1148	801	802	794	801	798	0	31187
41	1148	801	802	794	801	798	790	0	31981
42	801	802	794	801	798	790	478	0	32782
43	802	794	801	798	790	478	1113	0	33580
44	794	801	798	790	478	1113	782	0	34370
45	801	798	790	478	1113	782	778	1	34848
46	798	790	478	1113	782	778	786	0	35961
47	790	478	1113	782	778	786	798	0	36743
48	478	1113	782	778	786	798	521	0	37521
49	1113	782	778	786	798	521	1086	0	38307
50	782	778	786	798	521	1086	778	0	39105
51	778	786	798	521	1086	778	782	1	39626
52	786	798	521	1086	778	782	779	0	40712
53	798	521	1086	778	782	779	770	0	41490
54	521	1086	778	782	779	770	494	0	42272
55	1086	778	782	779	770	494	1066	0	43051
56	778	782	779	770	494	1066	779	0	43821
57	782	779	770	494	1066	779	789	1	44315
58	779	770	494	1066	779	789	798	0	45381
59	770	494	1066	779	789	798	809	0	46160
60	494	1066	779	789	798	809	475	0	46949
61	1066	779	789	798	809	475	1164	0	47747
62	779	789	798	809	475	1164	797	0	48556
63	789	798	809	475	1164	797	802	1	49031
64	798	809	475	1164	797	802	805	0	50195
65	809	475	1164	797	802	805	794	0	50992
66	475	1164	797	802	805	794	798	0	51794
67	1164	797	802	805	794	798	801	0	52599
68	797	802	805	794	798	801	436	0	53393
69	802	805	794	798	801	436	1167	0	54191
70	805	794	798	801	436	1167	786	0	54992
71	794	798	801	436	1167	786	790	1	55428
72	798	801	436	1167	786	790	778	0	56595
73	801	436	1167	786	790	778	783	0	57381
74	436	1167	786	790	778	783	789	0	58171
75	1167	786	790	778	783	789	646	0	58949
76	786	790	778	783	789	646	926	0	59732
77	790	778	783	789	646	926	779	0	60521
78	778	783	789	646	926	779	778	1	61167
79	783	789	646	926	779	778	560	0	62093
80	789	646	926	779	778	560	969	0	62872
81	646	926	779	778	560	969	763	0	63650
82	926	779	778	560	969	763	766	1	64210
83	779	778	560	969	763	766	763	0	65179
84	778	560	969	763	766	763	762	0	65942
85	560	969	763	766	763	762	491	0	66708
86	969	763	766	763	762	491	1046	0	67471
87	763	766	763	762	491	1046	751	0	68233
88	766	763	762	491	1046	751	755	1	68724
89	763	762	491	1046	751	755	755	0	69770
90	762	491	1046	751	755	755	763	0	70521
91	491	1046	751	755	755	763	467	0	71276
