index	i-3	i-2	i-1	i+0	i+1	i+2	i+3	Filter	Time
3	611	743	751	751	747	759	755	0	2856
4	743	751	751	747	759	755	743	0	3603
5	751	751	747	759	755	743	743	0	4362
6	751	747	759	755	743	743	747	0	5117
7	747	759	755	743	743	747	743	0	5860
8	759	755	743	743	747	743	751	0	6603
9	755	743	743	747	743	751	759	0	7350
10	743	743	747	743	751	759	763	0	8093
11	743	747	743	751	759	763	786	0	8844
12	747	743	751	759	763	786	778	0	9603
13	743	751	759	763	786	778	778	0	10366
14	751	759	763	786	778	778	778	0	11152
15	759	763	786	778	778	778	775	0	11930
16	763	786	778	778	778	775	778	0	12708
17	786	778	778	778	775	778	774	0	13486
18	778	778	778	775	778	774	775	0	14261
19	778	778	775	778	774	775	758	0	15039
20	778	775	778	774	775	758	755	0	15813
21	775	778	774	775	758	755	759	0	16588
22	778	774	775	758	755	759	739	0	17346
23	774	775	758	755	759	739	740	0	18101
24	775	758	755	759	739	740	731	0	18860
25	758	755	759	739	740	731	728	0	19599
26	755	759	739	740	731	728	731	0	20339
27	759	739	740	731	728	731	736	0	21070
28	739	740	731	728	731	736	731	0	21798
29	740	731	728	731	736	731	743	0	22529
30	731	728	731	736	731	743	743	0	23265
31	728	731	736	731	743	743	748	0	23996
32	731	736	731	743	743	748	778	0	24739
33	736	731	743	743	748	778	751	0	25482
34	731	743	743	748	778	751	755	0	26230
35	743	743	748	778	751	755	758	0	27008
36	743	748	778	751	755	758	759	0	27759
37	748	778	751	755	758	759	771	0	28514
38	778	751	755	758	759	771	758	0	29272
39	751	755	758	759	771	758	767	0	30031
40	755	758	759	771	758	767	762	0	30802
41	758	759	771	758	767	762	767	0	31560
42	759	771	758	767	762	767	770	0	32327
43	771	758	767	762	767	770	771	0	33089
44	758	767	762	767	770	771	778	0	33856
45	767	762	767	770	771	778	767	0	34626
46	762	767	770	771	778	767	770	0	35397
47	767	770	771	778	767	770	759	0	36175
48	770	771	778	767	770	759	774	0	36942
49	771	778	767	770	759	774	774	0	37712
50	778	767	770	759	774	774	763	0	38471
51	767	770	759	774	774	763	771	0	39245
52	770	759	774	774	763	771	766	0	40019
53	759	774	774	763	771	766	763	0	40782
54	774	774	763	771	766	763	762	0	41553
55	774	763	771	766	763	762	775	0	42319
56	763	771	766	763	762	775	766	0	43082
57	771	766	763	762	775	766	763	0	43844
58	766	763	762	775	766	763	770	0	44619
59	763	762	775	766	763	770	771	0	45385
60	762	775	766	763	770	771	762	0	46148
61	775	766	763	770	771	762	763	0	46918
62	766	763	770	771	762	763	763	0	47689
63	763	770	771	762	763	763	770	0	48451
64	770	771	762	763	763	770	755	0	49214
65	771	762	763	763	770	755	763	0	49977
66	762	763	763	770	755	763	766	0	50747
67	763	763	770	755	763	766	767	0	51502
68	763	770	755	763	766	767	774	0	52265
69	770	755	763	766	767	774	763	0	53031
70	755	763	766	767	774	763	758	0	53798
71	763	766	767	774	763	758	767	0	54572
72	766	767	774	763	758	767	774	0	55335
73	767	774	763	758	767	774	767	0	56093
74	774	763	758	767	774	767	770	0	56860
75	763	758	767	774	767	770	775	0	57634
76	758	767	774	767	770	775	793	0	58401
77	767	774	767	770	775	793	779	0	59171
78	774	767	770	775	793	779	782	0	59946
79	767	770	775	793	779	782	793	0	60739
80	770	775	793	779	782	793	779	0	61518
81	775	793	779	782	793	779	789	0	62300
82	793	779	782	793	779	789	786	0	63093
83	779	782	793	779	789	786	783	0	63872
84	782	793	779	789	786	783	770	0	64661
85	793	779	789	786	783	770	774	0	65447
86	779	789	786	783	770	774	763	0	66230
87	789	786	783	770	774	763	763	0	67000
88	786	783	770	774	763	763	758	0	67774
89	783	770	774	763	763	758	763	0	68537
90	770	774	763	763	758	763	763	0	69300
91	774	763	763	758	763	763	762	0	70058
92	763	763	758	763	763	762	767	0	70821
93	763	758	763	763	762	767	762	0	71584
94	758	763	763	762	767	762	771	0	72346
95	763	763	762	767	762	771	763	0	73113
96	763	762	767	762	771	763	751	0	73875
97	762	767	762	771	763	751	758	0	74646
98	767	762	771	763	751	758	763	0	75409
99	762	771	763	751	758	763	766	0	76160
100	771	763	751	758	763	766	763	0	76918
101	763	751	758	763	766	763	786	0	77681
102	751	758	763	766	763	786	774	0	78447
103	758	763	766	763	786	774	771	0	79210
104	763	766	763	786	774	771	778	0	79996
105	766	763	786	774	771	778	782	0	80770
106	763	786	774	771	778	782	767	0	81541
107	786	774	771	778	782	767	766	0	82319
108	774	771	778	782	767	766	767	0	83101
109	771	778	782	767	766	767	759	0	83868
110	778	782	767	766	767	759	762	0	84634
111	782	767	766	767	759	762	763	0	85401
112	767	766	767	759	762	763	759	0	86160
113	766	767	759	762	763	759	754	0	86922
114	767	759	762	763	759	754	759	0	87685
115	759	762	763	759	754	759	755	0	88444
116	762	763	759	754	759	755	770	0	89198
117	763	759	754	759	755	770	767	0	89957
118	759	754	759	755	770	767	774	0	90712
119	754	759	755	770	767	774	775	0	91482
120	759	755	770	767	774	775	762	0	92249
121	755	770	767	774	775	762	782	0	93023
122	770	767	774	775	762	782	759	0	93798
123	767	774	775	762	782	759	759	0	94560
124	774	775	762	782	759	759	743	0	95342
125	775	762	782	759	759	743	739	0	96101
126	762	782	759	759	743	739	751	0	96860
127	782	759	759	743	739	751	751	0	97603
128	759	759	743	739	751	751	744	0	98342
129	759	743	739	751	751	744	747	0	99093
130	743	739	751	751	744	747	754	0	99844
131	739	751	751	744	747	754	759	0	100588
132	751	751	744	747	754	759	759	0	101335
133	751	744	747	754	759	759	755	0	102089
134	744	747	754	759	759	755	770	0	102848
135	747	754	759	759	755	770	790	0	103607
136	754	759	759	755	770	790	767	0	104362
137	759	759	755	770	790	767	766	0	105132
138	759	755	770	790	767	766	755	0	105922
139	755	770	790	767	766	755	751	0	106689
140	770	790	767	766	755	751	739	0	107455
141	790	767	766	755	751	739	740	0	108210
142	767	766	755	751	739	740	731	0	108961
143	766	755	751	739	740	731	747	0	109700
144	755	751	739	740	731	747	747	0	110440
145	751	739	740	731	747	747	759	0	111171
146	739	740	731	747	747	759	774	0	111918
147	740	731	747	747	759	774	771	0	112665
148	731	747	747	759	774	771	774	0	113424
149	747	747	759	774	771	774	782	0	114198
150	747	759	774	771	774	782	755	0	114969
151	759	774	771	774	782	755	759	0	115743
152	774	771	774	782	755	759	751	0	116525
153	771	774	782	755	759	751	747	0	117280
154	774	782	755	759	751	747	743	0	118039
155	782	755	759	751	747	743	739	0	118790
156	755	759	751	747	743	739	744	0	119537
157	759	751	747	743	739	744	735	0	120280
158	751	747	743	739	744	735	743	0	121019
