index	i-3	i-2	i-1	i+0	i+1	i+2	i+3	Filter	Time
3	377	864	596	1089	841	813	809	0	2926
4	864	596	1089	841	813	809	825	0	3767
5	596	1089	841	813	809	825	868	0	4580
6	1089	841	813	809	825	868	891	0	5389
7	841	813	809	825	868	891	883	0	6214
8	813	809	825	868	891	883	895	0	7082
9	809	825	868	891	883	895	918	0	7973
10	825	868	891	883	895	918	930	0	8856
11	868	891	883	895	918	930	926	0	9751
12	891	883	895	918	930	926	934	0	10669
13	883	895	918	930	926	934	926	0	11599
14	895	918	930	926	934	926	907	0	12525
15	918	930	926	934	926	907	895	0	13459
16	930	926	934	926	907	895	879	0	14385
17	926	934	926	907	895	879	876	0	15292
18	934	926	907	895	879	876	646	0	16187
19	926	907	895	879	876	646	1027	0	17066
20	907	895	879	876	646	1027	832	0	17942
21	895	879	876	646	1027	832	833	1	18588
22	879	876	646	1027	832	833	837	0	19615
23	876	646	1027	832	833	837	829	0	20447
24	646	1027	832	833	837	829	758	0	21280
25	1027	832	833	837	829	758	716	0	22117
26	832	833	837	829	758	716	728	0	22946
27	833	837	829	758	716	728	673	1	23704
28	837	829	758	716	728	673	1319	1	24420
29	829	758	716	728	673	1319	829	1	25148
30	758	716	728	673	1319	829	821	1	25821
31	716	728	673	1319	829	821	786	0	27140
32	728	673	1319	829	821	786	786	0	27969
33	673	1319	829	821	786	786	770	0	28790
34	1319	829	821	786	786	770	685	0	29576
35	829	821	786	786	770	685	662	0	30362
36	821	786	786	770	685	662	825	0	31132
37	786	786	770	685	662	825	731	0	31817
38	786	770	685	662	825	731	615	0	32479
39	770	685	662	825	731	615	813	0	33304
40	685	662	825	731	615	813	712	0	34035
41	662	825	731	615	813	712	704	1	34650
42	825	731	615	813	712	704	697	0	35463
43	731	615	813	712	704	697	700	0	36175
44	615	813	712	704	697	700	708	0	36879
45	813	712	704	697	700	708	701	0	37576
46	712	704	697	700	708	701	677	0	38276
47	704	697	700	708	701	677	700	0	38984
48	697	700	708	701	677	700	693	0	39685
49	700	708	701	677	700	693	685	0	40362
50	708	701	677	700	693	685	677	0	41062
51	701	677	700	693	685	677	688	0	41755
52	677	700	693	685	677	688	697	0	42440
53	700	693	685	677	688	697	696	0	43117
54	693	685	677	688	697	696	697	0	43805
55	685	677	688	697	696	697	739	0	44502
56	677	688	697	696	697	739	880	0	45198
57	688	697	696	697	739	880	793	0	45895
58	697	696	697	739	880	793	810	0	46634
59	696	697	739	880	793	810	867	0	47514
60	697	739	880	793	810	867	845	0	48307
61	739	880	793	810	867	845	852	0	49117
62	880	793	810	867	845	852	926	0	49984
63	793	810	867	845	852	926	961	0	50829
64	810	867	845	852	926	961	914	0	51681
65	867	845	852	926	961	914	985	0	52607
66	845	852	926	961	914	985	1004	0	53568
67	852	926	961	914	985	1004	1008	0	54482
68	926	961	914	985	1004	1008	945	0	55467
69	961	914	985	1004	1008	945	911	0	56471
