index	i-3	i-2	i-1	i+0	i+1	i+2	i+3	Filter	Time
3	669	670	680	697	700	705	716	0	2716
4	670	680	697	700	705	716	727	0	3416
5	680	697	700	705	716	727	720	0	4121
6	697	700	705	716	727	720	704	0	4837
7	700	705	716	727	720	704	697	0	5564
8	705	716	727	720	704	697	704	0	6284
9	716	727	720	704	697	704	720	0	6988
10	727	720	704	697	704	720	724	0	7685
11	720	704	697	704	720	724	739	0	8389
12	704	697	704	720	724	739	724	0	9109
13	697	704	720	724	739	724	723	0	9833
14	704	720	724	739	724	723	720	0	10572
15	720	724	739	724	723	720	708	0	11296
16	724	739	724	723	720	708	713	0	12019
17	739	724	723	720	708	713	715	0	12739
18	724	723	720	708	713	715	705	0	13447
19	723	720	708	713	715	705	685	0	14160
20	720	708	713	715	705	685	669	0	14875
21	708	713	715	705	685	669	650	0	15580
22	713	715	705	685	669	650	677	0	16265
23	715	705	685	669	650	677	681	0	16934
24	705	685	669	650	677	681	692	0	17584
25	685	669	650	677	681	692	705	0	18261
26	669	650	677	681	692	705	708	0	18942
27	650	677	681	692	705	708	716	0	19634
28	677	681	692	705	708	716	696	0	20339
29	681	692	705	708	716	696	708	0	21047
30	692	705	708	716	696	708	701	0	21763
31	705	708	716	696	708	701	696	0	22459
32	708	716	696	708	701	696	697	0	23167
33	716	696	708	701	696	697	704	0	23868
34	696	708	701	696	697	704	716	0	24564
35	708	701	696	697	704	716	708	0	25261
36	701	696	697	704	716	708	708	0	25965
37	696	697	704	716	708	708	728	0	26681
38	697	704	716	708	708	728	739	0	27389
39	704	716	708	708	728	739	732	0	28097
40	716	708	708	728	739	732	723	0	28825
41	708	708	728	739	732	723	720	0	29564
42	708	728	739	732	723	720	736	0	30296
43	728	739	732	723	720	736	716	0	31019
44	739	732	723	720	736	716	708	0	31739
45	732	723	720	736	716	708	704	0	32475
46	723	720	736	716	708	704	712	0	33191
47	720	736	716	708	704	712	716	0	33899
48	736	716	708	704	712	716	712	0	34603
49	716	708	704	712	716	712	701	0	35315
50	708	704	712	716	712	701	708	0	36031
51	704	712	716	712	701	708	712	0	36743
