index	i-3	i-2	i-1	i+0	i+1	i+2	i+3	Filter	Time
3	401	459	1008	467	1019	463	1008	1	2335
4	459	1008	467	1019	463	1008	467	0	3354
5	1008	467	1019	463	1008	467	1023	1	3817
6	467	1019	463	1008	467	1023	463	0	4825
7	1019	463	1008	467	1023	463	1024	1	5292
8	463	1008	467	1023	463	1024	455	0	6315
9	1008	467	1023	463	1024	455	1011	1	6778
10	467	1023	463	1024	455	1011	467	0	7802
11	1023	463	1024	455	1011	467	1028	1	8257
12	463	1024	455	1011	467	1028	463	0	9268
13	1024	455	1011	467	1028	463	957	1	9735
14	455	1011	467	1028	463	957	463	0	10763
15	1011	467	1028	463	957	463	914	1	11226
16	467	1028	463	957	463	914	475	0	12183
17	1028	463	957	463	914	475	992	1	12646
18	463	957	463	914	475	992	467	0	13560
19	957	463	914	475	992	467	1070	1	14035
20	463	914	475	992	467	1070	463	0	15027
21	914	475	992	467	1070	463	1156	1	15494
22	475	992	467	1070	463	1156	455	0	16564
23	992	467	1070	463	1156	455	1160	1	17027
24	467	1070	463	1156	455	1160	459	0	18183
25	1070	463	1156	455	1160	459	1113	1	18638
26	463	1156	455	1160	459	1113	459	0	19798
27	1156	455	1160	459	1113	459	1050	1	20257
28	455	1160	459	1113	459	1050	460	0	21370
29	1160	459	1113	459	1050	460	1054	1	21829
30	459	1113	459	1050	460	1054	459	0	22879
31	1113	459	1050	460	1054	459	1066	1	23339
32	459	1050	460	1054	459	1066	452	0	24393
33	1050	460	1054	459	1066	452	1004	1	24852
34	460	1054	459	1066	452	1004	459	0	25918
35	1054	459	1066	452	1004	459	980	1	26370
36	459	1066	452	1004	459	980	459	0	27374
37	1066	452	1004	459	980	459	973	1	27833
38	452	1004	459	980	459	973	463	0	28813
39	1004	459	980	459	973	463	1059	1	29272
40	459	980	459	973	463	1059	455	0	30245
41	980	459	973	463	1059	455	1089	1	30708
42	459	973	463	1059	455	1089	452	0	31767
43	973	463	1059	455	1089	452	1120	1	32222
44	463	1059	455	1089	452	1120	459	0	33311
45	1059	455	1089	452	1120	459	1140	1	33763
46	455	1089	452	1120	459	1140	452	0	34883
47	1089	452	1120	459	1140	452	1070	1	35342
48	452	1120	459	1140	452	1070	455	0	36482
49	1120	459	1140	452	1070	455	1051	1	36934
50	459	1140	452	1070	455	1051	455	0	38004
51	1140	452	1070	455	1051	455	1051	1	38459
52	452	1070	455	1051	455	1051	451	0	39510
53	1070	455	1051	455	1051	451	1035	1	39965
54	455	1051	455	1051	451	1035	459	0	41016
55	1051	455	1051	451	1035	459	1020	1	41467
56	455	1051	451	1035	459	1020	455	0	42502
57	1051	451	1035	459	1020	455	965	1	42961
58	451	1035	459	1020	455	965	463	0	43981
59	1035	459	1020	455	965	463	941	1	44436
60	459	1020	455	965	463	941	460	0	45401
61	1020	455	965	463	941	460	914	1	45864
62	455	965	463	941	460	914	463	0	46805
63	965	463	941	460	914	463	973	1	47265
64	463	941	460	914	463	973	463	0	48179
65	941	460	914	463	973	463	1000	1	48642
66	460	914	463	973	463	1000	455	0	49615
67	914	463	973	463	1000	455	981	1	50078
68	463	973	463	1000	455	981	463	0	51078
69	973	463	1000	455	981	463	949	1	51533
70	463	1000	455	981	463	949	459	0	52514
71	1000	455	981	463	949	459	915	1	52977
72	455	981	463	949	459	915	463	0	53926
73	981	463	949	459	915	463	910	1	54385
74	463	949	459	915	463	910	459	0	55300
75	949	459	915	463	910	459	864	1	55763
76	459	915	463	910	459	864	467	0	56673
77	915	463	910	459	864	467	802	1	57132
78	463	910	459	864	467	802	478	0	57996
79	910	459	864	467	802	478	771	1	58463
80	459	864	467	802	478	771	470	0	59265
81	864	467	802	478	771	470	755	1	59743
82	467	802	478	771	470	755	479	0	60514
83	802	478	771	470	755	479	766	1	60984
84	478	771	470	755	479	766	471	0	61739
85	771	470	755	479	766	471	778	1	62218
86	470	755	479	766	471	778	471	0	62984
87	755	479	766	471	778	471	814	1	63455
88	479	766	471	778	471	814	466	0	64233
89	766	471	778	471	814	466	880	1	64704
90	471	778	471	814	466	880	459	0	65518
91	778	471	814	466	880	459	887	1	65984
92	471	814	466	880	459	887	463	0	66864
93	814	466	880	459	887	463	887	1	67323
94	466	880	459	887	463	887	463	0	68210
95	880	459	887	463	887	463	860	1	68673
96	459	887	463	887	463	860	467	0	69560
97	887	463	887	463	860	467	880	1	70023
98	463	887	463	860	467	880	463	0	70883
99	887	463	860	467	880	463	902	1	71350
100	463	860	467	880	463	902	463	0	72230
101	860	467	880	463	902	463	934	1	72693
102	467	880	463	902	463	934	467	0	73595
103	880	463	902	463	934	467	988	1	74058
104	463	902	463	934	467	988	460	0	74992
105	902	463	934	467	988	460	1000	1	75459
106	463	934	467	988	460	1000	463	0	76447
107	934	467	988	460	1000	463	1023	1	76907
108	467	988	460	1000	463	1023	459	0	77907
109	988	460	1000	463	1023	459	1023	1	78370
110	460	1000	463	1023	459	1023	460	0	79393
111	1000	463	1023	459	1023	460	988	1	79852
112	463	1023	459	1023	460	988	471	0	80875
113	1023	459	1023	460	988	471	965	1	81335
114	459	1023	460	988	471	965	471	0	82323
115	1023	460	988	471	965	471	933	1	82794
116	460	988	471	965	471	933	467	0	83759
117	988	471	965	471	933	467	923	1	84230
118	471	965	471	933	467	923	474	0	85163
119	965	471	933	467	923	474	911	1	85630
120	471	933	467	923	474	911	471	0	86553
121	933	467	923	474	911	471	926	1	87027
122	467	923	474	911	471	926	478	0	87938
123	923	474	911	471	926	478	992	1	88409
124	474	911	471	926	478	992	467	0	89335
125	911	471	926	478	992	467	996	1	89813
126	471	926	478	992	467	996	471	0	90805
127	926	478	992	467	996	471	1004	1	91272
128	478	992	467	996	471	1004	467	0	92268
129	992	467	996	471	1004	467	996	1	92739
130	467	996	471	1004	467	996	467	0	93743
131	996	471	1004	467	996	467	988	1	94210
132	471	1004	467	996	467	988	471	0	95206
133	1004	467	996	467	988	471	985	1	95673
134	467	996	467	988	471	985	463	0	96661
135	996	467	988	471	985	463	969	1	97132
136	467	988	471	985	463	969	470	0	98117
137	988	471	985	463	969	470	981	1	98580
138	471	985	463	969	470	981	467	0	99549
139	985	463	969	470	981	467	992	1	100019
140	463	969	470	981	467	992	463	0	101000
141	969	470	981	467	992	463	969	1	101467
142	470	981	467	992	463	969	471	0	102459
143	981	467	992	463	969	471	1004	1	102922
144	467	992	463	969	471	1004	463	0	103891
145	992	463	969	471	1004	463	1035	1	104362
146	463	969	471	1004	463	1035	467	0	105366
147	969	471	1004	463	1035	467	1066	1	105829
148	471	1004	463	1035	467	1066	459	0	106864
149	1004	463	1035	467	1066	459	1008	1	107331
150	463	1035	467	1066	459	1008	459	0	108397
151	1035	467	1066	459	1008	459	942	1	108856
152	467	1066	459	1008	459	942	470	0	109864
153	1066	459	1008	459	942	470	965	1	110323
154	459	1008	459	942	470	965	460	0	111265
155	1008	459	942	470	965	460	988	1	111735
156	459	942	470	965	460	988	463	0	112700
157	942	470	965	460	988	463	1039	1	113160
158	470	965	460	988	463	1039	459	0	114148
159	965	460	988	463	1039	459	1035	1	114611
160	460	988	463	1039	459	1035	455	0	115650
161	988	463	1039	459	1035	455	1020	1	116109
162	463	1039	459	1035	455	1020	455	0	117144
163	1039	459	1035	455	1020	455	1008	1	117599
164	459	1035	455	1020	455	1008	455	0	118619
165	1035	455	1020	455	1008	455	1008	1	119074
166	455	1020	455	1008	455	1008	459	0	120082
167	1020	455	1008	455	1008	459	1062	1	120537
168	455	1008	455	1008	459	1062	455	0	121545
169	1008	455	1008	459	1062	455	1067	1	122004
170	455	1008	459	1062	455	1067	455	0	123066
171	1008	459	1062	455	1067	455	1078	1	123521
172	459	1062	455	1067	455	1078	455	0	124588
173	1062	455	1067	455	1078	455	1062	1	125043
174	455	1067	455	1078	455	1062	451	0	126121
175	1067	455	1078	455	1062	451	1032	1	126576
176	455	1078	455	1062	451	1032	455	0	127638
177	1078	455	1062	451	1032	455	1015	1	128089
178	455	1062	451	1032	455	1015	456	0	129121
179	1062	451	1032	455	1015	456	1004	1	129576
180	451	1032	455	1015	456	1004	455	0	130591
181	1032	455	1015	456	1004	455	1019	1	131047
182	455	1015	456	1004	455	1019	456	0	132051
183	1015	456	1004	455	1019	456	1015	1	132506
184	456	1004	455	1019	456	1015	451	0	133525
185	1004	455	1019	456	1015	451	1004	1	133981
186	455	1019	456	1015	451	1004	460	0	134996
187	1019	456	1015	451	1004	460	1007	1	135447
188	456	1015	451	1004	460	1007	452	0	136451
189	1015	451	1004	460	1007	452	1004	1	136911
190	451	1004	460	1007	452	1004	459	0	137918
191	1004	460	1007	452	1004	459	1015	1	138370
192	460	1007	452	1004	459	1015	456	0	139374
193	1007	452	1004	459	1015	456	1015	1	139833
194	452	1004	459	1015	456	1015	455	0	140848
195	1004	459	1015	456	1015	455	1059	1	141304
196	459	1015	456	1015	455	1059	455	0	142319
197	1015	456	1015	455	1059	455	1093	1	142774
198	456	1015	455	1059	455	1093	452	0	143833
199	1015	455	1059	455	1093	452	1109	1	144288
200	455	1059	455	1093	452	1109	451	0	145381
201	1059	455	1093	452	1109	451	1039	1	145833
202	455	1093	452	1109	451	1039	455	0	146942
