index	i-3	i-2	i-1	i+0	i+1	i+2	i+3	Filter	Time
3	1513	919	871	829	837	564	568	0	4280
4	919	871	829	837	564	568	891	0	5117
5	871	829	837	564	568	891	798	1	5681
6	829	837	564	568	891	798	864	1	6249
7	837	564	568	891	798	864	1564	0	7140
8	564	568	891	798	864	1564	980	0	7938
9	568	891	798	864	1564	980	895	0	8802
10	891	798	864	1564	980	895	919	0	10366
11	798	864	1564	980	895	919	922	0	11346
12	864	1564	980	895	919	922	902	0	12241
13	1564	980	895	919	922	902	895	0	13160
14	980	895	919	922	902	895	872	0	14082
15	895	919	922	902	895	872	1510	0	14984
16	919	922	902	895	872	1510	922	0	15879
17	922	902	895	872	1510	922	860	0	16751
18	902	895	872	1510	922	860	832	0	18261
19	895	872	1510	922	860	832	810	0	19183
20	872	1510	922	860	832	810	1471	0	20043
21	1510	922	860	832	810	1471	887	0	20875
22	922	860	832	810	1471	887	560	0	21685
23	860	832	810	1471	887	560	915	0	23156
24	832	810	1471	887	560	915	871	0	24043
25	810	1471	887	560	915	871	790	0	24603
26	1471	887	560	915	871	790	794	0	25518
27	887	560	915	871	790	794	797	0	26389
28	560	915	871	790	794	797	584	0	27179
29	915	871	790	794	797	584	992	0	27973
30	871	790	794	797	584	992	821	0	28770
31	790	794	797	584	992	821	1522	1	29354
32	794	797	584	992	821	1522	856	0	30346
33	797	584	992	821	1522	856	560	0	31167
34	584	992	821	1522	856	560	930	0	32689
35	992	821	1522	856	560	930	626	0	33545
36	821	1522	856	560	930	626	888	0	34105
37	1522	856	560	930	626	888	891	0	35035
38	856	560	930	626	888	891	856	1	35661
39	560	930	626	888	891	856	809	0	36549
40	930	626	888	891	856	809	821	0	37440
41	626	888	891	856	809	821	809	0	38296
42	888	891	856	809	821	809	541	0	39105
43	891	856	809	821	809	541	584	0	39926
44	856	809	821	809	541	584	992	0	40735
45	809	821	809	541	584	992	950	1	41276
46	821	809	541	584	992	950	879	1	41860
47	809	541	584	992	950	879	840	0	42852
48	541	584	992	950	879	840	841	0	43802
49	584	992	950	879	840	841	829	0	44681
50	992	950	879	840	841	829	805	0	45521
51	950	879	840	841	829	805	841	0	46362
52	879	840	841	829	805	841	828	0	47191
53	840	841	829	805	841	828	829	0	47996
54	841	829	805	841	828	829	1525	0	48837
55	829	805	841	828	829	1525	880	0	49665
56	805	841	828	829	1525	880	560	0	50494
57	841	828	829	1525	880	560	911	0	52019
58	828	829	1525	880	560	911	848	0	52899
59	829	1525	880	560	911	848	611	1	53459
60	1525	880	560	911	848	611	949	0	54370
61	880	560	911	848	611	949	786	0	55218
62	560	911	848	611	949	786	798	1	55829
63	911	848	611	949	786	798	782	0	56778
64	848	611	949	786	798	782	798	0	57564
65	611	949	786	798	782	798	813	0	58362
66	949	786	798	782	798	813	829	0	59144
67	786	798	782	798	813	829	825	0	59942
68	798	782	798	813	829	825	836	0	60755
69	782	798	813	829	825	836	837	0	61584
70	798	813	829	825	836	837	836	0	62409
71	813	829	825	836	837	836	849	0	63245
72	829	825	836	837	836	849	844	0	64082
73	825	836	837	836	849	844	844	0	64918
74	836	837	836	849	844	844	1623	0	65767
75	837	836	849	844	844	1623	883	0	66611
76	836	849	844	844	1623	883	848	0	67455
77	849	844	844	1623	883	848	825	0	69078
78	844	844	1623	883	848	825	829	0	69961
79	844	1623	883	848	825	829	794	0	70809
80	1623	883	848	825	829	794	813	0	71634
81	883	848	825	829	794	813	813	0	72463
82	848	825	829	794	813	813	813	0	73257
83	825	829	794	813	813	813	802	0	74070
84	829	794	813	813	813	802	798	0	74883
85	794	813	813	813	802	798	790	0	75696
86	813	813	813	802	798	790	789	0	76498
87	813	813	802	798	790	789	775	0	77296
88	813	802	798	790	789	775	774	0	78086
89	802	798	790	789	775	774	553	0	78875
90	798	790	789	775	774	553	552	0	79650
91	790	789	775	774	553	552	821	0	80424
92	789	775	774	553	552	821	794	1	80977
93	775	774	553	552	821	794	782	1	81529
94	774	553	552	821	794	782	790	0	82350
95	553	552	821	794	782	790	564	0	83144
96	552	821	794	782	790	564	603	0	83926
97	821	794	782	790	564	603	584	0	84716
98	794	782	790	564	603	584	837	1	85280
99	782	790	564	603	584	837	579	1	85883
100	790	564	603	584	837	579	584	1	86467
101	564	603	584	837	579	584	580	0	87304
102	603	584	837	579	584	580	587	1	87883
103	584	837	579	584	580	587	599	1	88467
104	837	579	584	580	587	599	592	1	89047
105	579	584	580	587	599	592	595	1	89634
106	584	580	587	599	592	595	599	1	90233
107	580	587	599	592	595	599	619	1	90825
108	587	599	592	595	599	619	634	1	91420
109	599	592	595	599	619	634	642	1	92019
110	592	595	599	619	634	642	650	1	92638
111	595	599	619	634	642	650	654	1	93272
112	599	619	634	642	650	654	650	1	93914
113	619	634	642	650	654	650	638	1	94564
114	634	642	650	654	650	638	630	1	95218
115	642	650	654	650	638	630	631	1	95868
116	650	654	650	638	630	631	626	1	96506
117	654	650	638	630	631	626	619	1	97136
118	650	638	630	631	626	619	603	1	97767
119	638	630	631	626	619	603	599	1	98393
120	630	631	626	619	603	599	588	1	99012
121	631	626	619	603	599	588	595	1	99615
122	626	619	603	599	588	595	599	1	100214
123	619	603	599	588	595	599	1035	1	100802
124	603	599	588	595	599	1035	946	1	101397
125	599	588	595	599	1035	946	930	1	101996
126	588	595	599	1035	946	930	953	0	103031
127	595	599	1035	946	930	953	907	0	103977
128	599	1035	946	930	953	907	926	0	104907
129	1035	946	930	953	907	926	918	0	105860
130	946	930	953	907	926	918	1556	0	106767
131	930	953	907	926	918	1556	946	0	107693
132	953	907	926	918	1556	946	864	0	108611
133	907	926	918	1556	946	864	871	0	110167
134	926	918	1556	946	864	871	884	0	111113
135	918	1556	946	864	871	884	1478	0	111977
136	1556	946	864	871	884	1478	837	0	112848
137	946	864	871	884	1478	837	509	0	113732
138	864	871	884	1478	837	509	1004	0	115210
139	871	884	1478	837	509	1004	849	0	116047
140	884	1478	837	509	1004	849	1470	1	116556
141	1478	837	509	1004	849	1470	864	0	117560
142	837	509	1004	849	1470	864	821	0	118409
143	509	1004	849	1470	864	821	965	0	119879
144	1004	849	1470	864	821	965	969	0	120743
145	849	1470	864	821	965	969	973	0	121564
146	1470	864	821	965	969	973	980	0	122529
147	864	821	965	969	973	980	985	0	123498
148	821	965	969	973	980	985	1622	0	124471
149	965	969	973	980	985	1622	1020	0	125451
150	969	973	980	985	1622	1020	1603	0	126436
151	973	980	985	1622	1020	1603	1015	0	128058
152	980	985	1622	1020	1603	1015	930	0	129078
153	985	1622	1020	1603	1015	930	537	0	130681
154	1622	1020	1603	1015	930	537	1032	0	131696
155	1020	1603	1015	930	537	1032	599	0	132626
156	1603	1015	930	537	1032	599	1229	1	133163
157	1015	930	537	1032	599	1229	825	0	134195
158	930	537	1032	599	1229	825	829	1	134794
159	537	1032	599	1229	825	829	841	0	136023
160	1032	599	1229	825	829	841	863	0	136848
161	599	1229	825	829	841	863	1522	0	137677
162	1229	825	829	841	863	1522	922	0	138518
163	825	829	841	863	1522	922	875	0	139381
164	829	841	863	1522	922	875	829	0	140903
165	841	863	1522	922	875	829	825	0	141825
166	863	1522	922	875	829	825	1584	0	142700
167	1522	922	875	829	825	1584	844	0	143529
168	922	875	829	825	1584	844	868	0	144354
169	875	829	825	1584	844	868	848	0	145938
170	829	825	1584	844	868	848	868	0	146782
171	825	1584	844	868	848	868	879	0	147650
172	1584	844	868	848	868	879	444	0	148498
173	844	868	848	868	879	444	1292	0	149366
174	868	848	868	879	444	1292	879	0	150245
175	848	868	879	444	1292	879	864	1	150689
176	868	879	444	1292	879	864	856	0	151981
177	879	444	1292	879	864	856	836	0	152860
178	444	1292	879	864	856	836	864	0	153724
179	1292	879	864	856	836	864	856	0	154580
180	879	864	856	836	864	856	837	0	155416
181	864	856	836	864	856	837	856	0	156280
182	856	836	864	856	837	856	852	0	157136
183	836	864	856	837	856	852	848	0	157973
184	864	856	837	856	852	848	841	0	158829
185	856	837	856	852	848	841	552	0	159681
186	837	856	852	848	841	552	1082	0	160529
187	856	852	848	841	552	1082	860	0	161370
188	852	848	841	552	1082	860	825	1	161922
189	848	841	552	1082	860	825	832	0	163004
190	841	552	1082	860	825	832	565	0	163864
191	552	1082	860	825	832	565	1000	0	164689
192	1082	860	825	832	565	1000	848	0	165521
193	860	825	832	565	1000	848	821	1	166086
194	825	832	565	1000	848	821	817	0	167086
195	832	565	1000	848	821	817	813	0	167934
196	565	1000	848	821	817	813	810	0	168755
197	1000	848	821	817	813	810	797	0	169572
198	848	821	817	813	810	797	821	0	170385
199	821	817	813	810	797	821	817	0	171195
200	817	813	810	797	821	817	817	0	171992
201	813	810	797	821	817	817	821	0	172813
202	810	797	821	817	817	821	814	0	173630
203	797	821	817	817	821	814	829	0	174447
204	821	817	817	821	814	829	832	0	175268
205	817	817	821	814	829	832	821	0	176082
206	817	821	814	829	832	821	817	0	176911
207	821	814	829	832	821	817	821	0	177743
208	814	829	832	821	817	821	849	0	178564
209	829	832	821	817	821	849	844	0	179381
210	832	821	817	821	849	844	576	0	180202
211	821	817	821	849	844	576	1093	0	181051
212	817	821	849	844	576	1093	864	0	181895
213	821	849	844	576	1093	864	833	1	182471
214	849	844	576	1093	864	833	832	0	183564
215	844	576	1093	864	833	832	825	0	184428
216	576	1093	864	833	832	825	821	0	185261
217	1093	864	833	832	825	821	833	0	186093
218	864	833	832	825	821	833	837	0	186918
219	833	832	825	821	833	837	1560	0	187739
220	832	825	821	833	837	1560	910	0	188572
221	825	821	833	837	1560	910	821	0	189409
222	821	833	837	1560	910	821	829	0	190969
223	833	837	1560	910	821	829	829	0	191879
224	837	1560	910	821	829	829	817	0	192700
225	1560	910	821	829	829	817	829	0	193529
226	910	821	829	829	817	829	813	0	194358
227	821	829	829	817	829	813	844	0	195175
228	829	829	817	829	813	844	841	0	196004
229	829	817	829	813	844	841	837	0	196817
230	817	829	813	844	841	837	832	0	197661
231	829	813	844	841	837	832	833	0	198502
232	813	844	841	837	832	833	833	0	199339
233	844	841	837	832	833	833	836	0	200171
234	841	837	832	833	833	836	841	0	201004
235	837	832	833	833	836	841	1575	0	201837
236	832	833	833	836	841	1575	888	0	202673
237	833	833	836	841	1575	888	836	0	203514
238	833	836	841	1575	888	836	537	0	205089
239	836	841	1575	888	836	537	992	0	205977
240	841	1575	888	836	537	992	899	0	206813
241	1575	888	836	537	992	899	813	1	207350
242	888	836	537	992	899	813	818	0	208342
243	836	537	992	899	813	818	817	0	209241
244	537	992	899	813	818	817	829	0	210054
245	992	899	813	818	817	829	832	0	210872
246	899	813	818	817	829	832	833	0	211689
247	813	818	817	829	832	833	821	0	212518
248	818	817	829	832	833	821	840	0	213350
249	817	829	832	833	821	840	849	0	214183
250	829	832	833	821	840	849	848	0	215004
251	832	833	821	840	849	848	848	0	215844
252	833	821	840	849	848	848	844	0	216693
253	821	840	849	848	848	844	841	0	217541
254	840	849	848	848	844	841	1607	0	218389
255	849	848	848	844	841	1607	860	0	219233
256	848	848	844	841	1607	860	825	0	220074
257	848	844	841	1607	860	825	825	0	221681
258	844	841	1607	860	825	825	556	0	222541
259	841	1607	860	825	825	556	813	0	223366
260	1607	860	825	825	556	813	989	0	224191
261	860	825	825	556	813	989	848	1	224747
262	825	825	556	813	989	848	817	0	225560
263	825	556	813	989	848	817	805	0	226549
264	556	813	989	848	817	805	810	0	227397
265	813	989	848	817	805	810	790	0	228214
266	989	848	817	805	810	790	1548	0	229019
267	848	817	805	810	790	1548	852	0	229829
268	817	805	810	790	1548	852	580	0	230619
269	805	810	790	1548	852	580	572	0	232167
270	810	790	1548	852	580	572	852	0	233019
271	790	1548	852	580	572	852	903	1	233599
272	1548	852	580	572	852	903	918	1	234171
273	852	580	572	852	903	918	888	0	235023
274	580	572	852	903	918	888	556	0	235926
275	572	852	903	918	888	556	1070	0	236844
276	852	903	918	888	556	1070	829	0	237732
277	903	918	888	556	1070	829	1486	1	238288
278	918	888	556	1070	829	1486	915	0	239358
279	888	556	1070	829	1486	915	828	0	240187
280	556	1070	829	1486	915	828	817	0	241673
281	1070	829	1486	915	828	817	818	0	242588
282	829	1486	915	828	817	818	824	0	243416
