"In cluster 1 we found:
	 0  beats to filter and 557 normal filters out of 557"
# These seem normal beats of periods with a little bit smaller deltas
1	"0:1:339"
2	"0:2:19"
3	"0:2:716"
4	"0:3:416"
5	"0:4:121"
10	"0:7:685"
11	"0:8:389"
19	"0:14:160"
22	"0:16:265"
23	"0:16:934"
24	"0:17:584"
25	"0:18:261"
26	"0:18:942"
27	"0:19:634"
28	"0:20:339"
29	"0:21:47"
32	"0:23:167"
33	"0:23:868"
34	"0:24:564"
35	"0:25:261"
36	"0:25:965"
37	"0:26:681"
48	"0:34:603"
49	"0:35:315"
53	"0:38:152"
54	"0:38:864"
55	"0:39:564"
56	"0:40:261"
57	"0:40:949"
58	"0:41:642"
59	"0:42:342"
60	"0:43:43"
61	"0:43:759"
69	"0:49:479"
70	"0:50:191"
72	"0:51:607"
73	"0:52:307"
74	"0:53:19"
84	"1:0:152"
85	"1:0:852"
86	"1:1:556"
87	"1:2:249"
88	"1:2:930"
89	"1:3:607"
90	"1:4:292"
91	"1:4:981"
92	"1:5:673"
93	"1:6:377"
101	"1:12:82"
102	"1:12:755"
103	"1:13:444"
104	"1:14:132"
105	"1:14:813"
106	"1:15:494"
107	"1:16:179"
108	"1:16:875"
109	"1:17:568"
110	"1:18:268"
111	"1:18:969"
117	"1:23:237"
118	"1:23:938"
119	"1:24:630"
120	"1:25:327"
121	"1:26:35"
171	"2:0:307"
172	"2:0:977"
173	"2:1:673"
174	"2:2:366"
180	"2:6:455"
181	"2:7:140"
182	"2:7:817"
183	"2:8:482"
184	"2:9:136"
185	"2:9:809"
186	"2:10:486"
187	"2:11:183"
189	"2:12:529"
190	"2:13:206"
191	"2:13:887"
192	"2:14:568"
193	"2:15:249"
194	"2:15:934"
195	"2:16:630"
196	"2:17:331"
197	"2:18:31"
198	"2:18:716"
199	"2:19:405"
200	"2:20:93"
201	"2:20:782"
202	"2:21:479"
203	"2:22:160"
204	"2:22:840"
205	"2:23:537"
206	"2:24:241"
207	"2:24:934"
208	"2:25:611"
209	"2:26:272"
210	"2:26:953"
211	"2:27:642"
212	"2:28:323"
213	"2:29:0"
214	"2:29:685"
215	"2:30:381"
216	"2:31:89"
217	"2:31:794"
218	"2:32:490"
219	"2:33:198"
220	"2:33:914"
224	"2:36:712"
225	"2:37:405"
226	"2:38:101"
227	"2:38:802"
228	"2:39:502"
229	"2:40:214"
233	"2:43:51"
234	"2:43:759"
235	"2:44:475"
239	"2:47:268"
240	"2:47:965"
241	"2:48:661"
242	"2:49:342"
243	"2:50:23"
244	"2:50:712"
245	"2:51:405"
246	"2:52:93"
247	"2:52:782"
248	"2:53:459"
249	"2:54:144"
250	"2:54:840"
251	"2:55:541"
252	"2:56:230"
253	"2:56:918"
254	"2:57:607"
255	"2:58:300"
256	"2:58:992"
257	"2:59:677"
258	"3:0:362"
259	"3:1:51"
260	"3:1:739"
261	"3:2:424"
262	"3:3:113"
263	"3:3:798"
264	"3:4:494"
265	"3:5:183"
266	"3:5:868"
267	"3:6:549"
268	"3:7:237"
269	"3:7:930"
270	"3:8:599"
271	"3:9:276"
272	"3:9:965"
273	"3:10:646"
274	"3:11:339"
275	"3:12:12"
276	"3:12:677"
277	"3:13:354"
278	"3:14:23"
279	"3:14:693"
280	"3:15:346"
281	"3:15:996"
282	"3:16:665"
283	"3:17:339"
284	"3:18:16"
285	"3:18:696"
286	"3:19:377"
292	"3:23:533"
293	"3:24:210"
294	"3:24:895"
295	"3:25:564"
296	"3:26:237"
297	"3:26:911"
298	"3:27:588"
299	"3:28:265"
300	"3:28:946"
301	"3:29:615"
302	"3:30:304"
303	"3:30:988"
304	"3:31:673"
305	"3:32:358"
306	"3:33:27"
307	"3:33:700"
308	"3:34:381"
309	"3:35:62"
310	"3:35:747"
311	"3:36:444"
312	"3:37:125"
313	"3:37:813"
314	"3:38:521"
321	"3:43:475"
326	"3:46:868"
327	"3:47:533"
328	"3:48:214"
329	"3:48:899"
330	"3:49:580"
331	"3:50:265"
332	"3:50:949"
333	"3:51:650"
334	"3:52:342"
335	"3:53:43"
336	"3:53:735"
337	"3:54:412"
338	"3:55:109"
344	"3:59:222"
345	"3:59:883"
346	"4:0:545"
351	"4:3:790"
352	"4:4:440"
353	"4:5:101"
354	"4:5:767"
362	"4:11:128"
363	"4:11:805"
364	"4:12:494"
365	"4:13:191"
366	"4:13:903"
377	"4:21:389"
378	"4:22:39"
379	"4:22:696"
380	"4:23:354"
381	"4:24:16"
382	"4:24:673"
383	"4:25:342"
384	"4:26:23"
385	"4:26:716"
386	"4:27:428"
391	"4:30:977"
392	"4:31:673"
393	"4:32:358"
394	"4:33:54"
395	"4:33:759"
402	"4:38:708"
403	"4:39:401"
404	"4:40:97"
405	"4:40:813"
409	"4:43:658"
439	"5:5:685"
440	"5:6:377"
441	"5:7:66"
442	"5:7:759"
443	"5:8:447"
444	"5:9:140"
477	"5:33:518"
478	"5:34:202"
479	"5:34:856"
480	"5:35:514"
481	"5:36:167"
482	"5:36:848"
483	"5:37:537"
484	"5:38:245"
485	"5:38:953"
486	"5:39:650"
487	"5:40:339"
488	"5:41:27"
489	"5:41:728"
490	"5:42:432"
491	"5:43:136"
492	"5:43:833"
493	"5:44:514"
494	"5:45:202"
495	"5:45:899"
496	"5:46:603"
497	"5:47:304"
498	"5:48:4"
503	"5:51:580"
510	"5:56:607"
569	"6:40:428"
570	"6:41:117"
571	"6:41:809"
572	"6:42:502"
573	"6:43:202"
606	"7:7:949"
607	"7:8:661"
629	"7:25:47"
677	"7:58:914"
678	"7:59:603"
679	"8:0:307"
685	"8:4:572"
686	"8:5:257"
687	"8:5:957"
688	"8:6:654"
689	"8:7:339"
690	"8:8:16"
692	"8:9:374"
693	"8:10:58"
694	"8:10:735"
695	"8:11:412"
696	"8:12:105"
697	"8:12:805"
698	"8:13:518"
710	"8:22:27"
712	"8:23:354"
713	"8:24:43"
714	"8:24:747"
715	"8:25:451"
716	"8:26:132"
717	"8:26:805"
729	"8:35:455"
730	"8:36:109"
731	"8:36:739"
732	"8:37:401"
733	"8:38:82"
744	"8:46:86"
779	"9:12:370"
780	"9:13:82"
782	"9:14:506"
806	"9:32:272"
814	"9:37:794"
815	"9:38:482"
816	"9:39:175"
817	"9:39:868"
818	"9:40:572"
819	"9:41:284"
820	"9:41:992"
821	"9:42:700"
892	"10:34:370"
893	"10:35:47"
894	"10:35:712"
895	"10:36:409"
896	"10:37:113"
916	"10:51:778"
917	"10:52:486"
918	"10:53:198"
922	"10:56:31"
923	"10:56:743"
926	"10:58:840"
927	"10:59:510"
928	"11:0:163"
929	"11:0:821"
930	"11:1:467"
931	"11:2:105"
932	"11:2:743"
933	"11:3:370"
934	"11:4:12"
935	"11:4:665"
936	"11:5:307"
937	"11:5:981"
938	"11:6:646"
939	"11:7:296"
940	"11:7:934"
941	"11:8:572"
942	"11:9:202"
943	"11:9:837"
944	"11:10:475"
949	"11:13:669"
950	"11:14:339"
951	"11:15:19"
952	"11:15:693"
953	"11:16:374"
954	"11:17:51"
955	"11:17:743"
956	"11:18:440"
961	"11:21:872"
962	"11:22:553"
963	"11:23:222"
964	"11:23:891"
965	"11:24:572"
966	"11:25:257"
967	"11:25:949"
968	"11:26:638"
969	"11:27:331"
970	"11:28:19"
971	"11:28:689"
972	"11:29:342"
973	"11:30:0"
974	"11:30:658"
