index	i-4	i-3	i-2	i-1	i+0	i+1	i+2	i+3	i+4	Filter	Time
4	1513	919	871	829	837	564	568	891	798	0	5117
5	919	871	829	837	564	568	891	798	864	1	5681
6	871	829	837	564	568	891	798	864	1564	1	6249
7	829	837	564	568	891	798	864	1564	980	0	7140
8	837	564	568	891	798	864	1564	980	895	0	7938
9	564	568	891	798	864	1564	980	895	919	0	8802
10	568	891	798	864	1564	980	895	919	922	0	10366
11	891	798	864	1564	980	895	919	922	902	0	11346
12	798	864	1564	980	895	919	922	902	895	0	12241
13	864	1564	980	895	919	922	902	895	872	0	13160
14	1564	980	895	919	922	902	895	872	1510	0	14082
15	980	895	919	922	902	895	872	1510	922	0	14984
16	895	919	922	902	895	872	1510	922	860	0	15879
17	919	922	902	895	872	1510	922	860	832	0	16751
18	922	902	895	872	1510	922	860	832	810	0	18261
19	902	895	872	1510	922	860	832	810	1471	0	19183
20	895	872	1510	922	860	832	810	1471	887	0	20043
21	872	1510	922	860	832	810	1471	887	560	0	20875
22	1510	922	860	832	810	1471	887	560	915	0	21685
23	922	860	832	810	1471	887	560	915	871	0	23156
24	860	832	810	1471	887	560	915	871	790	0	24043
25	832	810	1471	887	560	915	871	790	794	0	24603
26	810	1471	887	560	915	871	790	794	797	0	25518
27	1471	887	560	915	871	790	794	797	584	0	26389
28	887	560	915	871	790	794	797	584	992	0	27179
29	560	915	871	790	794	797	584	992	821	0	27973
30	915	871	790	794	797	584	992	821	1522	0	28770
31	871	790	794	797	584	992	821	1522	856	1	29354
32	790	794	797	584	992	821	1522	856	560	0	30346
33	794	797	584	992	821	1522	856	560	930	0	31167
34	797	584	992	821	1522	856	560	930	626	0	32689
35	584	992	821	1522	856	560	930	626	888	0	33545
36	992	821	1522	856	560	930	626	888	891	0	34105
37	821	1522	856	560	930	626	888	891	856	0	35035
38	1522	856	560	930	626	888	891	856	809	1	35661
39	856	560	930	626	888	891	856	809	821	0	36549
40	560	930	626	888	891	856	809	821	809	0	37440
41	930	626	888	891	856	809	821	809	541	0	38296
42	626	888	891	856	809	821	809	541	584	0	39105
43	888	891	856	809	821	809	541	584	992	0	39926
44	891	856	809	821	809	541	584	992	950	0	40735
45	856	809	821	809	541	584	992	950	879	1	41276
46	809	821	809	541	584	992	950	879	840	1	41860
47	821	809	541	584	992	950	879	840	841	0	42852
48	809	541	584	992	950	879	840	841	829	0	43802
49	541	584	992	950	879	840	841	829	805	0	44681
50	584	992	950	879	840	841	829	805	841	0	45521
51	992	950	879	840	841	829	805	841	828	0	46362
52	950	879	840	841	829	805	841	828	829	0	47191
53	879	840	841	829	805	841	828	829	1525	0	47996
54	840	841	829	805	841	828	829	1525	880	0	48837
55	841	829	805	841	828	829	1525	880	560	0	49665
56	829	805	841	828	829	1525	880	560	911	0	50494
57	805	841	828	829	1525	880	560	911	848	0	52019
58	841	828	829	1525	880	560	911	848	611	0	52899
59	828	829	1525	880	560	911	848	611	949	1	53459
60	829	1525	880	560	911	848	611	949	786	0	54370
61	1525	880	560	911	848	611	949	786	798	0	55218
62	880	560	911	848	611	949	786	798	782	1	55829
63	560	911	848	611	949	786	798	782	798	0	56778
64	911	848	611	949	786	798	782	798	813	0	57564
65	848	611	949	786	798	782	798	813	829	0	58362
66	611	949	786	798	782	798	813	829	825	0	59144
67	949	786	798	782	798	813	829	825	836	0	59942
68	786	798	782	798	813	829	825	836	837	0	60755
69	798	782	798	813	829	825	836	837	836	0	61584
