index	i-4	i-3	i-2	i-1	i+0	i+1	i+2	i+3	i+4	Filter	Time
4	444	634	642	646	397	898	643	634	646	1	2763
5	634	642	646	397	898	643	634	646	626	0	3661
6	642	646	397	898	643	634	646	626	623	0	4304
7	646	397	898	643	634	646	626	623	614	0	4938
8	397	898	643	634	646	626	623	614	631	0	5584
9	898	643	634	646	626	623	614	631	626	0	6210
10	643	634	646	626	623	614	631	626	607	0	6833
11	634	646	626	623	614	631	626	607	638	0	7447
12	646	626	623	614	631	626	607	638	386	0	8078
13	626	623	614	631	626	607	638	386	891	0	8704
14	623	614	631	626	607	638	386	891	611	0	9311
15	614	631	626	607	638	386	891	611	626	0	9949
16	631	626	607	638	386	891	611	626	623	1	10335
17	626	607	638	386	891	611	626	623	614	0	11226
18	607	638	386	891	611	626	623	614	623	0	11837
19	638	386	891	611	626	623	614	623	615	0	12463
20	386	891	611	626	623	614	623	615	618	0	13086
21	891	611	626	623	614	623	615	618	619	0	13700
22	611	626	623	614	623	615	618	619	630	0	14323
23	626	623	614	623	615	618	619	630	642	0	14938
24	623	614	623	615	618	619	630	642	650	0	15556
25	614	623	615	618	619	630	642	650	654	0	16175
26	623	615	618	619	630	642	650	654	650	0	16805
27	615	618	619	630	642	650	654	650	661	0	17447
28	618	619	630	642	650	654	650	661	417	0	18097
29	619	630	642	650	654	650	661	417	930	0	18751
30	630	642	650	654	650	661	417	930	657	0	19401
31	642	650	654	650	661	417	930	657	654	0	20062
32	650	654	650	661	417	930	657	654	665	1	20479
33	654	650	661	417	930	657	654	665	638	0	21409
34	650	661	417	930	657	654	665	638	646	0	22066
35	661	417	930	657	654	665	638	646	642	0	22720
36	417	930	657	654	665	638	646	642	638	0	23385
37	930	657	654	665	638	646	642	638	646	0	24023
38	657	654	665	638	646	642	638	646	631	0	24669
39	654	665	638	646	642	638	646	631	630	0	25311
40	665	638	646	642	638	646	631	630	626	0	25949
41	638	646	642	638	646	631	630	626	631	0	26595
42	646	642	638	646	631	630	626	631	634	0	27226
43	642	638	646	631	630	626	631	634	630	0	27856
44	638	646	631	630	626	631	634	630	623	0	28482
45	646	631	630	626	631	634	630	623	611	0	29113
46	631	630	626	631	634	630	623	611	615	0	29747
47	630	626	631	634	630	623	611	615	626	0	30377
48	626	631	634	630	623	611	615	626	381	0	31000
49	631	634	630	623	611	615	626	381	880	0	31611
50	634	630	623	611	615	626	381	880	615	0	32226
51	630	623	611	615	626	381	880	615	607	0	32852
52	623	611	615	626	381	880	615	607	626	1	33233
53	611	615	626	381	880	615	607	626	588	0	34113
54	615	626	381	880	615	607	626	588	614	0	34728
55	626	381	880	615	607	626	588	614	600	0	35335
56	381	880	615	607	626	588	614	600	607	0	35961
57	880	615	607	626	588	614	600	607	603	0	36549
58	615	607	626	588	614	600	607	603	607	0	37163
59	607	626	588	614	600	607	603	607	607	0	37763
60	626	588	614	600	607	603	607	607	603	0	38370
61	588	614	600	607	603	607	607	603	607	0	38973
62	614	600	607	603	607	607	603	607	615	0	39580
63	600	607	603	607	607	603	607	615	381	0	40187
64	607	603	607	607	603	607	615	381	864	0	40790
65	603	607	607	603	607	615	381	864	611	0	41397
66	607	607	603	607	615	381	864	611	622	0	42012
67	607	603	607	615	381	864	611	622	607	1	42393
68	603	607	615	381	864	611	622	607	603	0	43257
69	607	615	381	864	611	622	607	603	596	0	43868
70	615	381	864	611	622	607	603	596	599	0	44490
71	381	864	611	622	607	603	596	599	603	0	45097
72	864	611	622	607	603	596	599	603	603	0	45700
73	611	622	607	603	596	599	603	603	607	0	46296
74	622	607	603	596	599	603	603	607	599	0	46895
75	607	603	596	599	603	603	607	599	607	0	47498
76	603	596	599	603	603	607	599	607	607	0	48101
77	596	599	603	603	607	599	607	607	611	0	48708
78	599	603	603	607	599	607	607	611	607	0	49307
79	603	603	607	599	607	607	611	607	603	0	49914
80	603	607	599	607	607	611	607	603	619	0	50521
81	607	599	607	607	611	607	603	619	595	0	51132
82	599	607	607	611	607	603	619	595	611	0	51739
83	607	607	611	607	603	619	595	611	611	0	52342
84	607	611	607	603	619	595	611	611	599	0	52961
85	611	607	603	619	595	611	611	599	604	0	53556
86	607	603	619	595	611	611	599	604	610	0	54167
87	603	619	595	611	611	599	604	610	611	0	54778
88	619	595	611	611	599	604	610	611	615	0	55377
89	595	611	611	599	604	610	611	615	611	0	55981
90	611	611	599	604	610	611	615	611	607	0	56591
91	611	599	604	610	611	615	611	607	607	0	57202
92	599	604	610	611	615	611	607	607	615	0	57817
93	604	610	611	615	611	607	607	615	618	0	58428
94	610	611	615	611	607	607	615	618	592	0	59035
95	611	615	611	607	607	615	618	592	615	0	59642
96	615	611	607	607	615	618	592	615	381	0	60257
97	611	607	607	615	618	592	615	381	848	0	60875
98	607	607	615	618	592	615	381	848	603	0	61467
99	607	615	618	592	615	381	848	603	619	0	62082
100	615	618	592	615	381	848	603	619	615	1	62463
101	618	592	615	381	848	603	619	615	607	0	63311
102	592	615	381	848	603	619	615	607	615	0	63914
103	615	381	848	603	619	615	607	615	626	0	64533
104	381	848	603	619	615	607	615	626	428	0	65148
105	848	603	619	615	607	615	626	428	833	0	65755
106	603	619	615	607	615	626	428	833	630	0	66370
107	619	615	607	615	626	428	833	630	627	0	66996
108	615	607	615	626	428	833	630	627	626	1	67424
109	607	615	626	428	833	630	627	626	405	0	68257
110	615	626	428	833	630	627	626	405	856	0	68887
111	626	428	833	630	627	626	405	856	622	0	69514
112	428	833	630	627	626	405	856	622	627	0	70140
113	833	630	627	626	405	856	622	627	618	1	70545
114	630	627	626	405	856	622	627	618	405	0	71401
115	627	626	405	856	622	627	618	405	860	0	72023
116	626	405	856	622	627	618	405	860	615	0	72650
117	405	856	622	627	618	405	860	615	626	0	73268
118	856	622	627	618	405	860	615	626	607	1	73673
119	622	627	618	405	860	615	626	607	615	0	74533
120	627	618	405	860	615	626	607	615	599	0	75148
121	618	405	860	615	626	607	615	599	611	0	75774
122	405	860	615	626	607	615	599	611	603	0	76381
123	860	615	626	607	615	599	611	603	603	0	76996
124	615	626	607	615	599	611	603	603	623	0	77595
125	626	607	615	599	611	603	603	623	603	0	78206
126	607	615	599	611	603	603	623	603	615	0	78809
127	615	599	611	603	603	623	603	615	619	0	79412
128	599	611	603	603	623	603	615	619	618	0	80035
129	611	603	603	623	603	615	619	618	627	0	80638
130	603	603	623	603	615	619	618	627	626	0	81253
131	603	623	603	615	619	618	627	626	627	0	81872
132	623	603	615	619	618	627	626	627	630	0	82490
133	603	615	619	618	627	626	627	630	634	0	83117
134	615	619	618	627	626	627	630	634	634	0	83743
135	619	618	627	626	627	630	634	634	405	0	84370
136	618	627	626	627	630	634	634	405	883	0	85000
137	627	626	627	630	634	634	405	883	658	0	85634
138	626	627	630	634	634	405	883	658	646	0	86268
139	627	630	634	634	405	883	658	646	650	1	86673
140	630	634	634	405	883	658	646	650	389	0	87556
141	634	634	405	883	658	646	650	389	922	0	88214
142	634	405	883	658	646	650	389	922	459	0	88860
143	405	883	658	646	650	389	922	459	837	0	89510
144	883	658	646	650	389	922	459	837	646	1	89899
145	658	646	650	389	922	459	837	646	642	0	90821
146	646	650	389	922	459	837	646	642	397	1	91280
147	650	389	922	459	837	646	642	397	894	0	92117
148	389	922	459	837	646	642	397	894	662	0	92763
149	922	459	837	646	642	397	894	662	658	0	93405
150	459	837	646	642	397	894	662	658	389	1	93802
151	837	646	642	397	894	662	658	389	953	0	94696
152	646	642	397	894	662	658	389	953	447	0	95358
153	642	397	894	662	658	389	953	447	903	0	96016
154	397	894	662	658	389	953	447	903	681	1	96405
155	894	662	658	389	953	447	903	681	669	0	97358
156	662	658	389	953	447	903	681	669	666	1	97805
157	658	389	953	447	903	681	669	666	673	0	98708
158	389	953	447	903	681	669	666	673	416	0	99389
159	953	447	903	681	669	666	673	416	930	0	100058
160	447	903	681	669	666	673	416	930	669	0	100724
161	903	681	669	666	673	416	930	669	650	0	101397
162	681	669	666	673	416	930	669	650	658	1	101813
163	669	666	673	416	930	669	650	658	385	0	102743
164	666	673	416	930	669	650	658	385	938	0	103412
165	673	416	930	669	650	658	385	938	661	0	104062
166	416	930	669	650	658	385	938	661	662	0	104720
167	930	669	650	658	385	938	661	662	673	1	105105
168	669	650	658	385	938	661	662	673	385	0	106043
169	650	658	385	938	661	662	673	385	973	0	106704
170	658	385	938	661	662	673	385	973	685	0	107366
171	385	938	661	662	673	385	973	685	673	0	108039
172	938	661	662	673	385	973	685	673	677	1	108424
173	661	662	673	385	973	685	673	677	385	0	109397
174	662	673	385	973	685	673	677	385	992	0	110082
175	673	385	973	685	673	677	385	992	456	0	110755
176	385	973	685	673	677	385	992	456	937	0	111432
177	973	685	673	677	385	992	456	937	693	1	111817
178	685	673	677	385	992	456	937	693	681	0	112809
179	673	677	385	992	456	937	693	681	389	1	113265
180	677	385	992	456	937	693	681	389	977	0	114202
181	385	992	456	937	693	681	389	977	684	0	114895
182	992	456	937	693	681	389	977	684	666	0	115576
