index	i-4	i-3	i-2	i-1	i+0	i+1	i+2	i+3	i+4	Filter	Time
4	241	327	697	700	696	697	700	689	693	0	2661
5	327	697	700	696	697	700	689	693	696	0	3358
6	697	700	696	697	700	689	693	696	697	0	4058
7	700	696	697	700	689	693	696	697	696	0	4747
8	696	697	700	689	693	696	697	696	708	0	5440
9	697	700	689	693	696	697	696	708	697	0	6136
10	700	689	693	696	697	696	708	697	700	0	6833
11	689	693	696	697	696	708	697	700	705	0	7529
12	693	696	697	696	708	697	700	705	700	0	8237
13	696	697	696	708	697	700	705	700	716	0	8934
14	697	696	708	697	700	705	700	716	708	0	9634
15	696	708	697	700	705	700	716	708	720	0	10339
16	708	697	700	705	700	716	708	720	735	0	11039
17	697	700	705	700	716	708	720	735	728	0	11755
18	700	705	700	716	708	720	735	728	735	0	12463
19	705	700	716	708	720	735	728	735	724	0	13183
20	700	716	708	720	735	728	735	724	732	0	13918
21	716	708	720	735	728	735	724	732	719	0	14646
22	708	720	735	728	735	724	732	719	716	0	15381
23	720	735	728	735	724	732	719	716	712	0	16105
24	735	728	735	724	732	719	716	712	712	0	16837
25	728	735	724	732	719	716	712	712	720	0	17556
26	735	724	732	719	716	712	712	720	720	0	18272
27	724	732	719	716	712	712	720	720	716	0	18984
28	732	719	716	712	712	720	720	716	708	0	19696
29	719	716	712	712	720	720	716	708	708	0	20416
30	716	712	712	720	720	716	708	708	701	0	21136
31	712	712	720	720	716	708	708	701	704	0	21852
32	712	720	720	716	708	708	701	704	689	0	22560
33	720	720	716	708	708	701	704	689	685	0	23268
34	720	716	708	708	701	704	689	685	688	0	23969
35	716	708	708	701	704	689	685	688	506	0	24673
36	708	708	701	704	689	685	688	506	876	0	25362
37	708	701	704	689	685	688	506	876	681	0	26047
38	701	704	689	685	688	506	876	681	681	0	26735
39	704	689	685	688	506	876	681	681	681	1	27241
40	689	685	688	506	876	681	681	681	677	0	28117
41	685	688	506	876	681	681	681	677	677	0	28798
42	688	506	876	681	681	681	677	677	681	0	29479
43	506	876	681	681	681	677	677	681	680	0	30160
44	876	681	681	681	677	677	681	680	681	0	30837
45	681	681	681	677	677	681	680	681	685	0	31514
46	681	681	677	677	681	680	681	685	693	0	32195
47	681	677	677	681	680	681	685	693	708	0	32875
48	677	677	681	680	681	685	693	708	498	0	33556
49	677	681	680	681	685	693	708	498	942	0	34241
50	681	680	681	685	693	708	498	942	708	0	34934
51	680	681	685	693	708	498	942	708	704	0	35642
52	681	685	693	708	498	942	708	704	701	1	36140
53	685	693	708	498	942	708	704	701	696	0	37082
54	693	708	498	942	708	704	701	696	697	0	37790
55	708	498	942	708	704	701	696	697	700	0	38494
56	498	942	708	704	701	696	697	700	708	0	39195
57	942	708	704	701	696	697	700	708	708	0	39891
58	708	704	701	696	697	700	708	708	697	0	40588
59	704	701	696	697	700	708	708	697	708	0	41288
60	701	696	697	700	708	708	697	708	704	0	41996
61	696	697	700	708	708	697	708	704	708	0	42704
62	697	700	708	708	697	708	704	708	709	0	43401
63	700	708	708	697	708	704	708	709	700	0	44109
64	708	708	697	708	704	708	709	700	700	0	44813
65	708	697	708	704	708	709	700	700	693	0	45521
66	697	708	704	708	709	700	700	693	704	0	46230
67	708	704	708	709	700	700	693	704	693	0	46930
68	704	708	709	700	700	693	704	693	696	0	47630
69	708	709	700	700	693	704	693	696	697	0	48323
70	709	700	700	693	704	693	696	697	696	0	49027
71	700	700	693	704	693	696	697	696	689	0	49720
72	700	693	704	693	696	697	696	689	498	0	50416
73	693	704	693	696	697	696	689	498	883	0	51113
74	704	693	696	697	696	689	498	883	689	0	51809
75	693	696	697	696	689	498	883	689	685	0	52498
76	696	697	696	689	498	883	689	685	689	1	52996
77	697	696	689	498	883	689	685	689	684	0	53879
78	696	689	498	883	689	685	689	684	685	0	54568
79	689	498	883	689	685	689	684	685	689	0	55253
80	498	883	689	685	689	684	685	689	685	0	55942
81	883	689	685	689	684	685	689	685	685	0	56626
82	689	685	689	684	685	689	685	685	688	0	57311
83	685	689	684	685	689	685	685	688	693	0	58000
84	689	684	685	689	685	685	688	693	704	0	58685
85	684	685	689	685	685	688	693	704	705	0	59370
