index	i-4	i-3	i-2	i-1	i+0	i+1	i+2	i+3	i+4	Filter	Time
4	257	513	790	514	661	390	770	580	572	0	2735
5	513	790	514	661	390	770	580	572	579	1	3125
6	790	514	661	390	770	580	572	579	421	0	3895
7	514	661	390	770	580	572	579	421	731	0	4475
8	661	390	770	580	572	579	421	731	572	0	5047
9	390	770	580	572	579	421	731	572	568	0	5626
10	770	580	572	579	421	731	572	568	568	1	6047
11	580	572	579	421	731	572	568	568	580	0	6778
12	572	579	421	731	572	568	568	580	580	0	7350
13	579	421	731	572	568	568	580	580	591	0	7918
14	421	731	572	568	568	580	580	591	603	0	8486
15	731	572	568	568	580	580	591	603	604	0	9066
16	572	568	568	580	580	591	603	604	599	0	9646
17	568	568	580	580	591	603	604	599	443	0	10237
18	568	580	580	591	603	604	599	443	747	0	10840
19	580	580	591	603	604	599	443	747	596	0	11444
20	580	591	603	604	599	443	747	596	599	0	12043
21	591	603	604	599	443	747	596	599	405	1	12486
22	603	604	599	443	747	596	599	405	801	0	13233
23	604	599	443	747	596	599	405	801	607	0	13829
24	599	443	747	596	599	405	801	607	607	0	14428
25	443	747	596	599	405	801	607	607	623	1	14833
26	747	596	599	405	801	607	607	623	618	0	15634
27	596	599	405	801	607	607	623	618	627	0	16241
28	599	405	801	607	607	623	618	627	630	0	16848
29	405	801	607	607	623	618	627	630	638	0	17471
30	801	607	607	623	618	627	630	638	530	0	18089
31	607	607	623	618	627	630	638	530	809	0	18716
32	607	623	618	627	630	638	530	809	642	0	19346
33	623	618	627	630	638	530	809	642	642	0	19984
34	618	627	630	638	530	809	642	642	634	1	20514
35	627	630	638	530	809	642	642	634	631	0	21323
36	630	638	530	809	642	642	634	631	634	0	21965
37	638	530	809	642	642	634	631	634	638	0	22607
38	530	809	642	642	634	631	634	638	623	0	23241
39	809	642	642	634	631	634	638	623	626	0	23872
40	642	642	634	631	634	638	623	626	619	0	24506
41	642	634	631	634	638	623	626	619	397	0	25144
42	634	631	634	638	623	626	619	397	867	0	25767
43	631	634	638	623	626	619	397	867	623	0	26393
44	634	638	623	626	619	397	867	623	494	0	27012
45	638	623	626	619	397	867	623	494	747	1	27409
46	623	626	619	397	867	623	494	747	510	0	28276
47	626	619	397	867	623	494	747	510	739	0	28899
48	619	397	867	623	494	747	510	739	619	1	29393
49	397	867	623	494	747	510	739	619	634	0	30140
50	867	623	494	747	510	739	619	634	634	1	30650
51	623	494	747	510	739	619	634	634	646	0	31389
52	494	747	510	739	619	634	634	646	642	0	32008
53	747	510	739	619	634	634	646	642	646	0	32642
54	510	739	619	634	634	646	642	646	646	0	33276
55	739	619	634	634	646	642	646	646	405	0	33922
56	619	634	634	646	642	646	646	405	918	0	34564
57	634	634	646	642	646	646	405	918	654	0	35210
58	634	646	642	646	646	405	918	654	657	0	35856
59	646	642	646	646	405	918	654	657	658	1	36261
60	642	646	646	405	918	654	657	658	654	0	37179
61	646	646	405	918	654	657	658	654	521	0	37833
62	646	405	918	654	657	658	654	521	432	0	38490
63	405	918	654	657	658	654	521	432	996	0	39148
64	918	654	657	658	654	521	432	996	482	0	39802
65	654	657	658	654	521	432	996	482	802	1	40323
66	657	658	654	521	432	996	482	802	630	1	40755
67	658	654	521	432	996	482	802	630	631	0	41751
68	654	521	432	996	482	802	630	631	400	1	42233
69	521	432	996	482	802	630	631	400	892	0	43035
70	432	996	482	802	630	631	400	892	525	0	43665
71	996	482	802	630	631	400	892	525	762	0	44296
72	482	802	630	631	400	892	525	762	506	1	44696
73	802	630	631	400	892	525	762	506	775	0	45588
74	630	631	400	892	525	762	506	775	634	1	46113
75	631	400	892	525	762	506	775	634	630	0	46875
76	400	892	525	762	506	775	634	630	634	1	47381
77	892	525	762	506	775	634	630	634	639	0	48156
78	525	762	506	775	634	630	634	639	638	0	48790
