index	i-4	i-3	i-2	i-1	i+0	i+1	i+2	i+3	i+4	Filter	Time
4	389	486	495	490	498	494	487	490	494	0	2358
5	486	495	490	498	494	487	490	494	506	0	2852
6	495	490	498	494	487	490	494	506	471	0	3339
7	490	498	494	487	490	494	506	471	482	0	3829
8	498	494	487	490	494	506	471	482	494	0	4323
9	494	487	490	494	506	471	482	494	491	0	4829
10	487	490	494	506	471	482	494	491	478	0	5300
11	490	494	506	471	482	494	491	478	479	0	5782
12	494	506	471	482	494	491	478	479	486	0	6276
13	506	471	482	494	491	478	479	486	494	0	6767
14	471	482	494	491	478	479	486	494	479	0	7245
15	482	494	491	478	479	486	494	479	471	0	7724
16	494	491	478	479	486	494	479	471	443	0	8210
17	491	478	479	486	494	479	471	443	459	0	8704
18	478	479	486	494	479	471	443	459	440	0	9183
19	479	486	494	479	471	443	459	440	514	0	9654
20	486	494	479	471	443	459	440	514	509	0	10097
21	494	479	471	443	459	440	514	509	495	0	10556
22	479	471	443	459	440	514	509	495	502	0	10996
23	471	443	459	440	514	509	495	502	498	0	11510
24	443	459	440	514	509	495	502	498	498	0	12019
25	459	440	514	509	495	502	498	498	506	0	12514
26	440	514	509	495	502	498	498	506	498	0	13016
27	514	509	495	502	498	498	506	498	498	0	13514
28	509	495	502	498	498	506	498	498	505	0	14012
29	495	502	498	498	506	498	498	505	491	0	14518
30	502	498	498	506	498	498	505	491	498	0	15016
31	498	498	506	498	498	505	491	498	498	0	15514
32	498	506	498	498	505	491	498	498	490	0	16019
33	506	498	498	505	491	498	498	490	490	0	16510
34	498	498	505	491	498	498	490	490	498	0	17008
35	498	505	491	498	498	490	490	498	495	0	17506
36	505	491	498	498	490	490	498	495	490	0	17996
37	491	498	498	490	490	498	495	490	498	0	18486
38	498	498	490	490	498	495	490	498	498	0	18984
39	498	490	490	498	495	490	498	498	486	0	19479
40	490	490	498	495	490	498	498	486	498	0	19969
41	490	498	495	490	498	498	486	498	495	0	20467
42	498	495	490	498	498	486	498	495	494	0	20965
43	495	490	498	498	486	498	495	494	494	0	21451
44	490	498	498	486	498	495	494	494	494	0	21949
45	498	498	486	498	495	494	494	494	490	0	22444
46	498	486	498	495	494	494	494	490	498	0	22938
47	486	498	495	494	494	494	490	498	495	0	23432
48	498	495	494	494	494	490	498	495	494	0	23926
49	495	494	494	494	490	498	495	494	494	0	24416
50	494	494	494	490	498	495	494	494	502	0	24914
51	494	494	490	498	495	494	494	502	490	0	25409
52	494	490	498	495	494	494	502	490	494	0	25903
53	490	498	495	494	494	502	490	494	506	0	26397
54	498	495	494	494	502	490	494	506	506	0	26899
55	495	494	494	502	490	494	506	506	494	0	27389
56	494	494	502	490	494	506	506	494	498	0	27883
57	494	502	490	494	506	506	494	498	510	0	28389
58	502	490	494	506	506	494	498	510	506	0	28895
59	490	494	506	506	494	498	510	506	498	0	29389
60	494	506	506	494	498	510	506	498	502	0	29887
61	506	506	494	498	510	506	498	502	494	0	30397
62	506	494	498	510	506	498	502	494	506	0	30903
63	494	498	510	506	498	502	494	506	498	0	31401
64	498	510	506	498	502	494	506	498	498	0	31903
65	510	506	498	502	494	506	498	498	498	0	32397
66	506	498	502	494	506	498	498	498	498	0	32903
67	498	502	494	506	498	498	498	498	502	0	33401
68	502	494	506	498	498	498	498	502	498	0	33899
69	494	506	498	498	498	498	502	498	498	0	34397
70	506	498	498	498	498	502	498	498	494	0	34895
71	498	498	498	498	502	498	498	494	494	0	35397
72	498	498	498	502	498	498	494	494	502	0	35895
73	498	498	502	498	498	494	494	502	494	0	36393
74	498	502	498	498	494	494	502	494	491	0	36887
75	502	498	498	494	494	502	494	491	494	0	37381
76	498	498	494	494	502	494	491	494	498	0	37883
77	498	494	494	502	494	491	494	498	494	0	38377
78	494	494	502	494	491	494	498	494	494	0	38868
79	494	502	494	491	494	498	494	494	494	0	39362
80	502	494	491	494	498	494	494	494	491	0	39860
81	494	491	494	498	494	494	494	491	498	0	40354
82	491	494	498	494	494	494	491	498	498	0	40848
83	494	498	494	494	494	491	498	498	494	0	41342
84	498	494	494	494	491	498	498	494	498	0	41833
85	494	494	494	491	498	498	494	498	490	0	42331
86	494	494	491	498	498	494	498	490	502	0	42829
87	494	491	498	498	494	498	490	502	502	0	43323
88	491	498	498	494	498	490	502	502	502	0	43821
89	498	498	494	498	490	502	502	502	405	0	44311
90	498	494	498	490	502	502	502	405	587	0	44813
91	494	498	490	502	502	502	405	587	502	0	45315
92	498	490	502	502	502	405	587	502	502	0	45817
93	490	502	502	502	405	587	502	502	498	1	46222
94	502	502	502	405	587	502	502	498	498	0	46809
95	502	502	405	587	502	502	498	498	502	0	47311
96	502	405	587	502	502	498	498	502	491	0	47813
97	405	587	502	502	498	498	502	491	498	0	48311
98	587	502	502	498	498	502	491	498	505	0	48809
99	502	502	498	498	502	491	498	505	495	0	49311
100	502	498	498	502	491	498	505	495	505	0	49802
101	498	498	502	491	498	505	495	505	483	0	50300
102	498	502	491	498	505	495	505	483	494	0	50805
103	502	491	498	505	495	505	483	494	506	0	51300
104	491	498	505	495	505	483	494	506	506	0	51805
105	498	505	495	505	483	494	506	506	506	0	52288
106	505	495	505	483	494	506	506	506	513	0	52782
107	495	505	483	494	506	506	506	513	510	0	53288
108	505	483	494	506	506	506	513	510	514	0	53794
109	483	494	506	506	506	513	510	514	509	0	54300
110	494	506	506	506	513	510	514	509	506	0	54813
111	506	506	506	513	510	514	509	506	506	0	55323
112	506	506	513	510	514	509	506	506	506	0	55837
113	506	513	510	514	509	506	506	506	502	0	56346
114	513	510	514	509	506	506	506	502	502	0	56852
115	510	514	509	506	506	506	502	502	502	0	57358
116	514	509	506	506	506	502	502	502	502	0	57864
117	509	506	506	506	502	502	502	502	502	0	58366
118	506	506	506	502	502	502	502	502	505	0	58868
119	506	506	502	502	502	502	502	505	514	0	59370
120	506	502	502	502	502	502	505	514	506	0	59872
121	502	502	502	502	502	505	514	506	498	0	60374
122	502	502	502	502	505	514	506	498	510	0	60879
123	502	502	502	505	514	506	498	510	513	0	61393
124	502	502	505	514	506	498	510	513	498	0	61899
125	502	505	514	506	498	510	513	498	487	0	62397
126	505	514	506	498	510	513	498	487	502	0	62907
127	514	506	498	510	513	498	487	502	513	0	63420
128	506	498	510	513	498	487	502	513	514	0	63918
129	498	510	513	498	487	502	513	514	494	0	64405
130	510	513	498	487	502	513	514	494	514	0	64907
131	513	498	487	502	513	514	494	514	502	0	65420
132	498	487	502	513	514	494	514	502	490	0	65934
133	487	502	513	514	494	514	502	490	498	0	66428
134	502	513	514	494	514	502	490	498	506	0	66942
135	513	514	494	514	502	490	498	506	478	0	67444
136	514	494	514	502	490	498	506	478	495	0	67934
137	494	514	502	490	498	506	478	495	498	0	68432
138	514	502	490	498	506	478	495	498	478	0	68938
139	502	490	498	506	478	495	498	478	483	0	69416
140	490	498	506	478	495	498	478	483	490	0	69911
141	498	506	478	495	498	478	483	490	494	0	70409
142	506	478	495	498	478	483	490	494	486	0	70887
143	478	495	498	478	483	490	494	486	487	0	71370
144	495	498	478	483	490	494	486	487	486	0	71860
145	498	478	483	490	494	486	487	486	494	0	72354
146	478	483	490	494	486	487	486	494	487	0	72840
147	483	490	494	486	487	486	494	487	486	0	73327
148	490	494	486	487	486	494	487	486	494	0	73813
149	494	486	487	486	494	487	486	494	491	0	74307
150	486	487	486	494	487	486	494	491	486	0	74794
151	487	486	494	487	486	494	491	486	498	0	75280
152	486	494	487	486	494	491	486	498	498	0	75774
153	494	487	486	494	491	486	498	498	490	0	76265
154	487	486	494	491	486	498	498	490	495	0	76751
155	486	494	491	486	498	498	490	495	498	0	77249
156	494	491	486	498	498	490	495	498	498	0	77747
157	491	486	498	498	490	495	498	498	490	0	78237
158	486	498	498	490	495	498	498	490	490	0	78732
159	498	498	490	495	498	498	490	490	498	0	79230
160	498	490	495	498	498	490	490	498	502	0	79728
161	490	495	498	498	490	490	498	502	490	0	80218
162	495	498	498	490	490	498	502	490	495	0	80708
163	498	498	490	490	498	502	490	495	502	0	81206
164	498	490	490	498	502	490	495	502	494	0	81708
165	490	490	498	502	490	495	502	494	490	0	82198
166	490	498	502	490	495	502	494	490	506	0	82693
167	498	502	490	495	502	494	490	506	502	0	83195
168	502	490	495	502	494	490	506	502	494	0	83689
169	490	495	502	494	490	506	502	494	498	0	84179
170	495	502	494	490	506	502	494	498	506	0	84685
171	502	494	490	506	502	494	498	506	506	0	85187
172	494	490	506	502	494	498	506	506	490	0	85681
173	490	506	502	494	498	506	506	490	479	0	86179
174	506	502	494	498	506	506	490	479	490	0	86685
175	502	494	498	506	506	490	479	490	494	0	87191
176	494	498	506	506	490	479	490	494	502	0	87681
177	498	506	506	490	479	490	494	502	510	0	88160
178	506	506	490	479	490	494	502	510	498	0	88650
179	506	490	479	490	494	502	510	498	502	0	89144
180	490	479	490	494	502	510	498	502	505	0	89646
181	479	490	494	502	510	498	502	505	499	0	90156
182	490	494	502	510	498	502	505	499	501	0	90654
183	494	502	510	498	502	505	499	501	502	0	91156
184	502	510	498	502	505	499	501	502	498	0	91661
185	510	498	502	505	499	501	502	498	495	0	92160
186	498	502	505	499	501	502	498	495	498	0	92661
187	502	505	499	501	502	498	495	498	498	0	93163
188	505	499	501	502	498	495	498	498	490	0	93661
189	499	501	502	498	495	498	498	490	490	0	94156
190	501	502	498	495	498	498	490	490	498	0	94654
191	502	498	495	498	498	490	490	498	491	0	95152
192	498	495	498	498	490	490	498	491	490	0	95642
193	495	498	498	490	490	498	491	490	490	0	96132
194	498	498	490	490	498	491	490	490	498	0	96630
195	498	490	490	498	491	490	490	498	487	0	97121
196	490	490	498	491	490	490	498	487	486	0	97611
197	490	498	491	490	490	498	487	486	494	0	98101
198	498	491	490	490	498	487	486	494	487	0	98599
199	491	490	490	498	487	486	494	487	486	0	99086
200	490	490	498	487	486	494	487	486	490	0	99572
201	490	498	487	486	494	487	486	490	490	0	100066
202	498	487	486	494	487	486	490	490	491	0	100553
203	487	486	494	487	486	490	490	491	482	0	101039
204	486	494	487	486	490	490	491	482	498	0	101529
205	494	487	486	490	490	491	482	498	498	0	102019
206	487	486	490	490	491	482	498	498	498	0	102510
207	486	490	490	491	482	498	498	498	460	0	102992
208	490	490	491	482	498	498	498	460	459	0	103490
209	490	491	482	498	498	498	460	459	470	0	103988
210	491	482	498	498	498	460	459	470	491	0	104486
211	482	498	498	498	460	459	470	491	494	0	104946
212	498	498	498	460	459	470	491	494	506	0	105405
213	498	498	460	459	470	491	494	506	502	0	105875
214	498	460	459	470	491	494	506	502	506	0	106366
215	460	459	470	491	494	506	502	506	509	0	106860
216	459	470	491	494	506	502	506	509	506	0	107366
217	470	491	494	506	502	506	509	506	502	0	107868
218	491	494	506	502	506	509	506	502	502	0	108374
219	494	506	502	506	509	506	502	502	506	0	108883
220	506	502	506	509	506	502	502	506	502	0	109389
221	502	506	509	506	502	502	506	502	502	0	109891
222	506	509	506	502	502	506	502	502	506	0	110393
223	509	506	502	502	506	502	502	506	502	0	110899
224	506	502	502	506	502	502	506	502	498	0	111401
225	502	502	506	502	502	506	502	498	505	0	111903
226	502	506	502	502	506	502	498	505	495	0	112409
227	506	502	502	506	502	498	505	495	502	0	112911
228	502	502	506	502	498	505	495	502	501	0	113409
229	502	506	502	498	505	495	502	501	495	0	113914
230	506	502	498	505	495	502	501	495	498	0	114409
231	502	498	505	495	502	501	495	498	502	0	114911
232	498	505	495	502	501	495	498	502	498	0	115412
233	505	495	502	501	495	498	502	498	494	0	115907
234	495	502	501	495	498	502	498	494	502	0	116405
235	502	501	495	498	502	498	494	502	490	0	116907
236	501	495	498	502	498	494	502	490	502	0	117405
237	495	498	502	498	494	502	490	502	494	0	117899
238	498	502	498	494	502	490	502	494	490	0	118401
239	502	498	494	502	490	502	494	490	491	0	118891
240	498	494	502	490	502	494	490	491	502	0	119393
241	494	502	490	502	494	490	491	502	502	0	119887
242	502	490	502	494	490	491	502	502	494	0	120377
243	490	502	494	490	491	502	502	494	498	0	120868
244	502	494	490	491	502	502	494	498	510	0	121370
245	494	490	491	502	502	494	498	510	501	0	121872
246	490	491	502	502	494	498	510	501	502	0	122366
247	491	502	502	494	498	510	501	502	510	0	122864
248	502	502	494	498	510	501	502	510	502	0	123374
249	502	494	498	510	501	502	510	502	502	0	123875
250	494	498	510	501	502	510	502	502	514	0	124377
251	498	510	501	502	510	502	502	514	506	0	124887
252	510	501	502	510	502	502	514	506	498	0	125389
253	501	502	510	502	502	514	506	498	509	0	125891
254	502	510	502	502	514	506	498	509	502	0	126405
255	510	502	502	514	506	498	509	502	498	0	126911
256	502	502	514	506	498	509	502	498	506	0	127409
257	502	514	506	498	509	502	498	506	490	0	127918
258	514	506	498	509	502	498	506	490	495	0	128420
259	506	498	509	502	498	506	490	495	502	0	128918
260	498	509	502	498	506	490	495	502	498	0	129424
261	509	502	498	506	490	495	502	498	490	0	129914
262	502	498	506	490	495	502	498	490	502	0	130409
263	498	506	490	495	502	498	490	502	490	0	130911
264	506	490	495	502	498	490	502	490	494	0	131409
265	490	495	502	498	490	502	490	494	498	0	131899
266	495	502	498	490	502	490	494	498	491	0	132401
267	502	498	490	502	490	494	498	491	498	0	132891
268	498	490	502	490	494	498	491	498	494	0	133385
269	490	502	490	494	498	491	498	494	490	0	133883
270	502	490	494	498	491	498	494	490	498	0	134374
271	490	494	498	491	498	494	490	498	490	0	134872
272	494	498	491	498	494	490	498	490	491	0	135366
273	498	491	498	494	490	498	490	491	498	0	135856
274	491	498	494	490	498	490	491	498	494	0	136354
275	498	494	490	498	490	491	498	494	490	0	136844
276	494	490	498	490	491	498	494	490	494	0	137335
277	490	498	490	491	498	494	490	494	498	0	137833
278	498	490	491	498	494	490	494	498	495	0	138327
279	490	491	498	494	490	494	498	495	498	0	138817
280	491	498	494	490	494	498	495	498	498	0	139311
281	498	494	490	494	498	495	498	498	498	0	139809
282	494	490	494	498	495	498	498	498	502	0	140304
283	490	494	498	495	498	498	498	502	498	0	140802
284	494	498	495	498	498	498	502	498	490	0	141300
285	498	495	498	498	498	502	498	490	502	0	141798
286	495	498	498	498	502	498	490	502	498	0	142300
287	498	498	498	502	498	490	502	498	494	0	142798
288	498	498	502	498	490	502	498	494	502	0	143288
289	498	502	498	490	502	498	494	502	494	0	143790
290	502	498	490	502	498	494	502	494	494	0	144288
291	498	490	502	498	494	502	494	494	491	0	144782
292	490	502	498	494	502	494	494	491	498	0	145284
293	502	498	494	502	494	494	491	498	490	0	145778
294	498	494	502	494	494	491	498	490	486	0	146272
295	494	502	494	494	491	498	490	486	483	0	146763
296	502	494	494	491	498	490	486	483	486	0	147261
297	494	494	491	498	490	486	483	486	487	0	147751
298	494	491	498	490	486	483	486	487	490	0	148237
299	491	498	490	486	483	486	487	490	486	0	148720
300	498	490	486	483	486	487	490	486	483	0	149206
301	490	486	483	486	487	490	486	483	486	0	149693
302	486	483	486	487	490	486	483	486	487	0	150183
303	483	486	487	490	486	483	486	487	482	0	150669
304	486	487	490	486	483	486	487	482	486	0	151152
305	487	490	486	483	486	487	482	486	487	0	151638
306	490	486	483	486	487	482	486	487	494	0	152125
307	486	483	486	487	482	486	487	494	482	0	152607
308	483	486	487	482	486	487	494	482	483	0	153093
309	486	487	482	486	487	494	482	483	486	0	153580
310	487	482	486	487	494	482	483	486	494	0	154074
311	482	486	487	494	482	483	486	494	479	0	154556
312	486	487	494	482	483	486	494	479	471	0	155039
313	487	494	482	483	486	494	479	471	482	0	155525
314	494	482	483	486	494	479	471	482	491	0	156019
315	482	483	486	494	479	471	482	491	478	0	156498
316	483	486	494	479	471	482	491	478	487	0	156969
317	486	494	479	471	482	491	478	487	490	0	157451
318	494	479	471	482	491	478	487	490	498	0	157942
319	479	471	482	491	478	487	490	498	475	0	158420
320	471	482	491	478	487	490	498	475	486	0	158907
321	482	491	478	487	490	498	475	486	494	0	159397
322	491	478	487	490	498	475	486	494	487	0	159895
323	478	487	490	498	475	486	494	487	478	0	160370
324	487	490	498	475	486	494	487	478	490	0	160856
325	490	498	475	486	494	487	478	490	495	0	161350
326	498	475	486	494	487	478	490	495	482	0	161837
327	475	486	494	487	478	490	495	482	483	0	162315
328	486	494	487	478	490	495	482	483	482	0	162805
329	494	487	478	490	495	482	483	482	486	0	163300
330	487	478	490	495	482	483	482	486	499	0	163782
331	478	490	495	482	483	482	486	499	486	0	164265
