index	i-4	i-3	i-2	i-1	i+0	i+1	i+2	i+3	i+4	Filter	Time
4	195	836	467	1202	833	825	817	825	486	0	3533
5	836	467	1202	833	825	817	825	486	1187	0	4358
6	467	1202	833	825	817	825	486	1187	829	0	5175
7	1202	833	825	817	825	486	1187	829	809	0	6000
8	833	825	817	825	486	1187	829	809	817	1	6486
9	825	817	825	486	1187	829	809	817	825	0	7673
10	817	825	486	1187	829	809	817	825	829	0	8502
11	825	486	1187	829	809	817	825	829	428	0	9311
12	486	1187	829	809	817	825	829	428	525	0	10128
13	1187	829	809	817	825	829	428	525	724	0	10953
14	829	809	817	825	829	428	525	724	794	0	11782
15	809	817	825	829	428	525	724	794	817	1	12210
16	817	825	829	428	525	724	794	817	829	0	12735
17	825	829	428	525	724	794	817	829	829	0	13459
18	829	428	525	724	794	817	829	829	470	0	14253
19	428	525	724	794	817	829	829	470	1199	0	15070
20	525	724	794	817	829	829	470	1199	809	0	15899
21	724	794	817	829	829	470	1199	809	436	0	16728
22	794	817	829	829	470	1199	809	436	1175	1	17198
23	817	829	829	470	1199	809	436	1175	813	0	18397
24	829	829	470	1199	809	436	1175	813	794	0	19206
25	829	470	1199	809	436	1175	813	794	790	1	19642
26	470	1199	809	436	1175	813	794	790	794	0	20817
27	1199	809	436	1175	813	794	790	794	794	0	21630
28	809	436	1175	813	794	790	794	794	424	0	22424
29	436	1175	813	794	790	794	794	424	537	0	23214
30	1175	813	794	790	794	794	424	537	653	0	24008
31	813	794	790	794	794	424	537	653	790	0	24802
32	794	790	794	794	424	537	653	790	424	1	25226
33	790	794	794	424	537	653	790	424	526	0	25763
34	794	794	424	537	653	790	424	526	688	0	26416
35	794	424	537	653	790	424	526	688	786	0	27206
36	424	537	653	790	424	526	688	786	436	1	27630
37	537	653	790	424	526	688	786	436	1202	0	28156
38	653	790	424	526	688	786	436	1202	814	0	28844
39	790	424	526	688	786	436	1202	814	416	0	29630
40	424	526	688	786	436	1202	814	416	533	1	30066
41	526	688	786	436	1202	814	416	533	732	0	31268
42	688	786	436	1202	814	416	533	732	817	0	32082
43	786	436	1202	814	416	533	732	817	447	1	32498
44	436	1202	814	416	533	732	817	447	1241	0	33031
45	1202	814	416	533	732	817	447	1241	833	0	33763
46	814	416	533	732	817	447	1241	833	817	0	34580
47	416	533	732	817	447	1241	833	817	798	1	35027
48	533	732	817	447	1241	833	817	798	794	0	36268
49	732	817	447	1241	833	817	798	794	813	0	37101
50	817	447	1241	833	817	798	794	813	440	0	37918
51	447	1241	833	817	798	794	813	440	1233	0	38716
52	1241	833	817	798	794	813	440	1233	829	0	39510
53	833	817	798	794	813	440	1233	829	833	0	40323
54	817	798	794	813	440	1233	829	833	821	1	40763
55	798	794	813	440	1233	829	833	821	821	0	41996
56	794	813	440	1233	829	833	821	821	474	0	42825
57	813	440	1233	829	833	821	821	474	1210	0	43658
58	440	1233	829	833	821	821	474	1210	814	0	44479
59	1233	829	833	821	821	474	1210	814	424	0	45300
60	829	833	821	821	474	1210	814	424	521	1	45774
61	833	821	821	474	1210	814	424	521	701	0	46984
62	821	821	474	1210	814	424	521	701	801	0	47798
63	821	474	1210	814	424	521	701	801	420	1	48222
64	474	1210	814	424	521	701	801	420	526	0	48743
65	1210	814	424	521	701	801	420	526	739	0	49444
66	814	424	521	701	801	420	526	739	825	0	50245
67	424	521	701	801	420	526	739	825	420	1	50665
68	521	701	801	420	526	739	825	420	537	0	51191
69	701	801	420	526	739	825	420	537	728	0	51930
70	801	420	526	739	825	420	537	728	809	0	52755
71	420	526	739	825	420	537	728	809	833	1	53175
72	526	739	825	420	537	728	809	833	817	0	53712
73	739	825	420	537	728	809	833	817	809	0	54440
74	825	420	537	728	809	833	817	809	786	0	55249
75	420	537	728	809	833	817	809	786	436	0	56082
76	537	728	809	833	817	809	786	436	1152	0	56899
77	728	809	833	817	809	786	436	1152	797	0	57708
78	809	833	817	809	786	436	1152	797	425	0	58494
79	833	817	809	786	436	1152	797	425	501	1	58930
80	817	809	786	436	1152	797	425	501	677	0	60082
81	809	786	436	1152	797	425	501	677	790	0	60879
82	786	436	1152	797	425	501	677	790	463	1	61304
83	436	1152	797	425	501	677	790	463	1140	0	61805
84	1152	797	425	501	677	790	463	1140	806	0	62482
85	797	425	501	677	790	463	1140	806	416	0	63272
86	425	501	677	790	463	1140	806	416	518	1	63735
87	501	677	790	463	1140	806	416	518	708	0	64875
88	677	790	463	1140	806	416	518	708	798	0	65681
89	790	463	1140	806	416	518	708	798	416	1	66097
90	463	1140	806	416	518	708	798	416	525	0	66615
91	1140	806	416	518	708	798	416	525	720	0	67323
92	806	416	518	708	798	416	525	720	813	0	68121
93	416	518	708	798	416	525	720	813	833	1	68537
94	518	708	798	416	525	720	813	833	837	0	69062
95	708	798	416	525	720	813	833	837	451	0	69782
96	798	416	525	720	813	833	837	451	1198	0	70595
97	416	525	720	813	833	837	451	1198	779	0	71428
98	525	720	813	833	837	451	1198	779	424	0	72265
99	720	813	833	837	451	1198	779	424	1151	1	72716
100	813	833	837	451	1198	779	424	1151	759	0	73914
101	833	837	451	1198	779	424	1151	759	420	0	74693
102	837	451	1198	779	424	1151	759	420	1102	1	75117
103	451	1198	779	424	1151	759	420	1102	758	0	76268
104	1198	779	424	1151	759	420	1102	758	755	0	77027
105	779	424	1151	759	420	1102	758	755	755	1	77447
106	424	1151	759	420	1102	758	755	755	767	0	78549
107	1151	759	420	1102	758	755	755	767	790	0	79307
108	759	420	1102	758	755	755	767	790	447	0	80062
109	420	1102	758	755	755	767	790	447	1210	0	80817
110	1102	758	755	755	767	790	447	1210	821	0	81584
111	758	755	755	767	790	447	1210	821	817	0	82374
112	755	755	767	790	447	1210	821	817	837	1	82821
113	755	767	790	447	1210	821	817	837	833	0	84031
114	767	790	447	1210	821	817	837	833	416	0	84852
115	790	447	1210	821	817	837	833	416	517	0	85669
116	447	1210	821	817	837	833	416	517	728	0	86506
117	1210	821	817	837	833	416	517	728	817	0	87339
118	821	817	837	833	416	517	728	817	817	1	87755
119	817	837	833	416	517	728	817	817	786	0	88272
120	837	833	416	517	728	817	817	786	794	0	89000
121	833	416	517	728	817	817	786	794	479	0	89817
122	416	517	728	817	817	786	794	479	1116	0	90634
123	517	728	817	817	786	794	479	1116	790	0	91420
124	728	817	817	786	794	479	1116	790	417	0	92214
125	817	817	786	794	479	1116	790	417	1132	1	92693
126	817	786	794	479	1116	790	417	1132	774	0	93809
127	786	794	479	1116	790	417	1132	774	424	0	94599
128	794	479	1116	790	417	1132	774	424	1086	1	95016
129	479	1116	790	417	1132	774	424	1086	735	0	96148
130	1116	790	417	1132	774	424	1086	735	779	0	96922
131	790	417	1132	774	424	1086	735	779	766	1	97346
132	417	1132	774	424	1086	735	779	766	767	0	98432
133	1132	774	424	1086	735	779	766	767	789	0	99167
134	774	424	1086	735	779	766	767	789	802	0	99946
135	424	1086	735	779	766	767	789	802	802	0	100712
136	1086	735	779	766	767	789	802	802	813	0	101479
137	735	779	766	767	789	802	802	813	817	0	102268
138	779	766	767	789	802	802	813	817	809	0	103070
139	766	767	789	802	802	813	817	809	821	0	103872
140	767	789	802	802	813	817	809	821	814	0	104685
141	789	802	802	813	817	809	821	814	809	0	105502
142	802	802	813	817	809	821	814	809	801	0	106311
143	802	813	817	809	821	814	809	801	802	0	107132
144	813	817	809	821	814	809	801	802	802	0	107946
145	817	809	821	814	809	801	802	802	782	0	108755
146	809	821	814	809	801	802	802	782	786	0	109556
147	821	814	809	801	802	802	782	786	470	0	110358
148	814	809	801	802	802	782	786	470	1082	0	111160
149	809	801	802	802	782	786	470	1082	759	0	111942
150	801	802	802	782	786	470	1082	759	440	0	112728
151	802	802	782	786	470	1082	759	440	1081	1	113198
152	802	782	786	470	1082	759	440	1081	747	0	114280
153	782	786	470	1082	759	440	1081	747	740	0	115039
154	786	470	1082	759	440	1081	747	740	735	1	115479
155	470	1082	759	440	1081	747	740	735	724	0	116560
156	1082	759	440	1081	747	740	735	724	751	0	117307
157	759	440	1081	747	740	735	724	751	475	0	118047
158	440	1081	747	740	735	724	751	475	1108	0	118782
159	1081	747	740	735	724	751	475	1108	763	0	119506
160	747	740	735	724	751	475	1108	763	798	0	120257
161	740	735	724	751	475	1108	763	798	786	1	120732
162	735	724	751	475	1108	763	798	786	797	0	121840
163	724	751	475	1108	763	798	786	797	779	0	122603
164	751	475	1108	763	798	786	797	779	766	0	123401
165	475	1108	763	798	786	797	779	766	778	0	124187
166	1108	763	798	786	797	779	766	778	471	0	124984
167	763	798	786	797	779	766	778	471	1117	0	125763
168	798	786	797	779	766	778	471	1117	790	0	126529
169	786	797	779	766	778	471	1117	790	797	0	127307
170	797	779	766	778	471	1117	790	797	790	1	127778
171	779	766	778	471	1117	790	797	790	790	0	128895
172	766	778	471	1117	790	797	790	790	786	0	129685
173	778	471	1117	790	797	790	790	786	767	0	130482
174	471	1117	790	797	790	790	786	767	755	0	131272
175	1117	790	797	790	790	786	767	755	494	0	132062
176	790	797	790	790	786	767	755	494	1019	0	132848
177	797	790	790	786	767	755	494	1019	736	0	133615
178	790	790	786	767	755	494	1019	736	443	0	134370
179	790	786	767	755	494	1019	736	443	1105	1	134864
180	786	767	755	494	1019	736	443	1105	767	0	135883
181	767	755	494	1019	736	443	1105	767	751	0	136619
182	755	494	1019	736	443	1105	767	751	755	1	137062
183	494	1019	736	443	1105	767	751	755	758	0	138167
184	1019	736	443	1105	767	751	755	758	421	0	138934
185	736	443	1105	767	751	755	758	421	1124	0	139685
186	443	1105	767	751	755	758	421	1124	771	0	140440
187	1105	767	751	755	758	421	1124	771	782	0	141198
188	767	751	755	758	421	1124	771	782	793	1	141619
189	751	755	758	421	1124	771	782	793	806	0	142743
190	755	758	421	1124	771	782	793	806	801	0	143514
191	758	421	1124	771	782	793	806	801	802	0	144296
192	421	1124	771	782	793	806	801	802	817	0	145089
193	1124	771	782	793	806	801	802	817	821	0	145895
194	771	782	793	806	801	802	817	821	813	0	146696
195	782	793	806	801	802	817	821	813	810	0	147498
196	793	806	801	802	817	821	813	810	502	0	148315
197	806	801	802	817	821	813	810	502	1109	0	149136
198	801	802	817	821	813	810	502	1109	793	0	149949
199	802	817	821	813	810	502	1109	793	779	0	150759
200	817	821	813	810	502	1109	793	779	762	1	151261
201	821	813	810	502	1109	793	779	762	775	0	152370
202	813	810	502	1109	793	779	762	775	774	0	153163
203	810	502	1109	793	779	762	775	774	774	0	153942
204	502	1109	793	779	762	775	774	774	778	0	154704
205	1109	793	779	762	775	774	774	778	786	0	155479
206	793	779	762	775	774	774	778	786	794	0	156253
207	779	762	775	774	774	778	786	794	798	0	157027
208	762	775	774	774	778	786	794	798	782	0	157805
209	775	774	774	778	786	794	798	782	790	0	158591
210	774	774	778	786	794	798	782	790	794	0	159385
211	774	778	786	794	798	782	790	794	790	0	160183
212	778	786	794	798	782	790	794	790	455	0	160965
213	786	794	798	782	790	794	790	455	1124	0	161755
214	794	798	782	790	794	790	455	1124	778	0	162549
215	798	782	790	794	790	455	1124	778	429	0	163339
216	782	790	794	790	455	1124	778	429	1105	1	163794
217	790	794	790	455	1124	778	429	1105	747	0	164918
218	794	790	455	1124	778	429	1105	747	751	0	165696
219	790	455	1124	778	429	1105	747	751	739	1	166125
220	455	1124	778	429	1105	747	751	739	770	0	167230
221	1124	778	429	1105	747	751	739	770	763	0	167977
222	778	429	1105	747	751	739	770	763	790	0	168728
223	429	1105	747	751	739	770	763	790	805	0	169467
224	1105	747	751	739	770	763	790	805	837	0	170237
225	747	751	739	770	763	790	805	837	852	0	171000
226	751	739	770	763	790	805	837	852	436	0	171790
227	739	770	763	790	805	837	852	436	552	0	172595
228	770	763	790	805	837	852	436	552	740	0	173432
229	763	790	805	837	852	436	552	740	840	0	174284
230	790	805	837	852	436	552	740	840	428	1	174720
231	805	837	852	436	552	740	840	428	525	0	175272
232	837	852	436	552	740	840	428	525	744	0	176012
233	852	436	552	740	840	428	525	744	836	0	176852
234	436	552	740	840	428	525	744	836	417	1	177280
235	552	740	840	428	525	744	836	417	533	0	177805
236	740	840	428	525	744	836	417	533	735	0	178549
237	840	428	525	744	836	417	533	735	821	0	179385
238	428	525	744	836	417	533	735	821	428	1	179802
239	525	744	836	417	533	735	821	428	533	0	180335
240	744	836	417	533	735	821	428	533	732	0	181070
241	836	417	533	735	821	428	533	732	821	0	181891
242	417	533	735	821	428	533	732	821	428	1	182319
243	533	735	821	428	533	732	821	428	537	0	182852
244	735	821	428	533	732	821	428	537	727	0	183584
245	821	428	533	732	821	428	537	727	817	0	184405
246	428	533	732	821	428	537	727	817	421	1	184833
247	533	732	821	428	537	727	817	421	544	0	185370
248	732	821	428	537	727	817	421	544	747	0	186097
249	821	428	537	727	817	421	544	747	845	0	186914
250	428	537	727	817	421	544	747	845	856	1	187335
251	537	727	817	421	544	747	845	856	848	0	187879
252	727	817	421	544	747	845	856	848	841	0	188626
253	817	421	544	747	845	856	848	841	463	0	189471
254	421	544	747	845	856	848	841	463	1186	0	190327
255	544	747	845	856	848	841	463	1186	829	0	191175
256	747	845	856	848	841	463	1186	829	813	0	192016
257	845	856	848	841	463	1186	829	813	806	1	192479
258	856	848	841	463	1186	829	813	806	786	0	193665
259	848	841	463	1186	829	813	806	786	790	0	194494
260	841	463	1186	829	813	806	786	790	770	0	195307
261	463	1186	829	813	806	786	790	770	424	0	196113
262	1186	829	813	806	786	790	770	424	549	0	196899
263	829	813	806	786	790	770	424	549	661	0	197689
264	813	806	786	790	770	424	549	661	782	0	198459
265	806	786	790	770	424	549	661	782	833	1	198883
266	786	790	770	424	549	661	782	833	845	0	199432
267	790	770	424	549	661	782	833	845	844	0	200093
268	770	424	549	661	782	833	845	844	844	0	200875
269	424	549	661	782	833	845	844	844	432	0	201708
270	549	661	782	833	845	844	844	432	537	0	202553
271	661	782	833	845	844	844	432	537	712	0	203397
272	782	833	845	844	844	432	537	712	810	0	204241
273	833	845	844	844	432	537	712	810	789	1	204673
274	845	844	844	432	537	712	810	789	806	0	205210
275	844	844	432	537	712	810	789	806	798	0	205922
276	844	432	537	712	810	789	806	798	797	0	206732
277	432	537	712	810	789	806	798	797	794	0	207521
278	537	712	810	789	806	798	797	794	786	0	208327
279	712	810	789	806	798	797	794	786	774	0	209125
280	810	789	806	798	797	794	786	774	782	0	209922
281	789	806	798	797	794	786	774	782	428	0	210716
282	806	798	797	794	786	774	782	428	1152	0	211502
