index	i-4	i-3	i-2	i-1	i+0	i+1	i+2	i+3	i+4	Filter	Time
4	848	502	638	981	1089	1105	514	634	946	0	4058
5	502	638	981	1089	1105	514	634	946	1078	0	5163
6	638	981	1089	1105	514	634	946	1078	1077	1	5677
7	981	1089	1105	514	634	946	1078	1077	522	0	6311
8	1089	1105	514	634	946	1078	1077	522	642	0	7257
9	1105	514	634	946	1078	1077	522	642	938	0	8335
10	514	634	946	1078	1077	522	642	938	1070	0	9412
11	634	946	1078	1077	522	642	938	1070	521	1	9934
12	946	1078	1077	522	642	938	1070	521	638	0	10576
13	1078	1077	522	642	938	1070	521	638	961	0	11514
14	1077	522	642	938	1070	521	638	961	1082	0	12584
15	522	642	938	1070	521	638	961	1082	506	1	13105
16	642	938	1070	521	638	961	1082	506	661	0	13743
17	938	1070	521	638	961	1082	506	661	1016	0	14704
18	1070	521	638	961	1082	506	661	1016	1054	0	15786
19	521	638	961	1082	506	661	1016	1054	1074	1	16292
20	638	961	1082	506	661	1016	1054	1074	1066	0	16953
21	961	1082	506	661	1016	1054	1074	1066	498	0	17969
22	1082	506	661	1016	1054	1074	1066	498	627	0	19023
23	506	661	1016	1054	1074	1066	498	627	922	0	20097
24	661	1016	1054	1074	1066	498	627	922	1031	0	21163
25	1016	1054	1074	1066	498	627	922	1031	1059	1	21661
26	1054	1074	1066	498	627	922	1031	1059	1042	0	22288
27	1074	1066	498	627	922	1031	1059	1042	495	0	23210
28	1066	498	627	922	1031	1059	1042	495	649	0	24241
29	498	627	922	1031	1059	1042	495	649	954	0	25300
30	627	922	1031	1059	1042	495	649	954	1097	0	26342
31	922	1031	1059	1042	495	649	954	1097	1078	1	26837
32	1031	1059	1042	495	649	954	1097	1078	1078	0	27486
33	1059	1042	495	649	954	1097	1078	1078	1089	0	28440
34	1042	495	649	954	1097	1078	1078	1089	1093	0	29537
35	495	649	954	1097	1078	1078	1089	1093	1039	0	30615
