i-4	i-3	i-2	i-1	i+0	i+1	i+2	i+3	i+4	Filter
813	922	895	895	763	502	1261	867	782	0
922	895	895	763	502	1261	867	782	510	1
895	895	763	502	1261	867	782	510	891	0
895	763	502	1261	867	782	510	891	736	0
763	502	1261	867	782	510	891	736	824	0
502	1261	867	782	510	891	736	824	518	1
1261	867	782	510	891	736	824	518	1109	0
867	782	510	891	736	824	518	1109	790	0
782	510	891	736	824	518	1109	790	704	0
510	891	736	824	518	1109	790	704	522	1
891	736	824	518	1109	790	704	522	840	0
736	824	518	1109	790	704	522	840	696	0
824	518	1109	790	704	522	840	696	841	0
518	1109	790	704	522	840	696	841	778	1
1109	790	704	522	840	696	841	778	809	0
790	704	522	840	696	841	778	809	724	0
704	522	840	696	841	778	809	724	693	0
522	840	696	841	778	809	724	693	766	0
840	696	841	778	809	724	693	766	872	0
696	841	778	809	724	693	766	872	533	0
841	778	809	724	693	766	872	533	1101	0
778	809	724	693	766	872	533	1101	673	0
809	724	693	766	872	533	1101	673	810	0
724	693	766	872	533	1101	673	810	521	1
693	766	872	533	1101	673	810	521	1152	0
766	872	533	1101	673	810	521	1152	860	0
872	533	1101	673	810	521	1152	860	692	0
533	1101	673	810	521	1152	860	692	510	1
1101	673	810	521	1152	860	692	510	856	0
673	810	521	1152	860	692	510	856	704	0
810	521	1152	860	692	510	856	704	856	0
521	1152	860	692	510	856	704	856	806	1
1152	860	692	510	856	704	856	806	840	0
860	692	510	856	704	856	806	840	747	0
692	510	856	704	856	806	840	747	724	0
510	856	704	856	806	840	747	724	518	0
856	704	856	806	840	747	724	518	1233	0
704	856	806	840	747	724	518	1233	759	0
856	806	840	747	724	518	1233	759	739	0
806	840	747	724	518	1233	759	739	514	1
840	747	724	518	1233	759	739	514	1085	0
747	724	518	1233	759	739	514	1085	670	0
724	518	1233	759	739	514	1085	670	871	0
518	1233	759	739	514	1085	670	871	806	1
1233	759	739	514	1085	670	871	806	829	0
759	739	514	1085	670	871	806	829	727	0
739	514	1085	670	871	806	829	727	673	0
514	1085	670	871	806	829	727	673	670	0
1085	670	871	806	829	727	673	670	747	0
670	871	806	829	727	673	670	747	856	0
871	806	829	727	673	670	747	856	533	0
806	829	727	673	670	747	856	533	1124	0
829	727	673	670	747	856	533	1124	708	0
727	673	670	747	856	533	1124	708	697	0
673	670	747	856	533	1124	708	697	833	1
670	747	856	533	1124	708	697	833	825	0
747	856	533	1124	708	697	833	825	836	0
856	533	1124	708	697	833	825	836	755	0
533	1124	708	697	833	825	836	755	739	0
1124	708	697	833	825	836	755	739	494	0
708	697	833	825	836	755	739	494	1269	0
697	833	825	836	755	739	494	1269	747	0
833	825	836	755	739	494	1269	747	856	0
825	836	755	739	494	1269	747	856	693	1
836	755	739	494	1269	747	856	693	653	0
755	739	494	1269	747	856	693	653	666	0
739	494	1269	747	856	693	653	666	506	0
494	1269	747	856	693	653	666	506	1171	0
1269	747	856	693	653	666	506	1171	794	0
747	856	693	653	666	506	1171	794	778	0
856	693	653	666	506	1171	794	778	685	1
693	653	666	506	1171	794	778	685	645	0
653	666	506	1171	794	778	685	645	642	0
666	506	1171	794	778	685	645	642	526	0
506	1171	794	778	685	645	642	526	910	0
1171	794	778	685	645	642	526	910	798	0
794	778	685	645	642	526	910	798	782	0
778	685	645	642	526	910	798	782	778	1
685	645	642	526	910	798	782	778	759	0
645	642	526	910	798	782	778	759	697	0
642	526	910	798	782	778	759	697	638	0
526	910	798	782	778	759	697	638	649	0
910	798	782	778	759	697	638	649	689	0
798	782	778	759	697	638	649	689	712	0
782	778	759	697	638	649	689	712	673	0
778	759	697	638	649	689	712	673	666	0
759	697	638	649	689	712	673	666	646	0
697	638	649	689	712	673	666	646	642	0
638	649	689	712	673	666	646	642	626	0
649	689	712	673	666	646	642	626	739	0
689	712	673	666	646	642	626	739	674	0
712	673	666	646	642	626	739	674	716	0
673	666	646	642	626	739	674	716	688	0
666	646	642	626	739	674	716	688	712	0
646	642	626	739	674	716	688	712	685	0
642	626	739	674	716	688	712	685	533	0
626	739	674	716	688	712	685	533	880	0
739	674	716	688	712	685	533	880	712	0
674	716	688	712	685	533	880	712	696	0
716	688	712	685	533	880	712	696	708	1
688	712	685	533	880	712	696	708	681	0
712	685	533	880	712	696	708	681	728	0
685	533	880	712	696	708	681	728	696	0
533	880	712	696	708	681	728	696	724	0
880	712	696	708	681	728	696	724	732	0
712	696	708	681	728	696	724	732	751	0
696	708	681	728	696	724	732	751	712	0
708	681	728	696	724	732	751	712	731	0
681	728	696	724	732	751	712	731	525	0
728	696	724	732	751	712	731	525	962	0
696	724	732	751	712	731	525	962	657	0
724	732	751	712	731	525	962	657	669	0
732	751	712	731	525	962	657	669	670	1
751	712	731	525	962	657	669	670	688	0
712	731	525	962	657	669	670	688	693	0
731	525	962	657	669	670	688	693	739	0
525	962	657	669	670	688	693	739	779	0
962	657	669	670	688	693	739	779	778	0
657	669	670	688	693	739	779	778	743	0
669	670	688	693	739	779	778	743	747	0
670	688	693	739	779	778	743	747	751	0
688	693	739	779	778	743	747	751	739	0
693	739	779	778	743	747	751	739	724	0
739	779	778	743	747	751	739	724	747	0
779	778	743	747	751	739	724	747	739	0
778	743	747	751	739	724	747	739	740	0
743	747	751	739	724	747	739	740	735	0
747	751	739	724	747	739	740	735	732	0
751	739	724	747	739	740	735	732	747	0
739	724	747	739	740	735	732	747	723	0
724	747	739	740	735	732	747	723	748	0
747	739	740	735	732	747	723	748	731	0
739	740	735	732	747	723	748	731	728	0
740	735	732	747	723	748	731	728	735	0
735	732	747	723	748	731	728	735	743	0
732	747	723	748	731	728	735	743	724	0
747	723	748	731	728	735	743	724	724	0
723	748	731	728	735	743	724	724	766	0
748	731	728	735	743	724	724	766	732	0
731	728	735	743	724	724	766	732	731	0
728	735	743	724	724	766	732	731	740	0
735	743	724	724	766	732	731	740	719	0
743	724	724	766	732	731	740	719	716	0
724	724	766	732	731	740	719	716	728	0
724	766	732	731	740	719	716	728	708	0
766	732	731	740	719	716	728	708	708	0
732	731	740	719	716	728	708	708	709	0
731	740	719	716	728	708	708	709	712	0
740	719	716	728	708	708	709	712	696	0
719	716	728	708	708	709	712	696	724	0
716	728	708	708	709	712	696	724	533	0
728	708	708	709	712	696	724	533	887	0
708	708	709	712	696	724	533	887	697	0
708	709	712	696	724	533	887	697	712	0
709	712	696	724	533	887	697	712	521	1
712	696	724	533	887	697	712	521	907	0
696	724	533	887	697	712	521	907	696	0
724	533	887	697	712	521	907	696	708	0
533	887	697	712	521	907	696	708	720	1
887	697	712	521	907	696	708	720	724	0
697	712	521	907	696	708	720	724	720	0
712	521	907	696	708	720	724	720	712	0
521	907	696	708	720	724	720	712	712	0
907	696	708	720	724	720	712	712	708	0
696	708	720	724	720	712	712	708	724	0
708	720	724	720	712	712	708	724	525	0
720	724	720	712	712	708	724	525	926	0
724	720	712	712	708	724	525	926	728	0
720	712	712	708	724	525	926	728	723	0
712	712	708	724	525	926	728	723	720	1
712	708	724	525	926	728	723	720	732	0
708	724	525	926	728	723	720	732	517	0
724	525	926	728	723	720	732	517	961	0
525	926	728	723	720	732	517	961	709	0
926	728	723	720	732	517	961	709	716	0
728	723	720	732	517	961	709	716	509	1
723	720	732	517	961	709	716	509	942	0
720	732	517	961	709	716	509	942	716	0
732	517	961	709	716	509	942	716	731	0
517	961	709	716	509	942	716	731	709	1
961	709	716	509	942	716	731	709	739	0
709	716	509	942	716	731	709	739	510	0
716	509	942	716	731	709	739	510	933	0
509	942	716	731	709	739	510	933	709	0
942	716	731	709	739	510	933	709	719	0
716	731	709	739	510	933	709	719	518	1
731	709	739	510	933	709	719	518	903	0
709	739	510	933	709	719	518	903	712	0
739	510	933	709	719	518	903	712	731	0
510	933	709	719	518	903	712	731	724	1
933	709	719	518	903	712	731	724	735	0
709	719	518	903	712	731	724	735	502	0
719	518	903	712	731	724	735	502	973	0
518	903	712	731	724	735	502	973	693	0
903	712	731	724	735	502	973	693	743	0
712	731	724	735	502	973	693	743	502	1
731	724	735	502	973	693	743	502	934	0
724	735	502	973	693	743	502	934	716	0
735	502	973	693	743	502	934	716	716	0
502	973	693	743	502	934	716	716	723	1
973	693	743	502	934	716	716	723	732	0
693	743	502	934	716	716	723	732	720	0
743	502	934	716	716	723	732	720	735	0
502	934	716	716	723	732	720	735	743	0
934	716	716	723	732	720	735	743	736	0
716	716	723	732	720	735	743	736	704	0
716	723	732	720	735	743	736	704	689	0
723	732	720	735	743	736	704	689	712	0
732	720	735	743	736	704	689	712	969	0
720	735	743	736	704	689	712	969	509	0
735	743	736	704	689	712	969	509	1125	0
743	736	704	689	712	969	509	1125	521	0
736	704	689	712	969	509	1125	521	950	0
704	689	712	969	509	1125	521	950	774	1
689	712	969	509	1125	521	950	774	876	0
712	969	509	1125	521	950	774	876	505	1
969	509	1125	521	950	774	876	505	1109	0
509	1125	521	950	774	876	505	1109	658	0
1125	521	950	774	876	505	1109	658	693	0
521	950	774	876	505	1109	658	693	832	1
950	774	876	505	1109	658	693	832	518	0
774	876	505	1109	658	693	832	518	1120	0
876	505	1109	658	693	832	518	1120	817	0
505	1109	658	693	832	518	1120	817	720	0
1109	658	693	832	518	1120	817	720	685	1
658	693	832	518	1120	817	720	685	771	0
693	832	518	1120	817	720	685	771	875	0
832	518	1120	817	720	685	771	875	514	0
518	1120	817	720	685	771	875	514	1109	0
1120	817	720	685	771	875	514	1109	883	0
817	720	685	771	875	514	1109	883	692	0
720	685	771	875	514	1109	883	692	681	1
685	771	875	514	1109	883	692	681	876	0
771	875	514	1109	883	692	681	876	510	0
875	514	1109	883	692	681	876	510	1167	0
514	1109	883	692	681	876	510	1167	704	0
1109	883	692	681	876	510	1167	704	662	0
883	692	681	876	510	1167	704	662	669	1
692	681	876	510	1167	704	662	669	712	0
681	876	510	1167	704	662	669	712	821	0
876	510	1167	704	662	669	712	821	518	0
510	1167	704	662	669	712	821	518	1116	0
1167	704	662	669	712	821	518	1116	716	0
704	662	669	712	821	518	1116	716	693	0
662	669	712	821	518	1116	716	693	891	1
669	712	821	518	1116	716	693	891	798	0
712	821	518	1116	716	693	891	798	832	0
821	518	1116	716	693	891	798	832	510	0
518	1116	716	693	891	798	832	510	942	0
1116	716	693	891	798	832	510	942	688	0
716	693	891	798	832	510	942	688	740	0
693	891	798	832	510	942	688	740	502	1
891	798	832	510	942	688	740	502	1000	0
798	832	510	942	688	740	502	1000	692	0
832	510	942	688	740	502	1000	692	681	0
510	942	688	740	502	1000	692	681	685	1
