index	i-4	i-3	i-2	i-1	i+0	i+1	i+2	i+3	i+4	Filter	Time
4	401	459	1008	467	1019	463	1008	467	1023	0	3354
5	459	1008	467	1019	463	1008	467	1023	463	1	3817
6	1008	467	1019	463	1008	467	1023	463	1024	0	4825
7	467	1019	463	1008	467	1023	463	1024	455	1	5292
8	1019	463	1008	467	1023	463	1024	455	1011	0	6315
9	463	1008	467	1023	463	1024	455	1011	467	1	6778
10	1008	467	1023	463	1024	455	1011	467	1028	0	7802
11	467	1023	463	1024	455	1011	467	1028	463	1	8257
12	1023	463	1024	455	1011	467	1028	463	957	0	9268
13	463	1024	455	1011	467	1028	463	957	463	1	9735
14	1024	455	1011	467	1028	463	957	463	914	0	10763
15	455	1011	467	1028	463	957	463	914	475	1	11226
16	1011	467	1028	463	957	463	914	475	992	0	12183
17	467	1028	463	957	463	914	475	992	467	1	12646
18	1028	463	957	463	914	475	992	467	1070	0	13560
19	463	957	463	914	475	992	467	1070	463	1	14035
20	957	463	914	475	992	467	1070	463	1156	0	15027
21	463	914	475	992	467	1070	463	1156	455	1	15494
22	914	475	992	467	1070	463	1156	455	1160	0	16564
23	475	992	467	1070	463	1156	455	1160	459	1	17027
24	992	467	1070	463	1156	455	1160	459	1113	0	18183
25	467	1070	463	1156	455	1160	459	1113	459	1	18638
26	1070	463	1156	455	1160	459	1113	459	1050	0	19798
27	463	1156	455	1160	459	1113	459	1050	460	1	20257
28	1156	455	1160	459	1113	459	1050	460	1054	0	21370
29	455	1160	459	1113	459	1050	460	1054	459	1	21829
30	1160	459	1113	459	1050	460	1054	459	1066	0	22879
31	459	1113	459	1050	460	1054	459	1066	452	1	23339
32	1113	459	1050	460	1054	459	1066	452	1004	0	24393
33	459	1050	460	1054	459	1066	452	1004	459	1	24852
34	1050	460	1054	459	1066	452	1004	459	980	0	25918
35	460	1054	459	1066	452	1004	459	980	459	1	26370
36	1054	459	1066	452	1004	459	980	459	973	0	27374
37	459	1066	452	1004	459	980	459	973	463	1	27833
38	1066	452	1004	459	980	459	973	463	1059	0	28813
39	452	1004	459	980	459	973	463	1059	455	1	29272
40	1004	459	980	459	973	463	1059	455	1089	0	30245
41	459	980	459	973	463	1059	455	1089	452	1	30708
42	980	459	973	463	1059	455	1089	452	1120	0	31767
43	459	973	463	1059	455	1089	452	1120	459	1	32222
44	973	463	1059	455	1089	452	1120	459	1140	0	33311
45	463	1059	455	1089	452	1120	459	1140	452	1	33763
46	1059	455	1089	452	1120	459	1140	452	1070	0	34883
47	455	1089	452	1120	459	1140	452	1070	455	1	35342
48	1089	452	1120	459	1140	452	1070	455	1051	0	36482
49	452	1120	459	1140	452	1070	455	1051	455	1	36934
50	1120	459	1140	452	1070	455	1051	455	1051	0	38004
51	459	1140	452	1070	455	1051	455	1051	451	1	38459
52	1140	452	1070	455	1051	455	1051	451	1035	0	39510
53	452	1070	455	1051	455	1051	451	1035	459	1	39965
54	1070	455	1051	455	1051	451	1035	459	1020	0	41016
55	455	1051	455	1051	451	1035	459	1020	455	1	41467
56	1051	455	1051	451	1035	459	1020	455	965	0	42502
57	455	1051	451	1035	459	1020	455	965	463	1	42961
58	1051	451	1035	459	1020	455	965	463	941	0	43981
59	451	1035	459	1020	455	965	463	941	460	1	44436
60	1035	459	1020	455	965	463	941	460	914	0	45401
61	459	1020	455	965	463	941	460	914	463	1	45864
62	1020	455	965	463	941	460	914	463	973	0	46805
63	455	965	463	941	460	914	463	973	463	1	47265
64	965	463	941	460	914	463	973	463	1000	0	48179
65	463	941	460	914	463	973	463	1000	455	1	48642
66	941	460	914	463	973	463	1000	455	981	0	49615
67	460	914	463	973	463	1000	455	981	463	1	50078
68	914	463	973	463	1000	455	981	463	949	0	51078
69	463	973	463	1000	455	981	463	949	459	1	51533
70	973	463	1000	455	981	463	949	459	915	0	52514
71	463	1000	455	981	463	949	459	915	463	1	52977
72	1000	455	981	463	949	459	915	463	910	0	53926
73	455	981	463	949	459	915	463	910	459	1	54385
74	981	463	949	459	915	463	910	459	864	0	55300
75	463	949	459	915	463	910	459	864	467	1	55763
76	949	459	915	463	910	459	864	467	802	0	56673
77	459	915	463	910	459	864	467	802	478	1	57132
78	915	463	910	459	864	467	802	478	771	0	57996
79	463	910	459	864	467	802	478	771	470	1	58463
80	910	459	864	467	802	478	771	470	755	0	59265
81	459	864	467	802	478	771	470	755	479	1	59743
82	864	467	802	478	771	470	755	479	766	0	60514
83	467	802	478	771	470	755	479	766	471	1	60984
84	802	478	771	470	755	479	766	471	778	0	61739
85	478	771	470	755	479	766	471	778	471	1	62218
86	771	470	755	479	766	471	778	471	814	0	62984
87	470	755	479	766	471	778	471	814	466	1	63455
88	755	479	766	471	778	471	814	466	880	0	64233
89	479	766	471	778	471	814	466	880	459	1	64704
90	766	471	778	471	814	466	880	459	887	0	65518
91	471	778	471	814	466	880	459	887	463	1	65984
92	778	471	814	466	880	459	887	463	887	0	66864
93	471	814	466	880	459	887	463	887	463	1	67323
94	814	466	880	459	887	463	887	463	860	0	68210
95	466	880	459	887	463	887	463	860	467	1	68673
96	880	459	887	463	887	463	860	467	880	0	69560
97	459	887	463	887	463	860	467	880	463	1	70023
98	887	463	887	463	860	467	880	463	902	0	70883
99	463	887	463	860	467	880	463	902	463	1	71350
100	887	463	860	467	880	463	902	463	934	0	72230
101	463	860	467	880	463	902	463	934	467	1	72693
102	860	467	880	463	902	463	934	467	988	0	73595
103	467	880	463	902	463	934	467	988	460	1	74058
