i-2	i-1	i+0	i+1	i+2	Filter
444	634	642	646	397	0
634	642	646	397	898	0
642	646	397	898	643	1
646	397	898	643	634	2
397	898	643	634	646	0
898	643	634	646	626	0
643	634	646	626	623	0
634	646	626	623	614	0
646	626	623	614	631	0
626	623	614	631	626	0
623	614	631	626	607	0
614	631	626	607	638	0
631	626	607	638	386	0
626	607	638	386	891	0
607	638	386	891	611	1
638	386	891	611	626	2
386	891	611	626	623	0
891	611	626	623	614	0
611	626	623	614	623	0
626	623	614	623	615	0
623	614	623	615	618	0
614	623	615	618	619	0
623	615	618	619	630	0
615	618	619	630	642	0
618	619	630	642	650	0
619	630	642	650	654	0
630	642	650	654	650	0
642	650	654	650	661	0
650	654	650	661	417	0
654	650	661	417	930	0
650	661	417	930	657	1
661	417	930	657	654	2
417	930	657	654	665	0
930	657	654	665	638	0
657	654	665	638	646	0
654	665	638	646	642	0
665	638	646	642	638	0
638	646	642	638	646	0
646	642	638	646	631	0
642	638	646	631	630	0
638	646	631	630	626	0
646	631	630	626	631	0
631	630	626	631	634	0
630	626	631	634	630	0
626	631	634	630	623	0
631	634	630	623	611	0
634	630	623	611	615	0
630	623	611	615	626	0
623	611	615	626	381	0
611	615	626	381	880	0
615	626	381	880	615	1
626	381	880	615	607	2
381	880	615	607	626	0
880	615	607	626	588	0
615	607	626	588	614	0
607	626	588	614	600	0
626	588	614	600	607	0
588	614	600	607	603	0
614	600	607	603	607	0
600	607	603	607	607	0
607	603	607	607	603	0
603	607	607	603	607	0
607	607	603	607	615	0
607	603	607	615	381	0
603	607	615	381	864	0
607	615	381	864	611	1
615	381	864	611	622	2
381	864	611	622	607	0
864	611	622	607	603	0
611	622	607	603	596	0
622	607	603	596	599	0
607	603	596	599	603	0
603	596	599	603	603	0
596	599	603	603	607	0
599	603	603	607	599	0
603	603	607	599	607	0
603	607	599	607	607	0
607	599	607	607	611	0
599	607	607	611	607	0
607	607	611	607	603	0
607	611	607	603	619	0
611	607	603	619	595	0
607	603	619	595	611	0
603	619	595	611	611	0
619	595	611	611	599	0
595	611	611	599	604	0
611	611	599	604	610	0
611	599	604	610	611	0
599	604	610	611	615	0
604	610	611	615	611	0
610	611	615	611	607	0
611	615	611	607	607	0
615	611	607	607	615	0
611	607	607	615	618	0
607	607	615	618	592	0
607	615	618	592	615	0
615	618	592	615	381	0
618	592	615	381	848	0
592	615	381	848	603	1
615	381	848	603	619	2
381	848	603	619	615	0
848	603	619	615	607	0
603	619	615	607	615	0
619	615	607	615	626	0
615	607	615	626	428	0
607	615	626	428	833	0
615	626	428	833	630	1
626	428	833	630	627	2
428	833	630	627	626	0
833	630	627	626	405	0
630	627	626	405	856	0
627	626	405	856	622	1
626	405	856	622	627	2
405	856	622	627	618	0
856	622	627	618	405	0
622	627	618	405	860	0
627	618	405	860	615	1
618	405	860	615	626	2
405	860	615	626	607	0
860	615	626	607	615	0
615	626	607	615	599	0
626	607	615	599	611	0
607	615	599	611	603	0
615	599	611	603	603	0
599	611	603	603	623	0
611	603	603	623	603	0
603	603	623	603	615	0
603	623	603	615	619	0
623	603	615	619	618	0
603	615	619	618	627	0
615	619	618	627	626	0
619	618	627	626	627	0
618	627	626	627	630	0
627	626	627	630	634	0
626	627	630	634	634	0
627	630	634	634	405	0
630	634	634	405	883	0
634	634	405	883	658	1
634	405	883	658	646	2
405	883	658	646	650	0
883	658	646	650	389	0
658	646	650	389	922	0
646	650	389	922	459	1
650	389	922	459	837	2
389	922	459	837	646	1
922	459	837	646	642	2
459	837	646	642	397	0
837	646	642	397	894	0
646	642	397	894	662	1
642	397	894	662	658	2
397	894	662	658	389	0
894	662	658	389	953	0
662	658	389	953	447	1
658	389	953	447	903	2
389	953	447	903	681	1
953	447	903	681	669	2
447	903	681	669	666	0
903	681	669	666	673	0
681	669	666	673	416	0
669	666	673	416	930	0
666	673	416	930	669	1
673	416	930	669	650	2
416	930	669	650	658	0
930	669	650	658	385	0
669	650	658	385	938	0
650	658	385	938	661	1
658	385	938	661	662	2
385	938	661	662	673	0
938	661	662	673	385	0
661	662	673	385	973	0
662	673	385	973	685	1
673	385	973	685	673	2
385	973	685	673	677	0
973	685	673	677	385	0
685	673	677	385	992	0
673	677	385	992	456	1
677	385	992	456	937	2
385	992	456	937	693	1
992	456	937	693	681	2
456	937	693	681	389	0
937	693	681	389	977	0
693	681	389	977	684	1
681	389	977	684	666	2
389	977	684	666	669	0
977	684	666	669	665	0
684	666	669	665	662	0
666	669	665	662	661	0
669	665	662	661	662	0
665	662	661	662	669	0
662	661	662	669	669	0
661	662	669	669	409	0
662	669	669	409	961	0
669	669	409	961	677	1
669	409	961	677	677	2
409	961	677	677	677	0
961	677	677	677	669	0
677	677	677	669	471	0
677	677	669	471	891	0
677	669	471	891	670	1
669	471	891	670	661	2
471	891	670	661	413	0
891	670	661	413	937	0
670	661	413	937	673	1
661	413	937	673	658	2
413	937	673	658	665	0
937	673	658	665	654	0
673	658	665	654	673	0
658	665	654	673	666	0
665	654	673	666	692	0
654	673	666	692	704	0
673	666	692	704	705	0
666	692	704	705	716	0
692	704	705	716	708	0
704	705	716	708	704	0
705	716	708	704	712	0
716	708	704	712	704	0
708	704	712	704	479	0
704	712	704	479	922	0
712	704	479	922	685	1
704	479	922	685	413	2
479	922	685	413	957	0
922	685	413	957	692	1
685	413	957	692	685	2
413	957	692	685	397	0
957	692	685	397	977	0
692	685	397	977	685	1
685	397	977	685	404	2
397	977	685	404	996	0
977	685	404	996	693	1
685	404	996	693	700	2
404	996	693	700	393	0
996	693	700	393	1004	0
693	700	393	1004	708	1
700	393	1004	708	401	2
393	1004	708	401	1020	0
1004	708	401	1020	719	1
708	401	1020	719	716	2
401	1020	719	716	393	0
1020	719	716	393	1043	0
719	716	393	1043	704	1
716	393	1043	704	409	2
393	1043	704	409	1012	0
1043	704	409	1012	696	1
704	409	1012	696	424	2
409	1012	696	424	985	0
1012	696	424	985	700	1
696	424	985	700	697	2
424	985	700	697	393	0
985	700	697	393	1007	0
700	697	393	1007	709	1
697	393	1007	709	397	2
393	1007	709	397	996	0
1007	709	397	996	684	1
709	397	996	684	689	2
397	996	684	689	397	0
996	684	689	397	977	0
684	689	397	977	685	1
689	397	977	685	700	2
397	977	685	700	393	0
977	685	700	393	973	0
685	700	393	973	669	1
700	393	973	669	681	2
393	973	669	681	401	0
973	669	681	401	965	0
669	681	401	965	673	1
681	401	965	673	677	2
401	965	673	677	404	0
965	673	677	404	977	0
673	677	404	977	704	1
677	404	977	704	701	2
404	977	704	701	393	0
977	704	701	393	1004	0
704	701	393	1004	704	1
701	393	1004	704	700	2
393	1004	704	700	393	0
1004	704	700	393	993	0
704	700	393	993	696	1
700	393	993	696	700	2
393	993	696	700	397	0
993	696	700	397	989	0
696	700	397	989	681	1
700	397	989	681	404	2
397	989	681	404	965	0
989	681	404	965	681	1
681	404	965	681	417	2
404	965	681	417	961	0
965	681	417	961	684	1
681	417	961	684	428	2
417	961	684	428	958	0
961	684	428	958	688	1
684	428	958	688	428	2
428	958	688	428	969	0
958	688	428	969	685	1
688	428	969	685	444	2
428	969	685	444	937	0
969	685	444	937	681	1
685	444	937	681	689	2
444	937	681	689	401	0
937	681	689	401	973	0
681	689	401	973	684	1
689	401	973	684	417	2
401	973	684	417	969	0
973	684	417	969	688	1
684	417	969	688	428	2
417	969	688	428	958	0
969	688	428	958	684	1
688	428	958	684	452	2
428	958	684	452	938	0
958	684	452	938	700	1
684	452	938	700	689	2
452	938	700	689	404	0
938	700	689	404	985	0
700	689	404	985	688	1
689	404	985	688	421	2
404	985	688	421	976	0
985	688	421	976	670	1
688	421	976	670	424	2
421	976	670	424	941	0
976	670	424	941	685	1
670	424	941	685	448	2
424	941	685	448	918	0
941	685	448	918	689	1
685	448	918	689	665	2
448	918	689	665	409	0
918	689	665	409	965	0
689	665	409	965	677	1
665	409	965	677	451	2
409	965	677	451	922	0
965	677	451	922	666	1
677	451	922	666	447	2
451	922	666	447	895	0
922	666	447	895	669	1
666	447	895	669	666	2
447	895	669	666	408	0
895	669	666	408	922	0
669	666	408	922	662	1
666	408	922	662	432	2
408	922	662	432	906	0
922	662	432	906	677	1
662	432	906	677	670	2
432	906	677	670	684	0
906	677	670	684	685	0
677	670	684	685	685	0
670	684	685	685	685	0
684	685	685	685	412	0
685	685	685	412	985	0
685	685	412	985	696	1
685	412	985	696	421	2
412	985	696	421	972	0
985	696	421	972	693	1
696	421	972	693	432	2
421	972	693	432	953	0
972	693	432	953	681	1
693	432	953	681	689	2
432	953	681	689	677	0
953	681	689	677	677	0
681	689	677	677	685	0
689	677	677	685	684	0
677	677	685	684	685	0
677	685	684	685	681	0
685	684	685	681	685	0
684	685	681	685	689	0
685	681	685	689	696	0
681	685	689	696	697	0
685	689	696	697	685	0
689	696	697	685	708	0
696	697	685	708	685	0
697	685	708	685	696	0
685	708	685	696	716	0
708	685	696	716	693	0
685	696	716	693	696	0
696	716	693	696	704	0
716	693	696	704	693	0
693	696	704	693	697	0
696	704	693	697	712	0
704	693	697	712	692	0
693	697	712	692	689	0
697	712	692	689	689	0
712	692	689	689	424	0
692	689	689	424	973	0
689	689	424	973	688	1
689	424	973	688	428	2
424	973	688	428	969	0
973	688	428	969	681	1
688	428	969	681	444	2
428	969	681	444	910	0
969	681	444	910	662	1
681	444	910	662	673	2
444	910	662	673	685	0
910	662	673	685	677	0
662	673	685	677	688	0
673	685	677	688	693	0
685	677	688	693	416	0
677	688	693	416	996	0
688	693	416	996	701	1
693	416	996	701	689	2
416	996	701	689	396	0
996	701	689	396	993	0
701	689	396	993	677	1
689	396	993	677	451	2
