i-2	i-1	i+0	i+1	i+2	Filter
704	712	436	385	623	1
712	436	385	623	720	2
436	385	623	720	731	0
385	623	720	731	724	0
623	720	731	724	440	0
720	731	724	440	377	0
731	724	440	377	658	1
724	440	377	658	704	2
440	377	658	704	720	0
377	658	704	720	708	0
658	704	720	708	704	0
704	720	708	704	428	0
720	708	704	428	385	0
708	704	428	385	635	1
704	428	385	635	692	2
428	385	635	692	697	0
385	635	692	697	696	0
635	692	697	696	677	0
692	697	696	677	424	0
697	696	677	424	989	0
696	677	424	989	688	1
677	424	989	688	681	2
424	989	688	681	681	0
989	688	681	681	677	0
688	681	681	677	681	0
681	681	677	681	685	0
681	677	681	685	685	0
677	681	685	685	700	0
681	685	685	700	712	0
685	685	700	712	720	0
685	700	712	720	728	0
700	712	720	728	537	0
712	720	728	537	930	0
720	728	537	930	731	1
728	537	930	731	755	2
537	930	731	755	747	0
930	731	755	747	417	0
731	755	747	417	373	0
755	747	417	373	708	1
747	417	373	708	736	2
417	373	708	736	739	0
373	708	736	739	739	0
708	736	739	739	424	0
736	739	739	424	374	0
739	739	424	374	677	1
739	424	374	677	720	2
424	374	677	720	724	0
374	677	720	724	708	0
677	720	724	708	723	0
720	724	708	723	417	0
724	708	723	417	381	0
708	723	417	381	650	1
723	417	381	650	712	2
417	381	650	712	704	0
381	650	712	704	708	0
650	712	704	708	701	0
712	704	708	701	420	0
704	708	701	420	405	0
708	701	420	405	595	1
701	420	405	595	693	2
420	405	595	693	681	0
405	595	693	681	688	0
595	693	681	688	681	0
693	681	688	681	673	0
681	688	681	673	428	0
688	681	673	428	954	0
681	673	428	954	669	1
673	428	954	669	665	2
428	954	669	665	658	0
954	669	665	658	673	0
669	665	658	673	654	0
665	658	673	654	443	0
658	673	654	443	946	0
673	654	443	946	669	1
654	443	946	669	666	2
443	946	669	666	653	0
946	669	666	653	483	0
669	666	653	483	844	0
666	653	483	844	650	1
653	483	844	650	654	2
483	844	650	654	645	0
844	650	654	645	639	0
650	654	645	639	646	0
654	645	639	646	653	0
645	639	646	653	650	0
639	646	653	650	650	0
646	653	650	650	669	0
653	650	650	669	654	0
650	650	669	654	669	0
650	669	654	669	662	0
669	654	669	662	669	0
654	669	662	669	657	0
669	662	669	657	658	0
662	669	657	658	681	0
669	657	658	681	661	0
657	658	681	661	421	0
658	681	661	421	976	0
681	661	421	976	677	1
661	421	976	677	677	2
421	976	677	677	697	0
976	677	677	697	692	0
677	677	697	692	417	0
677	697	692	417	1004	0
697	692	417	1004	681	1
692	417	1004	681	681	2
417	1004	681	681	673	0
1004	681	681	673	463	0
681	681	673	463	899	0
681	673	463	899	673	1
673	463	899	673	657	2
463	899	673	657	654	0
899	673	657	654	661	0
673	657	654	661	643	0
657	654	661	643	657	0
654	661	643	657	642	0
661	643	657	642	650	0
643	657	642	650	650	0
657	642	650	650	642	0
642	650	650	642	432	0
650	650	642	432	902	0
650	642	432	902	650	1
642	432	902	650	650	2
432	902	650	650	634	0
902	650	650	634	642	0
650	650	634	642	642	0
650	634	642	642	642	0
634	642	642	642	463	0
642	642	642	463	856	0
642	642	463	856	650	1
642	463	856	650	642	2
463	856	650	642	650	0
856	650	642	650	630	0
650	642	650	630	650	0
642	650	630	650	627	0
650	630	650	627	642	0
630	650	627	642	642	0
650	627	642	642	649	0
627	642	642	649	654	0
642	642	649	654	642	0
642	649	654	642	413	0
649	654	642	413	945	0
654	642	413	945	662	1
642	413	945	662	653	2
413	945	662	653	658	0
945	662	653	658	654	0
662	653	658	654	657	0
653	658	654	657	658	0
658	654	657	658	638	0
654	657	658	638	650	0
657	658	638	650	650	0
658	638	650	650	657	0
638	650	650	657	420	0
650	650	657	420	919	0
650	657	420	919	661	1
657	420	919	661	638	2
420	919	661	638	658	0
919	661	638	658	634	0
661	638	658	634	440	0
638	658	634	440	903	0
658	634	440	903	645	1
634	440	903	645	635	2
440	903	645	635	626	0
903	645	635	626	630	0
645	635	626	630	646	0
635	626	630	646	448	0
626	630	646	448	848	0
630	646	448	848	634	1
