i-2	i-1	i+0	i+1	i+2	Filter
564	732	704	700	553	0
732	704	700	553	957	0
704	700	553	957	763	1
700	553	957	763	766	2
553	957	763	766	794	0
957	763	766	794	580	0
763	766	794	580	1155	0
766	794	580	1155	413	1
794	580	1155	413	1171	2
580	1155	413	1171	471	1
1155	413	1171	471	1062	2
413	1171	471	1062	545	1
1171	471	1062	545	910	2
471	1062	545	910	693	1
1062	545	910	693	681	2
545	910	693	681	580	0
910	693	681	580	790	0
693	681	580	790	688	1
681	580	790	688	705	2
580	790	688	705	603	0
790	688	705	603	1066	0
688	705	603	1066	541	1
705	603	1066	541	1155	2
603	1066	541	1155	471	1
1066	541	1155	471	1109	2
541	1155	471	1109	514	1
1155	471	1109	514	1011	2
471	1109	514	1011	572	1
1109	514	1011	572	864	2
514	1011	572	864	705	1
1011	572	864	705	704	2
572	864	705	704	720	0
864	705	704	720	459	0
705	704	720	459	1047	0
704	720	459	1047	747	1
720	459	1047	747	751	2
459	1047	747	751	747	0
1047	747	751	747	751	0
747	751	747	751	766	0
751	747	751	766	782	0
747	751	766	782	526	0
751	766	782	526	1035	0
766	782	526	1035	494	1
782	526	1035	494	1043	2
526	1035	494	1043	743	1
1035	494	1043	743	716	2
494	1043	743	716	708	0
1043	743	716	708	731	0
743	716	708	731	747	0
716	708	731	747	763	0
708	731	747	763	759	0
731	747	763	759	770	0
747	763	759	770	790	0
763	759	770	790	794	0
759	770	790	794	786	0
770	790	794	786	763	0
790	794	786	763	766	0
794	786	763	766	774	0
786	763	766	774	775	0
763	766	774	775	762	0
766	774	775	762	740	0
774	775	762	740	747	0
775	762	740	747	755	0
762	740	747	755	766	0
740	747	755	766	743	0
747	755	766	743	736	0
755	766	743	736	747	0
766	743	736	747	755	0
743	736	747	755	755	0
736	747	755	755	747	0
747	755	755	747	560	0
755	755	747	560	946	0
755	747	560	946	754	1
747	560	946	754	744	2
560	946	754	744	716	0
946	754	744	716	715	0
754	744	716	715	713	0
744	716	715	713	719	0
716	715	713	719	720	0
715	713	719	720	471	0
713	719	720	471	996	0
719	720	471	996	736	1
720	471	996	736	743	2
471	996	736	743	735	0
996	736	743	735	739	0
736	743	735	739	763	0
