i-2	i-1	i+0	i+1	i+2	Filter
669	420	1137	739	409	2
420	1137	739	409	1000	0
1137	739	409	1000	638	1
739	409	1000	638	439	2
409	1000	638	439	891	0
1000	638	439	891	650	1
638	439	891	650	642	2
439	891	650	642	670	0
891	650	642	670	677	0
650	642	670	677	680	0
642	670	677	680	658	0
670	677	680	658	654	0
677	680	658	654	669	0
680	658	654	669	412	0
658	654	669	412	1039	0
654	669	412	1039	782	1
669	412	1039	782	425	2
412	1039	782	425	996	0
1039	782	425	996	673	1
782	425	996	673	420	2
425	996	673	420	922	0
996	673	420	922	654	1
673	420	922	654	630	2
420	922	654	630	635	0
922	654	630	635	618	0
654	630	635	618	619	0
630	635	618	619	615	0
635	618	619	615	626	0
618	619	615	626	666	0
619	615	626	666	665	0
615	626	666	665	661	0
626	666	665	661	646	0
666	665	661	646	638	0
665	661	646	638	635	0
661	646	638	635	626	0
646	638	635	626	623	0
638	635	626	623	622	0
635	626	623	622	619	0
626	623	622	619	615	0
623	622	619	615	618	0
622	619	615	618	607	0
619	615	618	607	600	0
615	618	607	600	599	0
618	607	600	599	595	0
607	600	599	595	607	0
600	599	595	607	615	0
599	595	607	615	424	0
595	607	615	424	833	0
607	615	424	833	603	1
615	424	833	603	447	2
424	833	603	447	779	0
833	603	447	779	603	1
603	447	779	603	447	2
447	779	603	447	728	0
779	603	447	728	580	1
603	447	728	580	575	2
447	728	580	575	428	0
728	580	575	428	767	0
580	575	428	767	588	1
575	428	767	588	587	2
428	767	588	587	416	0
767	588	587	416	837	0
588	587	416	837	669	1
587	416	837	669	627	2
416	837	669	627	646	0
837	669	627	646	649	0
669	627	646	649	642	0
627	646	649	642	623	0
646	649	642	623	658	0
649	642	623	658	665	0
642	623	658	665	650	0
623	658	665	650	650	0
658	665	650	650	669	0
665	650	650	669	681	0
650	650	669	681	692	0
650	669	681	692	674	0
669	681	692	674	649	0
681	692	674	649	674	0
692	674	649	674	688	0
674	649	674	688	689	0
649	674	688	689	693	0
674	688	689	693	439	0
688	689	693	439	934	0
689	693	439	934	654	1
693	439	934	654	428	2
439	934	654	428	910	0
934	654	428	910	701	1
654	428	910	701	455	2
428	910	701	455	903	0
910	701	455	903	688	1
701	455	903	688	650	2
455	903	688	650	662	0
903	688	650	662	688	0
688	650	662	688	736	0
650	662	688	736	420	0
662	688	736	420	1156	0
688	736	420	1156	774	1
736	420	1156	774	424	2
420	1156	774	424	1051	0
1156	774	424	1051	661	1
774	424	1051	661	432	2
424	1051	661	432	868	0
1051	661	432	868	665	1
661	432	868	665	646	2
432	868	665	646	654	0
868	665	646	654	638	0
665	646	654	638	440	0
646	654	638	440	945	0
654	638	440	945	798	1
638	440	945	798	755	2
440	945	798	755	412	0
945	798	755	412	1070	0
798	755	412	1070	685	1
755	412	1070	685	428	2
412	1070	685	428	922	0
1070	685	428	922	681	1
685	428	922	681	673	2
428	922	681	673	417	0
922	681	673	417	918	0
681	673	417	918	654	1
673	417	918	654	431	2
417	918	654	431	888	0
918	654	431	888	661	1
654	431	888	661	646	2
431	888	661	646	412	0
888	661	646	412	973	0
661	646	412	973	786	1
646	412	973	786	794	2
412	973	786	794	416	0
973	786	794	416	545	0
786	794	416	545	697	1
794	416	545	697	432	2
416	545	697	432	350	0
545	697	432	350	840	1
697	432	350	840	774	2
432	350	840	774	783	0
350	840	774	783	424	0
840	774	783	424	1202	0
774	783	424	1202	798	1
783	424	1202	798	782	2
424	1202	798	782	412	0
1202	798	782	412	1203	0
798	782	412	1203	789	1
782	412	1203	789	794	2
412	1203	789	794	417	0
1203	789	794	417	1190	0
789	794	417	1190	775	1
794	417	1190	775	786	2
417	1190	775	786	412	0
1190	775	786	412	514	0
775	786	412	514	731	1
786	412	514	731	837	2
412	514	731	837	455	0
514	731	837	455	1237	0
731	837	455	1237	841	1
837	455	1237	841	432	2
455	1237	841	432	517	0
1237	841	432	517	712	1
841	432	517	712	817	2
432	517	712	817	806	0
517	712	817	806	405	0
712	817	806	405	1229	0
817	806	405	1229	813	1
806	405	1229	813	428	2
405	1229	813	428	510	0
1229	813	428	510	681	1
813	428	510	681	805	2
428	510	681	805	825	0
510	681	805	825	413	0
681	805	825	413	521	0
805	825	413	521	755	1
825	413	521	755	829	2
413	521	755	829	852	0
521	755	829	852	409	0
755	829	852	409	529	0
829	852	409	529	770	1
852	409	529	770	833	2
409	529	770	833	432	0
529	770	833	432	1198	0
770	833	432	1198	798	1
833	432	1198	798	782	2
432	1198	798	782	786	0
1198	798	782	786	786	0
798	782	786	786	790	0
782	786	786	790	790	0
786	786	790	790	412	0
786	790	790	412	522	0
790	790	412	522	684	1
790	412	522	684	794	2
412	522	684	794	790	0
522	684	794	790	420	0
684	794	790	420	1172	0
794	790	420	1172	789	1
790	420	1172	789	425	2
420	1172	789	425	1120	0
1172	789	425	1120	689	1
789	425	1120	689	424	2
425	1120	689	424	918	0
1120	689	424	918	642	1
689	424	918	642	611	2
424	918	642	611	420	0
918	642	611	420	845	0
642	611	420	845	618	1
611	420	845	618	428	2
420	845	618	428	825	0
845	618	428	825	607	1
618	428	825	607	600	2
428	825	607	600	447	0
825	607	600	447	751	0
607	600	447	751	591	1
600	447	751	591	592	2
447	751	591	592	591	0
751	591	592	591	603	0
591	592	591	603	417	0
592	591	603	417	910	0
591	603	417	910	677	1
603	417	910	677	452	2
417	910	677	452	875	0
910	677	452	875	631	1
677	452	875	631	645	2
452	875	631	645	650	0
875	631	645	650	619	0
631	645	650	619	638	0
645	650	619	638	677	0
650	619	638	677	673	0
619	638	677	673	413	0
638	677	673	413	1109	0
677	673	413	1109	840	1
673	413	1109	840	444	2
413	1109	840	444	1058	0
1109	840	444	1058	700	1
840	444	1058	700	448	2
444	1058	700	448	914	0
1058	700	448	914	654	1
700	448	914	654	642	2
448	914	654	642	630	0
914	654	642	630	662	0
654	642	630	662	657	0
642	630	662	657	713	0
630	662	657	713	906	0
662	657	713	906	930	0
657	713	906	930	790	0
713	906	930	790	412	0
906	930	790	412	1211	0
930	790	412	1211	778	1
790	412	1211	778	782	2
412	1211	778	782	420	0
1211	778	782	420	1140	0
778	782	420	1140	728	1
782	420	1140	728	669	2
420	1140	728	669	424	0
1140	728	669	424	1171	0
728	669	424	1171	763	1
669	424	1171	763	448	2
424	1171	763	448	1136	0
1171	763	448	1136	770	1
763	448	1136	770	463	2
448	1136	770	463	1121	0
1136	770	463	1121	786	1
770	463	1121	786	455	2
463	1121	786	455	1097	0
1121	786	455	1097	775	1
786	455	1097	775	774	2
455	1097	775	774	420	0
1097	775	774	420	1160	0
775	774	420	1160	766	1
774	420	1160	766	775	2
420	1160	766	775	420	0
1160	766	775	420	1163	0
766	775	420	1163	747	1
775	420	1163	747	779	2
420	1163	747	779	766	0
1163	747	779	766	782	0
747	779	766	782	813	0
779	766	782	813	417	0
766	782	813	417	1225	0
782	813	417	1225	810	1
813	417	1225	810	790	2
417	1225	810	790	420	0
1225	810	790	420	1202	0
810	790	420	1202	771	1
790	420	1202	771	420	2
420	1202	771	420	1171	0
1202	771	420	1171	479	1
771	420	1171	479	1093	2
420	1171	479	1093	774	1
1171	479	1093	774	767	2
479	1093	774	767	459	0
1093	774	767	459	1105	0
774	767	459	1105	763	1
767	459	1105	763	778	2
459	1105	763	778	770	0
1105	763	778	770	821	0
763	778	770	821	783	0
778	770	821	783	778	0
770	821	783	778	735	0
821	783	778	735	771	0
783	778	735	771	778	0
778	735	771	778	743	0
735	771	778	743	786	0
771	778	743	786	778	0
778	743	786	778	782	0
743	786	778	782	428	0
786	778	782	428	1121	0
778	782	428	1121	739	1
782	428	1121	739	420	2
428	1121	739	420	1000	0
1121	739	420	1000	627	1
