i-2	i-1	i+0	i+1	i+2	Filter
327	1078	455	1058	456	1
1078	455	1058	456	1027	2
455	1058	456	1027	459	1
1058	456	1027	459	1000	2
456	1027	459	1000	447	1
1027	459	1000	447	985	2
459	1000	447	985	451	1
1000	447	985	451	973	2
447	985	451	973	455	1
985	451	973	455	954	2
451	973	455	954	451	1
973	455	954	451	957	2
455	954	451	957	455	1
954	451	957	455	985	2
451	957	455	985	459	1
957	455	985	459	1015	2
455	985	459	1015	456	1
985	459	1015	456	1031	2
459	1015	456	1031	459	1
1015	456	1031	459	1031	2
456	1031	459	1031	451	1
1031	459	1031	451	1028	2
459	1031	451	1028	451	1
1031	451	1028	451	1062	2
451	1028	451	1062	452	1
1028	451	1062	452	1031	2
451	1062	452	1031	447	1
1062	452	1031	447	1028	2
452	1031	447	1028	447	1
1031	447	1028	447	1027	2
447	1028	447	1027	456	1
1028	447	1027	456	1027	2
447	1027	456	1027	463	1
1027	456	1027	463	1000	2
456	1027	463	1000	478	1
1027	463	1000	478	993	2
463	1000	478	993	459	1
1000	478	993	459	1015	2
478	993	459	1015	448	1
993	459	1015	448	1027	2
459	1015	448	1027	455	1
1015	448	1027	455	1012	2
448	1027	455	1012	455	1
1027	455	1012	455	1074	2
455	1012	455	1074	459	1
1012	455	1074	459	1086	2
455	1074	459	1086	463	1
1074	459	1086	463	1082	2
459	1086	463	1082	447	1
1086	463	1082	447	1082	2
463	1082	447	1082	455	1
1082	447	1082	455	1078	2
447	1082	455	1078	459	1
1082	455	1078	459	1051	2
455	1078	459	1051	455	1
1078	459	1051	455	1000	2
459	1051	455	1000	455	1
1051	455	1000	455	1043	2
455	1000	455	1043	455	1
1000	455	1043	455	1012	2
455	1043	455	1012	463	1
1043	455	1012	463	988	2
455	1012	463	988	455	1
1012	463	988	455	969	2
463	988	455	969	456	1
988	455	969	456	965	2
455	969	456	965	451	1
969	456	965	451	969	2
456	965	451	969	447	1
965	451	969	447	992	2
451	969	447	992	448	1
969	447	992	448	1000	2
447	992	448	1000	447	1
992	448	1000	447	1059	2
448	1000	447	1059	443	1
1000	447	1059	443	1067	2
447	1059	443	1067	447	1
1059	443	1067	447	1086	2
443	1067	447	1086	459	1
1067	447	1086	459	1081	2
447	1086	459	1081	460	1
1086	459	1081	460	1074	2
459	1081	460	1074	447	1
1081	460	1074	447	1035	2
460	1074	447	1035	459	1
1074	447	1035	459	1016	2
447	1035	459	1016	455	1
1035	459	1016	455	1012	2
459	1016	455	1012	459	1
1016	455	1012	459	1019	2
455	1012	459	1019	448	1
1012	459	1019	448	1011	2
459	1019	448	1011	452	1
1019	448	1011	452	1011	2
448	1011	452	1011	448	1
1011	452	1011	448	1019	2
452	1011	448	1019	452	1
1011	448	1019	452	1023	2
448	1019	452	1023	455	1
1019	452	1023	455	1024	2
452	1023	455	1024	447	1
1023	455	1024	447	1031	2
455	1024	447	1031	459	1
1024	447	1031	459	996	2
447	1031	459	996	456	1
1031	459	996	456	1008	2
459	996	456	1008	459	1
996	456	1008	459	988	2
456	1008	459	988	459	1
1008	459	988	459	981	2
459	988	459	981	443	1
988	459	981	443	969	2
459	981	443	969	448	1
981	443	969	448	945	2
443	969	448	945	452	1
969	448	945	452	941	2
448	945	452	941	451	1
945	452	941	451	962	2
452	941	451	962	443	1
941	451	962	443	926	2
451	962	443	926	448	1
962	443	926	448	949	2
443	926	448	949	444	1
926	448	949	444	969	2
448	949	444	969	451	1
949	444	969	451	980	2
444	969	451	980	456	1
969	451	980	456	984	2
451	980	456	984	459	1
980	456	984	459	977	2
456	984	459	977	463	1
984	459	977	463	981	2
459	977	463	981	463	1
977	463	981	463	953	2
463	981	463	953	704	1
981	463	953	704	440	2
463	953	704	440	926	0
953	704	440	926	451	1
704	440	926	451	907	2
440	926	451	907	451	1
926	451	907	451	911	2
451	907	451	911	451	1
907	451	911	451	918	2
451	911	451	918	452	1
911	451	918	452	949	2
451	918	452	949	459	1
918	452	949	459	1004	2
452	949	459	1004	459	1
949	459	1004	459	1032	2
459	1004	459	1032	451	1
1004	459	1032	451	1070	2
459	1032	451	1070	455	1
1032	451	1070	455	1082	2
451	1070	455	1082	817	1
1070	455	1082	817	444	2
455	1082	817	444	1147	0
1082	817	444	1147	456	1
817	444	1147	456	1167	2
444	1147	456	1167	459	1
1147	456	1167	459	1140	2
456	1167	459	1140	459	1
1167	459	1140	459	1094	2
459	1140	459	1094	459	1
1140	459	1094	459	1078	2
459	1094	459	1078	451	1
1094	459	1078	451	1027	2
459	1078	451	1027	452	1
1078	451	1027	452	1015	2
451	1027	452	1015	452	1
1027	452	1015	452	1011	2
452	1015	452	1011	456	1
1015	452	1011	456	1000	2
452	1011	456	1000	451	1
1011	456	1000	451	996	2
456	1000	451	996	463	1
1000	451	996	463	1008	2
451	996	463	1008	459	1
996	463	1008	459	1004	2
463	1008	459	1004	463	1
1008	459	1004	463	996	2
459	1004	463	996	459	1
1004	463	996	459	996	2
463	996	459	996	459	1
996	459	996	459	1004	2
459	996	459	1004	463	1
996	459	1004	463	996	2
459	1004	463	996	456	1
1004	463	996	456	1004	2
463	996	456	1004	467	1
996	456	1004	467	1019	2
456	1004	467	1019	459	1
1004	467	1019	459	1058	2
467	1019	459	1058	460	1
1019	459	1058	460	1070	2
459	1058	460	1070	459	1
1058	460	1070	459	1070	2
460	1070	459	1070	459	1
1070	459	1070	459	1058	2
459	1070	459	1058	459	1
1070	459	1058	459	1063	2
459	1058	459	1063	459	1
1058	459	1063	459	1062	2
459	1063	459	1062	455	1
1063	459	1062	455	1078	2
459	1062	455	1078	459	1
1062	455	1078	459	1094	2
455	1078	459	1094	447	1
1078	459	1094	447	1101	2
459	1094	447	1101	456	1
1094	447	1101	456	1112	2
447	1101	456	1112	464	1
1101	456	1112	464	1159	2
456	1112	464	1159	432	1
1112	464	1159	432	1121	2
464	1159	432	1121	459	1
1159	432	1121	459	1081	2
432	1121	459	1081	463	1
1121	459	1081	463	1074	2
459	1081	463	1074	460	1
1081	463	1074	460	1031	2
463	1074	460	1031	451	1
1074	460	1031	451	957	2
460	1031	451	957	459	1
1031	451	957	459	1000	2
451	957	459	1000	463	1
957	459	1000	463	1032	2
459	1000	463	1032	774	1
1000	463	1032	774	440	2
463	1032	774	440	1151	0
1032	774	440	1151	833	1
774	440	1151	833	451	2
440	1151	833	451	1242	0
1151	833	451	1242	459	1
833	451	1242	459	1257	2
451	1242	459	1257	463	1
1242	459	1257	463	1241	2
459	1257	463	1241	475	1
1257	463	1241	475	1190	2
463	1241	475	1190	463	1
1241	475	1190	463	1148	2
475	1190	463	1148	455	1
1190	463	1148	455	1117	2
463	1148	455	1117	459	1
1148	455	1117	459	1090	2
455	1117	459	1090	455	1
1117	459	1090	455	1054	2
459	1090	455	1054	452	1
1090	455	1054	452	1023	2
455	1054	452	1023	452	1
1054	452	1023	452	1003	2
452	1023	452	1003	444	1
1023	452	1003	444	1012	2
452	1003	444	1012	451	1
1003	444	1012	451	1016	2
444	1012	451	1016	443	1
1012	451	1016	443	1024	2
451	1016	443	1024	451	1
1016	443	1024	451	1066	2
443	1024	451	1066	459	1
1024	451	1066	459	1101	2
451	1066	459	1101	459	1
1066	459	1101	459	1106	2
459	1101	459	1106	459	1
1101	459	1106	459	1093	2
459	1106	459	1093	471	1
1106	459	1093	471	1093	2
459	1093	471	1093	463	1
1093	471	1093	463	1078	2
471	1093	463	1078	463	1
1093	463	1078	463	1059	2
463	1078	463	1059	466	1
1078	463	1059	466	1063	2
463	1059	466	1063	459	1
1059	466	1063	459	1062	2
466	1063	459	1062	463	1
1063	459	1062	463	1055	2
459	1062	463	1055	474	1
1062	463	1055	474	1101	2
463	1055	474	1101	467	1
1055	474	1101	467	1148	2
474	1101	467	1148	475	1
1101	467	1148	475	1160	2
467	1148	475	1160	844	1
1148	475	1160	844	436	2
475	1160	844	436	1221	0
1160	844	436	1221	845	1
844	436	1221	845	443	2
436	1221	845	443	1226	0
1221	845	443	1226	459	1
845	443	1226	459	1206	2
443	1226	459	1206	460	1
1226	459	1206	460	1182	2
459	1206	460	1182	475	1
1206	460	1182	475	1195	2
460	1182	475	1195	467	1
