i-2	i-1	i+0	i+1	i+2	Filter
1042	845	887	1016	1182	0
845	887	1016	1182	1265	0
887	1016	1182	1265	1230	0
1016	1182	1265	1230	1245	0
1182	1265	1230	1245	1179	0
1265	1230	1245	1179	1070	0
1230	1245	1179	1070	622	0
1245	1179	1070	622	1265	0
1179	1070	622	1265	1000	1
1070	622	1265	1000	549	2
622	1265	1000	549	1202	0
1265	1000	549	1202	1019	1
1000	549	1202	1019	557	2
549	1202	1019	557	1276	0
1202	1019	557	1276	685	1
1019	557	1276	685	1490	2
557	1276	685	1490	576	1
1276	685	1490	576	1377	2
685	1490	576	1377	580	1
1490	576	1377	580	1370	2
576	1377	580	1370	607	1
1377	580	1370	607	1370	2
580	1370	607	1370	677	1
1370	607	1370	677	1618	2
607	1370	677	1618	1670	1
1370	677	1618	1670	1525	2
677	1618	1670	1525	1338	0
1618	1670	1525	1338	1210	0
1670	1525	1338	1210	549	0
1525	1338	1210	549	1245	0
1338	1210	549	1245	1008	1
1210	549	1245	1008	568	2
549	1245	1008	568	1164	0
1245	1008	568	1164	957	1
1008	568	1164	957	544	2
568	1164	957	544	1187	0
1164	957	544	1187	1035	1
957	544	1187	1035	557	2
544	1187	1035	557	1284	0
1187	1035	557	1284	653	1
1035	557	1284	653	1370	2
557	1284	653	1370	630	1
1284	653	1370	630	1374	2
653	1370	630	1374	658	1
1370	630	1374	658	1463	2
630	1374	658	1463	568	1
1374	658	1463	568	1338	2
658	1463	568	1338	638	1
1463	568	1338	638	1417	2
568	1338	638	1417	587	1
1338	638	1417	587	1347	2
638	1417	587	1347	1295	1
1417	587	1347	1295	1179	2
587	1347	1295	1179	1222	0
1347	1295	1179	1222	556	0
1295	1179	1222	556	1261	0
1179	1222	556	1261	1125	1
1222	556	1261	1125	556	2
556	1261	1125	556	1199	0
1261	1125	556	1199	1011	1
1125	556	1199	1011	568	2
556	1199	1011	568	1226	0
1199	1011	568	1226	1058	1
1011	568	1226	1058	561	2
568	1226	1058	561	1225	0
1226	1058	561	1225	1039	1
1058	561	1225	1039	557	2
561	1225	1039	557	1171	0
1225	1039	557	1171	996	1
1039	557	1171	996	576	2
557	1171	996	576	1241	0
1171	996	576	1241	669	1
996	576	1241	669	1428	2
576	1241	669	1428	576	1
1241	669	1428	576	1354	2
669	1428	576	1354	619	1
1428	576	1354	619	1339	2
576	1354	619	1339	739	1
1354	619	1339	739	1467	2
619	1339	739	1467	568	1
1339	739	1467	568	1257	2
739	1467	568	1257	1046	1
1467	568	1257	1046	553	2
568	1257	1046	553	1233	0
1257	1046	553	1233	1043	1
1046	553	1233	1043	580	2
553	1233	1043	580	1249	0
1233	1043	580	1249	1144	1
1043	580	1249	1144	564	2
580	1249	1144	564	1253	0
1249	1144	564	1253	1171	1
1144	564	1253	1171	553	2
564	1253	1171	553	1264	0
1253	1171	553	1264	728	1
1171	553	1264	728	1323	2
553	1264	728	1323	1058	1
1264	728	1323	1058	564	2
728	1323	1058	564	1238	0
1323	1058	564	1238	1210	1
1058	564	1238	1210	556	2
564	1238	1210	556	1238	0
1238	1210	556	1238	1159	1
1210	556	1238	1159	1148	2
556	1238	1159	1148	1035	0
1238	1159	1148	1035	1070	0
1159	1148	1035	1070	1070	0
1148	1035	1070	1070	1066	0
1035	1070	1070	1066	1047	0
1070	1070	1066	1047	556	0
1070	1066	1047	556	1215	0
1066	1047	556	1215	976	1
1047	556	1215	976	560	2
556	1215	976	560	1172	0
1215	976	560	1172	937	1
976	560	1172	937	565	2
560	1172	937	565	1241	0
1172	937	565	1241	1089	1
937	565	1241	1089	568	2
565	1241	1089	568	1327	0
1241	1089	568	1327	592	1
1089	568	1327	592	1354	2
568	1327	592	1354	642	1
1327	592	1354	642	1280	2
592	1354	642	1280	965	1
1354	642	1280	965	556	2
642	1280	965	556	1222	0
1280	965	556	1222	977	1
965	556	1222	977	564	2
556	1222	977	564	1210	0
1222	977	564	1210	1086	1
977	564	1210	1086	564	2
564	1210	1086	564	1206	0
1210	1086	564	1206	1059	1
1086	564	1206	1059	568	2
564	1206	1059	568	1210	0
1206	1059	568	1210	1074	1
1059	568	1210	1074	556	2
568	1210	1074	556	1226	0
1210	1074	556	1226	1070	1
1074	556	1226	1070	576	2
556	1226	1070	576	1272	0
1226	1070	576	1272	619	1
1070	576	1272	619	1362	2
576	1272	619	1362	626	1
1272	619	1362	626	1366	2
619	1362	626	1366	622	1
1362	626	1366	622	1374	2
626	1366	622	1374	661	1
1366	622	1374	661	1417	2
622	1374	661	1417	583	1
1374	661	1417	583	1323	2
661	1417	583	1323	1218	1
1417	583	1323	1218	557	2
583	1323	1218	557	1237	0
1323	1218	557	1237	1132	1
1218	557	1237	1132	565	2
557	1237	1132	565	1221	0
1237	1132	565	1221	1067	1
1132	565	1221	1067	552	2
565	1221	1067	552	1230	0
1221	1067	552	1230	1159	1
1067	552	1230	1159	557	2
552	1230	1159	557	1229	0
1230	1159	557	1229	1140	1
1159	557	1229	1140	557	2
557	1229	1140	557	1284	0
1229	1140	557	1284	572	1
1140	557	1284	572	1264	2
557	1284	572	1264	1101	1
1284	572	1264	1101	576	2
572	1264	1101	576	1249	0
1264	1101	576	1249	1179	1
1101	576	1249	1179	584	2
576	1249	1179	584	1296	0
1249	1179	584	1296	591	1
1179	584	1296	591	1343	2
584	1296	591	1343	626	1
1296	591	1343	626	1342	2
591	1343	626	1342	767	1
1343	626	1342	767	1549	2
626	1342	767	1549	591	1
1342	767	1549	591	1327	2
767	1549	591	1327	654	1
1549	591	1327	654	1326	2
591	1327	654	1326	1051	1
1327	654	1326	1051	584	2
654	1326	1051	584	1284	0
1326	1051	584	1284	1019	1
1051	584	1284	1019	576	2
584	1284	1019	576	1183	0
1284	1019	576	1183	945	1
1019	576	1183	945	569	2
576	1183	945	569	1163	0
1183	945	569	1163	910	1
945	569	1163	910	576	2
569	1163	910	576	1207	0
1163	910	576	1207	933	1
910	576	1207	933	576	2
576	1207	933	576	1253	0
1207	933	576	1253	1090	1
933	576	1253	1090	572	2
576	1253	1090	572	1260	0
1253	1090	572	1260	1257	1
1090	572	1260	1257	1230	2
572	1260	1257	1230	1202	0
1260	1257	1230	1202	564	0
1257	1230	1202	564	1245	0
1230	1202	564	1245	1032	1
1202	564	1245	1032	552	2
564	1245	1032	552	1214	0
1245	1032	552	1214	992	1
1032	552	1214	992	580	2
552	1214	992	580	1214	0
1214	992	580	1214	961	1
992	580	1214	961	568	2
580	1214	961	568	1242	0
1214	961	568	1242	1260	1
961	568	1242	1260	1206	2
568	1242	1260	1206	1323	0
1242	1260	1206	1323	1300	0
1260	1206	1323	1300	1233	0
1206	1323	1300	1233	553	0
1323	1300	1233	553	1288	0
1300	1233	553	1288	665	1
1233	553	1288	665	1331	2
553	1288	665	1331	1105	1
1288	665	1331	1105	572	2
665	1331	1105	572	1265	0
1331	1105	572	1265	1221	1
1105	572	1265	1221	553	2
572	1265	1221	553	1241	0
1265	1221	553	1241	1183	1
1221	553	1241	1183	553	2
553	1241	1183	553	1233	0
1241	1183	553	1233	1023	1
1183	553	1233	1023	557	2
553	1233	1023	557	1237	0
1233	1023	557	1237	1066	1
1023	557	1237	1066	561	2
557	1237	1066	561	1260	0
1237	1066	561	1260	1203	1
1066	561	1260	1203	572	2
561	1260	1203	572	1245	0
1260	1203	572	1245	1187	1
1203	572	1245	1187	572	2
572	1245	1187	572	1284	0
1245	1187	572	1284	642	1
1187	572	1284	642	1443	2
572	1284	642	1443	584	1
1284	642	1443	584	1327	2
642	1443	584	1327	766	1
1443	584	1327	766	1498	2
584	1327	766	1498	592	1
1327	766	1498	592	1268	2
766	1498	592	1268	1179	1
1498	592	1268	1179	549	2
592	1268	1179	549	1210	0
1268	1179	549	1210	1086	1
1179	549	1210	1086	556	2
549	1210	1086	556	1249	0
1210	1086	556	1249	1237	1
1086	556	1249	1237	1331	2
556	1249	1237	1331	1374	0
1249	1237	1331	1374	1334	0
1237	1331	1374	1334	1140	0
1331	1374	1334	1140	549	0
1374	1334	1140	549	1202	0
1334	1140	549	1202	934	1
1140	549	1202	934	623	2
549	1202	934	623	1261	0
1202	934	623	1261	906	1
934	623	1261	906	545	2
623	1261	906	545	1082	0
1261	906	545	1082	856	1
906	545	1082	856	657	2
545	1082	856	657	1000	0
1082	856	657	1000	848	1
856	657	1000	848	864	2
657	1000	848	864	526	0
1000	848	864	526	988	0
848	864	526	988	887	1
864	526	988	887	817	2
526	988	887	817	798	0
988	887	817	798	786	0
887	817	798	786	778	0
817	798	786	778	763	0
798	786	778	763	758	0
786	778	763	758	755	0
778	763	758	755	755	0
763	758	755	755	751	0
758	755	755	751	778	0
755	755	751	778	495	0
755	751	778	495	1027	0
751	778	495	1027	864	1
778	495	1027	864	673	2
495	1027	864	673	1210	0
1027	864	673	1210	1031	1
864	673	1210	1031	514	2
673	1210	1031	514	1241	0
1210	1031	514	1241	1229	1
1031	514	1241	1229	1230	2
514	1241	1229	1230	1183	0
1241	1229	1230	1183	1144	0
1229	1230	1183	1144	1078	0
1230	1183	1144	1078	595	0
1183	1144	1078	595	1179	0
1144	1078	595	1179	957	1
1078	595	1179	957	525	2
595	1179	957	525	1156	0
1179	957	525	1156	934	1
957	525	1156	934	514	2
525	1156	934	514	1159	0
1156	934	514	1159	942	1
934	514	1159	942	533	2
514	1159	942	533	1128	0
1159	942	533	1128	903	1
942	533	1128	903	510	2
533	1128	903	510	1109	0
1128	903	510	1109	895	1
903	510	1109	895	630	2
510	1109	895	630	1175	0
1109	895	630	1175	973	1
895	630	1175	973	529	2
630	1175	973	529	1233	0
1175	973	529	1233	1070	1
973	529	1233	1070	1020	2
529	1233	1070	1020	977	0
1233	1070	1020	977	976	0
1070	1020	977	976	973	0
1020	977	976	973	961	0
977	976	973	961	938	0
976	973	961	938	887	0
973	961	938	887	891	0
961	938	887	891	514	0
938	887	891	514	1062	0
887	891	514	1062	817	1
891	514	1062	817	833	2
514	1062	817	833	790	0
1062	817	833	790	797	0
817	833	790	797	813	0
833	790	797	813	849	0
790	797	813	849	638	0
797	813	849	638	1031	0
813	849	638	1031	887	1
849	638	1031	887	891	2
638	1031	887	891	498	0
1031	887	891	498	1078	0
887	891	498	1078	879	1
891	498	1078	879	530	2
498	1078	879	530	1085	0
1078	879	530	1085	848	1
879	530	1085	848	884	2
530	1085	848	884	525	0
1085	848	884	525	1230	0
848	884	525	1230	1077	1
884	525	1230	1077	1440	2
525	1230	1077	1440	1405	0
1230	1077	1440	1405	1331	0
1077	1440	1405	1331	1303	0
1440	1405	1331	1303	1230	0
1405	1331	1303	1230	1225	0
1331	1303	1230	1225	549	0
1303	1230	1225	549	1222	0
1230	1225	549	1222	1120	1
1225	549	1222	1120	545	2
549	1222	1120	545	1191	0
1222	1120	545	1191	1074	1
1120	545	1191	1074	560	2
545	1191	1074	560	1226	0
1191	1074	560	1226	1163	1
1074	560	1226	1163	553	2
560	1226	1163	553	1256	0
1226	1163	553	1256	1378	1
1163	553	1256	1378	1377	2
553	1256	1378	1377	1218	0
1256	1378	1377	1218	541	0
1378	1377	1218	541	1222	0
1377	1218	541	1222	1027	1
1218	541	1222	1027	549	2
541	1222	1027	549	1124	0
1222	1027	549	1124	895	1
1027	549	1124	895	576	2
549	1124	895	576	1222	0
1124	895	576	1222	945	1
895	576	1222	945	572	2
576	1222	945	572	1199	0
1222	945	572	1199	1054	1
945	572	1199	1054	561	2
572	1199	1054	561	1276	0
1199	1054	561	1276	1132	1
1054	561	1276	1132	549	2
561	1276	1132	549	1155	0
1276	1132	549	1155	962	1
1132	549	1155	962	529	2
549	1155	962	529	1151	0
1155	962	529	1151	899	1
962	529	1151	899	576	2
529	1151	899	576	1226	0
1151	899	576	1226	1008	1
899	576	1226	1008	568	2
576	1226	1008	568	1253	0
1226	1008	568	1253	634	1
1008	568	1253	634	1323	2
568	1253	634	1323	654	1
1253	634	1323	654	1361	2
634	1323	654	1361	1242	1
1323	654	1361	1242	548	2
654	1361	1242	548	1222	0
1361	1242	548	1222	1097	1
1242	548	1222	1097	561	2
548	1222	1097	561	1241	0
1222	1097	561	1241	1117	1
1097	561	1241	1117	552	2
561	1241	1117	552	1273	0
1241	1117	552	1273	626	1
1117	552	1273	626	1300	2
552	1273	626	1300	1198	1
1273	626	1300	1198	549	2
626	1300	1198	549	1334	0
1300	1198	549	1334	817	1
1198	549	1334	817	1534	2
549	1334	817	1534	571	1
1334	817	1534	571	1335	2
817	1534	571	1335	599	1
1534	571	1335	599	1323	2
571	1335	599	1323	1249	1
1335	599	1323	1249	549	2
599	1323	1249	549	1233	0
1323	1249	549	1233	1129	1
1249	549	1233	1129	545	2
549	1233	1129	545	1249	0
1233	1129	545	1249	1202	1
1129	545	1249	1202	556	2
545	1249	1202	556	1222	0
1249	1202	556	1222	1214	1
1202	556	1222	1214	1331	2
556	1222	1214	1331	1288	0
1222	1214	1331	1288	1280	0
1214	1331	1288	1280	1163	0
1331	1288	1280	1163	549	0
1288	1280	1163	549	1187	0
1280	1163	549	1187	996	1
1163	549	1187	996	564	2
549	1187	996	564	1187	0
1187	996	564	1187	980	1
996	564	1187	980	561	2
564	1187	980	561	1144	0
1187	980	561	1144	984	1
980	561	1144	984	560	2
561	1144	984	560	1172	0
1144	984	560	1172	1019	1
984	560	1172	1019	576	2
560	1172	1019	576	1241	0
1172	1019	576	1241	701	1
1019	576	1241	701	1400	2
576	1241	701	1400	619	1
1241	701	1400	619	1346	2
701	1400	619	1346	1191	1
1400	619	1346	1191	556	2
619	1346	1191	556	1250	0
1346	1191	556	1250	1066	1
1191	556	1250	1066	572	2
556	1250	1066	572	1241	0
1250	1066	572	1241	1039	1
1066	572	1241	1039	583	2
572	1241	1039	583	1320	0
1241	1039	583	1320	622	1
1039	583	1320	622	1292	2
583	1320	622	1292	1008	1
1320	622	1292	1008	568	2
622	1292	1008	568	1284	0
1292	1008	568	1284	1222	1
1008	568	1284	1222	1171	2
568	1284	1222	1171	1078	0
1284	1222	1171	1078	544	0
1222	1171	1078	544	1191	0
1171	1078	544	1191	911	1
1078	544	1191	911	533	2
544	1191	911	533	1101	0
1191	911	533	1101	871	1
911	533	1101	871	541	2
533	1101	871	541	1063	0
1101	871	541	1063	848	1
871	541	1063	848	580	2
541	1063	848	580	1038	0
1063	848	580	1038	841	1
848	580	1038	841	572	2
580	1038	841	572	1039	0
1038	841	572	1039	844	1
841	572	1039	844	634	2
572	1039	844	634	1117	0
1039	844	634	1117	915	0
844	634	1117	915	521	0
634	1117	915	521	1124	0
1117	915	521	1124	950	1
915	521	1124	950	533	2
521	1124	950	533	1117	0
1124	950	533	1117	899	1
950	533	1117	899	575	2
533	1117	899	575	1277	0
1117	899	575	1277	1081	1
899	575	1277	1081	557	2
575	1277	1081	557	1237	0
1277	1081	557	1237	669	1
1081	557	1237	669	1436	2
557	1237	669	1436	561	1
1237	669	1436	561	1319	2
669	1436	561	1319	727	1
1436	561	1319	727	1467	2
561	1319	727	1467	560	1
1319	727	1467	560	1331	2
727	1467	560	1331	786	1
1467	560	1331	786	1560	2
560	1331	786	1560	565	1
1331	786	1560	565	1272	2
786	1560	565	1272	977	1
1560	565	1272	977	583	2
565	1272	977	583	1281	0
1272	977	583	1281	1101	1
977	583	1281	1101	533	2
583	1281	1101	533	1218	0
1281	1101	533	1218	727	1
1101	533	1218	727	1358	2
533	1218	727	1358	1098	1
1218	727	1358	1098	560	2
727	1358	1098	560	1156	0
1358	1098	560	1156	922	1
1098	560	1156	922	548	2
560	1156	922	548	1121	0
1156	922	548	1121	895	1
