index	i-5	i-4	i-3	i-2	i-1	i+0	i+1	i+2	i+3	i+4	i+5	Filter	Time
5	1063	463	1412	584	1338	938	1058	506	1362	502	1156	0	5860
6	463	1412	584	1338	938	1058	506	1362	502	1156	770	0	6918
7	1412	584	1338	938	1058	506	1362	502	1156	770	848	1	7424
8	584	1338	938	1058	506	1362	502	1156	770	848	510	0	8786
9	1338	938	1058	506	1362	502	1156	770	848	510	1307	1	9288
10	938	1058	506	1362	502	1156	770	848	510	1307	860	0	10444
11	1058	506	1362	502	1156	770	848	510	1307	860	915	0	11214
12	506	1362	502	1156	770	848	510	1307	860	915	836	0	12062
13	1362	502	1156	770	848	510	1307	860	915	836	938	1	12572
14	502	1156	770	848	510	1307	860	915	836	938	1125	0	13879
15	1156	770	848	510	1307	860	915	836	938	1125	1097	0	14739
16	770	848	510	1307	860	915	836	938	1125	1097	1120	0	15654
17	848	510	1307	860	915	836	938	1125	1097	1120	1070	0	16490
18	510	1307	860	915	836	938	1125	1097	1120	1070	1047	0	17428
19	1307	860	915	836	938	1125	1097	1120	1070	1047	1078	0	18553
20	860	915	836	938	1125	1097	1120	1070	1047	1078	1047	0	19650
21	915	836	938	1125	1097	1120	1070	1047	1078	1047	1074	0	20770
22	836	938	1125	1097	1120	1070	1047	1078	1047	1074	1023	0	21840
23	938	1125	1097	1120	1070	1047	1078	1047	1074	1023	1035	0	22887
24	1125	1097	1120	1070	1047	1078	1047	1074	1023	1035	973	0	23965
25	1097	1120	1070	1047	1078	1047	1074	1023	1035	973	976	0	25012
26	1120	1070	1047	1078	1047	1074	1023	1035	973	976	946	0	26086
27	1070	1047	1078	1047	1074	1023	1035	973	976	946	934	0	27109
28	1047	1078	1047	1074	1023	1035	973	976	946	934	973	0	28144
29	1078	1047	1074	1023	1035	973	976	946	934	973	926	0	29117
30	1047	1074	1023	1035	973	976	946	934	973	926	988	0	30093
31	1074	1023	1035	973	976	946	934	973	926	988	973	0	31039
32	1023	1035	973	976	946	934	973	926	988	973	965	0	31973
33	1035	973	976	946	934	973	926	988	973	965	957	0	32946
34	973	976	946	934	973	926	988	973	965	957	938	0	33872
35	976	946	934	973	926	988	973	965	957	938	968	0	34860
36	946	934	973	926	988	973	965	957	938	968	973	0	35833
37	934	973	926	988	973	965	957	938	968	973	938	0	36798
38	973	926	988	973	965	957	938	968	973	938	949	0	37755
39	926	988	973	965	957	938	968	973	938	949	950	0	38693
40	988	973	965	957	938	968	973	938	949	950	976	0	39661
41	973	965	957	938	968	973	938	949	950	976	930	0	40634
42	965	957	938	968	973	938	949	950	976	930	907	0	41572
43	957	938	968	973	938	949	950	976	930	907	957	0	42521
44	938	968	973	938	949	950	976	930	907	957	965	0	43471
45	968	973	938	949	950	976	930	907	957	965	977	0	44447
46	973	938	949	950	976	930	907	957	965	977	969	0	45377
47	938	949	950	976	930	907	957	965	977	969	1015	0	46284
48	949	950	976	930	907	957	965	977	969	1015	954	0	47241
49	950	976	930	907	957	965	977	969	1015	954	957	0	48206
50	976	930	907	957	965	977	969	1015	954	957	910	0	49183
51	930	907	957	965	977	969	1015	954	957	910	950	0	50152
52	907	957	965	977	969	1015	954	957	910	950	949	0	51167
53	957	965	977	969	1015	954	957	910	950	949	487	0	52121
54	965	977	969	1015	954	957	910	950	949	487	1311	0	53078
55	977	969	1015	954	957	910	950	949	487	1311	506	0	53988
56	969	1015	954	957	910	950	949	487	1311	506	1272	0	54938
57	1015	954	957	910	950	949	487	1311	506	1272	514	0	55887
58	954	957	910	950	949	487	1311	506	1272	514	1159	1	56374
59	957	910	950	949	487	1311	506	1272	514	1159	806	0	57685
60	910	950	949	487	1311	506	1272	514	1159	806	1066	1	58191
61	950	949	487	1311	506	1272	514	1159	806	1066	1140	0	59463
62	949	487	1311	506	1272	514	1159	806	1066	1140	502	1	59977
63	487	1311	506	1272	514	1159	806	1066	1140	502	447	0	61136
64	1311	506	1272	514	1159	806	1066	1140	502	447	961	0	61942
65	506	1272	514	1159	806	1066	1140	502	447	961	522	0	63008
66	1272	514	1159	806	1066	1140	502	447	961	522	1354	0	64148
67	514	1159	806	1066	1140	502	447	961	522	1354	945	1	64650
68	1159	806	1066	1140	502	447	961	522	1354	945	1086	1	65097
69	806	1066	1140	502	447	961	522	1354	945	1086	471	0	66058
70	1066	1140	502	447	961	522	1354	945	1086	471	475	1	66580
71	1140	502	447	961	522	1354	945	1086	471	475	906	0	67934
72	502	447	961	522	1354	945	1086	471	475	906	1175	0	68879
73	447	961	522	1354	945	1086	471	475	906	1175	1187	0	69965
74	961	522	1354	945	1086	471	475	906	1175	1187	486	1	70436
75	522	1354	945	1086	471	475	906	1175	1187	486	1401	1	70911
76	1354	945	1086	471	475	906	1175	1187	486	1401	537	0	71817
77	945	1086	471	475	906	1175	1187	486	1401	537	1378	0	72992
78	1086	471	475	906	1175	1187	486	1401	537	1378	1023	0	74179
79	471	475	906	1175	1187	486	1401	537	1378	1023	1089	1	74665
80	475	906	1175	1187	486	1401	537	1378	1023	1089	479	0	76066
81	906	1175	1187	486	1401	537	1378	1023	1089	479	1358	1	76603
82	1175	1187	486	1401	537	1378	1023	1089	479	1358	984	0	77981
83	1187	486	1401	537	1378	1023	1089	479	1358	984	1028	0	79004
84	486	1401	537	1378	1023	1089	479	1358	984	1028	1058	0	80093
85	1401	537	1378	1023	1089	479	1358	984	1028	1058	1093	1	80572
86	537	1378	1023	1089	479	1358	984	1028	1058	1093	487	0	81930
87	1378	1023	1089	479	1358	984	1028	1058	1093	487	1366	0	82914
88	1023	1089	479	1358	984	1028	1058	1093	487	1366	552	0	83942
89	1089	479	1358	984	1028	1058	1093	487	1366	552	1257	0	85000
90	479	1358	984	1028	1058	1093	487	1366	552	1257	533	0	86093
91	1358	984	1028	1058	1093	487	1366	552	1257	533	1117	1	86580
92	984	1028	1058	1093	487	1366	552	1257	533	1117	735	0	87946
93	1028	1058	1093	487	1366	552	1257	533	1117	735	1004	1	88498
94	1058	1093	487	1366	552	1257	533	1117	735	1004	471	0	89755
95	1093	487	1366	552	1257	533	1117	735	1004	471	490	1	90288
96	487	1366	552	1257	533	1117	735	1004	471	490	483	0	91405
97	1366	552	1257	533	1117	735	1004	471	490	483	1245	1	92140
98	552	1257	533	1117	735	1004	471	490	483	1245	583	0	93144
99	1257	533	1117	735	1004	471	490	483	1245	583	1152	1	93615
100	533	1117	735	1004	471	490	483	1245	583	1152	860	1	94105
101	1117	735	1004	471	490	483	1245	583	1152	860	483	1	94588
102	735	1004	471	490	483	1245	583	1152	860	483	1381	0	95833
103	1004	471	490	483	1245	583	1152	860	483	1381	953	1	96416
104	471	490	483	1245	583	1152	860	483	1381	953	1094	0	97568
105	490	483	1245	583	1152	860	483	1381	953	1094	478	0	98428
