index	i-5	i-4	i-3	i-2	i-1	i+0	i+1	i+2	i+3	i+4	i+5	Filter	Time
5	1019	841	868	786	778	568	1175	848	860	868	829	1	4860
6	841	868	786	778	568	1175	848	860	868	829	544	0	6035
7	868	786	778	568	1175	848	860	868	829	544	1176	0	6883
8	786	778	568	1175	848	860	868	829	544	1176	887	0	7743
9	778	568	1175	848	860	868	829	544	1176	887	579	0	8611
10	568	1175	848	860	868	829	544	1176	887	579	1172	0	9440
11	1175	848	860	868	829	544	1176	887	579	1172	828	1	9984
12	848	860	868	829	544	1176	887	579	1172	828	853	0	11160
13	860	868	829	544	1176	887	579	1172	828	853	867	0	12047
14	868	829	544	1176	887	579	1172	828	853	867	837	1	12626
15	829	544	1176	887	579	1172	828	853	867	837	525	0	13798
16	544	1176	887	579	1172	828	853	867	837	525	1226	0	14626
17	1176	887	579	1172	828	853	867	837	525	1226	860	0	15479
18	887	579	1172	828	853	867	837	525	1226	860	630	0	16346
19	579	1172	828	853	867	837	525	1226	860	630	1051	0	17183
20	1172	828	853	867	837	525	1226	860	630	1051	836	1	17708
21	828	853	867	837	525	1226	860	630	1051	836	872	0	18934
22	853	867	837	525	1226	860	630	1051	836	872	875	0	19794
23	867	837	525	1226	860	630	1051	836	872	875	853	1	20424
24	837	525	1226	860	630	1051	836	872	875	853	509	0	21475
25	525	1226	860	630	1051	836	872	875	853	509	1288	0	22311
26	1226	860	630	1051	836	872	875	853	509	1288	926	0	23183
27	860	630	1051	836	872	875	853	509	1288	926	549	0	24058
28	630	1051	836	872	875	853	509	1288	926	549	1222	0	24911
29	1051	836	872	875	853	509	1288	926	549	1222	891	1	25420
30	836	872	875	853	509	1288	926	549	1222	891	591	0	26708
31	872	875	853	509	1288	926	549	1222	891	591	1152	0	27634
32	875	853	509	1288	926	549	1222	891	591	1152	798	1	28183
33	853	509	1288	926	549	1222	891	591	1152	798	797	0	29405
34	509	1288	926	549	1222	891	591	1152	798	797	782	0	30296
35	1288	926	549	1222	891	591	1152	798	797	782	771	1	30887
36	926	549	1222	891	591	1152	798	797	782	771	595	0	32039
37	549	1222	891	591	1152	798	797	782	771	595	1066	0	32837
38	1222	891	591	1152	798	797	782	771	595	1066	810	0	33634
39	891	591	1152	798	797	782	771	595	1066	810	809	0	34416
40	591	1152	798	797	782	771	595	1066	810	809	770	0	35187
41	1152	798	797	782	771	595	1066	810	809	770	771	1	35782
42	798	797	782	771	595	1066	810	809	770	771	591	0	36848
43	797	782	771	595	1066	810	809	770	771	591	915	0	37658
44	782	771	595	1066	810	809	770	771	591	915	758	0	38467
45	771	595	1066	810	809	770	771	591	915	758	825	0	39237
46	595	1066	810	809	770	771	591	915	758	825	537	0	40008
47	1066	810	809	770	771	591	915	758	825	537	1191	1	40599
48	810	809	770	771	591	915	758	825	537	1191	813	0	41514
49	809	770	771	591	915	758	825	537	1191	813	841	0	42272
50	770	771	591	915	758	825	537	1191	813	841	910	0	43097
51	771	591	915	758	825	537	1191	813	841	910	930	1	43634
52	591	915	758	825	537	1191	813	841	910	930	907	0	44825
53	915	758	825	537	1191	813	841	910	930	907	646	0	45638
54	758	825	537	1191	813	841	910	930	907	646	1194	0	46479
55	825	537	1191	813	841	910	930	907	646	1194	1008	0	47389
56	537	1191	813	841	910	930	907	646	1194	1008	545	0	48319
57	1191	813	841	910	930	907	646	1194	1008	545	1307	0	49226
58	813	841	910	930	907	646	1194	1008	545	1307	946	1	49872
59	841	910	930	907	646	1194	1008	545	1307	946	540	0	51066
60	910	930	907	646	1194	1008	545	1307	946	540	1242	0	52074
61	930	907	646	1194	1008	545	1307	946	540	1242	856	1	52619
62	907	646	1194	1008	545	1307	946	540	1242	856	622	0	53926
63	646	1194	1008	545	1307	946	540	1242	856	622	1129	0	54872
64	1194	1008	545	1307	946	540	1242	856	622	1129	832	1	55412
65	1008	545	1307	946	540	1242	856	622	1129	832	794	0	56654
66	545	1307	946	540	1242	856	622	1129	832	794	806	0	57510
67	1307	946	540	1242	856	622	1129	832	794	806	805	1	58132
68	946	540	1242	856	622	1129	832	794	806	805	588	0	59261
69	540	1242	856	622	1129	832	794	806	805	588	1066	0	60093
70	1242	856	622	1129	832	794	806	805	588	1066	778	0	60887
71	856	622	1129	832	794	806	805	588	1066	778	794	0	61693
72	622	1129	832	794	806	805	588	1066	778	794	809	0	62498
73	1129	832	794	806	805	588	1066	778	794	809	841	1	63086
74	832	794	806	805	588	1066	778	794	809	841	505	0	64152
75	794	806	805	588	1066	778	794	809	841	505	1172	0	64930
76	806	805	588	1066	778	794	809	841	505	1172	797	0	65724
77	805	588	1066	778	794	809	841	505	1172	797	825	0	66533
78	588	1066	778	794	809	841	505	1172	797	825	860	0	67374
79	1066	778	794	809	841	505	1172	797	825	860	899	1	67879
80	778	794	809	841	505	1172	797	825	860	899	479	0	69051
81	794	809	841	505	1172	797	825	860	899	479	1256	0	69848
82	809	841	505	1172	797	825	860	899	479	1256	825	0	70673
83	841	505	1172	797	825	860	899	479	1256	825	627	0	71533
84	505	1172	797	825	860	899	479	1256	825	627	1105	0	72432
85	1172	797	825	860	899	479	1256	825	627	1105	848	1	72911
86	797	825	860	899	479	1256	825	627	1105	848	809	0	74167
87	825	860	899	479	1256	825	627	1105	848	809	814	0	74992
88	860	899	479	1256	825	627	1105	848	809	814	801	1	75619
89	899	479	1256	825	627	1105	848	809	814	801	545	0	76724
90	479	1256	825	627	1105	848	809	814	801	545	988	0	77572
91	1256	825	627	1105	848	809	814	801	545	988	728	0	78381
92	825	627	1105	848	809	814	801	545	988	728	704	0	79195
93	627	1105	848	809	814	801	545	988	728	704	603	0	79996
94	1105	848	809	814	801	545	988	728	704	603	868	1	80541
95	848	809	814	801	545	988	728	704	603	868	778	0	81529
96	809	814	801	545	988	728	704	603	868	778	794	0	82257
97	814	801	545	988	728	704	603	868	778	794	860	0	82961
98	801	545	988	728	704	603	868	778	794	860	875	1	83564
99	545	988	728	704	603	868	778	794	860	875	852	0	84432
100	988	728	704	603	868	778	794	860	875	852	553	0	85210
101	728	704	603	868	778	794	860	875	852	553	1183	0	86004
102	704	603	868	778	794	860	875	852	553	1183	825	0	86864
103	603	868	778	794	860	875	852	553	1183	825	778	0	87739
104	868	778	794	860	875	852	553	1183	825	778	743	0	88591
105	778	794	860	875	852	553	1183	825	778	743	720	1	89144
106	794	860	875	852	553	1183	825	778	743	720	704	0	90327
107	860	875	852	553	1183	825	778	743	720	704	693	0	91152
108	875	852	553	1183	825	778	743	720	704	693	685	0	91930
109	852	553	1183	825	778	743	720	704	693	685	685	0	92673
110	553	1183	825	778	743	720	704	693	685	685	680	0	93393
111	1183	825	778	743	720	704	693	685	685	680	681	0	94097
112	825	778	743	720	704	693	685	685	680	681	693	0	94790
113	778	743	720	704	693	685	685	680	681	693	689	0	95475
114	743	720	704	693	685	685	680	681	693	689	696	0	96160
115	720	704	693	685	685	680	681	693	689	696	701	0	96840
116	704	693	685	685	680	681	693	689	696	701	688	0	97521
117	693	685	685	680	681	693	689	696	701	688	712	0	98214
118	685	685	680	681	693	689	696	701	688	712	755	0	98903
119	685	680	681	693	689	696	701	688	712	755	790	0	99599
120	680	681	693	689	696	701	688	712	755	790	774	0	100300
121	681	693	689	696	701	688	712	755	790	774	806	0	100988
122	693	689	696	701	688	712	755	790	774	806	852	0	101700
123	689	696	701	688	712	755	790	774	806	852	833	0	102455
124	696	701	688	712	755	790	774	806	852	833	509	0	103245
125	701	688	712	755	790	774	806	852	833	509	1152	0	104019
126	688	712	755	790	774	806	852	833	509	1152	778	0	104825
127	712	755	790	774	806	852	833	509	1152	778	794	0	105677
128	755	790	774	806	852	833	509	1152	778	794	813	0	106510
129	790	774	806	852	833	509	1152	778	794	813	837	1	107019
130	774	806	852	833	509	1152	778	794	813	837	518	0	108171
131	806	852	833	509	1152	778	794	813	837	518	1151	0	108949
132	852	833	509	1152	778	794	813	837	518	1151	759	0	109743
133	833	509	1152	778	794	813	837	518	1151	759	770	0	110556
134	509	1152	778	794	813	837	518	1151	759	770	794	0	111393
135	1152	778	794	813	837	518	1151	759	770	794	825	1	111911
136	778	794	813	837	518	1151	759	770	794	825	541	0	113062
137	794	813	837	518	1151	759	770	794	825	541	1191	0	113821
138	813	837	518	1151	759	770	794	825	541	1191	797	0	114591
139	837	518	1151	759	770	794	825	541	1191	797	825	0	115385
140	518	1151	759	770	794	825	541	1191	797	825	837	0	116210
141	1151	759	770	794	825	541	1191	797	825	837	832	1	116751
142	759	770	794	825	541	1191	797	825	837	832	534	0	117942
143	770	794	825	541	1191	797	825	837	832	534	1163	0	118739
144	794	825	541	1191	797	825	837	832	534	1163	821	0	119564
145	825	541	1191	797	825	837	832	534	1163	821	825	0	120401
146	541	1191	797	825	837	832	534	1163	821	825	821	0	121233
147	1191	797	825	837	832	534	1163	821	825	821	790	1	121767
148	797	825	837	832	534	1163	821	825	821	790	572	0	122930
149	825	837	832	534	1163	821	825	821	790	572	1050	0	123751
150	837	832	534	1163	821	825	821	790	572	1050	821	0	124576
151	832	534	1163	821	825	821	790	572	1050	821	829	0	125397
152	534	1163	821	825	821	790	572	1050	821	829	860	0	126187
