index	i-5	i-4	i-3	i-2	i-1	i+0	i+1	i+2	i+3	i+4	i+5	Filter	Time
5	249	1175	1175	1175	1175	1164	1163	1199	1202	1183	1195	0	6253
6	1175	1175	1175	1175	1164	1163	1199	1202	1183	1195	1206	0	7416
7	1175	1175	1175	1164	1163	1199	1202	1183	1195	1206	1210	0	8615
8	1175	1175	1164	1163	1199	1202	1183	1195	1206	1210	1179	0	9817
9	1175	1164	1163	1199	1202	1183	1195	1206	1210	1179	1191	0	11000
10	1164	1163	1199	1202	1183	1195	1206	1210	1179	1191	1194	0	12195
11	1163	1199	1202	1183	1195	1206	1210	1179	1191	1194	1187	0	13401
12	1199	1202	1183	1195	1206	1210	1179	1191	1194	1187	1163	0	14611
13	1202	1183	1195	1206	1210	1179	1191	1194	1187	1163	1187	0	15790
14	1183	1195	1206	1210	1179	1191	1194	1187	1163	1187	1202	0	16981
15	1195	1206	1210	1179	1191	1194	1187	1163	1187	1202	1203	0	18175
16	1206	1210	1179	1191	1194	1187	1163	1187	1202	1203	1190	0	19362
17	1210	1179	1191	1194	1187	1163	1187	1202	1203	1190	1203	0	20525
18	1179	1191	1194	1187	1163	1187	1202	1203	1190	1203	1210	0	21712
19	1191	1194	1187	1163	1187	1202	1203	1190	1203	1210	1183	0	22914
20	1194	1187	1163	1187	1202	1203	1190	1203	1210	1183	1155	0	24117
21	1187	1163	1187	1202	1203	1190	1203	1210	1183	1155	1168	0	25307
22	1163	1187	1202	1203	1190	1203	1210	1183	1155	1168	1151	0	26510
23	1187	1202	1203	1190	1203	1210	1183	1155	1168	1151	1144	0	27720
24	1202	1203	1190	1203	1210	1183	1155	1168	1151	1144	1152	0	28903
25	1203	1190	1203	1210	1183	1155	1168	1151	1144	1152	1164	0	30058
26	1190	1203	1210	1183	1155	1168	1151	1144	1152	1164	1179	0	31226
27	1203	1210	1183	1155	1168	1151	1144	1152	1164	1179	1171	0	32377
28	1210	1183	1155	1168	1151	1144	1152	1164	1179	1171	517	0	33521
29	1183	1155	1168	1151	1144	1152	1164	1179	1171	517	1354	0	34673
30	1155	1168	1151	1144	1152	1164	1179	1171	517	1354	1199	0	35837
31	1168	1151	1144	1152	1164	1179	1171	517	1354	1199	1183	0	37016
32	1151	1144	1152	1164	1179	1171	517	1354	1199	1183	1171	0	38187
33	1144	1152	1164	1179	1171	517	1354	1199	1183	1171	1187	1	38704
34	1152	1164	1179	1171	517	1354	1199	1183	1171	1187	1194	0	40058
35	1164	1179	1171	517	1354	1199	1183	1171	1187	1194	1203	0	41257
36	1179	1171	517	1354	1199	1183	1171	1187	1194	1203	1179	0	42440
37	1171	517	1354	1199	1183	1171	1187	1194	1203	1179	1182	0	43611
38	517	1354	1199	1183	1171	1187	1194	1203	1179	1182	1191	0	44798
39	1354	1199	1183	1171	1187	1194	1203	1179	1182	1191	1175	0	45992
40	1199	1183	1171	1187	1194	1203	1179	1182	1191	1175	1167	0	47195
41	1183	1171	1187	1194	1203	1179	1182	1191	1175	1167	1152	0	48374
42	1171	1187	1194	1203	1179	1182	1191	1175	1167	1152	1160	0	49556
43	1187	1194	1203	1179	1182	1191	1175	1167	1152	1160	1155	0	50747
44	1194	1203	1179	1182	1191	1175	1167	1152	1160	1155	1137	0	51922
45	1203	1179	1182	1191	1175	1167	1152	1160	1155	1137	1144	0	53089
46	1179	1182	1191	1175	1167	1152	1160	1155	1137	1144	1163	0	54241
47	1182	1191	1175	1167	1152	1160	1155	1137	1144	1163	1175	0	55401
48	1191	1175	1167	1152	1160	1155	1137	1144	1163	1175	1156	0	56556
49	1175	1167	1152	1160	1155	1137	1144	1163	1175	1156	1159	0	57693
50	1167	1152	1160	1155	1137	1144	1163	1175	1156	1159	1171	0	58837
51	1152	1160	1155	1137	1144	1163	1175	1156	1159	1171	1183	0	60000
52	1160	1155	1137	1144	1163	1175	1156	1159	1171	1183	1156	0	61175
53	1155	1137	1144	1163	1175	1156	1159	1171	1183	1156	1160	0	62331
54	1137	1144	1163	1175	1156	1159	1171	1183	1156	1160	1175	0	63490
55	1144	1163	1175	1156	1159	1171	1183	1156	1160	1175	1183	0	64661
56	1163	1175	1156	1159	1171	1183	1156	1160	1175	1183	1155	0	65844
57	1175	1156	1159	1171	1183	1156	1160	1175	1183	1155	1160	0	67000
58	1156	1159	1171	1183	1156	1160	1175	1183	1155	1160	1179	0	68160
59	1159	1171	1183	1156	1160	1175	1183	1155	1160	1179	1194	0	69335
60	1171	1183	1156	1160	1175	1183	1155	1160	1179	1194	1183	0	70518
61	1183	1156	1160	1175	1183	1155	1160	1179	1194	1183	1179	0	71673
62	1156	1160	1175	1183	1155	1160	1179	1194	1183	1179	1183	0	72833
63	1160	1175	1183	1155	1160	1179	1194	1183	1179	1183	1206	0	74012
64	1175	1183	1155	1160	1179	1194	1183	1179	1183	1206	1183	0	75206
65	1183	1155	1160	1179	1194	1183	1179	1183	1206	1183	1175	0	76389
66	1155	1160	1179	1194	1183	1179	1183	1206	1183	1175	1183	0	77568
67	1160	1179	1194	1183	1179	1183	1206	1183	1175	1183	1175	0	78751
68	1179	1194	1183	1179	1183	1206	1183	1175	1183	1175	1187	0	79957
69	1194	1183	1179	1183	1206	1183	1175	1183	1175	1187	1175	0	81140
70	1183	1179	1183	1206	1183	1175	1183	1175	1187	1175	1175	0	82315
71	1179	1183	1206	1183	1175	1183	1175	1187	1175	1175	1187	0	83498
72	1183	1206	1183	1175	1183	1175	1187	1175	1175	1187	1191	0	84673
73	1206	1183	1175	1183	1175	1187	1175	1175	1187	1191	1186	0	85860
74	1183	1175	1183	1175	1187	1175	1175	1187	1191	1186	1199	0	87035
75	1175	1183	1175	1187	1175	1175	1187	1191	1186	1199	1233	0	88210
76	1183	1175	1187	1175	1175	1187	1191	1186	1199	1233	1214	0	89397
77	1175	1187	1175	1175	1187	1191	1186	1199	1233	1214	522	0	90588
78	1187	1175	1175	1187	1191	1186	1199	1233	1214	522	1323	0	91774
79	1175	1175	1187	1191	1186	1199	1233	1214	522	1323	1225	0	92973
80	1175	1187	1191	1186	1199	1233	1214	522	1323	1225	1191	0	94206
81	1187	1191	1186	1199	1233	1214	522	1323	1225	1191	1179	0	95420
82	1191	1186	1199	1233	1214	522	1323	1225	1191	1179	1156	1	95942
83	1186	1199	1233	1214	522	1323	1225	1191	1179	1156	1159	0	97265
84	1199	1233	1214	522	1323	1225	1191	1179	1156	1159	1167	0	98490
85	1233	1214	522	1323	1225	1191	1179	1156	1159	1167	1172	0	99681
86	1214	522	1323	1225	1191	1179	1156	1159	1167	1172	1151	0	100860
87	522	1323	1225	1191	1179	1156	1159	1167	1172	1151	1160	0	102016
88	1323	1225	1191	1179	1156	1159	1167	1172	1151	1160	1179	0	103175
89	1225	1191	1179	1156	1159	1167	1172	1151	1160	1179	1179	0	104342
90	1191	1179	1156	1159	1167	1172	1151	1160	1179	1179	1171	0	105514
91	1179	1156	1159	1167	1172	1151	1160	1179	1179	1171	1179	0	106665
92	1156	1159	1167	1172	1151	1160	1179	1179	1171	1179	1206	0	107825
93	1159	1167	1172	1151	1160	1179	1179	1171	1179	1206	1195	0	109004
94	1167	1172	1151	1160	1179	1179	1171	1179	1206	1195	1171	0	110183
95	1172	1151	1160	1179	1179	1171	1179	1206	1195	1171	1202	0	111354
96	1151	1160	1179	1179	1171	1179	1206	1195	1171	1202	1203	0	112533
97	1160	1179	1179	1171	1179	1206	1195	1171	1202	1203	1198	0	113739
98	1179	1179	1171	1179	1206	1195	1171	1202	1203	1198	1171	0	114934
99	1179	1171	1179	1206	1195	1171	1202	1203	1198	1171	1183	0	116105
100	1171	1179	1206	1195	1171	1202	1203	1198	1171	1183	1164	0	117307
101	1179	1206	1195	1171	1202	1203	1198	1171	1183	1164	1159	0	118510
102	1206	1195	1171	1202	1203	1198	1171	1183	1164	1159	1164	0	119708
103	1195	1171	1202	1203	1198	1171	1183	1164	1159	1164	1163	0	120879
104	1171	1202	1203	1198	1171	1183	1164	1159	1164	1163	1148	0	122062
105	1202	1203	1198	1171	1183	1164	1159	1164	1163	1148	1167	0	123226
106	1203	1198	1171	1183	1164	1159	1164	1163	1148	1167	1175	0	124385
107	1198	1171	1183	1164	1159	1164	1163	1148	1167	1175	1156	0	125549
108	1171	1183	1164	1159	1164	1163	1148	1167	1175	1156	1152	0	126712
109	1183	1164	1159	1164	1163	1148	1167	1175	1156	1152	1183	0	127860
110	1164	1159	1164	1163	1148	1167	1175	1156	1152	1183	1186	0	129027
111	1159	1164	1163	1148	1167	1175	1156	1152	1183	1186	1179	0	130202
112	1164	1163	1148	1167	1175	1156	1152	1183	1186	1179	1191	0	131358
113	1163	1148	1167	1175	1156	1152	1183	1186	1179	1191	1167	0	132510
114	1148	1167	1175	1156	1152	1183	1186	1179	1191	1167	1160	0	133693
115	1167	1175	1156	1152	1183	1186	1179	1191	1167	1160	1175	0	134879
116	1175	1156	1152	1183	1186	1179	1191	1167	1160	1175	1179	0	136058
117	1156	1152	1183	1186	1179	1191	1167	1160	1175	1179	1171	0	137249
118	1152	1183	1186	1179	1191	1167	1160	1175	1179	1171	1175	0	138416
119	1183	1186	1179	1191	1167	1160	1175	1179	1171	1175	1199	0	139576
120	1186	1179	1191	1167	1160	1175	1179	1171	1175	1199	1218	0	140751
121	1179	1191	1167	1160	1175	1179	1171	1175	1199	1218	1206	0	141930
122	1191	1167	1160	1175	1179	1171	1175	1199	1218	1206	1190	0	143101
123	1167	1160	1175	1179	1171	1175	1199	1218	1206	1190	1234	0	144276
124	1160	1175	1179	1171	1175	1199	1218	1206	1190	1234	1241	0	145475
125	1175	1179	1171	1175	1199	1218	1206	1190	1234	1241	1206	0	146693
126	1179	1171	1175	1199	1218	1206	1190	1234	1241	1206	1187	0	147899
127	1171	1175	1199	1218	1206	1190	1234	1241	1206	1187	1206	0	149089
128	1175	1199	1218	1206	1190	1234	1241	1206	1187	1206	1218	0	150323
129	1199	1218	1206	1190	1234	1241	1206	1187	1206	1218	1203	0	151564
130	1218	1206	1190	1234	1241	1206	1187	1206	1218	1203	1186	0	152770
131	1206	1190	1234	1241	1206	1187	1206	1218	1203	1186	1199	0	153957
132	1190	1234	1241	1206	1187	1206	1218	1203	1186	1199	1194	0	155163
133	1234	1241	1206	1187	1206	1218	1203	1186	1199	1194	1176	0	156381
134	1241	1206	1187	1206	1218	1203	1186	1199	1194	1176	1163	0	157584
135	1206	1187	1206	1218	1203	1186	1199	1194	1176	1163	521	0	158770
136	1187	1206	1218	1203	1186	1199	1194	1176	1163	521	705	0	159969
137	1206	1218	1203	1186	1199	1194	1176	1163	521	705	560	0	161163
138	1218	1203	1186	1199	1194	1176	1163	521	705	560	1704	0	162339
139	1203	1186	1199	1194	1176	1163	521	705	560	1704	1199	0	163502
140	1186	1199	1194	1176	1163	521	705	560	1704	1199	1186	1	164023
141	1199	1194	1176	1163	521	705	560	1704	1199	1186	1195	1	164728
142	1194	1176	1163	521	705	560	1704	1199	1186	1195	1167	1	165288
