i-5	i-4	i-3	i-2	i-1	i+0	i+1	i+2	i+3	i+4	i+5	Filter
813	922	895	895	763	502	1261	867	782	510	891	1
922	895	895	763	502	1261	867	782	510	891	736	0
895	895	763	502	1261	867	782	510	891	736	824	0
895	763	502	1261	867	782	510	891	736	824	518	0
763	502	1261	867	782	510	891	736	824	518	1109	1
502	1261	867	782	510	891	736	824	518	1109	790	0
1261	867	782	510	891	736	824	518	1109	790	704	0
867	782	510	891	736	824	518	1109	790	704	522	0
782	510	891	736	824	518	1109	790	704	522	840	1
510	891	736	824	518	1109	790	704	522	840	696	0
891	736	824	518	1109	790	704	522	840	696	841	0
736	824	518	1109	790	704	522	840	696	841	778	0
824	518	1109	790	704	522	840	696	841	778	809	1
518	1109	790	704	522	840	696	841	778	809	724	0
1109	790	704	522	840	696	841	778	809	724	693	0
790	704	522	840	696	841	778	809	724	693	766	0
704	522	840	696	841	778	809	724	693	766	872	0
522	840	696	841	778	809	724	693	766	872	533	0
840	696	841	778	809	724	693	766	872	533	1101	0
696	841	778	809	724	693	766	872	533	1101	673	0
841	778	809	724	693	766	872	533	1101	673	810	0
778	809	724	693	766	872	533	1101	673	810	521	0
809	724	693	766	872	533	1101	673	810	521	1152	1
724	693	766	872	533	1101	673	810	521	1152	860	0
693	766	872	533	1101	673	810	521	1152	860	692	0
766	872	533	1101	673	810	521	1152	860	692	510	0
872	533	1101	673	810	521	1152	860	692	510	856	1
533	1101	673	810	521	1152	860	692	510	856	704	0
1101	673	810	521	1152	860	692	510	856	704	856	0
673	810	521	1152	860	692	510	856	704	856	806	0
810	521	1152	860	692	510	856	704	856	806	840	1
521	1152	860	692	510	856	704	856	806	840	747	0
1152	860	692	510	856	704	856	806	840	747	724	0
860	692	510	856	704	856	806	840	747	724	518	0
692	510	856	704	856	806	840	747	724	518	1233	0
510	856	704	856	806	840	747	724	518	1233	759	0
856	704	856	806	840	747	724	518	1233	759	739	0
704	856	806	840	747	724	518	1233	759	739	514	0
856	806	840	747	724	518	1233	759	739	514	1085	1
806	840	747	724	518	1233	759	739	514	1085	670	0
840	747	724	518	1233	759	739	514	1085	670	871	0
747	724	518	1233	759	739	514	1085	670	871	806	0
724	518	1233	759	739	514	1085	670	871	806	829	1
518	1233	759	739	514	1085	670	871	806	829	727	0
1233	759	739	514	1085	670	871	806	829	727	673	0
759	739	514	1085	670	871	806	829	727	673	670	0
739	514	1085	670	871	806	829	727	673	670	747	0
514	1085	670	871	806	829	727	673	670	747	856	0
1085	670	871	806	829	727	673	670	747	856	533	0
670	871	806	829	727	673	670	747	856	533	1124	0
871	806	829	727	673	670	747	856	533	1124	708	0
806	829	727	673	670	747	856	533	1124	708	697	0
829	727	673	670	747	856	533	1124	708	697	833	0
727	673	670	747	856	533	1124	708	697	833	825	1
673	670	747	856	533	1124	708	697	833	825	836	0
670	747	856	533	1124	708	697	833	825	836	755	0
747	856	533	1124	708	697	833	825	836	755	739	0
856	533	1124	708	697	833	825	836	755	739	494	0
533	1124	708	697	833	825	836	755	739	494	1269	0
1124	708	697	833	825	836	755	739	494	1269	747	0
708	697	833	825	836	755	739	494	1269	747	856	0
697	833	825	836	755	739	494	1269	747	856	693	0
833	825	836	755	739	494	1269	747	856	693	653	1
825	836	755	739	494	1269	747	856	693	653	666	0
836	755	739	494	1269	747	856	693	653	666	506	0
755	739	494	1269	747	856	693	653	666	506	1171	0
739	494	1269	747	856	693	653	666	506	1171	794	0
494	1269	747	856	693	653	666	506	1171	794	778	0
1269	747	856	693	653	666	506	1171	794	778	685	0
747	856	693	653	666	506	1171	794	778	685	645	1
856	693	653	666	506	1171	794	778	685	645	642	0
693	653	666	506	1171	794	778	685	645	642	526	0
653	666	506	1171	794	778	685	645	642	526	910	0
666	506	1171	794	778	685	645	642	526	910	798	0
506	1171	794	778	685	645	642	526	910	798	782	0
1171	794	778	685	645	642	526	910	798	782	778	0
794	778	685	645	642	526	910	798	782	778	759	1
778	685	645	642	526	910	798	782	778	759	697	0
685	645	642	526	910	798	782	778	759	697	638	0
645	642	526	910	798	782	778	759	697	638	649	0
642	526	910	798	782	778	759	697	638	649	689	0
526	910	798	782	778	759	697	638	649	689	712	0
910	798	782	778	759	697	638	649	689	712	673	0
798	782	778	759	697	638	649	689	712	673	666	0
782	778	759	697	638	649	689	712	673	666	646	0
778	759	697	638	649	689	712	673	666	646	642	0
759	697	638	649	689	712	673	666	646	642	626	0
697	638	649	689	712	673	666	646	642	626	739	0
638	649	689	712	673	666	646	642	626	739	674	0
649	689	712	673	666	646	642	626	739	674	716	0
689	712	673	666	646	642	626	739	674	716	688	0
712	673	666	646	642	626	739	674	716	688	712	0
673	666	646	642	626	739	674	716	688	712	685	0
666	646	642	626	739	674	716	688	712	685	533	0
646	642	626	739	674	716	688	712	685	533	880	0
642	626	739	674	716	688	712	685	533	880	712	0
626	739	674	716	688	712	685	533	880	712	696	0
739	674	716	688	712	685	533	880	712	696	708	0
674	716	688	712	685	533	880	712	696	708	681	1
716	688	712	685	533	880	712	696	708	681	728	0
688	712	685	533	880	712	696	708	681	728	696	0
712	685	533	880	712	696	708	681	728	696	724	0
685	533	880	712	696	708	681	728	696	724	732	0
533	880	712	696	708	681	728	696	724	732	751	0
880	712	696	708	681	728	696	724	732	751	712	0
712	696	708	681	728	696	724	732	751	712	731	0
696	708	681	728	696	724	732	751	712	731	525	0
708	681	728	696	724	732	751	712	731	525	962	0
681	728	696	724	732	751	712	731	525	962	657	0
728	696	724	732	751	712	731	525	962	657	669	0
696	724	732	751	712	731	525	962	657	669	670	0
724	732	751	712	731	525	962	657	669	670	688	1
732	751	712	731	525	962	657	669	670	688	693	0
751	712	731	525	962	657	669	670	688	693	739	0
712	731	525	962	657	669	670	688	693	739	779	0
731	525	962	657	669	670	688	693	739	779	778	0
525	962	657	669	670	688	693	739	779	778	743	0
962	657	669	670	688	693	739	779	778	743	747	0
657	669	670	688	693	739	779	778	743	747	751	0
669	670	688	693	739	779	778	743	747	751	739	0
670	688	693	739	779	778	743	747	751	739	724	0
688	693	739	779	778	743	747	751	739	724	747	0
693	739	779	778	743	747	751	739	724	747	739	0
739	779	778	743	747	751	739	724	747	739	740	0
779	778	743	747	751	739	724	747	739	740	735	0
778	743	747	751	739	724	747	739	740	735	732	0
743	747	751	739	724	747	739	740	735	732	747	0
747	751	739	724	747	739	740	735	732	747	723	0
751	739	724	747	739	740	735	732	747	723	748	0
739	724	747	739	740	735	732	747	723	748	731	0
724	747	739	740	735	732	747	723	748	731	728	0
747	739	740	735	732	747	723	748	731	728	735	0
739	740	735	732	747	723	748	731	728	735	743	0
740	735	732	747	723	748	731	728	735	743	724	0
735	732	747	723	748	731	728	735	743	724	724	0
732	747	723	748	731	728	735	743	724	724	766	0
747	723	748	731	728	735	743	724	724	766	732	0
723	748	731	728	735	743	724	724	766	732	731	0
748	731	728	735	743	724	724	766	732	731	740	0
731	728	735	743	724	724	766	732	731	740	719	0
728	735	743	724	724	766	732	731	740	719	716	0
735	743	724	724	766	732	731	740	719	716	728	0
743	724	724	766	732	731	740	719	716	728	708	0
724	724	766	732	731	740	719	716	728	708	708	0
724	766	732	731	740	719	716	728	708	708	709	0
766	732	731	740	719	716	728	708	708	709	712	0
732	731	740	719	716	728	708	708	709	712	696	0
731	740	719	716	728	708	708	709	712	696	724	0
740	719	716	728	708	708	709	712	696	724	533	0
719	716	728	708	708	709	712	696	724	533	887	0
716	728	708	708	709	712	696	724	533	887	697	0
728	708	708	709	712	696	724	533	887	697	712	0
708	708	709	712	696	724	533	887	697	712	521	0
708	709	712	696	724	533	887	697	712	521	907	1
709	712	696	724	533	887	697	712	521	907	696	0
712	696	724	533	887	697	712	521	907	696	708	0
696	724	533	887	697	712	521	907	696	708	720	0
724	533	887	697	712	521	907	696	708	720	724	1
533	887	697	712	521	907	696	708	720	724	720	0
887	697	712	521	907	696	708	720	724	720	712	0
697	712	521	907	696	708	720	724	720	712	712	0
712	521	907	696	708	720	724	720	712	712	708	0
521	907	696	708	720	724	720	712	712	708	724	0
907	696	708	720	724	720	712	712	708	724	525	0
696	708	720	724	720	712	712	708	724	525	926	0
708	720	724	720	712	712	708	724	525	926	728	0
720	724	720	712	712	708	724	525	926	728	723	0
724	720	712	712	708	724	525	926	728	723	720	0
720	712	712	708	724	525	926	728	723	720	732	1
712	712	708	724	525	926	728	723	720	732	517	0
712	708	724	525	926	728	723	720	732	517	961	0
708	724	525	926	728	723	720	732	517	961	709	0
724	525	926	728	723	720	732	517	961	709	716	0
525	926	728	723	720	732	517	961	709	716	509	0
926	728	723	720	732	517	961	709	716	509	942	1
728	723	720	732	517	961	709	716	509	942	716	0
723	720	732	517	961	709	716	509	942	716	731	0
720	732	517	961	709	716	509	942	716	731	709	0
732	517	961	709	716	509	942	716	731	709	739	1
517	961	709	716	509	942	716	731	709	739	510	0
961	709	716	509	942	716	731	709	739	510	933	0
709	716	509	942	716	731	709	739	510	933	709	0
716	509	942	716	731	709	739	510	933	709	719	0
509	942	716	731	709	739	510	933	709	719	518	0
942	716	731	709	739	510	933	709	719	518	903	1
716	731	709	739	510	933	709	719	518	903	712	0
731	709	739	510	933	709	719	518	903	712	731	0
709	739	510	933	709	719	518	903	712	731	724	0
739	510	933	709	719	518	903	712	731	724	735	1
510	933	709	719	518	903	712	731	724	735	502	0
933	709	719	518	903	712	731	724	735	502	973	0
709	719	518	903	712	731	724	735	502	973	693	0
719	518	903	712	731	724	735	502	973	693	743	0
518	903	712	731	724	735	502	973	693	743	502	0
903	712	731	724	735	502	973	693	743	502	934	1
712	731	724	735	502	973	693	743	502	934	716	0
731	724	735	502	973	693	743	502	934	716	716	0
724	735	502	973	693	743	502	934	716	716	723	0
735	502	973	693	743	502	934	716	716	723	732	1
502	973	693	743	502	934	716	716	723	732	720	0
973	693	743	502	934	716	716	723	732	720	735	0
693	743	502	934	716	716	723	732	720	735	743	0
743	502	934	716	716	723	732	720	735	743	736	0
502	934	716	716	723	732	720	735	743	736	704	0
934	716	716	723	732	720	735	743	736	704	689	0
716	716	723	732	720	735	743	736	704	689	712	0
716	723	732	720	735	743	736	704	689	712	969	0
723	732	720	735	743	736	704	689	712	969	509	0
732	720	735	743	736	704	689	712	969	509	1125	0
720	735	743	736	704	689	712	969	509	1125	521	0
735	743	736	704	689	712	969	509	1125	521	950	0
743	736	704	689	712	969	509	1125	521	950	774	0
736	704	689	712	969	509	1125	521	950	774	876	1
704	689	712	969	509	1125	521	950	774	876	505	0
689	712	969	509	1125	521	950	774	876	505	1109	1
712	969	509	1125	521	950	774	876	505	1109	658	0
969	509	1125	521	950	774	876	505	1109	658	693	0
509	1125	521	950	774	876	505	1109	658	693	832	0
1125	521	950	774	876	505	1109	658	693	832	518	1
521	950	774	876	505	1109	658	693	832	518	1120	0
950	774	876	505	1109	658	693	832	518	1120	817	0
774	876	505	1109	658	693	832	518	1120	817	720	0
876	505	1109	658	693	832	518	1120	817	720	685	0
505	1109	658	693	832	518	1120	817	720	685	771	1
1109	658	693	832	518	1120	817	720	685	771	875	0
658	693	832	518	1120	817	720	685	771	875	514	0
693	832	518	1120	817	720	685	771	875	514	1109	0
832	518	1120	817	720	685	771	875	514	1109	883	0
518	1120	817	720	685	771	875	514	1109	883	692	0
1120	817	720	685	771	875	514	1109	883	692	681	0
817	720	685	771	875	514	1109	883	692	681	876	1
720	685	771	875	514	1109	883	692	681	876	510	0
685	771	875	514	1109	883	692	681	876	510	1167	0
771	875	514	1109	883	692	681	876	510	1167	704	0
875	514	1109	883	692	681	876	510	1167	704	662	0
514	1109	883	692	681	876	510	1167	704	662	669	0
1109	883	692	681	876	510	1167	704	662	669	712	1
883	692	681	876	510	1167	704	662	669	712	821	0
692	681	876	510	1167	704	662	669	712	821	518	0
681	876	510	1167	704	662	669	712	821	518	1116	0
876	510	1167	704	662	669	712	821	518	1116	716	0
510	1167	704	662	669	712	821	518	1116	716	693	0
1167	704	662	669	712	821	518	1116	716	693	891	0
704	662	669	712	821	518	1116	716	693	891	798	1
662	669	712	821	518	1116	716	693	891	798	832	0
669	712	821	518	1116	716	693	891	798	832	510	0
712	821	518	1116	716	693	891	798	832	510	942	0
821	518	1116	716	693	891	798	832	510	942	688	0
518	1116	716	693	891	798	832	510	942	688	740	0
1116	716	693	891	798	832	510	942	688	740	502	0
716	693	891	798	832	510	942	688	740	502	1000	1
693	891	798	832	510	942	688	740	502	1000	692	0
891	798	832	510	942	688	740	502	1000	692	681	0
798	832	510	942	688	740	502	1000	692	681	685	0
832	510	942	688	740	502	1000	692	681	685	677	1
510	942	688	740	502	1000	692	681	685	677	677	0
942	688	740	502	1000	692	681	685	677	677	712	0
688	740	502	1000	692	681	685	677	677	712	720	0
740	502	1000	692	681	685	677	677	712	720	724	0
502	1000	692	681	685	677	677	712	720	724	708	0
1000	692	681	685	677	677	712	720	724	708	739	0
692	681	685	677	677	712	720	724	708	739	724	0
681	685	677	677	712	720	724	708	739	724	716	0
685	677	677	712	720	724	708	739	724	716	724	0
677	677	712	720	724	708	739	724	716	724	716	0
677	712	720	724	708	739	724	716	724	716	704	0
712	720	724	708	739	724	716	724	716	704	720	0
720	724	708	739	724	716	724	716	704	720	708	0
724	708	739	724	716	724	716	704	720	708	704	0
708	739	724	716	724	716	704	720	708	704	716	0
739	724	716	724	716	704	720	708	704	716	708	0
724	716	724	716	704	720	708	704	716	708	708	0
716	724	716	704	720	708	704	716	708	708	709	0
724	716	704	720	708	704	716	708	708	709	513	0
716	704	720	708	704	716	708	708	709	513	926	0
704	720	708	704	716	708	708	709	513	926	708	0
720	708	704	716	708	708	709	513	926	708	701	0
708	704	716	708	708	709	513	926	708	701	498	0
704	716	708	708	709	513	926	708	701	498	930	1
716	708	708	709	513	926	708	701	498	930	692	0
708	708	709	513	926	708	701	498	930	692	709	0
708	709	513	926	708	701	498	930	692	709	712	0
709	513	926	708	701	498	930	692	709	712	727	1
513	926	708	701	498	930	692	709	712	727	518	0
926	708	701	498	930	692	709	712	727	518	965	0
708	701	498	930	692	709	712	727	518	965	724	0
701	498	930	692	709	712	727	518	965	724	750	0
498	930	692	709	712	727	518	965	724	750	736	0
930	692	709	712	727	518	965	724	750	736	755	1
692	709	712	727	518	965	724	750	736	755	681	0
709	712	727	518	965	724	750	736	755	681	665	0
712	727	518	965	724	750	736	755	681	665	665	0
727	518	965	724	750	736	755	681	665	665	712	0
518	965	724	750	736	755	681	665	665	712	771	0
965	724	750	736	755	681	665	665	712	771	751	0
724	750	736	755	681	665	665	712	771	751	731	0
750	736	755	681	665	665	712	771	751	731	728	0
736	755	681	665	665	712	771	751	731	728	759	0
755	681	665	665	712	771	751	731	728	759	751	0
681	665	665	712	771	751	731	728	759	751	751	0
665	665	712	771	751	731	728	759	751	751	762	0
665	712	771	751	731	728	759	751	751	762	709	0
712	771	751	731	728	759	751	751	762	709	537	0
771	751	731	728	759	751	751	762	709	537	1007	0
751	731	728	759	751	751	762	709	537	1007	794	0
731	728	759	751	751	762	709	537	1007	794	732	0
728	759	751	751	762	709	537	1007	794	732	754	0
759	751	751	762	709	537	1007	794	732	754	736	1
751	751	762	709	537	1007	794	732	754	736	669	0
751	762	709	537	1007	794	732	754	736	669	669	0
762	709	537	1007	794	732	754	736	669	669	666	0
709	537	1007	794	732	754	736	669	669	666	852	0
537	1007	794	732	754	736	669	669	666	852	525	0
1007	794	732	754	736	669	669	666	852	525	1136	0
794	732	754	736	669	669	666	852	525	1136	709	0
732	754	736	669	669	666	852	525	1136	709	723	0
754	736	669	669	666	852	525	1136	709	723	494	0
736	669	669	666	852	525	1136	709	723	494	1160	1
669	669	666	852	525	1136	709	723	494	1160	494	0
669	666	852	525	1136	709	723	494	1160	494	553	0
666	852	525	1136	709	723	494	1160	494	553	836	0
852	525	1136	709	723	494	1160	494	553	836	794	1
525	1136	709	723	494	1160	494	553	836	794	661	0
1136	709	723	494	1160	494	553	836	794	661	798	1
709	723	494	1160	494	553	836	794	661	798	821	1
723	494	1160	494	553	836	794	661	798	821	529	0
494	1160	494	553	836	794	661	798	821	529	1102	0
1160	494	553	836	794	661	798	821	529	1102	731	0
494	553	836	794	661	798	821	529	1102	731	654	0
553	836	794	661	798	821	529	1102	731	654	692	0
836	794	661	798	821	529	1102	731	654	692	817	1
794	661	798	821	529	1102	731	654	692	817	514	0
661	798	821	529	1102	731	654	692	817	514	1109	0
798	821	529	1102	731	654	692	817	514	1109	778	0
821	529	1102	731	654	692	817	514	1109	778	790	0
529	1102	731	654	692	817	514	1109	778	790	506	0
1102	731	654	692	817	514	1109	778	790	506	1054	1
731	654	692	817	514	1109	778	790	506	1054	689	0
654	692	817	514	1109	778	790	506	1054	689	860	0
692	817	514	1109	778	790	506	1054	689	860	802	0
817	514	1109	778	790	506	1054	689	860	802	825	1
514	1109	778	790	506	1054	689	860	802	825	832	0
1109	778	790	506	1054	689	860	802	825	832	868	0
778	790	506	1054	689	860	802	825	832	868	883	0
790	506	1054	689	860	802	825	832	868	883	697	0
506	1054	689	860	802	825	832	868	883	697	513	0
1054	689	860	802	825	832	868	883	697	513	1277	0
689	860	802	825	832	868	883	697	513	1277	751	0
860	802	825	832	868	883	697	513	1277	751	980	0
802	825	832	868	883	697	513	1277	751	980	806	0
825	832	868	883	697	513	1277	751	980	806	848	1
832	868	883	697	513	1277	751	980	806	848	844	0
868	883	697	513	1277	751	980	806	848	844	821	0
883	697	513	1277	751	980	806	848	844	821	841	0
697	513	1277	751	980	806	848	844	821	841	832	0
513	1277	751	980	806	848	844	821	841	832	887	0
1277	751	980	806	848	844	821	841	832	887	915	0
751	980	806	848	844	821	841	832	887	915	906	0
980	806	848	844	821	841	832	887	915	906	903	0
806	848	844	821	841	832	887	915	906	903	883	0
848	844	821	841	832	887	915	906	903	883	888	0
844	821	841	832	887	915	906	903	883	888	860	0
821	841	832	887	915	906	903	883	888	860	852	0
841	832	887	915	906	903	883	888	860	852	840	0
832	887	915	906	903	883	888	860	852	840	833	0
887	915	906	903	883	888	860	852	840	833	770	0
915	906	903	883	888	860	852	840	833	770	720	0
906	903	883	888	860	852	840	833	770	720	498	0
903	883	888	860	852	840	833	770	720	498	1164	0
883	888	860	852	840	833	770	720	498	1164	786	0
888	860	852	840	833	770	720	498	1164	786	766	0
860	852	840	833	770	720	498	1164	786	766	747	0
852	840	833	770	720	498	1164	786	766	747	747	1
840	833	770	720	498	1164	786	766	747	747	514	0
833	770	720	498	1164	786	766	747	747	514	1054	0
770	720	498	1164	786	766	747	747	514	1054	786	0
720	498	1164	786	766	747	747	514	1054	786	755	0
498	1164	786	766	747	747	514	1054	786	755	545	0
1164	786	766	747	747	514	1054	786	755	545	1074	1
786	766	747	747	514	1054	786	755	545	1074	817	0
766	747	747	514	1054	786	755	545	1074	817	805	0
747	747	514	1054	786	755	545	1074	817	805	794	0
747	514	1054	786	755	545	1074	817	805	794	813	1
514	1054	786	755	545	1074	817	805	794	813	771	0
1054	786	755	545	1074	817	805	794	813	771	712	0
786	755	545	1074	817	805	794	813	771	712	517	0
755	545	1074	817	805	794	813	771	712	517	1117	0
545	1074	817	805	794	813	771	712	517	1117	880	0
1074	817	805	794	813	771	712	517	1117	880	490	0
817	805	794	813	771	712	517	1117	880	490	1342	0
805	794	813	771	712	517	1117	880	490	1342	880	1
794	813	771	712	517	1117	880	490	1342	880	474	0
813	771	712	517	1117	880	490	1342	880	474	1016	0
771	712	517	1117	880	490	1342	880	474	1016	790	1
712	517	1117	880	490	1342	880	474	1016	790	988	0
