index	i-5	i-4	i-3	i-2	i-1	i+0	i+1	i+2	i+3	i+4	i+5	Filter	Time
5	564	732	704	700	553	957	763	766	794	580	1155	0	4210
6	732	704	700	553	957	763	766	794	580	1155	413	0	4973
7	704	700	553	957	763	766	794	580	1155	413	1171	0	5739
8	700	553	957	763	766	794	580	1155	413	1171	471	0	6533
9	553	957	763	766	794	580	1155	413	1171	471	1062	1	7113
10	957	763	766	794	580	1155	413	1171	471	1062	545	0	8268
11	763	766	794	580	1155	413	1171	471	1062	545	910	1	8681
12	766	794	580	1155	413	1171	471	1062	545	910	693	0	9852
13	794	580	1155	413	1171	471	1062	545	910	693	681	1	10323
14	580	1155	413	1171	471	1062	545	910	693	681	580	0	11385
15	1155	413	1171	471	1062	545	910	693	681	580	790	1	11930
16	413	1171	471	1062	545	910	693	681	580	790	688	0	12840
17	1171	471	1062	545	910	693	681	580	790	688	705	0	13533
18	471	1062	545	910	693	681	580	790	688	705	603	0	14214
19	1062	545	910	693	681	580	790	688	705	603	1066	1	14794
20	545	910	693	681	580	790	688	705	603	1066	541	0	15584
21	910	693	681	580	790	688	705	603	1066	541	1155	0	16272
22	693	681	580	790	688	705	603	1066	541	1155	471	0	16977
23	681	580	790	688	705	603	1066	541	1155	471	1109	1	17580
24	580	790	688	705	603	1066	541	1155	471	1109	514	0	18646
25	790	688	705	603	1066	541	1155	471	1109	514	1011	1	19187
26	688	705	603	1066	541	1155	471	1109	514	1011	572	0	20342
27	705	603	1066	541	1155	471	1109	514	1011	572	864	1	20813
28	603	1066	541	1155	471	1109	514	1011	572	864	705	0	21922
29	1066	541	1155	471	1109	514	1011	572	864	705	704	1	22436
30	541	1155	471	1109	514	1011	572	864	705	704	720	0	23447
31	1155	471	1109	514	1011	572	864	705	704	720	459	1	24019
32	471	1109	514	1011	572	864	705	704	720	459	1047	0	24883
33	1109	514	1011	572	864	705	704	720	459	1047	747	0	25588
34	514	1011	572	864	705	704	720	459	1047	747	751	0	26292
35	1011	572	864	705	704	720	459	1047	747	751	747	0	27012
36	572	864	705	704	720	459	1047	747	751	747	751	1	27471
37	864	705	704	720	459	1047	747	751	747	751	766	0	28518
38	705	704	720	459	1047	747	751	747	751	766	782	0	29265
39	704	720	459	1047	747	751	747	751	766	782	526	0	30016
40	720	459	1047	747	751	747	751	766	782	526	1035	0	30763
41	459	1047	747	751	747	751	766	782	526	1035	494	0	31514
42	1047	747	751	747	751	766	782	526	1035	494	1043	0	32280
43	747	751	747	751	766	782	526	1035	494	1043	743	0	33062
44	751	747	751	766	782	526	1035	494	1043	743	716	1	33588
45	747	751	766	782	526	1035	494	1043	743	716	708	0	34623
46	751	766	782	526	1035	494	1043	743	716	708	731	1	35117
47	766	782	526	1035	494	1043	743	716	708	731	747	0	36160
48	782	526	1035	494	1043	743	716	708	731	747	763	0	36903
49	526	1035	494	1043	743	716	708	731	747	763	759	0	37619
50	1035	494	1043	743	716	708	731	747	763	759	770	0	38327
51	494	1043	743	716	708	731	747	763	759	770	790	0	39058
52	1043	743	716	708	731	747	763	759	770	790	794	0	39805
53	743	716	708	731	747	763	759	770	790	794	786	0	40568
54	716	708	731	747	763	759	770	790	794	786	763	0	41327
55	708	731	747	763	759	770	790	794	786	763	766	0	42097
56	731	747	763	759	770	790	794	786	763	766	774	0	42887
57	747	763	759	770	790	794	786	763	766	774	775	0	43681
58	763	759	770	790	794	786	763	766	774	775	762	0	44467
59	759	770	790	794	786	763	766	774	775	762	740	0	45230
60	770	790	794	786	763	766	774	775	762	740	747	0	45996
61	790	794	786	763	766	774	775	762	740	747	755	0	46770
62	794	786	763	766	774	775	762	740	747	755	766	0	47545
63	786	763	766	774	775	762	740	747	755	766	743	0	48307
64	763	766	774	775	762	740	747	755	766	743	736	0	49047
65	766	774	775	762	740	747	755	766	743	736	747	0	49794
66	774	775	762	740	747	755	766	743	736	747	755	0	50549
67	775	762	740	747	755	766	743	736	747	755	755	0	51315
68	762	740	747	755	766	743	736	747	755	755	747	0	52058
69	740	747	755	766	743	736	747	755	755	747	560	0	52794
70	747	755	766	743	736	747	755	755	747	560	946	0	53541
71	755	766	743	736	747	755	755	747	560	946	754	0	54296
72	766	743	736	747	755	755	747	560	946	754	744	0	55051
73	743	736	747	755	755	747	560	946	754	744	716	0	55798
74	736	747	755	755	747	560	946	754	744	716	715	1	56358
75	747	755	755	747	560	946	754	744	716	715	713	0	57304
76	755	755	747	560	946	754	744	716	715	713	719	0	58058
77	755	747	560	946	754	744	716	715	713	719	720	0	58802
78	747	560	946	754	744	716	715	713	719	720	471	0	59518
79	560	946	754	744	716	715	713	719	720	471	996	0	60233
80	946	754	744	716	715	713	719	720	471	996	736	0	60946
81	754	744	716	715	713	719	720	471	996	736	743	0	61665
82	744	716	715	713	719	720	471	996	736	743	735	0	62385
83	716	715	713	719	720	471	996	736	743	735	739	1	62856
84	715	713	719	720	471	996	736	743	735	739	763	0	63852
85	713	719	720	471	996	736	743	735	739	763	790	0	64588
86	719	720	471	996	736	743	735	739	763	790	778	0	65331
87	720	471	996	736	743	735	739	763	790	778	782	0	66066
88	471	996	736	743	735	739	763	790	778	782	810	0	66805
89	996	736	743	735	739	763	790	778	782	810	447	0	67568
90	736	743	735	739	763	790	778	782	810	447	1187	0	68358
91	743	735	739	763	790	778	782	810	447	1187	447	0	69136
92	735	739	763	790	778	782	810	447	1187	447	1078	0	69918
93	739	763	790	778	782	810	447	1187	447	1078	525	0	70728
94	763	790	778	782	810	447	1187	447	1078	525	954	1	71175
95	790	778	782	810	447	1187	447	1078	525	954	712	0	72362
96	778	782	810	447	1187	447	1078	525	954	712	689	1	72809
97	782	810	447	1187	447	1078	525	954	712	689	684	0	73887
98	810	447	1187	447	1078	525	954	712	689	684	424	1	74412
99	447	1187	447	1078	525	954	712	689	684	424	1028	0	75366
100	1187	447	1078	525	954	712	689	684	424	1028	708	0	76078
101	447	1078	525	954	712	689	684	424	1028	708	720	0	76767
102	1078	525	954	712	689	684	424	1028	708	720	743	0	77451
103	525	954	712	689	684	424	1028	708	720	743	770	1	77875
104	954	712	689	684	424	1028	708	720	743	770	775	0	78903
105	712	689	684	424	1028	708	720	743	770	775	766	0	79611
106	689	684	424	1028	708	720	743	770	775	766	782	0	80331
107	684	424	1028	708	720	743	770	775	766	782	802	0	81074
108	424	1028	708	720	743	770	775	766	782	802	801	0	81844
109	1028	708	720	743	770	775	766	782	802	801	502	0	82619
110	708	720	743	770	775	766	782	802	801	502	1063	0	83385
111	720	743	770	775	766	782	802	801	502	1063	498	0	84167
112	743	770	775	766	782	802	801	502	1063	498	1035	0	84969
113	770	775	766	782	802	801	502	1063	498	1035	556	0	85770
114	775	766	782	802	801	502	1063	498	1035	556	895	1	86272
115	766	782	802	801	502	1063	498	1035	556	895	712	0	87335
116	782	802	801	502	1063	498	1035	556	895	712	708	1	87833
117	802	801	502	1063	498	1035	556	895	712	708	553	0	88868
118	801	502	1063	498	1035	556	895	712	708	553	891	1	89424
119	502	1063	498	1035	556	895	712	708	553	891	704	0	90319
120	1063	498	1035	556	895	712	708	553	891	704	712	0	91031
121	498	1035	556	895	712	708	553	891	704	712	747	0	91739
122	1035	556	895	712	708	553	891	704	712	747	767	1	92292
123	556	895	712	708	553	891	704	712	747	767	770	0	93183
124	895	712	708	553	891	704	712	747	767	770	782	0	93887
125	712	708	553	891	704	712	747	767	770	782	798	0	94599
126	708	553	891	704	712	747	767	770	782	798	786	0	95346
127	553	891	704	712	747	767	770	782	798	786	767	0	96113
128	891	704	712	747	767	770	782	798	786	767	505	0	96883
129	704	712	747	767	770	782	798	786	767	505	1024	0	97665
130	712	747	767	770	782	798	786	767	505	1024	735	0	98463
131	747	767	770	782	798	786	767	505	1024	735	712	0	99249
132	767	770	782	798	786	767	505	1024	735	712	701	0	100016
133	770	782	798	786	767	505	1024	735	712	701	502	1	100521
134	782	798	786	767	505	1024	735	712	701	502	918	0	101545
135	798	786	767	505	1024	735	712	701	502	918	696	0	102280
136	786	767	505	1024	735	712	701	502	918	696	689	0	102992
137	767	505	1024	735	712	701	502	918	696	689	693	0	103693
138	505	1024	735	712	701	502	918	696	689	693	700	1	104195
139	1024	735	712	701	502	918	696	689	693	700	700	0	105113
140	735	712	701	502	918	696	689	693	700	700	728	0	105809
141	712	701	502	918	696	689	693	700	700	728	494	0	106498
142	701	502	918	696	689	693	700	700	728	494	1098	0	107191
143	502	918	696	689	693	700	700	728	494	1098	509	0	107891
144	918	696	689	693	700	700	728	494	1098	509	1047	0	108591
145	696	689	693	700	700	728	494	1098	509	1047	529	0	109319
146	689	693	700	700	728	494	1098	509	1047	529	988	1	109813
147	693	700	700	728	494	1098	509	1047	529	988	607	0	110911
148	700	700	728	494	1098	509	1047	529	988	607	849	1	111420
149	700	728	494	1098	509	1047	529	988	607	849	700	0	112467
150	728	494	1098	509	1047	529	988	607	849	700	704	1	112996
151	494	1098	509	1047	529	988	607	849	700	704	720	0	113984
152	1098	509	1047	529	988	607	849	700	704	720	483	1	114591
153	509	1047	529	988	607	849	700	704	720	483	1074	0	115440
154	1047	529	988	607	849	700	704	720	483	1074	735	0	116140
155	529	988	607	849	700	704	720	483	1074	735	739	0	116844
156	988	607	849	700	704	720	483	1074	735	739	755	0	117564
157	607	849	700	704	720	483	1074	735	739	755	771	1	118047
158	849	700	704	720	483	1074	735	739	755	771	774	0	119121
159	700	704	720	483	1074	735	739	755	771	774	794	0	119856
160	704	720	483	1074	735	739	755	771	774	794	506	0	120595
161	720	483	1074	735	739	755	771	774	794	506	1128	0	121350
162	483	1074	735	739	755	771	774	794	506	1128	451	0	122121
163	1074	735	739	755	771	774	794	506	1128	451	1074	0	122895
164	735	739	755	771	774	794	506	1128	451	1074	526	0	123689
165	739	755	771	774	794	506	1128	451	1074	526	968	1	124195
166	755	771	774	794	506	1128	451	1074	526	968	716	0	125323
167	771	774	794	506	1128	451	1074	526	968	716	693	1	125774
168	774	794	506	1128	451	1074	526	968	716	693	689	0	126848
169	794	506	1128	451	1074	526	968	716	693	689	704	1	127374
170	506	1128	451	1074	526	968	716	693	689	704	735	0	128342
171	1128	451	1074	526	968	716	693	689	704	735	767	0	129058
172	451	1074	526	968	716	693	689	704	735	767	782	0	129751
173	1074	526	968	716	693	689	704	735	767	782	798	0	130440
174	526	968	716	693	689	704	735	767	782	798	813	0	131144
175	968	716	693	689	704	735	767	782	798	813	440	0	131879
176	716	693	689	704	735	767	782	798	813	440	1202	0	132646
177	693	689	704	735	767	782	798	813	440	1202	440	0	133428
178	689	704	735	767	782	798	813	440	1202	440	1089	0	134226
179	704	735	767	782	798	813	440	1202	440	1089	518	0	135039
180	735	767	782	798	813	440	1202	440	1089	518	976	1	135479
181	767	782	798	813	440	1202	440	1089	518	976	708	0	136681
182	782	798	813	440	1202	440	1089	518	976	708	502	1	137121
183	798	813	440	1202	440	1089	518	976	708	502	907	0	138210
184	813	440	1202	440	1089	518	976	708	502	907	700	1	138728
185	440	1202	440	1089	518	976	708	502	907	700	697	0	139704
