index	i-5	i-4	i-3	i-2	i-1	i+0	i+1	i+2	i+3	i+4	i+5	Filter	Time
5	385	385	385	382	381	377	386	377	385	378	381	0	2346
6	385	385	382	381	377	386	377	385	378	381	377	0	2732
7	385	382	381	377	386	377	385	378	381	377	382	0	3109
8	382	381	377	386	377	385	378	381	377	382	373	0	3494
9	381	377	386	377	385	378	381	377	382	373	382	0	3872
10	377	386	377	385	378	381	377	382	373	382	377	0	4253
11	386	377	385	378	381	377	382	373	382	377	374	0	4630
12	377	385	378	381	377	382	373	382	377	374	381	0	5012
13	385	378	381	377	382	373	382	377	374	381	369	0	5385
14	378	381	377	382	373	382	377	374	381	369	378	0	5767
15	381	377	382	373	382	377	374	381	369	378	377	0	6144
16	377	382	373	382	377	374	381	369	378	377	374	0	6518
17	382	373	382	377	374	381	369	378	377	374	373	0	6899
18	373	382	377	374	381	369	378	377	374	373	378	0	7268
19	382	377	374	381	369	378	377	374	373	378	373	0	7646
20	377	374	381	369	378	377	374	373	378	373	374	0	8023
21	374	381	369	378	377	374	373	378	373	374	385	0	8397
22	381	369	378	377	374	373	378	373	374	385	381	0	8770
23	369	378	377	374	373	378	373	374	385	381	382	0	9148
24	378	377	374	373	378	373	374	385	381	382	377	0	9521
25	377	374	373	378	373	374	385	381	382	377	385	0	9895
26	374	373	378	373	374	385	381	382	377	385	382	0	10280
27	373	378	373	374	385	381	382	377	385	382	381	0	10661
28	378	373	374	385	381	382	377	385	382	381	381	0	11043
29	373	374	385	381	382	377	385	382	381	381	386	0	11420
30	374	385	381	382	377	385	382	381	381	386	381	0	11805
31	385	381	382	377	385	382	381	381	386	381	389	0	12187
32	381	382	377	385	382	381	381	386	381	389	385	0	12568
33	382	377	385	382	381	381	386	381	389	385	389	0	12949
34	377	385	382	381	381	386	381	389	385	389	393	0	13335
35	385	382	381	381	386	381	389	385	389	393	386	0	13716
36	382	381	381	386	381	389	385	389	393	386	396	0	14105
37	381	381	386	381	389	385	389	393	386	396	393	0	14490
38	381	386	381	389	385	389	393	386	396	393	393	0	14879
39	386	381	389	385	389	393	386	396	393	393	397	0	15272
40	381	389	385	389	393	386	396	393	393	397	393	0	15658
41	389	385	389	393	386	396	393	393	397	393	397	0	16054
42	385	389	393	386	396	393	393	397	393	397	389	0	16447
43	389	393	386	396	393	393	397	393	397	389	397	0	16840
44	393	386	396	393	393	397	393	397	389	397	393	0	17237
45	386	396	393	393	397	393	397	389	397	393	393	0	17630
46	396	393	393	397	393	397	389	397	393	393	393	0	18027
47	393	393	397	393	397	389	397	393	393	393	393	0	18416
48	393	397	393	397	389	397	393	393	393	393	397	0	18813
49	397	393	397	389	397	393	393	393	393	397	389	0	19206
50	393	397	389	397	393	393	393	393	397	389	389	0	19599
51	397	389	397	393	393	393	393	397	389	389	401	0	19992
52	389	397	393	393	393	393	397	389	389	401	385	0	20385
53	397	393	393	393	393	397	389	389	401	385	393	0	20782
54	393	393	393	393	397	389	389	401	385	393	389	0	21171
55	393	393	393	397	389	389	401	385	393	389	382	0	21560
56	393	393	397	389	389	401	385	393	389	382	401	0	21961
57	393	397	389	389	401	385	393	389	382	401	393	0	22346
58	397	389	389	401	385	393	389	382	401	393	392	0	22739
59	389	389	401	385	393	389	382	401	393	392	393	0	23128
60	389	401	385	393	389	382	401	393	392	393	405	1	23510
61	401	385	393	389	382	401	393	392	393	405	381	0	23911
62	385	393	389	382	401	393	392	393	405	381	393	0	24304
63	393	389	382	401	393	392	393	405	381	393	397	0	24696
64	389	382	401	393	392	393	405	381	393	397	393	0	25089
65	382	401	393	392	393	405	381	393	397	393	393	0	25494
66	401	393	392	393	405	381	393	397	393	393	389	0	25875
67	393	392	393	405	381	393	397	393	393	389	393	0	26268
68	392	393	405	381	393	397	393	393	389	393	393	0	26665
69	393	405	381	393	397	393	393	389	393	393	393	1	27058
70	405	381	393	397	393	393	389	393	393	393	390	0	27451
71	381	393	397	393	393	389	393	393	393	390	385	0	27840
72	393	397	393	393	389	393	393	393	390	385	385	0	28233
73	397	393	393	389	393	393	393	390	385	385	389	0	28626
74	393	393	389	393	393	393	390	385	385	389	381	0	29019
75	393	389	393	393	393	390	385	385	389	381	382	0	29409
76	389	393	393	393	390	385	385	389	381	382	385	0	29794
77	393	393	393	390	385	385	389	381	382	385	385	0	30179
78	393	393	390	385	385	389	381	382	385	385	378	0	30568
79	393	390	385	385	389	381	382	385	385	378	385	0	30949
80	390	385	385	389	381	382	385	385	378	385	385	0	31331
81	385	385	389	381	382	385	385	378	385	385	377	0	31716
82	385	389	381	382	385	385	378	385	385	377	390	0	32101
83	389	381	382	385	385	378	385	385	377	390	377	0	32479
84	381	382	385	385	378	385	385	377	390	377	389	0	32864
85	382	385	385	378	385	385	377	390	377	389	385	0	33249
86	385	385	378	385	385	377	390	377	389	385	401	0	33626
87	385	378	385	385	377	390	377	389	385	401	350	0	34016
88	378	385	385	377	390	377	389	385	401	350	428	0	34393
89	385	385	377	390	377	389	385	401	350	428	389	0	34782
90	385	377	390	377	389	385	401	350	428	389	390	0	35167
91	377	390	377	389	385	401	350	428	389	390	393	0	35568
92	390	377	389	385	401	350	428	389	390	393	393	1	35918
93	377	389	385	401	350	428	389	390	393	393	385	0	36346
94	389	385	401	350	428	389	390	393	393	385	385	0	36735
95	385	401	350	428	389	390	393	393	385	385	393	0	37125
96	401	350	428	389	390	393	393	385	385	393	381	0	37518
97	350	428	389	390	393	393	385	385	393	381	389	0	37911
98	428	389	390	393	393	385	385	393	381	389	386	0	38296
99	389	390	393	393	385	385	393	381	389	386	385	0	38681
100	390	393	393	385	385	393	381	389	386	385	385	0	39074
101	393	393	385	385	393	381	389	386	385	385	381	0	39455
102	393	385	385	393	381	389	386	385	385	381	378	0	39844
103	385	385	393	381	389	386	385	385	381	378	393	0	40230
104	385	393	381	389	386	385	385	381	378	393	389	0	40615
105	393	381	389	386	385	385	381	378	393	389	385	0	41000
106	381	389	386	385	385	381	378	393	389	385	381	0	41381
107	389	386	385	385	381	378	393	389	385	381	389	1	41759
108	386	385	385	381	378	393	389	385	381	389	382	0	42152
109	385	385	381	378	393	389	385	381	389	382	389	0	42541
110	385	381	378	393	389	385	381	389	382	389	377	0	42926
111	381	378	393	389	385	381	389	382	389	377	386	0	43307
112	378	393	389	385	381	389	382	389	377	386	381	0	43696
113	393	389	385	381	389	382	389	377	386	381	377	0	44078
114	389	385	381	389	382	389	377	386	381	377	382	0	44467
115	385	381	389	382	389	377	386	381	377	382	385	0	44844
116	381	389	382	389	377	386	381	377	382	385	373	0	45230
117	389	382	389	377	386	381	377	382	385	373	374	0	45611
