index	i-5	i-4	i-3	i-2	i-1	i+0	i+1	i+2	i+3	i+4	i+5	Filter	Time
5	910	1004	1074	1008	1074	525	1339	505	1253	876	926	1	5642
6	1004	1074	1008	1074	525	1339	505	1253	876	926	988	0	6981
7	1074	1008	1074	525	1339	505	1253	876	926	988	1109	1	7486
8	1008	1074	525	1339	505	1253	876	926	988	1109	498	0	8739
9	1074	525	1339	505	1253	876	926	988	1109	498	420	0	9615
10	525	1339	505	1253	876	926	988	1109	498	420	1047	0	10541
11	1339	505	1253	876	926	988	1109	498	420	1047	1199	0	11529
12	505	1253	876	926	988	1109	498	420	1047	1199	1237	0	12638
13	1253	876	926	988	1109	498	420	1047	1199	1237	1144	1	13136
14	876	926	988	1109	498	420	1047	1199	1237	1144	1156	1	13556
15	926	988	1109	498	420	1047	1199	1237	1144	1156	505	0	14603
16	988	1109	498	420	1047	1199	1237	1144	1156	505	1386	0	15802
17	1109	498	420	1047	1199	1237	1144	1156	505	1386	1035	0	17039
18	498	420	1047	1199	1237	1144	1156	505	1386	1035	1101	0	18183
19	420	1047	1199	1237	1144	1156	505	1386	1035	1101	490	0	19339
20	1047	1199	1237	1144	1156	505	1386	1035	1101	490	1428	1	19844
21	1199	1237	1144	1156	505	1386	1035	1101	490	1428	1058	0	21230
22	1237	1144	1156	505	1386	1035	1101	490	1428	1058	1082	0	22265
23	1144	1156	505	1386	1035	1101	490	1428	1058	1082	506	0	23366
24	1156	505	1386	1035	1101	490	1428	1058	1082	506	1459	1	23856
25	505	1386	1035	1101	490	1428	1058	1082	506	1459	1167	0	25284
26	1386	1035	1101	490	1428	1058	1082	506	1459	1167	502	0	26342
27	1035	1101	490	1428	1058	1082	506	1459	1167	502	1405	0	27424
28	1101	490	1428	1058	1082	506	1459	1167	502	1405	1117	1	27930
29	490	1428	1058	1082	506	1459	1167	502	1405	1117	1031	0	29389
30	1428	1058	1082	506	1459	1167	502	1405	1117	1031	1004	0	30556
31	1058	1082	506	1459	1167	502	1405	1117	1031	1004	525	1	31058
32	1082	506	1459	1167	502	1405	1117	1031	1004	525	1378	0	32463
33	506	1459	1167	502	1405	1117	1031	1004	525	1378	949	0	33580
34	1459	1167	502	1405	1117	1031	1004	525	1378	949	514	0	34611
35	1167	502	1405	1117	1031	1004	525	1378	949	514	1358	0	35615
36	502	1405	1117	1031	1004	525	1378	949	514	1358	906	1	36140
37	1405	1117	1031	1004	525	1378	949	514	1358	906	1031	0	37518
38	1117	1031	1004	525	1378	949	514	1358	906	1031	522	0	38467
39	1031	1004	525	1378	949	514	1358	906	1031	522	1428	1	38981
40	1004	525	1378	949	514	1358	906	1031	522	1428	1101	0	40339
41	525	1378	949	514	1358	906	1031	522	1428	1101	498	0	41245
42	1378	949	514	1358	906	1031	522	1428	1101	498	1381	0	42276
43	949	514	1358	906	1031	522	1428	1101	498	1381	1012	1	42798
44	514	1358	906	1031	522	1428	1101	498	1381	1012	934	0	44226
45	1358	906	1031	522	1428	1101	498	1381	1012	934	509	0	45327
46	906	1031	522	1428	1101	498	1381	1012	934	509	1351	1	45825
47	1031	522	1428	1101	498	1381	1012	934	509	1351	906	0	47206
48	522	1428	1101	498	1381	1012	934	509	1351	906	1156	0	48218
49	1428	1101	498	1381	1012	934	509	1351	906	1156	510	0	49152
50	1101	498	1381	1012	934	509	1351	906	1156	510	420	1	49661
51	498	1381	1012	934	509	1351	906	1156	510	420	977	0	51012
52	1381	1012	934	509	1351	906	1156	510	420	977	941	0	51918
53	1012	934	509	1351	906	1156	510	420	977	941	490	0	53074
54	934	509	1351	906	1156	510	420	977	941	490	1351	1	53584
55	509	1351	906	1156	510	420	977	941	490	1351	1050	1	54004
56	1351	906	1156	510	420	977	941	490	1351	1050	522	0	54981
57	906	1156	510	420	977	941	490	1351	1050	522	1354	0	55922
58	1156	510	420	977	941	490	1351	1050	522	1354	1101	1	56412
59	510	420	977	941	490	1351	1050	522	1354	1101	486	0	57763
60	420	977	941	490	1351	1050	522	1354	1101	486	1308	0	58813
61	977	941	490	1351	1050	522	1354	1101	486	1308	844	1	59335
62	941	490	1351	1050	522	1354	1101	486	1308	844	942	0	60689
63	490	1351	1050	522	1354	1101	486	1308	844	942	509	0	61790
64	1351	1050	522	1354	1101	486	1308	844	942	509	1389	1	62276
65	1050	522	1354	1101	486	1308	844	942	509	1389	997	0	63584
66	522	1354	1101	486	1308	844	942	509	1389	997	498	0	64428
67	1354	1101	486	1308	844	942	509	1389	997	498	1404	0	65370
68	1101	486	1308	844	942	509	1389	997	498	1404	1148	1	65879
69	486	1308	844	942	509	1389	997	498	1404	1148	502	0	67268
70	1308	844	942	509	1389	997	498	1404	1148	502	1370	0	68265
71	844	942	509	1389	997	498	1404	1148	502	1370	844	1	68763
72	942	509	1389	997	498	1404	1148	502	1370	844	891	0	70167
73	509	1389	997	498	1404	1148	502	1370	844	891	541	0	71315
74	1389	997	498	1404	1148	502	1370	844	891	541	1342	1	71817
75	997	498	1404	1148	502	1370	844	891	541	1342	864	0	73187
76	498	1404	1148	502	1370	844	891	541	1342	864	860	0	74031
77	1404	1148	502	1370	844	891	541	1342	864	860	510	0	74922
78	1148	502	1370	844	891	541	1342	864	860	510	1292	1	75463
79	502	1370	844	891	541	1342	864	860	510	1292	875	0	76805
80	1370	844	891	541	1342	864	860	510	1292	875	1199	0	77669
81	844	891	541	1342	864	860	510	1292	875	1199	509	0	78529
82	891	541	1342	864	860	510	1292	875	1199	509	1393	1	79039
83	541	1342	864	860	510	1292	875	1199	509	1393	1028	0	80331
84	1342	864	860	510	1292	875	1199	509	1393	1028	505	0	81206
85	864	860	510	1292	875	1199	509	1393	1028	505	1378	0	82405
86	860	510	1292	875	1199	509	1393	1028	505	1378	961	1	82914
87	510	1292	875	1199	509	1393	1028	505	1378	961	988	0	84307
88	1292	875	1199	509	1393	1028	505	1378	961	988	506	0	85335
89	875	1199	509	1393	1028	505	1378	961	988	506	1370	1	85840
90	1199	509	1393	1028	505	1378	961	988	506	1370	1039	0	87218
91	509	1393	1028	505	1378	961	988	506	1370	1039	502	0	88179
92	1393	1028	505	1378	961	988	506	1370	1039	502	1362	0	89167
93	1028	505	1378	961	988	506	1370	1039	502	1362	1105	1	89673
94	505	1378	961	988	506	1370	1039	502	1362	1105	494	0	91043
95	1378	961	988	506	1370	1039	502	1362	1105	494	1377	0	92082
96	961	988	506	1370	1039	502	1362	1105	494	1377	1101	1	92584
97	988	506	1370	1039	502	1362	1105	494	1377	1101	495	0	93946
98	506	1370	1039	502	1362	1105	494	1377	1101	495	1396	0	95051
99	1370	1039	502	1362	1105	494	1377	1101	495	1396	1094	1	95545
100	1039	502	1362	1105	494	1377	1101	495	1396	1094	482	0	96922
101	502	1362	1105	494	1377	1101	495	1396	1094	482	1374	0	98023
102	1362	1105	494	1377	1101	495	1396	1094	482	1374	1050	1	98518
103	1105	494	1377	1101	495	1396	1094	482	1374	1050	483	0	99914
104	494	1377	1101	495	1396	1094	482	1374	1050	483	1370	0	101008
105	1377	1101	495	1396	1094	482	1374	1050	483	1370	552	1	101490
106	1101	495	1396	1094	482	1374	1050	483	1370	552	1315	0	102864
107	495	1396	1094	482	1374	1050	483	1370	552	1315	899	0	103914
108	1396	1094	482	1374	1050	483	1370	552	1315	899	506	1	104397
109	1094	482	1374	1050	483	1370	552	1315	899	506	1366	0	105767
110	482	1374	1050	483	1370	552	1315	899	506	1366	1023	1	106319
111	1374	1050	483	1370	552	1315	899	506	1366	1023	521	0	107634
112	1050	483	1370	552	1315	899	506	1366	1023	521	1409	0	108533
113	483	1370	552	1315	899	506	1366	1023	521	1409	961	1	109039
114	1370	552	1315	899	506	1366	1023	521	1409	961	521	0	110405
115	552	1315	899	506	1366	1023	521	1409	961	521	1374	0	111428
116	1315	899	506	1366	1023	521	1409	961	521	1374	946	1	111949
117	899	506	1366	1023	521	1409	961	521	1374	946	509	0	113358
118	506	1366	1023	521	1409	961	521	1374	946	509	1401	0	114319
119	1366	1023	521	1409	961	521	1374	946	509	1401	1105	1	114840
120	1023	521	1409	961	521	1374	946	509	1401	1105	502	0	116214
121	521	1409	961	521	1374	946	509	1401	1105	502	1397	0	117160
122	1409	961	521	1374	946	509	1401	1105	502	1397	1019	1	117669
123	961	521	1374	946	509	1401	1105	502	1397	1019	506	0	119070
124	521	1374	946	509	1401	1105	502	1397	1019	506	1354	0	120175
125	1374	946	509	1401	1105	502	1397	1019	506	1354	817	1	120677
126	946	509	1401	1105	502	1397	1019	506	1354	817	876	0	122074
127	509	1401	1105	502	1397	1019	506	1354	817	876	549	0	123093
128	1401	1105	502	1397	1019	506	1354	817	876	549	1330	1	123599
129	1105	502	1397	1019	506	1354	817	876	549	1330	922	0	124953
130	502	1397	1019	506	1354	817	876	549	1330	922	1144	0	125770
131	1397	1019	506	1354	817	876	549	1330	922	1144	522	0	126646
132	1019	506	1354	817	876	549	1330	922	1144	522	432	1	127195
133	506	1354	817	876	549	1330	922	1144	522	432	914	0	128525
134	1354	817	876	549	1330	922	1144	522	432	914	1020	0	129447
135	817	876	549	1330	922	1144	522	432	914	1020	1015	0	130591
136	876	549	1330	922	1144	522	432	914	1020	1015	1125	1	131113
137	549	1330	922	1144	522	432	914	1020	1015	1125	1179	1	131545
138	1330	922	1144	522	432	914	1020	1015	1125	1179	1128	0	132459
139	922	1144	522	432	914	1020	1015	1125	1179	1128	1171	0	133479
140	1144	522	432	914	1020	1015	1125	1179	1128	1171	1191	0	134494
141	522	432	914	1020	1015	1125	1179	1128	1171	1191	1167	0	135619
142	432	914	1020	1015	1125	1179	1128	1171	1191	1167	1175	0	136798
143	914	1020	1015	1125	1179	1128	1171	1191	1167	1175	1098	0	137926
144	1020	1015	1125	1179	1128	1171	1191	1167	1175	1098	957	0	139097
145	1015	1125	1179	1128	1171	1191	1167	1175	1098	957	976	0	140288
146	1125	1179	1128	1171	1191	1167	1175	1098	957	976	950	0	141455
147	1179	1128	1171	1191	1167	1175	1098	957	976	950	1000	0	142630
148	1128	1171	1191	1167	1175	1098	957	976	950	1000	910	0	143728
149	1171	1191	1167	1175	1098	957	976	950	1000	910	853	0	144685
150	1191	1167	1175	1098	957	976	950	1000	910	853	961	0	145661
151	1167	1175	1098	957	976	950	1000	910	853	961	898	0	146611
152	1175	1098	957	976	950	1000	910	853	961	898	973	0	147611
153	1098	957	976	950	1000	910	853	961	898	973	1012	0	148521
154	957	976	950	1000	910	853	961	898	973	1012	988	0	149374
155	976	950	1000	910	853	961	898	973	1012	988	1008	0	150335
156	950	1000	910	853	961	898	973	1012	988	1008	946	0	151233
157	1000	910	853	961	898	973	1012	988	1008	946	976	0	152206
158	910	853	961	898	973	1012	988	1008	946	976	1059	0	153218
159	853	961	898	973	1012	988	1008	946	976	1059	1015	0	154206
160	961	898	973	1012	988	1008	946	976	1059	1015	1105	0	155214
161	898	973	1012	988	1008	946	976	1059	1015	1105	1094	0	156160
162	973	1012	988	1008	946	976	1059	1015	1105	1094	1062	0	157136
