i-5	i-4	i-3	i-2	i-1	i+0	i+1	i+2	i+3	i+4	i+5	Filter
556	514	1370	486	1323	510	1245	560	1226	541	1268	1
514	1370	486	1323	510	1245	560	1226	541	1268	529	0
1370	486	1323	510	1245	560	1226	541	1268	529	1335	1
486	1323	510	1245	560	1226	541	1268	529	1335	498	0
1323	510	1245	560	1226	541	1268	529	1335	498	1304	1
510	1245	560	1226	541	1268	529	1335	498	1304	521	0
1245	560	1226	541	1268	529	1335	498	1304	521	1171	1
560	1226	541	1268	529	1335	498	1304	521	1171	852	0
1226	541	1268	529	1335	498	1304	521	1171	852	467	1
541	1268	529	1335	498	1304	521	1171	852	467	1327	0
1268	529	1335	498	1304	521	1171	852	467	1327	506	1
529	1335	498	1304	521	1171	852	467	1327	506	1284	0
1335	498	1304	521	1171	852	467	1327	506	1284	549	0
498	1304	521	1171	852	467	1327	506	1284	549	1404	1
1304	521	1171	852	467	1327	506	1284	549	1404	471	0
521	1171	852	467	1327	506	1284	549	1404	471	1346	1
1171	852	467	1327	506	1284	549	1404	471	1346	502	0
852	467	1327	506	1284	549	1404	471	1346	502	1210	1
467	1327	506	1284	549	1404	471	1346	502	1210	868	0
1327	506	1284	549	1404	471	1346	502	1210	868	459	1
506	1284	549	1404	471	1346	502	1210	868	459	1280	0
1284	549	1404	471	1346	502	1210	868	459	1280	569	1
549	1404	471	1346	502	1210	868	459	1280	569	1167	0
1404	471	1346	502	1210	868	459	1280	569	1167	899	0
471	1346	502	1210	868	459	1280	569	1167	899	459	1
1346	502	1210	868	459	1280	569	1167	899	459	642	0
502	1210	868	459	1280	569	1167	899	459	642	759	1
1210	868	459	1280	569	1167	899	459	642	759	926	0
868	459	1280	569	1167	899	459	642	759	926	467	0
459	1280	569	1167	899	459	642	759	926	467	1272	1
1280	569	1167	899	459	642	759	926	467	1272	521	0
569	1167	899	459	642	759	926	467	1272	521	693	0
1167	899	459	642	759	926	467	1272	521	693	1265	0
899	459	642	759	926	467	1272	521	693	1265	447	1
459	642	759	926	467	1272	521	693	1265	447	665	0
642	759	926	467	1272	521	693	1265	447	665	1121	1
759	926	467	1272	521	693	1265	447	665	1121	459	0
926	467	1272	521	693	1265	447	665	1121	459	708	0
467	1272	521	693	1265	447	665	1121	459	708	1172	1
1272	521	693	1265	447	665	1121	459	708	1172	439	0
521	693	1265	447	665	1121	459	708	1172	439	1557	0
693	1265	447	665	1121	459	708	1172	439	1557	443	1
1265	447	665	1121	459	708	1172	439	1557	443	1428	0
447	665	1121	459	708	1172	439	1557	443	1428	475	0
665	1121	459	708	1172	439	1557	443	1428	475	1261	1
1121	459	708	1172	439	1557	443	1428	475	1261	638	0
459	708	1172	439	1557	443	1428	475	1261	638	1089	1
708	1172	439	1557	443	1428	475	1261	638	1089	899	0
1172	439	1557	443	1428	475	1261	638	1089	899	459	1
439	1557	443	1428	475	1261	638	1089	899	459	673	0
1557	443	1428	475	1261	638	1089	899	459	673	720	1
443	1428	475	1261	638	1089	899	459	673	720	977	0
1428	475	1261	638	1089	899	459	673	720	977	444	0
475	1261	638	1089	899	459	673	720	977	444	821	1
1261	638	1089	899	459	673	720	977	444	821	1323	0
638	1089	899	459	673	720	977	444	821	1323	439	0
1089	899	459	673	720	977	444	821	1323	439	728	0
899	459	673	720	977	444	821	1323	439	728	1198	1
459	673	720	977	444	821	1323	439	728	1198	448	0
673	720	977	444	821	1323	439	728	1198	448	712	0
720	977	444	821	1323	439	728	1198	448	712	1140	1
977	444	821	1323	439	728	1198	448	712	1140	436	0
444	821	1323	439	728	1198	448	712	1140	436	681	0
821	1323	439	728	1198	448	712	1140	436	681	902	1
1323	439	728	1198	448	712	1140	436	681	902	510	0
439	728	1198	448	712	1140	436	681	902	510	619	0
728	1198	448	712	1140	436	681	902	510	619	953	1
1198	448	712	1140	436	681	902	510	619	953	553	0
448	712	1140	436	681	902	510	619	953	553	646	0
712	1140	436	681	902	510	619	953	553	646	867	1
1140	436	681	902	510	619	953	553	646	867	957	0
436	681	902	510	619	953	553	646	867	957	460	0
681	902	510	619	953	553	646	867	957	460	642	1
902	510	619	953	553	646	867	957	460	642	871	0
510	619	953	553	646	867	957	460	642	871	572	0
619	953	553	646	867	957	460	642	871	572	646	0
953	553	646	867	957	460	642	871	572	646	887	1
553	646	867	957	460	642	871	572	646	887	1483	0
646	867	957	460	642	871	572	646	887	1483	1334	0
867	957	460	642	871	572	646	887	1483	1334	623	1
957	460	642	871	572	646	887	1483	1334	623	607	0
460	642	871	572	646	887	1483	1334	623	607	1206	0
642	871	572	646	887	1483	1334	623	607	1206	471	0
871	572	646	887	1483	1334	623	607	1206	471	728	0
572	646	887	1483	1334	623	607	1206	471	728	1097	1
646	887	1483	1334	623	607	1206	471	728	1097	471	0
887	1483	1334	623	607	1206	471	728	1097	471	649	0
1483	1334	623	607	1206	471	728	1097	471	649	872	1
1334	623	607	1206	471	728	1097	471	649	872	977	0
623	607	1206	471	728	1097	471	649	872	977	455	0
607	1206	471	728	1097	471	649	872	977	455	646	1
1206	471	728	1097	471	649	872	977	455	646	864	0
471	728	1097	471	649	872	977	455	646	864	611	0
728	1097	471	649	872	977	455	646	864	611	1404	0
1097	471	649	872	977	455	646	864	611	1404	502	1
471	649	872	977	455	646	864	611	1404	502	623	0
649	872	977	455	646	864	611	1404	502	623	879	0
872	977	455	646	864	611	1404	502	623	879	1000	1
977	455	646	864	611	1404	502	623	879	1000	467	0
