index	i-5	i-4	i-3	i-2	i-1	i+0	i+1	i+2	i+3	i+4	i+5	Filter	Time
5	642	720	743	759	747	673	560	849	754	740	751	0	4284
6	720	743	759	747	673	560	849	754	740	751	700	1	4844
7	743	759	747	673	560	849	754	740	751	700	732	0	5693
8	759	747	673	560	849	754	740	751	700	732	727	0	6447
9	747	673	560	849	754	740	751	700	732	727	599	0	7187
10	673	560	849	754	740	751	700	732	727	599	853	0	7938
11	560	849	754	740	751	700	732	727	599	853	774	0	8638
12	849	754	740	751	700	732	727	599	853	774	743	0	9370
13	754	740	751	700	732	727	599	853	774	743	763	0	10097
14	740	751	700	732	727	599	853	774	743	763	735	1	10696
15	751	700	732	727	599	853	774	743	763	735	778	0	11549
16	700	732	727	599	853	774	743	763	735	778	740	0	12323
17	732	727	599	853	774	743	763	735	778	740	762	0	13066
18	727	599	853	774	743	763	735	778	740	762	763	0	13829
19	599	853	774	743	763	735	778	740	762	763	751	0	14564
20	853	774	743	763	735	778	740	762	763	751	767	0	15342
21	774	743	763	735	778	740	762	763	751	767	739	0	16082
22	743	763	735	778	740	762	763	751	767	739	778	0	16844
23	763	735	778	740	762	763	751	767	739	778	755	0	17607
24	735	778	740	762	763	751	767	739	778	755	696	0	18358
25	778	740	762	763	751	767	739	778	755	696	759	0	19125
26	740	762	763	751	767	739	778	755	696	759	701	0	19864
27	762	763	751	767	739	778	755	696	759	701	747	0	20642
28	763	751	767	739	778	755	696	759	701	747	719	0	21397
29	751	767	739	778	755	696	759	701	747	719	736	0	22093
30	767	739	778	755	696	759	701	747	719	736	720	0	22852
31	739	778	755	696	759	701	747	719	736	720	782	0	23553
32	778	755	696	759	701	747	719	736	720	782	735	0	24300
33	755	696	759	701	747	719	736	720	782	735	743	0	25019
34	696	759	701	747	719	736	720	782	735	743	732	0	25755
35	759	701	747	719	736	720	782	735	743	732	724	0	26475
36	701	747	719	736	720	782	735	743	732	724	770	0	27257
37	747	719	736	720	782	735	743	732	724	770	716	0	27992
38	719	736	720	782	735	743	732	724	770	716	747	0	28735
39	736	720	782	735	743	732	724	770	716	747	716	0	29467
40	720	782	735	743	732	724	770	716	747	716	778	0	30191
41	782	735	743	732	724	770	716	747	716	778	689	0	30961
42	735	743	732	724	770	716	747	716	778	689	786	0	31677
43	743	732	724	770	716	747	716	778	689	786	755	0	32424
44	732	724	770	716	747	716	778	689	786	755	747	0	33140
45	724	770	716	747	716	778	689	786	755	747	751	0	33918
46	770	716	747	716	778	689	786	755	747	751	731	0	34607
47	716	747	716	778	689	786	755	747	751	731	751	0	35393
48	747	716	778	689	786	755	747	751	731	751	732	0	36148
49	716	778	689	786	755	747	751	731	751	732	739	0	36895
50	778	689	786	755	747	751	731	751	732	739	712	0	37646
51	689	786	755	747	751	731	751	732	739	712	751	0	38377
52	786	755	747	751	731	751	732	739	712	751	724	0	39128
53	755	747	751	731	751	732	739	712	751	724	724	0	39860
54	747	751	731	751	732	739	712	751	724	724	739	0	40599
55	751	731	751	732	739	712	751	724	724	739	735	0	41311
56	731	751	732	739	712	751	724	724	739	735	736	0	42062
57	751	732	739	712	751	724	724	739	735	736	712	0	42786
58	732	739	712	751	724	724	739	735	736	712	747	0	43510
59	739	712	751	724	724	739	735	736	712	747	724	0	44249
60	712	751	724	724	739	735	736	712	747	724	735	0	44984
61	751	724	724	739	735	736	712	747	724	735	732	0	45720
62	724	724	739	735	736	712	747	724	735	732	735	0	46432
63	724	739	735	736	712	747	724	735	732	735	739	0	47179
64	739	735	736	712	747	724	735	732	735	739	697	0	47903
65	735	736	712	747	724	735	732	735	739	697	747	0	48638
66	736	712	747	724	735	732	735	739	697	747	696	0	49370
67	712	747	724	735	732	735	739	697	747	696	771	0	50105
68	747	724	735	732	735	739	697	747	696	771	692	0	50844
69	724	735	732	735	739	697	747	696	771	692	748	0	51541
70	735	732	735	739	697	747	696	771	692	748	708	0	52288
71	732	735	739	697	747	696	771	692	748	708	735	0	52984
72	735	739	697	747	696	771	692	748	708	735	716	0	53755
73	739	697	747	696	771	692	748	708	735	716	685	0	54447
74	697	747	696	771	692	748	708	735	716	685	739	0	55195
75	747	696	771	692	748	708	735	716	685	739	693	0	55903
76	696	771	692	748	708	735	716	685	739	693	727	0	56638
77	771	692	748	708	735	716	685	739	693	727	705	0	57354
78	692	748	708	735	716	685	739	693	727	705	743	0	58039
79	748	708	735	716	685	739	693	727	705	743	693	0	58778
80	708	735	716	685	739	693	727	705	743	693	505	0	59471
81	735	716	685	739	693	727	705	743	693	505	814	0	60198
82	716	685	739	693	727	705	743	693	505	814	786	0	60903
83	685	739	693	727	705	743	693	505	814	786	770	0	61646
84	739	693	727	705	743	693	505	814	786	770	759	0	62339
85	693	727	705	743	693	505	814	786	770	759	751	1	62844
86	727	705	743	693	505	814	786	770	759	751	743	0	63658
87	705	743	693	505	814	786	770	759	751	743	731	0	64444
88	743	693	505	814	786	770	759	751	743	731	713	0	65214
89	693	505	814	786	770	759	751	743	731	713	727	0	65973
90	505	814	786	770	759	751	743	731	713	727	728	0	66724
91	814	786	770	759	751	743	731	713	727	728	580	0	67467
92	786	770	759	751	743	731	713	727	728	580	832	0	68198
93	770	759	751	743	731	713	727	728	580	832	518	0	68911
94	759	751	743	731	713	727	728	580	832	518	891	0	69638
95	751	743	731	713	727	728	580	832	518	891	774	0	70366
96	743	731	713	727	728	580	832	518	891	774	782	0	70946
97	731	713	727	728	580	832	518	891	774	782	759	0	71778
98	713	727	728	580	832	518	891	774	782	759	739	1	72296
99	727	728	580	832	518	891	774	782	759	739	740	0	73187
100	728	580	832	518	891	774	782	759	739	740	700	0	73961
101	580	832	518	891	774	782	759	739	740	700	661	0	74743
102	832	518	891	774	782	759	739	740	700	661	701	0	75502
103	518	891	774	782	759	739	740	700	661	701	677	0	76241
104	891	774	782	759	739	740	700	661	701	677	747	0	76981
105	774	782	759	739	740	700	661	701	677	747	685	0	77681
106	782	759	739	740	700	661	701	677	747	685	720	0	78342
107	759	739	740	700	661	701	677	747	685	720	712	0	79043
108	739	740	700	661	701	677	747	685	720	712	720	0	79720
109	740	700	661	701	677	747	685	720	712	720	630	0	80467
110	700	661	701	677	747	685	720	712	720	630	817	0	81152
111	661	701	677	747	685	720	712	720	630	817	735	0	81872
112	701	677	747	685	720	712	720	630	817	735	751	0	82584
113	677	747	685	720	712	720	630	817	735	751	728	0	83304
114	747	685	720	712	720	630	817	735	751	728	735	0	83934
115	685	720	712	720	630	817	735	751	728	735	755	0	84751
116	720	712	720	630	817	735	751	728	735	755	740	0	85486
117	712	720	630	817	735	751	728	735	755	740	774	0	86237
118	720	630	817	735	751	728	735	755	740	774	735	0	86965
119	630	817	735	751	728	735	755	740	774	735	775	0	87700
120	817	735	751	728	735	755	740	774	735	775	766	0	88455
121	735	751	728	735	755	740	774	735	775	766	743	0	89195
122	751	728	735	755	740	774	735	775	766	743	744	0	89969
123	728	735	755	740	774	735	775	766	743	744	797	0	90704
124	735	755	740	774	735	775	766	743	744	797	755	0	91479
125	755	740	774	735	775	766	743	744	797	755	767	0	92245
126	740	774	735	775	766	743	744	797	755	767	681	0	92988
127	774	735	775	766	743	744	797	755	767	681	840	0	93732
128	735	775	766	743	744	797	755	767	681	840	759	0	94529
129	775	766	743	744	797	755	767	681	840	759	747	0	95284
130	766	743	744	797	755	767	681	840	759	747	731	0	96051
131	743	744	797	755	767	681	840	759	747	731	779	0	96732
132	744	797	755	767	681	840	759	747	731	779	719	0	97572
133	797	755	767	681	840	759	747	731	779	719	736	0	98331
