i-5	i-4	i-3	i-2	i-1	i+0	i+1	i+2	i+3	i+4	i+5	Filter
58	782	440	883	456	755	564	595	576	615	653	0
782	440	883	456	755	564	595	576	615	653	759	1
440	883	456	755	564	595	576	615	653	759	837	0
883	456	755	564	595	576	615	653	759	837	552	0
456	755	564	595	576	615	653	759	837	552	1101	0
755	564	595	576	615	653	759	837	552	1101	386	0
564	595	576	615	653	759	837	552	1101	386	1039	0
595	576	615	653	759	837	552	1101	386	1039	404	0
576	615	653	759	837	552	1101	386	1039	404	899	1
615	653	759	837	552	1101	386	1039	404	899	440	0
653	759	837	552	1101	386	1039	404	899	440	786	1
759	837	552	1101	386	1039	404	899	440	786	509	0
837	552	1101	386	1039	404	899	440	786	509	662	1
552	1101	386	1039	404	899	440	786	509	662	568	0
1101	386	1039	404	899	440	786	509	662	568	611	1
386	1039	404	899	440	786	509	662	568	611	704	0
1039	404	899	440	786	509	662	568	611	704	475	1
404	899	440	786	509	662	568	611	704	475	1148	0
899	440	786	509	662	568	611	704	475	1148	393	0
440	786	509	662	568	611	704	475	1148	393	1113	0
786	509	662	568	611	704	475	1148	393	1113	393	0
509	662	568	611	704	475	1148	393	1113	393	984	1
662	568	611	704	475	1148	393	1113	393	984	409	0
568	611	704	475	1148	393	1113	393	984	409	867	1
611	704	475	1148	393	1113	393	984	409	867	456	0
704	475	1148	393	1113	393	984	409	867	456	754	1
475	1148	393	1113	393	984	409	867	456	754	530	0
1148	393	1113	393	984	409	867	456	754	530	669	1
393	1113	393	984	409	867	456	754	530	669	599	0
1113	393	984	409	867	456	754	530	669	599	506	1
393	984	409	867	456	754	530	669	599	506	938	0
984	409	867	456	754	530	669	599	506	938	463	1
409	867	456	754	530	669	599	506	938	463	930	0
867	456	754	530	669	599	506	938	463	930	435	0
456	754	530	669	599	506	938	463	930	435	927	1
754	530	669	599	506	938	463	930	435	927	435	0
530	669	599	506	938	463	930	435	927	435	845	1
669	599	506	938	463	930	435	927	435	845	486	0
599	506	938	463	930	435	927	435	845	486	755	1
506	938	463	930	435	927	435	845	486	755	537	0
938	463	930	435	927	435	845	486	755	537	665	1
463	930	435	927	435	845	486	755	537	665	603	0
930	435	927	435	845	486	755	537	665	603	693	1
435	927	435	845	486	755	537	665	603	693	685	0
927	435	845	486	755	537	665	603	693	685	731	1
435	845	486	755	537	665	603	693	685	731	755	0
845	486	755	537	665	603	693	685	731	755	782	0
486	755	537	665	603	693	685	731	755	782	701	0
755	537	665	603	693	685	731	755	782	701	727	0
537	665	603	693	685	731	755	782	701	727	724	0
665	603	693	685	731	755	782	701	727	724	708	0
603	693	685	731	755	782	701	727	724	708	432	0
693	685	731	755	782	701	727	724	708	432	907	0
685	731	755	782	701	727	724	708	432	907	443	0
731	755	782	701	727	724	708	432	907	443	790	0
755	782	701	727	724	708	432	907	443	790	561	0
782	701	727	724	708	432	907	443	790	561	572	1
701	727	724	708	432	907	443	790	561	572	540	0
727	724	708	432	907	443	790	561	572	540	561	1
724	708	432	907	443	790	561	572	540	561	404	0
708	432	907	443	790	561	572	540	561	404	845	1
432	907	443	790	561	572	540	561	404	845	548	0
907	443	790	561	572	540	561	404	845	548	685	0
443	790	561	572	540	561	404	845	548	685	638	0
790	561	572	540	561	404	845	548	685	638	475	1
561	572	540	561	404	845	548	685	638	475	946	0
572	540	561	404	845	548	685	638	475	946	443	1
540	561	404	845	548	685	638	475	946	443	829	0
561	404	845	548	685	638	475	946	443	829	506	0
404	845	548	685	638	475	946	443	829	506	724	1
845	548	685	638	475	946	443	829	506	724	579	0
548	685	638	475	946	443	829	506	724	579	459	1
685	638	475	946	443	829	506	724	579	459	790	0
638	475	946	443	829	506	724	579	459	790	564	1
475	946	443	829	506	724	579	459	790	564	444	0
946	443	829	506	724	579	459	790	564	444	728	0
443	829	506	724	579	459	790	564	444	728	560	1
829	506	724	579	459	790	564	444	728	560	521	0
506	724	579	459	790	564	444	728	560	521	596	0
724	579	459	790	564	444	728	560	521	596	576	1
579	459	790	564	444	728	560	521	596	576	630	0
459	790	564	444	728	560	521	596	576	630	638	0
790	564	444	728	560	521	596	576	630	638	708	1
564	444	728	560	521	596	576	630	638	708	401	0
444	728	560	521	596	576	630	638	708	401	1012	0
728	560	521	596	576	630	638	708	401	1012	412	0
560	521	596	576	630	638	708	401	1012	412	852	0
521	596	576	630	638	708	401	1012	412	852	479	0
596	576	630	638	708	401	1012	412	852	479	708	1
576	630	638	708	401	1012	412	852	479	708	564	0
630	638	708	401	1012	412	852	479	708	564	440	1
638	708	401	1012	412	852	479	708	564	440	720	0
708	401	1012	412	852	479	708	564	440	720	564	1
401	1012	412	852	479	708	564	440	720	564	409	0
1012	412	852	479	708	564	440	720	564	409	758	0
412	852	479	708	564	440	720	564	409	758	565	1
852	479	708	564	440	720	564	409	758	565	560	0
479	708	564	440	720	564	409	758	565	560	580	0
708	564	440	720	564	409	758	565	560	580	607	1
564	440	720	564	409	758	565	560	580	607	443	0
440	720	564	409	758	565	560	580	607	443	728	0
720	564	409	758	565	560	580	607	443	728	548	0
564	409	758	565	560	580	607	443	728	548	417	0
409	758	565	560	580	607	443	728	548	417	696	0
758	565	560	580	607	443	728	548	417	696	584	1
565	560	580	607	443	728	548	417	696	584	486	0
560	580	607	443	728	548	417	696	584	486	728	0
580	607	443	728	548	417	696	584	486	728	576	1
607	443	728	548	417	696	584	486	728	576	463	0
443	728	548	417	696	584	486	728	576	463	759	0
728	548	417	696	584	486	728	576	463	759	576	1
548	417	696	584	486	728	576	463	759	576	443	0
417	696	584	486	728	576	463	759	576	443	794	0
696	584	486	728	576	463	759	576	443	794	521	1
584	486	728	576	463	759	576	443	794	521	662	0
486	728	576	463	759	576	443	794	521	662	568	0
728	576	463	759	576	443	794	521	662	568	455	1
576	463	759	576	443	794	521	662	568	455	837	0
463	759	576	443	794	521	662	568	455	837	470	1
759	576	443	794	521	662	568	455	837	470	767	0
576	443	794	521	662	568	455	837	470	767	510	0
443	794	521	662	568	455	837	470	767	510	735	1
794	521	662	568	455	837	470	767	510	735	541	0
521	662	568	455	837	470	767	510	735	541	603	1
662	568	455	837	470	767	510	735	541	603	580	0
568	455	837	470	767	510	735	541	603	580	517	1
455	837	470	767	510	735	541	603	580	517	674	0
837	470	767	510	735	541	603	580	517	674	548	1
470	767	510	735	541	603	580	517	674	548	479	0
767	510	735	541	603	580	517	674	548	479	708	0
510	735	541	603	580	517	674	548	479	708	564	1
735	541	603	580	517	674	548	479	708	564	537	0
541	603	580	517	674	548	479	708	564	537	607	0
603	580	517	674	548	479	708	564	537	607	549	1
580	517	674	548	479	708	564	537	607	549	533	0
517	674	548	479	708	564	537	607	549	533	556	0
674	548	479	708	564	537	607	549	533	556	557	1
548	479	708	564	537	607	549	533	556	557	541	0
479	708	564	537	607	549	533	556	557	541	482	0
708	564	537	607	549	533	556	557	541	482	553	1
564	537	607	549	533	556	557	541	482	553	509	0
537	607	549	533	556	557	541	482	553	509	502	0
607	549	533	556	557	541	482	553	509	502	498	0
549	533	556	557	541	482	553	509	502	498	502	1
533	556	557	541	482	553	509	502	498	502	491	0
556	557	541	482	553	509	502	498	502	491	474	0
557	541	482	553	509	502	498	502	491	474	494	0
541	482	553	509	502	498	502	491	474	494	483	0
482	553	509	502	498	502	491	474	494	483	478	0
553	509	502	498	502	491	474	494	483	478	491	0
509	502	498	502	491	474	494	483	478	491	474	0
502	498	502	491	474	494	483	478	491	474	475	0
498	502	491	474	494	483	478	491	474	475	475	0
502	491	474	494	483	478	491	474	475	475	486	0
491	474	494	483	478	491	474	475	475	486	494	0
474	494	483	478	491	474	475	475	486	494	498	0
494	483	478	491	474	475	475	486	494	498	514	0
483	478	491	474	475	475	486	494	498	514	521	0
478	491	474	475	475	486	494	498	514	521	526	0
491	474	475	475	486	494	498	514	521	526	537	0
474	475	475	486	494	498	514	521	526	537	482	0
475	475	486	494	498	514	521	526	537	482	537	0
475	486	494	498	514	521	526	537	482	537	510	0
486	494	498	514	521	526	537	482	537	510	506	0
494	498	514	521	526	537	482	537	510	506	502	0
498	514	521	526	537	482	537	510	506	502	490	1
514	521	526	537	482	537	510	506	502	490	482	0
521	526	537	482	537	510	506	502	490	482	491	0
526	537	482	537	510	506	502	490	482	491	490	0
537	482	537	510	506	502	490	482	491	490	486	0
482	537	510	506	502	490	482	491	490	486	487	0
537	510	506	502	490	482	491	490	486	487	486	0
510	506	502	490	482	491	490	486	487	486	487	0
506	502	490	482	491	490	486	487	486	487	486	0
502	490	482	491	490	486	487	486	487	486	494	0
490	482	491	490	486	487	486	487	486	494	479	0
482	491	490	486	487	486	487	486	494	479	498	0
491	490	486	487	486	487	486	494	479	498	490	0
490	486	487	486	487	486	494	479	498	490	490	0
486	487	486	487	486	494	479	498	490	490	487	0
487	486	487	486	494	479	498	490	490	487	482	0
486	487	486	494	479	498	490	490	487	482	479	0
487	486	494	479	498	490	490	487	482	479	490	0
486	494	479	498	490	490	487	482	479	490	486	0
494	479	498	490	490	487	482	479	490	486	491	0
479	498	490	490	487	482	479	490	486	491	486	0
498	490	490	487	482	479	490	486	491	486	475	0
490	490	487	482	479	490	486	491	486	475	486	0
490	487	482	479	490	486	491	486	475	486	487	0
487	482	479	490	486	491	486	475	486	487	498	0
482	479	490	486	491	486	475	486	487	498	490	0
479	490	486	491	486	475	486	487	498	490	490	0
490	486	491	486	475	486	487	498	490	490	494	0
486	491	486	475	486	487	498	490	490	494	502	0
491	486	475	486	487	498	490	490	494	502	502	0
486	475	486	487	498	490	490	494	502	502	510	0
475	486	487	498	490	490	494	502	502	510	514	0
486	487	498	490	490	494	502	502	510	514	501	0
487	498	490	490	494	502	502	510	514	501	518	0
498	490	490	494	502	502	510	514	501	518	506	0
490	490	494	502	502	510	514	501	518	506	475	0
490	494	502	502	510	514	501	518	506	475	548	0
494	502	502	510	514	501	518	506	475	548	514	0
502	502	510	514	501	518	506	475	548	514	482	0
502	510	514	501	518	506	475	548	514	482	541	0
510	514	501	518	506	475	548	514	482	541	525	1
514	501	518	506	475	548	514	482	541	525	506	0
501	518	506	475	548	514	482	541	525	506	526	0
518	506	475	548	514	482	541	525	506	526	513	1
506	475	548	514	482	541	525	506	526	513	514	0
475	548	514	482	541	525	506	526	513	514	525	0
548	514	482	541	525	506	526	513	514	525	514	1
514	482	541	525	506	526	513	514	525	514	537	0
482	541	525	506	526	513	514	525	514	537	506	0
541	525	506	526	513	514	525	514	537	506	505	0
525	506	526	513	514	525	514	537	506	505	502	0
506	526	513	514	525	514	537	506	505	502	502	0
526	513	514	525	514	537	506	505	502	502	506	0
513	514	525	514	537	506	505	502	502	506	494	0
514	525	514	537	506	505	502	502	506	494	498	0
525	514	537	506	505	502	502	506	494	498	498	0
514	537	506	505	502	502	506	494	498	498	495	0
537	506	505	502	502	506	494	498	498	495	490	0
506	505	502	502	506	494	498	498	495	490	498	0
505	502	502	506	494	498	498	495	490	498	498	0
502	502	506	494	498	498	495	490	498	498	486	0
502	506	494	498	498	495	490	498	498	486	506	0
506	494	498	498	495	490	498	498	486	506	490	0
494	498	498	495	490	498	498	486	506	490	502	0
498	498	495	490	498	498	486	506	490	502	518	0
498	495	490	498	498	486	506	490	502	518	517	0
495	490	498	498	486	506	490	502	518	517	518	0
490	498	498	486	506	490	502	518	517	518	510	0
498	498	486	506	490	502	518	517	518	510	517	0
498	486	506	490	502	518	517	518	510	517	502	0
486	506	490	502	518	517	518	510	517	502	510	0
506	490	502	518	517	518	510	517	502	510	506	0
490	502	518	517	518	510	517	502	510	506	505	0
502	518	517	518	510	517	502	510	506	505	502	0
518	517	518	510	517	502	510	506	505	502	502	0
517	518	510	517	502	510	506	505	502	502	502	0
518	510	517	502	510	506	505	502	502	502	498	0
510	517	502	510	506	505	502	502	502	498	510	0
517	502	510	506	505	502	502	502	498	510	490	0
502	510	506	505	502	502	502	498	510	490	506	0
510	506	505	502	502	502	498	510	490	506	479	0
506	505	502	502	502	498	510	490	506	479	482	0
505	502	502	502	498	510	490	506	479	482	475	0
502	502	502	498	510	490	506	479	482	475	475	0
502	502	498	510	490	506	479	482	475	475	478	0
502	498	510	490	506	479	482	475	475	478	479	0
498	510	490	506	479	482	475	475	478	479	443	0
510	490	506	479	482	475	475	478	479	443	530	0
490	506	479	482	475	475	478	479	443	530	486	0
506	479	482	475	475	478	479	443	530	486	483	0
479	482	475	475	478	479	443	530	486	483	474	0
482	475	475	478	479	443	530	486	483	474	490	1
475	475	478	479	443	530	486	483	474	490	495	0
475	478	479	443	530	486	483	474	490	495	447	0
478	479	443	530	486	483	474	490	495	447	541	0
479	443	530	486	483	474	490	495	447	541	494	0
443	530	486	483	474	490	495	447	541	494	479	0
530	486	483	474	490	495	447	541	494	479	474	0
486	483	474	490	495	447	541	494	479	474	483	1
483	474	490	495	447	541	494	479	474	483	471	0
474	490	495	447	541	494	479	474	483	471	463	0
490	495	447	541	494	479	474	483	471	463	478	0
495	447	541	494	479	474	483	471	463	478	479	0
447	541	494	479	474	483	471	463	478	479	455	0
541	494	479	474	483	471	463	478	479	455	494	0
494	479	474	483	471	463	478	479	455	494	471	1
479	474	483	471	463	478	479	455	494	471	479	0
474	483	471	463	478	479	455	494	471	479	475	0
483	471	463	478	479	455	494	471	479	475	482	1
471	463	478	479	455	494	471	479	475	482	483	0
463	478	479	455	494	471	479	475	482	483	482	0
478	479	455	494	471	479	475	482	483	482	475	0
479	455	494	471	479	475	482	483	482	475	478	0
455	494	471	479	475	482	483	482	475	478	479	0
494	471	479	475	482	483	482	475	478	479	482	0
471	479	475	482	483	482	475	478	479	482	483	0
479	475	482	483	482	475	478	479	482	483	475	0
475	482	483	482	475	478	479	482	483	475	470	0
482	483	482	475	478	479	482	483	475	470	475	0
483	482	475	478	479	482	483	475	470	475	487	0
482	475	478	479	482	483	475	470	475	487	490	0
475	478	479	482	483	475	470	475	487	490	482	0
478	479	482	483	475	470	475	487	490	482	483	0
479	482	483	475	470	475	487	490	482	483	482	0
482	483	475	470	475	487	490	482	483	482	374	0
483	475	470	475	487	490	482	483	482	374	580	0
475	470	475	487	490	482	483	482	374	580	466	0
470	475	487	490	482	483	482	374	580	466	448	0
475	487	490	482	483	482	374	580	466	448	490	0
487	490	482	483	482	374	580	466	448	490	487	1
490	482	483	482	374	580	466	448	490	487	474	0
482	483	482	374	580	466	448	490	487	474	502	0
483	482	374	580	466	448	490	487	474	502	491	1
482	374	580	466	448	490	487	474	502	491	478	0
374	580	466	448	490	487	474	502	491	478	494	0
580	466	448	490	487	474	502	491	478	494	483	0
466	448	490	487	474	502	491	478	494	483	482	0
448	490	487	474	502	491	478	494	483	482	494	0
490	487	474	502	491	478	494	483	482	494	495	0
487	474	502	491	478	494	483	482	494	495	498	0
474	502	491	478	494	483	482	494	495	498	490	0
502	491	478	494	483	482	494	495	498	490	486	0
491	478	494	483	482	494	495	498	490	486	487	0
478	494	483	482	494	495	498	490	486	487	490	0
494	483	482	494	495	498	490	486	487	490	494	0
483	482	494	495	498	490	486	487	490	494	479	0
482	494	495	498	490	486	487	490	494	479	478	0
494	495	498	490	486	487	490	494	479	478	475	0
495	498	490	486	487	490	494	479	478	475	483	0
498	490	486	487	490	494	479	478	475	483	470	0
490	486	487	490	494	479	478	475	483	470	467	0
