index	i-1	i+0	i+1	Filter	Time
1	953	1109	1086	0	2128
2	1109	1086	1078	0	3214
3	1086	1078	1101	0	4292
4	1078	1101	1105	0	5393
5	1101	1105	1113	0	6498
6	1105	1113	1105	0	7611
7	1113	1105	1132	0	8716
8	1105	1132	1156	0	9848
9	1132	1156	1175	0	11004
10	1156	1175	1156	0	12179
11	1175	1156	1147	0	13335
12	1156	1147	1176	0	14482
13	1147	1176	1198	0	15658
14	1176	1198	1179	0	16856
15	1198	1179	1140	0	18035
16	1179	1140	1195	0	19175
17	1140	1195	1194	0	20370
18	1195	1194	1206	0	21564
19	1194	1206	1183	0	22770
20	1206	1183	1152	0	23953
21	1183	1152	1183	0	25105
22	1152	1183	1175	0	26288
23	1183	1175	1163	0	27463
24	1175	1163	1137	0	28626
25	1163	1137	1124	0	29763
26	1137	1124	1156	0	30887
27	1124	1156	1155	0	32043
28	1156	1155	1176	0	33198
29	1155	1176	1147	0	34374
30	1176	1147	1105	0	35521
31	1147	1105	1148	0	36626
32	1105	1148	1187	0	37774
33	1148	1187	1179	0	38961
34	1187	1179	1136	0	40140
35	1179	1136	1113	0	41276
36	1136	1113	1117	0	42389
37	1113	1117	1113	0	43506
38	1117	1113	1093	0	44619
39	1113	1093	1078	0	45712
40	1093	1078	1082	0	46790
41	1078	1082	1081	0	47872
42	1082	1081	1082	0	48953
43	1081	1082	1051	0	50035
44	1082	1051	1085	0	51086
45	1051	1085	1090	0	52171
46	1085	1090	1093	0	53261
47	1090	1093	1062	0	54354
48	1093	1062	1090	0	55416
49	1062	1090	1097	0	56506
50	1090	1097	1105	0	57603
51	1097	1105	1066	0	58708
52	1105	1066	1094	0	59774
53	1066	1094	1128	0	60868
54	1094	1128	1148	0	61996
55	1128	1148	1136	0	63144
56	1148	1136	1144	0	64280
57	1136	1144	1179	0	65424
58	1144	1179	1202	0	66603
59	1179	1202	1187	0	67805
60	1202	1187	1152	0	68992
61	1187	1152	1195	0	70144
62	1152	1195	1202	0	71339
63	1195	1202	1202	0	72541
64	1202	1202	1191	0	73743
65	1202	1191	1148	0	74934
66	1191	1148	1175	0	76082
67	1148	1175	1210	0	77257
68	1175	1210	1214	0	78467
69	1210	1214	1175	0	79681
70	1214	1175	1128	0	80856
71	1175	1128	1148	0	81984
72	1128	1148	1179	0	83132
73	1148	1179	1199	0	84311
74	1179	1199	1163	0	85510
75	1199	1163	1148	0	86673
76	1163	1148	1198	0	87821
77	1148	1198	1199	0	89019
78	1198	1199	1194	0	90218
79	1199	1194	1152	0	91412
80	1194	1152	1187	0	92564
81	1152	1187	1206	0	93751
82	1187	1206	1214	0	94957
83	1206	1214	1175	0	96171
84	1214	1175	1152	0	97346
85	1175	1152	1187	0	98498
86	1152	1187	1187	0	99685
87	1187	1187	1186	0	100872
88	1187	1186	1156	0	102058
89	1186	1156	1136	0	103214
90	1156	1136	1199	0	104350
91	1136	1199	1221	0	105549
92	1199	1221	1211	0	106770
93	1221	1211	1151	0	107981
94	1211	1151	1187	0	109132
95	1151	1187	1195	0	110319
96	1187	1195	1171	0	111514
97	1195	1171	1128	0	112685
98	1171	1128	1136	0	113813
99	1128	1136	1183	0	114949
100	1136	1183	1203	0	116132
101	1183	1203	1183	0	117335
102	1203	1183	1143	0	118518
103	1183	1143	1187	0	119661
104	1143	1187	1214	0	120848
105	1187	1214	1234	0	122062
106	1214	1234	1237	0	123296
107	1234	1237	1300	0	124533
108	1237	1300	1256	0	125833
109	1300	1256	1211	0	127089
110	1256	1211	1159	0	128300
111	1211	1159	1195	0	129459
112	1159	1195	1171	0	130654
113	1195	1171	1171	0	131825
114	1171	1171	1152	0	132996
115	1171	1152	1136	0	134148
116	1152	1136	1183	0	135284
117	1136	1183	1179	0	136467
118	1183	1179	1171	0	137646
119	1179	1171	1144	0	138817
120	1171	1144	1191	0	139961
121	1144	1191	1183	0	141152
122	1191	1183	1175	0	142335
123	1183	1175	1140	0	143510
124	1175	1140	1179	0	144650
125	1140	1179	1183	0	145829
126	1179	1183	1163	0	147012
127	1183	1163	1144	0	148175
128	1163	1144	1167	0	149319
129	1144	1167	1160	0	150486
130	1167	1160	1159	0	151646
131	1160	1159	1156	0	152805
132	1159	1156	1136	0	153961
133	1156	1136	1164	0	155097
134	1136	1164	1163	0	156261
135	1164	1163	1160	0	157424
136	1163	1160	1116	0	158584
137	1160	1116	1168	0	159700
138	1116	1168	1198	0	160868
139	1168	1198	1191	0	162066
140	1198	1191	1194	0	163257
141	1191	1194	1230	0	164451
142	1194	1230	1245	0	165681
143	1230	1245	1214	0	166926
144	1245	1214	1171	0	168140
145	1214	1171	1218	0	169311
146	1171	1218	1191	0	170529
147	1218	1191	1183	0	171720
148	1191	1183	1155	0	172903
149	1183	1155	1129	0	174058
