i-1	i+0	i+1	Filter	Time
420	1136	1125	0	1556
1136	1125	1156	0	2681
1125	1156	1124	0	3837
1156	1124	1132	0	4961
1124	1132	1156	0	6093
1132	1156	1144	0	7249
1156	1144	1156	0	8393
1144	1156	1186	0	9549
1156	1186	1179	0	10735
1186	1179	1179	0	11914
1179	1179	1203	0	13093
1179	1203	1171	0	14296
1203	1171	1171	0	15467
1171	1171	1187	0	16638
1171	1187	1163	0	17825
1187	1163	1137	0	18988
1163	1137	1143	0	20125
1137	1143	1129	0	21268
1143	1129	1128	0	22397
1129	1128	1133	0	23525
1128	1133	1116	0	24658
1133	1116	1121	0	25774
1116	1121	1156	0	26895
1121	1156	1155	0	28051
1156	1155	1156	0	29206
1155	1156	1187	0	30362
1156	1187	1171	0	31549
1187	1171	1159	0	32720
1171	1159	1179	0	33879
1159	1179	1140	0	35058
1179	1140	1106	0	36198
1140	1106	1116	0	37304
1106	1116	1113	0	38420
1116	1113	1093	0	39533
1113	1093	1020	0	40626
1093	1020	879	0	41646
1020	879	849	0	42525
879	849	844	0	43374
849	844	848	0	44218
844	848	802	0	45066
848	802	821	0	45868
802	821	844	0	46689
821	844	864	0	47533
844	864	844	0	48397
864	844	833	0	49241
844	833	852	0	50074
833	852	829	0	50926
852	829	813	0	51755
829	813	837	0	52568
813	837	863	0	53405
837	863	837	0	54268
863	837	813	0	55105
837	813	860	0	55918
813	860	876	0	56778
860	876	844	0	57654
876	844	872	0	58498
844	872	941	0	59370
872	941	919	0	60311
941	919	910	0	61230
919	910	922	0	62140
910	922	942	0	63062
922	942	922	0	64004
942	922	922	0	64926
922	922	942	0	65848
922	942	942	0	66790
942	942	879	0	67732
942	879	868	0	68611
879	868	906	0	69479
868	906	926	0	70385
906	926	880	0	71311
926	880	860	0	72191
880	860	875	0	73051
860	875	899	0	73926
875	899	856	0	74825
899	856	840	0	75681
856	840	833	0	76521
840	833	848	0	77354
833	848	829	0	78202
848	829	798	0	79031
829	798	809	0	79829
798	809	852	0	80638
809	852	829	0	81490
852	829	821	0	82319
829	821	844	0	83140
821	844	891	0	83984
844	891	849	0	84875
891	849	852	0	85724
849	852	895	0	86576
852	895	922	0	87471
895	922	891	0	88393
922	891	883	0	89284
891	883	911	0	90167
883	911	930	0	91078
911	930	848	0	92008
930	848	891	0	92856
848	891	911	0	93747
891	911	914	0	94658
911	914	852	0	95572
914	852	876	0	96424
852	876	937	0	97300
876	937	903	0	98237
937	903	887	0	99140
903	887	907	0	100027
887	907	938	0	100934
907	938	922	0	101872
938	922	902	0	102794
922	902	899	0	103696
902	899	915	0	104595
899	915	934	0	105510
915	934	898	0	106444
934	898	923	0	107342
898	923	949	0	108265
923	949	965	0	109214
949	965	918	0	110179
965	918	911	0	111097
918	911	918	0	112008
911	918	961	0	112926
918	961	918	0	113887
961	918	1032	0	114805
918	1032	1350	0	115837
1032	1350	1233	0	117187
1350	1233	1214	0	118420
1233	1214	1168	0	119634
1214	1168	1151	0	120802
1168	1151	1148	0	121953
1151	1148	1125	0	123101
1148	1125	1101	0	124226
1125	1101	1117	0	125327
1101	1117	1097	0	126444
1117	1097	1089	0	127541
1097	1089	1117	0	128630
1089	1117	1086	0	129747
1117	1086	1074	0	130833
1086	1074	1085	0	131907
1074	1085	895	0	132992
1085	895	883	0	133887
895	883	853	0	134770
883	853	840	0	135623
853	840	848	0	136463
840	848	872	0	137311
848	872	852	0	138183
872	852	840	0	139035
852	840	876	0	139875
840	876	891	0	140751
876	891	911	0	141642
891	911	852	0	142553
911	852	860	0	143405
852	860	902	0	144265
860	902	884	0	145167
902	884	844	0	146051
884	844	864	0	146895
844	864	899	0	147759
864	899	895	0	148658
899	895	879	0	149553
895	879	879	0	150432
879	879	895	0	151311
879	895	883	0	152206
895	883	822	0	153089
883	822	852	0	153911
822	852	867	0	154763
852	867	891	0	155630
867	891	818	0	156521
891	818	836	0	157339
818	836	837	0	158175
836	837	836	0	159012
837	836	778	0	159848
836	778	814	0	160626
778	814	860	0	161440
814	860	852	0	162300
860	852	825	0	163152
852	825	856	0	163977
825	856	902	0	164833
856	902	884	0	165735
902	884	848	0	166619
884	848	868	0	167467
848	868	898	0	168335
868	898	837	0	169233
898	837	817	0	170070
837	817	837	0	170887
817	837	879	0	171724
837	879	856	0	172603
879	856	809	0	173459
856	809	841	0	174268
809	841	883	0	175109
841	883	852	0	175992
883	852	814	0	176844
852	814	867	0	177658
814	867	907	0	178525
867	907	868	0	179432
907	868	832	0	180300
868	832	876	0	181132
832	876	903	0	182008
876	903	817	0	182911
903	817	828	0	183728
817	828	872	0	184556
828	872	848	0	185428
872	848	817	0	186276
848	817	868	0	187093
817	868	907	0	187961
868	907	825	0	188868
907	825	825	0	189693
825	825	883	0	190518
825	883	887	0	191401
883	887	805	0	192288
887	805	794	0	193093
805	794	883	0	193887
794	883	899	0	194770
883	899	837	0	195669
899	837	875	0	196506
837	875	1401	0	197381
875	1401	1284	0	198782
1401	1284	1269	0	200066
1284	1269	1245	0	201335
1269	1245	1183	0	202580
1245	1183	1151	0	203763
1183	1151	1168	0	204914
1151	1168	1163	0	206082
1168	1163	1156	0	207245
1163	1156	1136	0	208401
1156	1136	1136	0	209537
1136	1136	1156	0	210673
1136	1156	1093	0	211829
1156	1093	895	0	212922
1093	895	903	0	213817
895	903	751	0	214720
903	751	762	0	215471
751	762	755	0	216233
762	755	708	0	216988
755	708	681	0	217696
708	681	693	0	218377
681	693	677	0	219070
693	677	681	0	219747
677	681	677	0	220428
681	677	677	0	221105
677	677	677	0	221782
677	677	681	0	222459
677	681	681	0	223140
681	681	665	0	223821
681	665	654	0	224486
665	654	654	0	225140
654	654	661	0	225794
654	661	685	0	226455
661	685	658	0	227140
685	658	661	0	227798
658	661	673	0	228459
661	673	732	0	229132
673	732	724	0	229864
732	724	716	0	230588
724	716	754	0	231304
716	754	751	0	232058
754	751	763	0	232809
751	763	763	0	233572
763	763	735	0	234335
763	735	751	0	235070
735	751	794	0	235821
751	794	852	0	236615
794	852	821	0	237467
852	821	805	0	238288
821	805	821	0	239093
805	821	845	0	239914
821	845	821	0	240759
845	821	790	0	241580
821	790	821	0	242370
790	821	848	0	243191
821	848	852	0	244039
848	852	829	0	244891
852	829	833	0	245720
829	833	852	0	246553
833	852	906	0	247405
852	906	825	0	248311
906	825	821	0	249136
825	821	845	0	249957
821	845	902	0	250802
845	902	580	0	251704
902	580	1202	1	252284
580	1202	977	0	253486
1202	977	992	0	254463
977	992	895	0	255455
992	895	868	0	256350
895	868	965	0	257218
868	965	980	0	258183
965	980	884	0	259163
980	884	906	0	260047
884	906	989	0	260953
906	989	863	0	261942
989	863	868	0	262805
863	868	1370	0	263673
868	1370	1299	0	265043
1370	1299	1253	0	266342
1299	1253	1210	0	267595
1253	1210	1176	0	268805
1210	1176	1140	0	269981
1176	1140	1147	0	271121
1140	1147	1129	0	272268
1147	1129	1132	0	273397
1129	1132	1160	0	274529
1132	1160	1136	0	275689
1160	1136	1136	0	276825
1136	1136	1136	0	277961
1136	1136	1156	0	279097
1136	1156	1163	0	280253
1156	1163	1191	0	281416
1163	1191	1140	0	282607
1191	1140	1140	0	283747
1140	1140	1121	0	284887
1140	1121	1015	0	286008
1121	1015	1207	0	287023
1015	1207	945	0	288230
1207	945	813	0	289175
