i-1	i+0	i+1	Filter
1089	845	887	0
845	887	1016	0
887	1016	1182	0
1016	1182	1265	0
1182	1265	1230	0
1265	1230	1245	0
1230	1245	1179	0
1245	1179	1070	0
1179	1070	622	0
1070	622	1265	1
622	1265	1000	2
1265	1000	549	0
1000	549	1202	1
549	1202	1019	2
1202	1019	557	0
1019	557	1276	1
557	1276	685	2
1276	685	1490	1
685	1490	576	2
1490	576	1377	1
576	1377	580	2
1377	580	1370	1
580	1370	607	2
1370	607	1370	1
607	1370	677	2
1370	677	1618	1
677	1618	1670	2
1618	1670	1525	0
1670	1525	1338	0
1525	1338	1210	0
1338	1210	549	0
1210	549	1245	1
549	1245	1008	2
1245	1008	568	0
1008	568	1164	1
568	1164	957	2
1164	957	544	0
957	544	1187	1
544	1187	1035	2
1187	1035	557	0
1035	557	1284	1
557	1284	653	2
1284	653	1370	1
653	1370	630	2
1370	630	1374	1
630	1374	658	2
1374	658	1463	1
658	1463	568	2
1463	568	1338	1
568	1338	638	2
1338	638	1417	1
638	1417	587	2
1417	587	1347	1
587	1347	1295	2
1347	1295	1179	0
1295	1179	1222	0
1179	1222	556	0
1222	556	1261	1
556	1261	1125	2
1261	1125	556	0
1125	556	1199	1
556	1199	1011	2
1199	1011	568	0
1011	568	1226	1
568	1226	1058	2
1226	1058	561	0
1058	561	1225	1
561	1225	1039	2
1225	1039	557	0
1039	557	1171	1
557	1171	996	2
1171	996	576	0
996	576	1241	1
576	1241	669	2
1241	669	1428	1
669	1428	576	2
1428	576	1354	1
576	1354	619	2
1354	619	1339	1
619	1339	739	2
1339	739	1467	1
739	1467	568	2
1467	568	1257	1
568	1257	1046	2
1257	1046	553	0
1046	553	1233	1
553	1233	1043	2
1233	1043	580	0
1043	580	1249	1
580	1249	1144	2
1249	1144	564	0
1144	564	1253	1
564	1253	1171	2
1253	1171	553	0
1171	553	1264	1
553	1264	728	2
1264	728	1323	1
728	1323	1058	2
1323	1058	564	0
1058	564	1238	1
564	1238	1210	2
1238	1210	556	0
1210	556	1238	1
556	1238	1159	2
1238	1159	1148	0
1159	1148	1035	0
1148	1035	1070	0
1035	1070	1070	0
1070	1070	1066	0
1070	1066	1047	0
1066	1047	556	0
1047	556	1215	1
556	1215	976	2
1215	976	560	0
976	560	1172	1
560	1172	937	2
1172	937	565	0
937	565	1241	1
565	1241	1089	2
1241	1089	568	0
1089	568	1327	1
568	1327	592	2
1327	592	1354	1
592	1354	642	2
1354	642	1280	1
642	1280	965	2
1280	965	556	0
965	556	1222	1
556	1222	977	2
1222	977	564	0
977	564	1210	1
564	1210	1086	2
1210	1086	564	0
1086	564	1206	1
564	1206	1059	2
1206	1059	568	0
1059	568	1210	1
568	1210	1074	2
1210	1074	556	0
1074	556	1226	1
556	1226	1070	2
1226	1070	576	0
1070	576	1272	1
576	1272	619	2
1272	619	1362	1
619	1362	626	2
1362	626	1366	1
626	1366	622	2
1366	622	1374	1
622	1374	661	2
1374	661	1417	1
661	1417	583	2
1417	583	1323	1
583	1323	1218	2
1323	1218	557	0
1218	557	1237	1
557	1237	1132	2
1237	1132	565	0
1132	565	1221	1
565	1221	1067	2
1221	1067	552	0
1067	552	1230	1
552	1230	1159	2
1230	1159	557	0
1159	557	1229	1
557	1229	1140	2
1229	1140	557	0
1140	557	1284	1
557	1284	572	2
1284	572	1264	1
572	1264	1101	2
1264	1101	576	0
1101	576	1249	1
576	1249	1179	2
1249	1179	584	0
1179	584	1296	1
584	1296	591	2
1296	591	1343	1
591	1343	626	2
1343	626	1342	1
626	1342	767	2
1342	767	1549	1
767	1549	591	2
1549	591	1327	1
591	1327	654	2
1327	654	1326	1
654	1326	1051	2
1326	1051	584	0
1051	584	1284	1
584	1284	1019	2
1284	1019	576	0
1019	576	1183	1
576	1183	945	2
1183	945	569	0
945	569	1163	1
569	1163	910	2
1163	910	576	0
910	576	1207	1
576	1207	933	2
1207	933	576	0
933	576	1253	1
576	1253	1090	2
1253	1090	572	0
1090	572	1260	1
572	1260	1257	2
1260	1257	1230	0
1257	1230	1202	0
1230	1202	564	0
1202	564	1245	1
564	1245	1032	2
1245	1032	552	0
1032	552	1214	1
552	1214	992	2
1214	992	580	0
992	580	1214	1
580	1214	961	2
1214	961	568	0
961	568	1242	1
568	1242	1260	2
1242	1260	1206	0
1260	1206	1323	0
1206	1323	1300	0
1323	1300	1233	0
1300	1233	553	0
1233	553	1288	1
553	1288	665	2
1288	665	1331	1
665	1331	1105	2
1331	1105	572	0
1105	572	1265	1
572	1265	1221	2
1265	1221	553	0
1221	553	1241	1
553	1241	1183	2
1241	1183	553	0
1183	553	1233	1
553	1233	1023	2
1233	1023	557	0
1023	557	1237	1
557	1237	1066	2
1237	1066	561	0
1066	561	1260	1
561	1260	1203	2
1260	1203	572	0
1203	572	1245	1
572	1245	1187	2
1245	1187	572	0
1187	572	1284	1
572	1284	642	2
1284	642	1443	1
642	1443	584	2
1443	584	1327	1
584	1327	766	2
1327	766	1498	1
766	1498	592	2
1498	592	1268	1
592	1268	1179	2
1268	1179	549	0
1179	549	1210	1
549	1210	1086	2
1210	1086	556	0
1086	556	1249	1
556	1249	1237	2
1249	1237	1331	0
1237	1331	1374	0
1331	1374	1334	0
1374	1334	1140	0
1334	1140	549	0
1140	549	1202	1
549	1202	934	2
1202	934	623	0
934	623	1261	1
623	1261	906	2
1261	906	545	0
906	545	1082	1
545	1082	856	2
1082	856	657	0
856	657	1000	1
657	1000	848	2
1000	848	864	0
848	864	526	0
864	526	988	1
526	988	887	2
988	887	817	0
887	817	798	0
817	798	786	0
798	786	778	0
786	778	763	0
778	763	758	0
763	758	755	0
758	755	755	0
755	755	751	0
755	751	778	0
751	778	495	0
778	495	1027	1
495	1027	864	2
1027	864	673	0
864	673	1210	1
673	1210	1031	2
1210	1031	514	0
1031	514	1241	1
514	1241	1229	2
1241	1229	1230	0
1229	1230	1183	0
1230	1183	1144	0
1183	1144	1078	0
1144	1078	595	0
1078	595	1179	1
595	1179	957	2
1179	957	525	0
957	525	1156	1
525	1156	934	2
1156	934	514	0
934	514	1159	1
514	1159	942	2
1159	942	533	0
942	533	1128	1
533	1128	903	2
1128	903	510	0
903	510	1109	1
510	1109	895	2
1109	895	630	0
895	630	1175	1
630	1175	973	2
1175	973	529	0
973	529	1233	1
529	1233	1070	2
1233	1070	1020	0
1070	1020	977	0
1020	977	976	0
977	976	973	0
976	973	961	0
973	961	938	0
961	938	887	0
938	887	891	0
887	891	514	0
891	514	1062	1
514	1062	817	2
1062	817	833	0
817	833	790	0
833	790	797	0
790	797	813	0
797	813	849	0
813	849	638	0
849	638	1031	1
638	1031	887	2
1031	887	891	0
887	891	498	0
891	498	1078	1
498	1078	879	2
1078	879	530	0
879	530	1085	1
530	1085	848	2
1085	848	884	0
848	884	525	0
884	525	1230	1
525	1230	1077	2
1230	1077	1440	0
1077	1440	1405	0
1440	1405	1331	0
1405	1331	1303	0
1331	1303	1230	0
1303	1230	1225	0
1230	1225	549	0
1225	549	1222	1
549	1222	1120	2
1222	1120	545	0
1120	545	1191	1
545	1191	1074	2
1191	1074	560	0
1074	560	1226	1
560	1226	1163	2
1226	1163	553	0
1163	553	1256	1
553	1256	1378	2
1256	1378	1377	0
1378	1377	1218	0
1377	1218	541	0
1218	541	1222	1
541	1222	1027	2
1222	1027	549	0
1027	549	1124	1
549	1124	895	2
1124	895	576	0
895	576	1222	1
576	1222	945	2
1222	945	572	0
945	572	1199	1
572	1199	1054	2
1199	1054	561	0
1054	561	1276	1
561	1276	1132	2
1276	1132	549	0
1132	549	1155	1
549	1155	962	2
1155	962	529	0
962	529	1151	1
529	1151	899	2
1151	899	576	0
899	576	1226	1
576	1226	1008	2
1226	1008	568	0
1008	568	1253	1
568	1253	634	2
1253	634	1323	1
634	1323	654	2
1323	654	1361	1
654	1361	1242	2
1361	1242	548	0
1242	548	1222	1
548	1222	1097	2
1222	1097	561	0
1097	561	1241	1
561	1241	1117	2
1241	1117	552	0
1117	552	1273	1
552	1273	626	2
1273	626	1300	1
626	1300	1198	2
1300	1198	549	0
1198	549	1334	1
549	1334	817	2
1334	817	1534	1
817	1534	571	2
1534	571	1335	1
571	1335	599	2
1335	599	1323	1
599	1323	1249	2
1323	1249	549	0
1249	549	1233	1
549	1233	1129	2
1233	1129	545	0
1129	545	1249	1
545	1249	1202	2
1249	1202	556	0
1202	556	1222	1
556	1222	1214	2
1222	1214	1331	0
1214	1331	1288	0
1331	1288	1280	0
1288	1280	1163	0
1280	1163	549	0
1163	549	1187	1
549	1187	996	2
1187	996	564	0
996	564	1187	1
564	1187	980	2
1187	980	561	0
980	561	1144	1
561	1144	984	2
1144	984	560	0
984	560	1172	1
560	1172	1019	2
1172	1019	576	0
1019	576	1241	1
576	1241	701	2
1241	701	1400	1
701	1400	619	2
1400	619	1346	1
619	1346	1191	2
1346	1191	556	0
1191	556	1250	1
556	1250	1066	2
1250	1066	572	0
1066	572	1241	1
572	1241	1039	2
1241	1039	583	0
1039	583	1320	1
583	1320	622	2
1320	622	1292	1
622	1292	1008	2
1292	1008	568	0
1008	568	1284	1
568	1284	1222	2
1284	1222	1171	0
1222	1171	1078	0
1171	1078	544	0
1078	544	1191	1
544	1191	911	2
1191	911	533	0
911	533	1101	1
533	1101	871	2
1101	871	541	0
871	541	1063	1
541	1063	848	2
1063	848	580	0
848	580	1038	1
580	1038	841	2
1038	841	572	0
841	572	1039	1
572	1039	844	2
1039	844	634	0
844	634	1117	0
634	1117	915	0
1117	915	521	0
915	521	1124	1
521	1124	950	2
1124	950	533	0
950	533	1117	1
533	1117	899	2
1117	899	575	0
899	575	1277	1
575	1277	1081	2
1277	1081	557	0
1081	557	1237	1
557	1237	669	2
1237	669	1436	1
669	1436	561	2
1436	561	1319	1
561	1319	727	2
1319	727	1467	1
727	1467	560	2
1467	560	1331	1
560	1331	786	2
1331	786	1560	1
786	1560	565	2
1560	565	1272	1
565	1272	977	2
1272	977	583	0
977	583	1281	1
583	1281	1101	2
1281	1101	533	0
1101	533	1218	1
533	1218	727	2
1218	727	1358	1
727	1358	1098	2
1358	1098	560	0
1098	560	1156	1
560	1156	922	2
1156	922	548	0
922	548	1121	1
548	1121	895	2
1121	895	595	0
895	595	1195	1
595	1195	957	2
1195	957	556	0
957	556	1183	1
556	1183	1063	2
1183	1063	544	0
1063	544	1218	1
544	1218	1090	2
1218	1090	544	0
1090	544	1226	1
544	1226	1132	2
1226	1132	553	0
1132	553	1202	1
553	1202	1094	2
1202	1094	552	0
1094	552	1214	1
552	1214	666	2
1214	666	1381	1
666	1381	591	2
1381	591	1304	1
591	1304	1105	2
1304	1105	549	0
1105	549	1206	1
549	1206	1101	2
1206	1101	560	0
1101	560	1187	1
560	1187	1089	2
1187	1089	541	0
1089	541	1187	1
541	1187	1062	2
1187	1062	537	0
1062	537	1148	1
537	1148	1012	2
1148	1012	556	0
1012	556	1160	1
556	1160	988	2
1160	988	545	0
988	545	1191	1
545	1191	1027	2
1191	1027	552	0
1027	552	1210	1
552	1210	1035	2
1210	1035	541	0
1035	541	1160	1
541	1160	1000	2
1160	1000	548	0
1000	548	1160	1
548	1160	996	2
1160	996	549	0
996	549	1214	1
549	1214	1190	2
1214	1190	1300	0
1190	1300	1280	0
1300	1280	1257	0
1280	1257	1187	0
1257	1187	1128	0
1187	1128	1020	0
1128	1020	953	0
1020	953	549	0
953	549	1074	1
549	1074	875	2
1074	875	525	0
875	525	1078	1
525	1078	868	2
1078	868	548	0
868	548	1152	1
548	1152	973	2
1152	973	576	0
973	576	1226	1
576	1226	1229	2
1226	1229	553	0
1229	553	1179	1
553	1179	976	2
1179	976	529	0
976	529	1179	1
529	1179	958	2
1179	958	540	0
958	540	1199	1
540	1199	1015	2
1199	1015	557	0
1015	557	1194	1
557	1194	1152	2
1194	1152	549	0
1152	549	1245	1
549	1245	669	2
1245	669	1374	1
669	1374	591	2
1374	591	1304	1
591	1304	1054	2
1304	1054	580	0
1054	580	1280	1
580	1280	1016	2
1280	1016	560	0
1016	560	1175	1
560	1175	961	2
1175	961	545	0
961	545	1183	1
545	1183	949	2
1183	949	584	0
949	584	1214	1
584	1214	1070	2
1214	1070	541	0
1070	541	1253	1
541	1253	1241	2
1253	1241	1241	0
1241	1241	1179	0
1241	1179	545	0
1179	545	1163	1
545	1163	961	2
1163	961	545	0
961	545	1132	1
545	1132	942	2
1132	942	553	0
942	553	1276	1
553	1276	658	2
1276	658	1295	1
658	1295	1020	2
1295	1020	1105	0
1020	1105	1124	0
1105	1124	549	0
1124	549	1187	1
549	1187	980	2
1187	980	549	0
980	549	1155	1
549	1155	1000	2
1155	1000	553	0
1000	553	1156	1
553	1156	969	2
1156	969	564	0
969	564	1136	1
564	1136	938	2
1136	938	556	0
938	556	1156	1
556	1156	949	2
1156	949	541	0
949	541	1175	1
541	1175	996	2
1175	996	553	0
996	553	1198	1
553	1198	992	2
1198	992	600	0
992	600	1245	1
600	1245	941	2
1245	941	537	0
941	537	1098	1
537	1098	879	2
1098	879	568	0
879	568	1164	1
568	1164	879	2
1164	879	568	0
879	568	1179	1
568	1179	903	2
1179	903	587	0
903	587	1183	1
587	1183	915	2
1183	915	544	0
915	544	1152	1
544	1152	918	2
1152	918	557	0
918	557	1062	1
557	1062	883	2
1062	883	864	0
883	864	556	0
864	556	1000	1
556	1000	845	2
1000	845	798	0
845	798	494	0
798	494	899	1
494	899	766	2
899	766	794	0
766	794	829	0
794	829	805	0
829	805	802	0
805	802	782	0
802	782	813	0
782	813	778	0
813	778	774	0
778	774	814	0
774	814	521	0
814	521	1094	1
521	1094	700	2
1094	700	689	1
700	689	1081	2
689	1081	849	0
1081	849	544	0
849	544	1230	1
544	1230	918	2
1230	918	541	0
918	541	1304	1
541	1304	1019	2
1304	1019	549	0
1019	549	1365	1
549	1365	600	2
1365	600	1451	1
600	1451	568	2
1451	568	1342	1
568	1342	584	2
1342	584	1440	1
584	1440	1206	2
1440	1206	1241	0
1206	1241	564	0
1241	564	1257	1
564	1257	603	2
1257	603	1425	1
603	1425	583	2
1425	583	1378	1
583	1378	587	2
1378	587	1339	1
587	1339	992	2
1339	992	622	0
992	622	1502	1
622	1502	596	2
1502	596	1366	1
596	1366	665	2
1366	665	1486	1
665	1486	588	2
1486	588	1412	1
588	1412	584	2
1412	584	1408	1
584	1408	615	2
1408	615	1440	1
615	1440	595	2
1440	595	1358	1
595	1358	1179	2
1358	1179	1280	0
1179	1280	1218	0
1280	1218	565	0
1218	565	1315	1
565	1315	622	2
1315	622	1471	1
622	1471	595	2
1471	595	1452	1
595	1452	1443	2
1452	1443	1471	0
1443	1471	1234	0
1471	1234	1264	0
1234	1264	1339	0
1264	1339	1272	0
1339	1272	1241	0
1272	1241	565	0
1241	565	1311	1
565	1311	681	2
1311	681	1471	1
681	1471	591	2
1471	591	1459	1
591	1459	1323	2
1459	1323	1475	0
1323	1475	1420	0
1475	1420	1339	0
1420	1339	1276	0
1339	1276	1385	0
1276	1385	1276	0
1385	1276	1137	0
1276	1137	1147	0
1137	1147	600	0
1147	600	1412	1
600	1412	611	2
1412	611	1514	1
611	1514	603	2
1514	603	1474	1
603	1474	604	2
1474	604	1498	1
604	1498	614	2
1498	614	1495	1
614	1495	618	2
1495	618	1417	1
618	1417	610	2
1417	610	1537	1
610	1537	1393	2
1537	1393	1055	0
1393	1055	1085	0
1055	1085	1312	0
1085	1312	1249	0
1312	1249	1194	0
1249	1194	572	0
1194	572	1257	1
572	1257	1097	2
1257	1097	588	0
1097	588	1292	1
588	1292	1214	2
1292	1214	1323	0
1214	1323	1299	0
1323	1299	580	0
1299	580	1331	1
580	1331	1179	2
1331	1179	595	0
1179	595	1370	1
595	1370	871	2
1370	871	1619	1
871	1619	611	2
1619	611	1358	1
611	1358	1265	2
1358	1265	583	0
1265	583	1288	1
583	1288	1191	2
1288	1191	576	0
1191	576	1334	1
576	1334	623	2
1334	623	1541	1
623	1541	607	2
1541	607	1393	1
607	1393	607	2
1393	607	1498	1
607	1498	603	2
1498	603	1401	1
603	1401	774	2
1401	774	1615	1
774	1615	615	2
1615	615	1400	1
615	1400	650	2
1400	650	1432	1
650	1432	1171	2
1432	1171	568	0
1171	568	1242	1
568	1242	957	2
1242	957	622	0
957	622	1553	1
622	1553	615	2
1553	615	1416	1
615	1416	665	2
1416	665	1526	1
665	1526	1478	2
1526	1478	1191	0
1478	1191	1051	0
1191	1051	1042	0
1051	1042	985	0
1042	985	560	0
985	560	1199	1
560	1199	972	2
1199	972	580	0
972	580	1272	1
580	1272	1047	2
1272	1047	1483	0
1047	1483	1362	0
1483	1362	1186	0
1362	1186	568	0
1186	568	1347	1
568	1347	1260	2
1347	1260	576	0
1260	576	1370	1
576	1370	603	2
1370	603	1424	1
603	1424	1401	2
1424	1401	595	0
1401	595	1315	1
595	1315	1246	2
1315	1246	1249	0
1246	1249	1291	0
1249	1291	588	0
1291	588	1366	1
588	1366	607	2
1366	607	1447	1
607	1447	615	2
1447	615	1533	1
615	1533	619	2
1533	619	1560	1
619	1560	630	2
1560	630	1467	1
630	1467	619	2
1467	619	1533	1
619	1533	623	2
1533	623	1467	1
623	1467	622	2
1467	622	1518	1
622	1518	677	2
1518	677	1556	1
677	1556	627	2
1556	627	1521	1
627	1521	603	2
1521	603	1311	1
603	1311	1319	2
1311	1319	1417	0
1319	1417	1214	0
1417	1214	572	0
1214	572	1350	1
572	1350	611	2
1350	611	1548	1
611	1548	674	2
1548	674	1626	1
674	1626	619	2
1626	619	1471	1
619	1471	622	2
1471	622	1572	1
622	1572	627	2
1572	627	533	1
627	533	1116	3
533	1116	1677	2
1116	1677	1355	0
1677	1355	1315	0
1355	1315	1451	0
1315	1451	1272	0
1451	1272	1238	0
1272	1238	1163	0
1238	1163	584	0
1163	584	1331	1
584	1331	1112	2
1331	1112	572	0
1112	572	1335	1
572	1335	1148	2
1335	1148	599	0
1148	599	1452	1
599	1452	673	2
1452	673	1611	1
673	1611	634	2
1611	634	1459	1
634	1459	700	2
1459	700	1619	1
700	1619	619	2
1619	619	1443	1
619	1443	646	2
1443	646	1561	1
646	1561	657	2
1561	657	1588	1
657	1588	642	2
1588	642	1556	1
642	1556	630	2
1556	630	1514	1
630	1514	1514	2
1514	1514	1241	0
1514	1241	1288	0
1241	1288	576	0
1288	576	1292	1
576	1292	1140	2
1292	1140	572	0
1140	572	1268	1
572	1268	1070	2
1268	1070	560	0
1070	560	1347	1
560	1347	1455	2
1347	1455	595	0
1455	595	1335	1
595	1335	615	2
1335	615	1424	1
615	1424	1261	2
1424	1261	1186	0
1261	1186	1078	0
1186	1078	1568	0
1078	1568	1226	0
1568	1226	584	0
1226	584	1350	1
584	1350	607	2
1350	607	1338	1
607	1338	1179	2
1338	1179	580	0
1179	580	1327	1
580	1327	603	2
1327	603	1428	1
603	1428	1377	2
1428	1377	1281	0
1377	1281	1389	0
1281	1389	1257	0
1389	1257	575	0
1257	575	1269	1
575	1269	980	2
1269	980	580	0
980	580	1335	1
580	1335	930	2
1335	930	685	1
930	685	1529	3
685	1529	1350	2
1529	1350	1412	0
1350	1412	1269	0
1412	1269	1179	0
1269	1179	1245	0
1179	1245	580	0
1245	580	1311	1
580	1311	1331	2
1311	1331	1257	0
1331	1257	1218	0
1257	1218	575	0
1218	575	1343	1
575	1343	669	2
1343	669	1576	1
669	1576	611	2
1576	611	1377	1
611	1377	782	2
1377	782	1642	1
782	1642	607	2
1642	607	1386	1
607	1386	646	2
1386	646	1521	1
646	1521	615	2
1521	615	1408	1
615	1408	635	2
1408	635	1540	1
635	1540	619	2
1540	619	1385	1
619	1385	701	2
1385	701	1622	1
701	1622	611	2
1622	611	1346	1
611	1346	1397	2
1346	1397	1242	0
1397	1242	1323	0
1242	1323	579	0
1323	579	1304	1
579	1304	945	2
1304	945	1588	0
945	1588	1171	0
1588	1171	1339	0
1171	1339	1525	0
1339	1525	1257	0
1525	1257	1268	0
1257	1268	1214	0
1268	1214	623	0
1214	623	1510	1
623	1510	1287	2
1510	1287	580	0
1287	580	1323	1
580	1323	1164	2
1323	1164	583	0
1164	583	1370	1
583	1370	622	2
1370	622	1514	1
622	1514	623	2
1514	623	1494	1
623	1494	1342	2
1494	1342	1300	0
1342	1300	587	0
1300	587	1308	1
587	1308	1276	2
1308	1276	611	0
1276	611	1428	1
611	1428	1455	2
1428	1455	1226	0
1455	1226	1440	0
1226	1440	1307	0
1440	1307	1374	0
1307	1374	1260	0
1374	1260	1238	0
1260	1238	583	0
1238	583	1296	1
583	1296	1206	2
1296	1206	599	0
1206	599	1362	1
599	1362	794	2
1362	794	1685	1
794	1685	634	2
1685	634	1413	1
634	1413	622	2
1413	622	1502	1
622	1502	615	2
1502	615	1486	1
615	1486	1350	2
1486	1350	588	0
1350	588	1323	1
588	1323	1191	2
1323	1191	607	0
1191	607	1435	1
607	1435	611	2
1435	611	1413	1
611	1413	665	2
1413	665	1568	1
665	1568	619	2
1568	619	1362	1
619	1362	634	2
1362	634	1486	1
634	1486	611	2
1486	611	1405	1
611	1405	603	2
1405	603	1413	1
603	1413	1233	2
1413	1233	1471	0
1233	1471	1264	0
1471	1264	1526	0
1264	1526	1245	0
1526	1245	1253	0
1245	1253	1225	0
1253	1225	1191	0
1225	1191	1218	0
1191	1218	584	0
1218	584	1276	1
584	1276	1113	2
1276	1113	599	0
1113	599	1358	1
599	1358	1276	2
1358	1276	599	0
1276	599	1378	1
599	1378	615	2
1378	615	1529	1
615	1529	615	2
1529	615	1412	1
615	1412	611	2
1412	611	1451	1
611	1451	615	2
1451	615	1510	1
615	1510	615	2
1510	615	1412	1
615	1412	603	2
1412	603	1401	1
603	1401	1148	2
1401	1148	591	0
1148	591	1343	1
591	1343	1183	2
1343	1183	614	0
1183	614	1463	1
614	1463	631	2
1463	631	1443	1
631	1443	619	2
1443	619	1432	1
619	1432	622	2
1432	622	1483	1
622	1483	611	2
1483	611	1369	1
611	1369	794	2
1369	794	1631	1
794	1631	618	2
1631	618	1315	1
618	1315	1339	2
1315	1339	1230	0
1339	1230	1214	0
1230	1214	583	0
1214	583	1331	1
583	1331	1136	2
1331	1136	673	0
1136	673	1568	1
673	1568	607	2
1568	607	1312	1
607	1312	1151	2
1312	1151	1144	0
1151	1144	1218	0
1144	1218	1615	0
1218	1615	1234	0
1615	1234	1319	0
1234	1319	587	0
1319	587	1304	1
587	1304	638	2
1304	638	1517	1
638	1517	619	2
1517	619	1354	1
619	1354	685	2
1354	685	1638	1
685	1638	619	2
1638	619	1369	1
619	1369	689	2
1369	689	1607	1
689	1607	627	2
1607	627	1369	1
627	1369	619	2
1369	619	1490	1
619	1490	611	2
1490	611	1455	1
611	1455	615	2
1455	615	1455	1
615	1455	650	2
1455	650	1553	1
650	1553	622	2
1553	622	1393	1
622	1393	603	2
1393	603	942	1
603	942	1607	2
942	1607	1393	0
1607	1393	1300	0
1393	1300	587	0
1300	587	1315	1
587	1315	1160	2
1315	1160	595	0
1160	595	1296	1
595	1296	1105	2
1296	1105	619	0
1105	619	1365	1
619	1365	681	2
1365	681	1576	1
681	1576	619	2
1576	619	1366	1
619	1366	1404	2
1366	1404	1292	0
1404	1292	1304	0
1292	1304	587	0
1304	587	1300	1
587	1300	1175	2
1300	1175	595	0
1175	595	1308	1
595	1308	1249	2
1308	1249	587	0
1249	587	1304	1
587	1304	1218	2
1304	1218	583	0
1218	583	1308	1
583	1308	1120	2
1308	1120	646	0
1120	646	1572	1
646	1572	615	2
1572	615	1373	1
615	1373	681	2
1373	681	1541	1
681	1541	619	2
1541	619	1362	1
619	1362	1105	2
1362	1105	587	0
1105	587	1343	1
587	1343	1066	2
1343	1066	1206	0
1066	1206	1296	0
1206	1296	1265	0
1296	1265	583	0
1265	583	1300	1
583	1300	1128	2
1300	1128	588	0
1128	588	1315	1
588	1315	988	2
1315	988	926	0
988	926	635	0
926	635	1529	1
635	1529	1179	2
1529	1179	1439	0
1179	1439	1242	0
1439	1242	1241	0
1242	1241	1175	0
1241	1175	595	0
