i-1	i+0	i+1	Filter	Time
525	895	891	0	1420
895	891	903	0	2311
891	903	895	0	3214
903	895	883	0	4109
895	883	887	0	4992
883	887	880	0	5879
887	880	875	0	6759
880	875	872	0	7634
875	872	864	0	8506
872	864	867	0	9370
864	867	864	0	10237
867	864	860	0	11101
864	860	856	0	11961
860	856	856	0	12817
856	856	860	0	13673
856	860	860	0	14533
860	860	868	0	15393
860	868	443	0	16261
868	443	1277	1	16704
443	1277	856	0	17981
1277	856	871	0	18837
856	871	864	0	19708
871	864	883	0	20572
864	883	884	0	21455
883	884	887	0	22339
884	887	899	0	23226
887	899	898	0	24125
899	898	891	0	25023
898	891	899	0	25914
891	899	895	0	26813
899	895	880	0	27708
895	880	887	0	28588
880	887	895	0	29475
887	895	914	0	30370
895	914	911	0	31284
914	911	891	0	32195
911	891	887	0	33086
891	887	899	0	33973
887	899	879	0	34872
899	879	895	0	35751
879	895	891	0	36646
895	891	860	0	37537
891	860	848	0	38397
860	848	860	0	39245
848	860	463	0	40105
860	463	1199	1	40568
463	1199	832	0	41767
1199	832	533	0	42599
832	533	1090	1	43132
533	1090	805	0	44222
1090	805	790	0	45027
805	790	790	0	45817
790	790	603	0	46607
790	603	981	1	47210
603	981	786	0	48191
981	786	801	0	48977
786	801	514	0	49778
801	514	1058	1	50292
514	1058	790	0	51350
1058	790	794	0	52140
790	794	770	0	52934
794	770	689	0	53704
770	689	875	1	54393
689	875	775	0	55268
875	775	774	0	56043
775	774	436	0	56817
774	436	1144	1	57253
436	1144	790	0	58397
1144	790	451	0	59187
790	451	1136	1	59638
451	1136	802	0	60774
1136	802	447	0	61576
802	447	1183	1	62023
447	1183	825	0	63206
1183	825	844	0	64031
825	844	849	0	64875
844	849	848	0	65724
849	848	852	0	66572
848	852	864	0	67424
852	864	868	0	68288
864	868	883	0	69156
868	883	455	0	70039
883	455	1311	1	70494
455	1311	864	0	71805
1311	864	852	0	72669
864	852	856	0	73521
852	856	845	0	74377
856	845	844	0	75222
845	844	848	0	76066
844	848	860	0	76914
848	860	856	0	77774
860	856	864	0	78630
856	864	883	0	79494
864	883	903	0	80377
883	903	911	0	81280
903	911	918	0	82191
911	918	938	0	83109
918	938	937	0	84047
938	937	946	0	84984
937	946	949	0	85930
946	949	938	0	86879
949	938	930	0	87817
938	930	934	0	88747
930	934	930	0	89681
934	930	926	0	90611
930	926	910	0	91537
926	910	903	0	92447
910	903	907	0	93350
