i-1	i+0	i+1	Filter	Time
813	1074	1136	0	1887
1074	1136	973	0	3023
1136	973	1199	0	3996
973	1199	1206	0	5195
1199	1206	1229	0	6401
1206	1229	1172	0	7630
1229	1172	1307	0	8802
1172	1307	1237	0	10109
1307	1237	1055	0	11346
1237	1055	1253	0	12401
1055	1253	1031	0	13654
1253	1031	1214	0	14685
1031	1214	1035	0	15899
1214	1035	1366	0	16934
1035	1366	1214	0	18300
1366	1214	1089	0	19514
1214	1089	1082	0	20603
1089	1082	1082	0	21685
1082	1082	1179	0	22767
1082	1179	1027	0	23946
1179	1027	1264	0	24973
1027	1264	1129	0	26237
1264	1129	1015	0	27366
1129	1015	1296	0	28381
1015	1296	1117	0	29677
1296	1117	1214	0	30794
1117	1214	1093	0	32008
1214	1093	1175	0	33101
1093	1175	1086	0	34276
1175	1086	1373	0	35362
1086	1373	1199	0	36735
1373	1199	1159	0	37934
1199	1159	1187	0	39093
1159	1187	1109	0	40280
1187	1109	1078	0	41389
1109	1078	1128	0	42467
1078	1128	1191	0	43595
1128	1191	1105	0	44786
1191	1105	1097	0	45891
1105	1097	1284	0	46988
1097	1284	1109	0	48272
1284	1109	1148	0	49381
1109	1148	1129	0	50529
1148	1129	1124	0	51658
1129	1124	1276	0	52782
1124	1276	1133	0	54058
1276	1133	1175	0	55191
1133	1175	1381	0	56366
1175	1381	1311	0	57747
1381	1311	1277	0	59058
1311	1277	1303	0	60335
1277	1303	1257	0	61638
1303	1257	1257	0	62895
1257	1257	1190	0	64152
1257	1190	1051	0	65342
1190	1051	1447	0	66393
1051	1447	1300	0	67840
1447	1300	1249	0	69140
1300	1249	1265	0	70389
1249	1265	1206	0	71654
1265	1206	1101	0	72860
1206	1101	1214	0	73961
1101	1214	1109	0	75175
1214	1109	996	0	76284
1109	996	1413	0	77280
996	1413	1179	0	78693
1413	1179	1288	0	79872
1179	1288	1077	0	81160
1288	1077	1210	0	82237
1077	1210	1043	0	83447
1210	1043	1362	0	84490
1043	1362	1136	0	85852
1362	1136	1066	0	86988
1136	1066	1343	0	88054
1066	1343	1113	0	89397
1343	1113	1179	0	90510
1113	1179	961	0	91689
1179	961	1296	0	92650
961	1296	1023	0	93946
1296	1023	1307	0	94969
1023	1307	1101	0	96276
1307	1101	1183	0	97377
1101	1183	1230	0	98560
1183	1230	980	0	99790
1230	980	1339	0	100770
980	1339	1097	0	102109
1339	1097	1304	0	103206
1097	1304	1202	0	104510
1304	1202	1206	0	105712
1202	1206	1304	0	106918
1206	1304	1070	0	108222
1304	1070	1366	0	109292
1070	1366	1256	0	110658
1366	1256	1242	0	111914
1256	1242	1245	0	113156
1242	1245	1167	0	114401
1245	1167	981	0	115568
1167	981	1381	0	116549
981	1381	1074	0	117930
1381	1074	1078	0	119004
1074	1078	1272	0	120082
1078	1272	969	0	121354
1272	969	1323	0	122323
969	1323	1082	0	123646
1323	1082	1004	0	124728
1082	1004	1291	0	125732
1004	1291	1113	0	127023
1291	1113	1074	0	128136
1113	1074	957	0	129210
1074	957	1179	0	130167
957	1179	950	0	131346
1179	950	864	0	132296
950	864	1202	0	133160
864	1202	1008	0	134362
1202	1008	1167	0	135370
1008	1167	1054	0	136537
1167	1054	954	0	137591
1054	954	1295	0	138545
954	1295	923	0	139840
1295	923	1268	0	140763
923	1268	1058	0	142031
1268	1058	1238	0	143089
1058	1238	1272	0	144327
1238	1272	1269	0	145599
1272	1269	1241	0	146868
1269	1241	1233	0	148109
1241	1233	1261	0	149342
1233	1261	1230	0	150603
1261	1230	1327	0	151833
1230	1327	1276	0	153160
1327	1276	1257	0	154436
1276	1257	1264	0	155693
1257	1264	1129	0	156957
1264	1129	1206	0	158086
1129	1206	1136	0	159292
1206	1136	1062	0	160428
1136	1062	1277	0	161490
1062	1277	1182	0	162767
1277	1182	993	0	163949
1182	993	1404	0	164942
993	1404	1296	0	166346
1404	1296	1121	0	167642
1296	1121	980	0	168763
1121	980	1374	0	169743
980	1374	1284	0	171117
1374	1284	980	0	172401
1284	980	1351	0	173381
980	1351	1140	0	174732
1351	1140	1241	0	175872
1140	1241	1031	0	177113
1241	1031	1377	0	178144
1031	1377	1125	0	179521
1377	1125	1393	0	180646
1125	1393	1066	0	182039
1393	1066	1319	0	183105
1066	1319	1035	0	184424
1319	1035	1354	0	185459
1035	1354	965	0	186813
1354	965	1385	0	187778
965	1385	1137	0	189163
1385	1137	1237	0	190300
1137	1237	1167	0	191537
1237	1167	1031	0	192704
1167	1031	1148	0	193735
1031	1148	1362	0	194883
1148	1362	1055	0	196245
1362	1055	1338	0	197300
1055	1338	1199	0	198638
1338	1199	1179	0	199837
1199	1179	988	0	201016
1179	988	1276	0	202004
988	1276	1043	0	203280
1276	1043	1280	0	204323
1043	1280	1035	0	205603
1280	1035	1245	0	206638
1035	1245	1082	0	207883
1245	1082	1202	0	208965
1082	1202	965	0	210167
1202	965	1292	0	211132
965	1292	930	0	212424
1292	930	1315	0	213354
930	1315	1140	0	214669
1315	1140	1195	0	215809
1140	1195	1015	0	217004
1195	1015	1386	0	218019
1015	1386	1288	0	219405
1386	1288	1256	0	220693
1288	1256	1191	0	221949
1256	1191	1148	0	223140
1191	1148	980	0	224288
1148	980	1378	0	225268
980	1378	1222	0	226646
1378	1222	1128	0	227868
1222	1128	1257	0	228996
1128	1257	988	0	230253
1257	988	1292	0	231241
988	1292	1152	0	232533
1292	1152	1206	0	233685
1152	1206	1062	0	234891
1206	1062	1331	0	235953
1062	1331	1055	0	237284
1331	1055	1295	0	238339
1055	1295	1214	0	239634
1295	1214	1238	0	240848
1214	1238	1268	0	242086
1238	1268	1202	0	243354
1268	1202	1230	0	244556
1202	1230	1008	0	245786
1230	1008	1284	0	246794
1008	1284	1035	0	248078
1284	1035	1307	0	249113
1035	1307	1059	0	250420
1307	1059	1268	0	251479
1059	1268	1070	0	252747
1268	1070	1249	0	253817
1070	1249	1117	0	255066
1249	1117	988	0	256183
1117	988	1370	0	257171
988	1370	1210	0	258541
1370	1210	1276	0	259751
1210	1276	1125	0	261027
1276	1125	1105	0	262152
1125	1105	957	0	263257
1105	957	1272	0	264214
957	1272	1074	0	265486
1272	1074	1265	0	266560
1074	1265	1082	0	267825
1265	1082	1186	0	268907
1082	1186	1284	0	270093
1186	1284	1105	0	271377
1284	1105	1098	0	272482
1105	1098	1019	0	273580
1098	1019	1191	0	274599
1019	1191	1066	0	275790
1191	1066	907	0	276856
1066	907	1015	0	277763
907	1015	1183	0	278778
1015	1183	957	0	279961
1183	957	1039	0	280918
957	1039	1245	0	281957
1039	1245	1265	0	283202
1245	1265	1082	0	284467
1265	1082	1054	0	285549
1082	1054	992	0	286603
1054	992	872	0	287595
992	872	1113	0	288467
872	1113	899	0	289580
1113	899	922	0	290479
899	922	879	0	291401
922	879	973	0	292280
879	973	899	0	293253
973	899	801	0	294152
899	801	1055	0	294953
801	1055	856	0	296008
1055	856	778	0	296864
856	778	1016	0	297642
778	1016	642	0	298658
1016	642	626	1	299300
642	626	942	1	299926
626	942	902	0	300868
942	902	860	0	301770
902	860	814	0	302630
860	814	782	0	303444
814	782	867	0	304226
782	867	802	0	305093
867	802	778	0	305895
802	778	778	0	306673
778	778	817	0	307451
778	817	864	0	308268
817	864	954	0	309132
864	954	821	0	310086
954	821	1039	0	310907
821	1039	852	0	311946
1039	852	1190	0	312798
852	1190	884	0	313988
1190	884	1124	0	314872
884	1124	1062	0	315996
1124	1062	942	0	317058
1062	942	1074	0	318000
942	1074	1015	0	319074
1074	1015	997	0	320089
1015	997	1003	0	321086
997	1003	981	0	322089
1003	981	992	0	323070
981	992	1012	0	324062
992	1012	1019	0	325074
1012	1019	996	0	326093
1019	996	1008	0	327089
996	1008	1039	0	328097
1008	1039	1043	0	329136
1039	1043	1039	0	330179
1043	1039	1027	0	331218
1039	1027	934	0	332245
1027	934	1160	0	333179
934	1160	1077	0	334339
1160	1077	996	0	335416
1077	996	1113	0	336412
996	1113	1016	0	337525
1113	1016	1027	0	338541
1016	1027	1066	0	339568
1027	1066	1027	0	340634
1066	1027	1020	0	341661
1027	1020	1039	0	342681
1020	1039	1012	0	343720
1039	1012	941	0	344732
1012	941	880	0	345673
941	880	1291	0	346553
880	1291	1137	0	347844
1291	1137	918	0	348981
1137	918	1226	0	349899
918	1226	1050	0	351125
1226	1050	996	0	352175
1050	996	1027	0	353171
996	1027	1063	0	354198
1027	1063	1007	0	355261
1063	1007	1032	0	356268
1007	1032	1011	0	357300
1032	1011	1008	0	358311
1011	1008	1027	0	359319
1008	1027	1028	0	360346
1027	1028	1038	0	361374
1028	1038	997	0	362412
1038	997	1046	0	363409
997	1046	1039	0	364455
1046	1039	1027	0	365494
1039	1027	1059	0	366521
1027	1059	1062	0	367580
1059	1062	992	0	368642
1062	992	1008	0	369634
992	1008	992	0	370642
1008	992	973	0	371634
992	973	965	0	372607
973	965	914	0	373572
965	914	1059	0	374486
914	1059	1011	0	375545
1059	1011	899	0	376556
1011	899	1241	0	377455
899	1241	1137	0	378696
1241	1137	1105	0	379833
1137	1105	1116	0	380938
1105	1116	930	0	382054
1116	930	1242	0	382984
930	1242	1074	0	384226
1242	1074	1042	0	385300
1074	1042	1047	0	386342
1042	1047	1074	0	387389
1047	1074	1043	0	388463
1074	1043	1058	0	389506
1043	1058	1094	0	390564
1058	1094	1066	0	391658
1094	1066	1023	0	392724
1066	1023	1086	0	393747
1023	1086	1042	0	394833
1086	1042	1016	0	395875
1042	1016	1058	0	396891
1016	1058	1070	0	397949
1058	1070	1020	0	399019
1070	1020	961	0	400039
1020	961	1136	0	401000
961	1136	1039	0	402136
1136	1039	1004	0	403175
1039	1004	1035	0	404179
1004	1035	1043	0	405214
1035	1043	1015	0	406257
1043	1015	1035	0	407272
1015	1035	1055	0	408307
1035	1055	1023	0	409362
1055	1023	1020	0	410385
1023	1020	1042	0	411405
1020	1042	1152	0	412447
1042	1152	1035	0	413599
1152	1035	957	0	414634
1035	957	1253	0	415591
957	1253	1047	0	416844
1253	1047	1051	0	417891
1047	1051	1089	0	418942
1051	1089	1055	0	420031
1089	1055	976	0	421086
1055	976	1160	0	422062
976	1160	1062	0	423222
1160	1062	1047	0	424284
1062	1047	996	0	425331
1047	996	1350	0	426327
996	1350	1105	0	427677
1350	1105	1101	0	428782
1105	1101	1086	0	429883
1101	1086	1047	0	430969
1086	1047	1136	0	432016
1047	1136	1105	0	433152
1136	1105	930	0	434257
