index	i-1	i+0	i+1	Filter	Time
1	272	1203	1202	0	1475
2	1203	1202	1276	0	2677
3	1202	1276	1226	0	3953
4	1276	1226	1253	0	5179
5	1226	1253	1280	0	6432
6	1253	1280	1199	0	7712
7	1280	1199	1256	0	8911
8	1199	1256	1230	0	10167
9	1256	1230	1171	0	11397
10	1230	1171	1249	0	12568
11	1171	1249	1179	0	13817
12	1249	1179	1241	0	14996
13	1179	1241	1226	0	16237
14	1241	1226	1171	0	17463
15	1226	1171	1238	0	18634
16	1171	1238	1225	0	19872
17	1238	1225	1214	0	21097
18	1225	1214	1249	0	22311
19	1214	1249	1164	0	23560
20	1249	1164	1218	0	24724
21	1164	1218	1256	0	25942
22	1218	1256	1230	0	27198
23	1256	1230	1268	0	28428
24	1230	1268	1269	0	29696
25	1268	1269	1268	0	30965
26	1269	1268	1234	0	32233
27	1268	1234	1187	0	33467
28	1234	1187	1179	0	34654
29	1187	1179	1241	0	35833
30	1179	1241	1257	0	37074
31	1241	1257	1198	0	38331
32	1257	1198	1374	0	39529
33	1198	1374	1276	0	40903
34	1374	1276	1233	0	42179
35	1276	1233	1382	0	43412
36	1233	1382	1295	0	44794
37	1382	1295	1230	0	46089
38	1295	1230	1304	0	47319
39	1230	1304	1194	0	48623
40	1304	1194	1304	0	49817
41	1194	1304	1299	0	51121
42	1304	1299	1222	0	52420
43	1299	1222	1296	0	53642
44	1222	1296	1268	0	54938
45	1296	1268	1195	0	56206
46	1268	1195	1264	0	57401
47	1195	1264	1214	0	58665
48	1264	1214	1199	0	59879
49	1214	1199	1299	0	61078
50	1199	1299	1230	0	62377
51	1299	1230	1222	0	63607
52	1230	1222	1229	0	64829
53	1222	1229	1160	0	66058
54	1229	1160	1233	0	67218
55	1160	1233	1191	0	68451
56	1233	1191	1160	0	69642
57	1191	1160	1136	0	70802
58	1160	1136	1307	0	71938
59	1136	1307	1241	0	73245
60	1307	1241	1323	0	74486
61	1241	1323	1257	0	75809
62	1323	1257	1199	0	77066
63	1257	1199	1260	0	78265
64	1199	1260	1226	0	79525
65	1260	1226	1187	0	80751
66	1226	1187	1233	0	81938
67	1187	1233	1238	0	83171
68	1233	1238	1175	0	84409
69	1238	1175	1214	0	85584
70	1175	1214	1210	0	86798
71	1214	1210	1218	0	88008
72	1210	1218	1284	0	89226
73	1218	1284	1225	0	90510
74	1284	1225	1187	0	91735
75	1225	1187	1284	0	92922
76	1187	1284	1241	0	94206
77	1284	1241	1207	0	95447
78	1241	1207	1315	0	96654
79	1207	1315	1264	0	97969
80	1315	1264	1242	0	99233
81	1264	1242	1272	0	100475
82	1242	1272	1226	0	101747
83	1272	1226	1249	0	102973
