index	i-1	i+0	i+1	Filter	Time
1	584	1311	1327	0	1895
2	1311	1327	1323	0	3222
3	1327	1323	1295	0	4545
4	1323	1295	1277	0	5840
5	1295	1277	1315	0	7117
6	1277	1315	1327	0	8432
7	1315	1327	1280	0	9759
8	1327	1280	1319	0	11039
9	1280	1319	1307	0	12358
10	1319	1307	1316	0	13665
11	1307	1316	1303	0	14981
12	1316	1303	1339	0	16284
13	1303	1339	1319	0	17623
14	1339	1319	1245	0	18942
15	1319	1245	1299	0	20187
16	1245	1299	1316	0	21486
17	1299	1316	1272	0	22802
18	1316	1272	1261	0	24074
19	1272	1261	1307	0	25335
20	1261	1307	1284	0	26642
21	1307	1284	1272	0	27926
22	1284	1272	1316	0	29198
23	1272	1316	1245	0	30514
24	1316	1245	1175	0	31759
25	1245	1175	1257	0	32934
26	1175	1257	1327	0	34191
27	1257	1327	1284	0	35518
28	1327	1284	1225	0	36802
29	1284	1225	1312	0	38027
30	1225	1312	1311	0	39339
31	1312	1311	1225	0	40650
32	1311	1225	1335	0	41875
33	1225	1335	1335	0	43210
34	1335	1335	1187	0	44545
35	1335	1187	1260	0	45732
36	1187	1260	1428	0	46992
37	1260	1428	1335	0	48420
38	1428	1335	1346	0	49755
39	1335	1346	1354	0	51101
40	1346	1354	1358	0	52455
41	1354	1358	1280	0	53813
42	1358	1280	1319	0	55093
43	1280	1319	1339	0	56412
44	1319	1339	1342	0	57751
45	1339	1342	1292	0	59093
46	1342	1292	1327	0	60385
47	1292	1327	1346	0	61712
48	1327	1346	1351	0	63058
49	1346	1351	1291	0	64409
50	1351	1291	1312	0	65700
51	1291	1312	1330	0	67012
52	1312	1330	1308	0	68342
53	1330	1308	1280	0	69650
54	1308	1280	1327	0	70930
55	1280	1327	1315	0	72257
56	1327	1315	1300	0	73572
57	1315	1300	1311	0	74872
58	1300	1311	1362	0	76183
59	1311	1362	1319	0	77545
60	1362	1319	1331	0	78864
61	1319	1331	1338	0	80195
62	1331	1338	1319	0	81533
63	1338	1319	1308	0	82852
64	1319	1308	1315	0	84160
65	1308	1315	1210	0	85475
66	1315	1210	1155	0	86685
67	1210	1155	1273	0	87840
68	1155	1273	1323	0	89113
69	1273	1323	1233	0	90436
70	1323	1233	1160	0	91669
71	1233	1160	1245	0	92829
72	1160	1245	1268	0	94074
73	1245	1268	1137	0	95342
74	1268	1137	1214	0	96479
75	1137	1214	1276	0	97693
76	1214	1276	1163	0	98969
77	1276	1163	1253	0	100132
78	1163	1253	1292	0	101385
79	1253	1292	1202	0	102677
80	1292	1202	1265	0	103879
81	1202	1265	1362	0	105144
82	1265	1362	1299	0	106506
83	1362	1299	1226	0	107805
84	1299	1226	1284	0	109031
85	1226	1284	1350	0	110315
86	1284	1350	1339	0	111665
87	1350	1339	1264	0	113004
88	1339	1264	1265	0	114268
89	1264	1265	1249	0	115533
90	1265	1249	1234	0	116782
91	1249	1234	1217	0	118016
92	1234	1217	1234	0	119233
93	1217	1234	1265	0	120467
94	1234	1265	1245	0	121732
95	1265	1245	1253	0	122977
96	1245	1253	1264	0	124230
97	1253	1264	1265	0	125494
98	1264	1265	1241	0	126759
99	1265	1241	1272	0	128000
100	1241	1272	1249	0	129272
101	1272	1249	1238	0	130521
102	1249	1238	1218	0	131759
103	1238	1218	1206	0	132977
104	1218	1206	1229	0	134183
105	1206	1229	1257	0	135412
106	1229	1257	1327	0	136669
