index	i-1	i+0	i+1	Filter	Time
1	191	708	689	0	899
2	708	689	696	0	1588
3	689	696	708	0	2284
4	696	708	708	0	2992
5	708	708	697	0	3700
6	708	697	669	0	4397
7	697	669	677	0	5066
8	669	677	658	0	5743
9	677	658	661	0	6401
10	658	661	642	0	7062
11	661	642	646	0	7704
12	642	646	646	0	8350
13	646	646	673	0	8996
14	646	673	666	0	9669
15	673	666	704	0	10335
16	666	704	731	0	11039
17	704	731	763	0	11770
18	731	763	774	0	12533
19	763	774	782	0	13307
20	774	782	751	0	14089
21	782	751	751	0	14840
22	751	751	744	0	15591
23	751	744	735	0	16335
24	744	735	700	0	17070
25	735	700	677	0	17770
26	700	677	654	0	18447
27	677	654	646	0	19101
28	654	646	634	0	19747
29	646	634	611	0	20381
30	634	611	619	0	20992
31	611	619	650	0	21611
32	619	650	692	0	22261
33	650	692	681	0	22953
34	692	681	681	0	23634
35	681	681	677	0	24315
36	681	677	697	0	24992
37	677	697	700	0	25689
38	697	700	673	0	26389
39	700	673	670	0	27062
40	673	670	669	0	27732
41	670	669	669	0	28401
42	669	669	669	0	29070
43	669	669	662	0	29739
44	669	662	665	0	30401
45	662	665	677	0	31066
46	665	677	689	0	31743
47	677	689	689	0	32432
48	689	689	692	0	33121
49	689	692	705	0	33813
50	692	705	712	0	34518
51	705	712	700	0	35230
52	712	700	681	0	35930
53	700	681	673	0	36611
54	681	673	681	0	37284
55	673	681	693	0	37965
56	681	693	692	0	38658
57	693	692	693	0	39350
58	692	693	677	0	40043
59	693	677	650	0	40720
60	677	650	653	0	41370
61	650	653	662	0	42023
62	653	662	689	0	42685
63	662	689	723	0	43374
64	689	723	740	0	44097
65	723	740	739	0	44837
66	740	739	708	0	45576
67	739	708	700	0	46284
68	708	700	681	0	46984
69	700	681	681	0	47665
70	681	681	681	0	48346
71	681	681	705	0	49027
72	681	705	735	0	49732
73	705	735	763	0	50467
74	735	763	770	0	51230
75	763	770	747	0	52000
76	770	747	708	0	52747
77	747	708	689	0	53455
78	708	689	685	0	54144
79	689	685	669	0	54829
80	685	669	669	0	55498
81	669	669	658	0	56167
82	669	658	665	0	56825
83	658	665	654	0	57490
84	665	654	665	0	58144
85	654	665	689	0	58809
86	665	689	700	0	59498
87	689	700	709	0	60198
88	700	709	692	0	60907
89	709	692	666	0	61599
90	692	666	665	0	62265
91	666	665	677	0	62930
92	665	677	673	0	63607
93	677	673	697	0	64280
94	673	697	739	0	64977
95	697	739	759	0	65716
96	739	759	762	0	66475
97	759	762	755	0	67237
98	762	755	732	0	67992
99	755	732	700	0	68724
100	732	700	693	0	69424
101	700	693	673	0	70117
102	693	673	654	0	70790
103	673	654	677	0	71444
104	654	677	684	0	72121
105	677	684	689	0	72805
106	684	689	666	0	73494
107	689	666	684	0	74160
108	666	684	693	0	74844
109	684	693	700	0	75537
110	693	700	681	0	76237
111	700	681	705	0	76918
112	681	705	688	0	77623
113	705	688	716	0	78311
114	688	716	720	0	79027
115	716	720	720	0	79747
116	720	720	708	0	80467
117	720	708	693	0	81175
118	708	693	665	0	81868
119	693	665	654	0	82533
120	665	654	642	0	83187
121	654	642	626	0	83829
122	642	626	642	0	84455
123	626	642	666	0	85097
124	642	666	735	0	85763
125	666	735	806	0	86498
126	735	806	844	0	87304
127	806	844	840	0	88148
128	844	840	806	0	88988
129	840	806	801	0	89794
130	806	801	794	0	90595
131	801	794	798	0	91389
132	794	798	782	0	92187
133	798	782	751	0	92969
134	782	751	724	0	93720
135	751	724	673	0	94444
136	724	673	653	0	95117
