index	i-1	i+0	i+1	Filter	Time
1	724	591	607	0	1315
2	591	607	596	0	1922
3	607	596	603	0	2518
4	596	603	607	0	3121
5	603	607	618	0	3728
6	607	618	428	0	4346
7	618	428	759	1	4774
8	428	759	494	0	5533
9	759	494	794	1	6027
10	494	794	630	0	6821
11	794	630	619	0	7451
12	630	619	591	0	8070
13	619	591	588	0	8661
14	591	588	576	0	9249
15	588	576	595	0	9825
16	576	595	599	0	10420
17	595	599	604	0	11019
18	599	604	610	0	11623
19	604	610	557	0	12233
20	610	557	677	1	12790
21	557	677	607	0	13467
22	677	607	611	0	14074
23	607	611	603	0	14685
24	611	603	416	0	15288
25	603	416	654	1	15704
26	416	654	700	0	16358
27	654	700	611	0	17058
28	700	611	627	0	17669
29	611	627	622	0	18296
30	627	622	627	0	18918
31	622	627	657	0	19545
32	627	657	662	0	20202
33	657	662	669	0	20864
34	662	669	665	0	21533
35	669	665	674	0	22198
36	665	674	688	0	22872
37	674	688	681	0	23560
38	688	681	693	0	24241
39	681	693	692	0	24934
40	693	692	697	0	25626
41	692	697	696	0	26323
42	697	696	693	0	27019
43	696	693	700	0	27712
44	693	700	685	0	28412
45	700	685	693	0	29097
46	685	693	677	0	29790
47	693	677	677	0	30467
48	677	677	673	0	31144
49	677	673	654	0	31817
50	673	654	657	0	32471
51	654	657	662	0	33128
52	657	662	661	0	33790
53	662	661	658	0	34451
54	661	658	646	0	35109
55	658	646	654	0	35755
56	646	654	680	0	36409
57	654	680	685	0	37089
58	680	685	673	0	37774
59	685	673	689	0	38447
60	673	689	685	0	39136
61	689	685	685	0	39821
62	685	685	685	0	40506
63	685	685	677	0	41191
64	685	677	669	0	41868
65	677	669	661	0	42537
66	669	661	674	0	43198
67	661	674	681	0	43872
68	674	681	677	0	44553
69	681	677	665	0	45230
70	677	665	665	0	45895
71	665	665	654	0	46560
72	665	654	650	0	47214
73	654	650	654	0	47864
74	650	654	638	0	48518
75	654	638	638	0	49156
76	638	638	634	0	49794
77	638	634	623	0	50428
78	634	623	638	0	51051
79	623	638	642	0	51689
80	638	642	650	0	52331
81	642	650	653	0	52981
82	650	653	631	0	53634
83	653	631	638	0	54265
84	631	638	626	0	54903
85	638	626	522	0	55529
86	626	522	521	0	56051
87	522	521	825	1	56572
88	521	825	611	0	57397
89	825	611	599	0	58008
90	611	599	607	0	58607
91	599	607	603	0	59214
92	607	603	603	0	59817
93	603	603	615	0	60420
94	603	615	603	0	61035
95	615	603	525	0	61638
96	603	525	701	0	62163
97	525	701	618	0	62864
98	701	618	518	0	63482
99	618	518	716	0	64000
100	518	716	623	0	64716
101	716	623	618	0	65339
102	623	618	623	0	65957
103	618	623	615	0	66580
104	623	615	614	0	67195
105	615	614	600	0	67809
106	614	600	614	0	68409
107	600	614	631	0	69023
108	614	631	622	0	69654
109	631	622	642	0	70276
110	622	642	642	0	70918
111	642	642	642	0	71560
112	642	642	646	0	72202
113	642	646	514	0	72848
114	646	514	790	1	73362
115	514	790	451	0	74152
116	790	451	778	1	74603
117	451	778	494	0	75381
118	778	494	806	1	75875
119	494	806	619	0	76681
120	806	619	622	0	77300
121	619	622	642	0	77922
122	622	642	623	0	78564
123	642	623	634	0	79187
124	623	634	638	0	79821
125	634	638	642	0	80459
126	638	642	1206	0	81101
127	642	1206	670	0	82307
128	1206	670	408	0	82977
129	670	408	810	1	83385
130	408	810	677	0	84195
131	810	677	649	0	84872
132	677	649	666	0	85521
133	649	666	653	0	86187
134	666	653	658	0	86840
135	653	658	483	0	87498
136	658	483	747	1	87981
137	483	747	700	0	88728
138	747	700	428	0	89428
