index	i-1	i+0	i+1	Filter	Time
1	564	732	704	0	1296
2	732	704	700	0	2000
3	704	700	553	0	2700
4	700	553	957	1	3253
5	553	957	763	0	4210
6	957	763	766	0	4973
7	763	766	794	0	5739
8	766	794	580	0	6533
9	794	580	1155	1	7113
10	580	1155	413	0	8268
11	1155	413	1171	1	8681
12	413	1171	471	0	9852
13	1171	471	1062	1	10323
14	471	1062	545	0	11385
15	1062	545	910	1	11930
16	545	910	693	0	12840
17	910	693	681	0	13533
18	693	681	580	0	14214
19	681	580	790	1	14794
20	580	790	688	0	15584
21	790	688	705	0	16272
22	688	705	603	0	16977
23	705	603	1066	1	17580
24	603	1066	541	0	18646
25	1066	541	1155	1	19187
26	541	1155	471	0	20342
27	1155	471	1109	1	20813
28	471	1109	514	0	21922
29	1109	514	1011	1	22436
30	514	1011	572	0	23447
31	1011	572	864	1	24019
32	572	864	705	0	24883
33	864	705	704	0	25588
34	705	704	720	0	26292
35	704	720	459	0	27012
36	720	459	1047	1	27471
37	459	1047	747	0	28518
38	1047	747	751	0	29265
39	747	751	747	0	30016
40	751	747	751	0	30763
41	747	751	766	0	31514
42	751	766	782	0	32280
43	766	782	526	0	33062
44	782	526	1035	1	33588
45	526	1035	494	0	34623
46	1035	494	1043	1	35117
47	494	1043	743	0	36160
48	1043	743	716	0	36903
49	743	716	708	0	37619
50	716	708	731	0	38327
51	708	731	747	0	39058
52	731	747	763	0	39805
53	747	763	759	0	40568
54	763	759	770	0	41327
55	759	770	790	0	42097
56	770	790	794	0	42887
57	790	794	786	0	43681
58	794	786	763	0	44467
59	786	763	766	0	45230
60	763	766	774	0	45996
61	766	774	775	0	46770
62	774	775	762	0	47545
63	775	762	740	0	48307
64	762	740	747	0	49047
65	740	747	755	0	49794
66	747	755	766	0	50549
67	755	766	743	0	51315
68	766	743	736	0	52058
69	743	736	747	0	52794
70	736	747	755	0	53541
71	747	755	755	0	54296
72	755	755	747	0	55051
73	755	747	560	0	55798
74	747	560	946	1	56358
75	560	946	754	0	57304
76	946	754	744	0	58058
77	754	744	716	0	58802
78	744	716	715	0	59518
79	716	715	713	0	60233
80	715	713	719	0	60946
81	713	719	720	0	61665
82	719	720	471	0	62385
83	720	471	996	1	62856
84	471	996	736	0	63852
85	996	736	743	0	64588
86	736	743	735	0	65331
87	743	735	739	0	66066
88	735	739	763	0	66805
89	739	763	790	0	67568
90	763	790	778	0	68358
91	790	778	782	0	69136
92	778	782	810	0	69918
93	782	810	447	0	70728
94	810	447	1187	1	71175
95	447	1187	447	0	72362
96	1187	447	1078	1	72809
97	447	1078	525	0	73887
98	1078	525	954	1	74412
99	525	954	712	0	75366
100	954	712	689	0	76078
101	712	689	684	0	76767
102	689	684	424	0	77451
103	684	424	1028	1	77875
104	424	1028	708	0	78903
105	1028	708	720	0	79611
106	708	720	743	0	80331
107	720	743	770	0	81074
108	743	770	775	0	81844
109	770	775	766	0	82619
110	775	766	782	0	83385
111	766	782	802	0	84167
112	782	802	801	0	84969
113	802	801	502	0	85770
114	801	502	1063	1	86272
115	502	1063	498	0	87335
116	1063	498	1035	1	87833
117	498	1035	556	0	88868
118	1035	556	895	1	89424
119	556	895	712	0	90319
120	895	712	708	0	91031
121	712	708	553	0	91739
122	708	553	891	1	92292
123	553	891	704	0	93183
124	891	704	712	0	93887
125	704	712	747	0	94599
126	712	747	767	0	95346
127	747	767	770	0	96113
128	767	770	782	0	96883
129	770	782	798	0	97665
130	782	798	786	0	98463
131	798	786	767	0	99249
132	786	767	505	0	100016
133	767	505	1024	1	100521
134	505	1024	735	0	101545
135	1024	735	712	0	102280
136	735	712	701	0	102992
137	712	701	502	0	103693
138	701	502	918	1	104195
139	502	918	696	0	105113
140	918	696	689	0	105809
141	696	689	693	0	106498
142	689	693	700	0	107191
143	693	700	700	0	107891
144	700	700	728	0	108591
145	700	728	494	0	109319
146	728	494	1098	1	109813
147	494	1098	509	0	110911
148	1098	509	1047	1	111420
149	509	1047	529	0	112467
150	1047	529	988	1	112996
151	529	988	607	0	113984
152	988	607	849	1	114591
153	607	849	700	0	115440
154	849	700	704	0	116140
155	700	704	720	0	116844
156	704	720	483	0	117564
157	720	483	1074	1	118047
158	483	1074	735	0	119121
159	1074	735	739	0	119856
160	735	739	755	0	120595
161	739	755	771	0	121350
162	755	771	774	0	122121
163	771	774	794	0	122895
164	774	794	506	0	123689
165	794	506	1128	1	124195
166	506	1128	451	0	125323
167	1128	451	1074	1	125774
168	451	1074	526	0	126848
169	1074	526	968	1	127374
170	526	968	716	0	128342
171	968	716	693	0	129058
172	716	693	689	0	129751
173	693	689	704	0	130440
174	689	704	735	0	131144
175	704	735	767	0	131879
176	735	767	782	0	132646
177	767	782	798	0	133428
178	782	798	813	0	134226
179	798	813	440	0	135039
180	813	440	1202	1	135479
181	440	1202	440	0	136681
182	1202	440	1089	1	137121
183	440	1089	518	0	138210
184	1089	518	976	1	138728
185	518	976	708	0	139704
186	976	708	502	0	140412
187	708	502	907	1	140914
188	502	907	700	0	141821
189	907	700	697	0	142521
190	700	697	704	0	143218
191	697	704	704	0	143922
192	704	704	720	0	144626
193	704	720	759	0	145346
194	720	759	798	0	146105
195	759	798	797	0	146903
196	798	797	798	0	147700
197	797	798	817	0	148498
198	798	817	837	0	149315
199	817	837	809	0	150152
200	837	809	798	0	150961
201	809	798	797	0	151759
202	798	797	790	0	152556
203	797	790	440	0	153346
204	790	440	1086	1	153786
205	440	1086	513	0	154872
206	1086	513	965	1	155385
207	513	965	708	0	156350
208	965	708	689	0	157058
209	708	689	693	0	157747
210	689	693	420	0	158440
211	693	420	1012	1	158860
212	420	1012	712	0	159872
213	1012	712	533	0	160584
214	712	533	883	1	161117
215	533	883	712	0	162000
216	883	712	724	0	162712
217	712	724	533	0	163436
218	724	533	922	1	163969
219	533	922	728	0	164891
220	922	728	735	0	165619
221	728	735	525	0	166354
222	735	525	993	1	166879
223	525	993	735	0	167872
224	993	735	739	0	168607
225	735	739	487	0	169346
226	739	487	1035	1	169833
227	487	1035	731	0	170868
228	1035	731	728	0	171599
229	731	728	731	0	172327
230	728	731	744	0	173058
231	731	744	754	0	173802
232	744	754	759	0	174556
233	754	759	774	0	175315
234	759	774	798	0	176089
235	774	798	817	0	176887
236	798	817	790	0	177704
237	817	790	786	0	178494
238	790	786	786	0	179280
239	786	786	782	0	180066
240	786	782	498	0	180848
241	782	498	1086	1	181346
242	498	1086	533	0	182432
243	1086	533	973	1	182965
244	533	973	735	0	183938
245	973	735	724	0	184673
246	735	724	478	0	185397
247	724	478	981	1	185875
248	478	981	720	0	186856
249	981	720	716	0	187576
250	720	716	478	0	188292
251	716	478	1000	1	188770
252	478	1000	709	0	189770
253	1000	709	700	0	190479
254	709	700	708	0	191179
255	700	708	712	0	191887
256	708	712	720	0	192599
257	712	720	751	0	193319
258	720	751	817	0	194070
259	751	817	860	0	194887
260	817	860	833	0	195747
261	860	833	821	0	196580
262	833	821	821	0	197401
263	821	821	821	0	198222
264	821	821	801	0	199043
265	821	801	775	0	199844
266	801	775	766	0	200619
267	775	766	502	0	201385
268	766	502	1047	1	201887
269	502	1047	513	0	202934
270	1047	513	958	1	203447
271	513	958	723	0	204405
272	958	723	483	0	205128
273	723	483	957	1	205611
274	483	957	712	0	206568
275	957	712	697	0	207280
276	712	697	712	0	207977
277	697	712	731	0	208689
278	712	731	763	0	209420
279	731	763	751	0	210183
280	763	751	762	0	210934
281	751	762	779	0	211696
282	762	779	778	0	212475
283	779	778	490	0	213253
284	778	490	1059	1	213743
285	490	1059	513	0	214802
286	1059	513	969	1	215315
287	513	969	716	0	216284
288	969	716	689	0	217000
289	716	689	685	0	217689
290	689	685	579	0	218374
291	685	579	829	1	218953
292	579	829	708	0	219782
293	829	708	743	0	220490
294	708	743	763	0	221233
295	743	763	786	0	221996
296	763	786	774	0	222782
297	786	774	790	0	223556
298	774	790	487	0	224346
299	790	487	1116	1	224833
300	487	1116	467	0	225949
301	1116	467	1070	1	226416
302	467	1070	526	0	227486
303	1070	526	957	1	228012
304	526	957	708	0	228969
305	957	708	689	0	229677
306	708	689	692	0	230366
307	689	692	428	0	231058
308	692	428	1028	1	231486
309	428	1028	712	0	232514
310	1028	712	708	0	233226
311	712	708	447	0	233934
312	708	447	1039	1	234381
313	447	1039	716	0	235420
314	1039	716	712	0	236136
315	716	712	720	0	236848
316	712	720	428	0	237568
317	720	428	1101	1	237996
318	428	1101	502	0	239097
319	1101	502	1008	1	239599
320	502	1008	739	0	240607
321	1008	739	724	0	241346
