i-1	i+0	i+1	Filter
1241	596	1089	1
596	1089	841	2
1089	841	813	0
841	813	809	0
813	809	825	0
809	825	868	0
825	868	891	0
868	891	883	0
891	883	895	0
883	895	918	0
895	918	930	0
918	930	926	0
930	926	934	0
926	934	926	0
934	926	907	0
926	907	895	0
907	895	879	0
895	879	876	0
879	876	646	0
876	646	1027	1
646	1027	832	2
1027	832	833	0
832	833	837	0
833	837	829	0
837	829	758	0
829	758	716	1
758	716	728	3
716	728	673	3
728	673	1319	3
673	1319	829	2
1319	829	821	0
829	821	786	0
821	786	786	0
786	786	770	0
786	770	685	0
770	685	662	0
685	662	825	0
662	825	731	0
825	731	615	0
731	615	813	1
615	813	712	2
813	712	704	0
712	704	697	0
704	697	700	0
697	700	708	0
700	708	701	0
708	701	677	0
701	677	700	0
677	700	693	0
700	693	685	0
693	685	677	0
685	677	688	0
677	688	697	0
688	697	696	0
697	696	697	0
696	697	739	0
697	739	880	0
739	880	793	0
880	793	810	0
793	810	867	0
810	867	845	0
867	845	852	0
845	852	926	0
852	926	961	0
926	961	914	0
961	914	985	0
914	985	1004	0
985	1004	1008	0
1004	1008	945	0
1008	945	911	0
945	911	1011	1
911	1011	919	2
1011	919	898	0
919	898	907	0
898	907	934	0
907	934	945	0
934	945	942	0
945	942	926	0
942	926	950	0
926	950	968	0
950	968	977	0
968	977	942	0
977	942	965	0
942	965	969	0
965	969	961	0
969	961	933	0
961	933	923	0
933	923	918	0
923	918	926	0
918	926	911	0
926	911	891	0
911	891	906	0
891	906	915	0
906	915	895	0
915	895	875	0
895	875	895	0
875	895	887	0
895	887	883	0
887	883	864	0
883	864	864	0
864	864	872	0
864	872	879	0
872	879	864	0
879	864	868	0
864	868	894	0
868	894	662	0
894	662	1148	1
662	1148	864	2
1148	864	879	0
864	879	879	0
879	879	891	0
879	891	872	0
891	872	868	0
872	868	891	0
868	891	895	0
891	895	891	0
895	891	875	0
891	875	907	0
875	907	910	0
907	910	915	0
910	915	902	0
915	902	888	0
902	888	902	0
888	902	903	0
902	903	887	0
903	887	755	0
887	755	977	1
755	977	871	2
977	871	880	0
871	880	867	0
880	867	868	0
867	868	887	0
868	887	635	0
887	635	1190	1
635	1190	891	2
1190	891	876	0
891	876	891	0
876	891	883	0
891	883	876	0
883	876	867	0
876	867	887	0
867	887	888	0
887	888	883	0
888	883	864	0
883	864	860	0
864	860	867	0
860	867	852	0
867	852	829	0
852	829	794	0
829	794	704	0
794	704	825	0
704	825	798	0
825	798	762	0
798	762	755	0
762	755	744	0
755	744	770	0
744	770	794	0
770	794	809	0
794	809	802	0
809	802	809	0
802	809	844	0
809	844	876	0
844	876	848	0
876	848	821	0
848	821	876	0
821	876	895	0
876	895	894	0
895	894	868	0
894	868	845	0
868	845	906	0
845	906	887	0
906	887	856	0
887	856	872	0
856	872	907	0
872	907	902	0
907	902	872	0
902	872	860	0
872	860	899	0
860	899	883	0
899	883	868	0
883	868	828	0
868	828	876	0
828	876	868	0
876	868	871	0
