index	i-1	i+0	i+1	Filter	Time
1	249	1175	1175	0	1564
2	1175	1175	1175	0	2739
3	1175	1175	1175	0	3914
4	1175	1175	1164	0	5089
5	1175	1164	1163	0	6253
6	1164	1163	1199	0	7416
7	1163	1199	1202	0	8615
8	1199	1202	1183	0	9817
9	1202	1183	1195	0	11000
10	1183	1195	1206	0	12195
11	1195	1206	1210	0	13401
12	1206	1210	1179	0	14611
13	1210	1179	1191	0	15790
14	1179	1191	1194	0	16981
15	1191	1194	1187	0	18175
16	1194	1187	1163	0	19362
17	1187	1163	1187	0	20525
18	1163	1187	1202	0	21712
19	1187	1202	1203	0	22914
20	1202	1203	1190	0	24117
21	1203	1190	1203	0	25307
22	1190	1203	1210	0	26510
23	1203	1210	1183	0	27720
24	1210	1183	1155	0	28903
25	1183	1155	1168	0	30058
26	1155	1168	1151	0	31226
27	1168	1151	1144	0	32377
28	1151	1144	1152	0	33521
29	1144	1152	1164	0	34673
30	1152	1164	1179	0	35837
31	1164	1179	1171	0	37016
32	1179	1171	517	0	38187
33	1171	517	1354	1	38704
34	517	1354	1199	0	40058
35	1354	1199	1183	0	41257
36	1199	1183	1171	0	42440
37	1183	1171	1187	0	43611
38	1171	1187	1194	0	44798
39	1187	1194	1203	0	45992
40	1194	1203	1179	0	47195
41	1203	1179	1182	0	48374
42	1179	1182	1191	0	49556
43	1182	1191	1175	0	50747
44	1191	1175	1167	0	51922
45	1175	1167	1152	0	53089
46	1167	1152	1160	0	54241
47	1152	1160	1155	0	55401
48	1160	1155	1137	0	56556
49	1155	1137	1144	0	57693
50	1137	1144	1163	0	58837
51	1144	1163	1175	0	60000
52	1163	1175	1156	0	61175
53	1175	1156	1159	0	62331
54	1156	1159	1171	0	63490
55	1159	1171	1183	0	64661
56	1171	1183	1156	0	65844
57	1183	1156	1160	0	67000
58	1156	1160	1175	0	68160
59	1160	1175	1183	0	69335
60	1175	1183	1155	0	70518
61	1183	1155	1160	0	71673
62	1155	1160	1179	0	72833
63	1160	1179	1194	0	74012
64	1179	1194	1183	0	75206
65	1194	1183	1179	0	76389
66	1183	1179	1183	0	77568
67	1179	1183	1206	0	78751
68	1183	1206	1183	0	79957
69	1206	1183	1175	0	81140
70	1183	1175	1183	0	82315
71	1175	1183	1175	0	83498
72	1183	1175	1187	0	84673
73	1175	1187	1175	0	85860
74	1187	1175	1175	0	87035
75	1175	1175	1187	0	88210
76	1175	1187	1191	0	89397
77	1187	1191	1186	0	90588
78	1191	1186	1199	0	91774
79	1186	1199	1233	0	92973
80	1199	1233	1214	0	94206
81	1233	1214	522	0	95420
82	1214	522	1323	1	95942
83	522	1323	1225	0	97265
84	1323	1225	1191	0	98490
85	1225	1191	1179	0	99681
86	1191	1179	1156	0	100860
87	1179	1156	1159	0	102016
88	1156	1159	1167	0	103175
89	1159	1167	1172	0	104342
90	1167	1172	1151	0	105514
91	1172	1151	1160	0	106665
92	1151	1160	1179	0	107825
93	1160	1179	1179	0	109004
94	1179	1179	1171	0	110183
95	1179	1171	1179	0	111354
96	1171	1179	1206	0	112533
97	1179	1206	1195	0	113739
98	1206	1195	1171	0	114934
99	1195	1171	1202	0	116105
100	1171	1202	1203	0	117307
101	1202	1203	1198	0	118510
102	1203	1198	1171	0	119708
103	1198	1171	1183	0	120879
104	1171	1183	1164	0	122062
105	1183	1164	1159	0	123226
106	1164	1159	1164	0	124385
107	1159	1164	1163	0	125549
108	1164	1163	1148	0	126712
109	1163	1148	1167	0	127860
110	1148	1167	1175	0	129027
111	1167	1175	1156	0	130202
112	1175	1156	1152	0	131358
113	1156	1152	1183	0	132510
114	1152	1183	1186	0	133693
115	1183	1186	1179	0	134879
116	1186	1179	1191	0	136058
117	1179	1191	1167	0	137249
118	1191	1167	1160	0	138416
119	1167	1160	1175	0	139576
120	1160	1175	1179	0	140751
121	1175	1179	1171	0	141930
122	1179	1171	1175	0	143101
123	1171	1175	1199	0	144276
124	1175	1199	1218	0	145475
125	1199	1218	1206	0	146693
126	1218	1206	1190	0	147899
127	1206	1190	1234	0	149089
128	1190	1234	1241	0	150323
129	1234	1241	1206	0	151564
130	1241	1206	1187	0	152770
131	1206	1187	1206	0	153957
132	1187	1206	1218	0	155163
133	1206	1218	1203	0	156381
134	1218	1203	1186	0	157584
135	1203	1186	1199	0	158770
136	1186	1199	1194	0	159969
137	1199	1194	1176	0	161163
138	1194	1176	1163	0	162339
139	1176	1163	521	0	163502
140	1163	521	705	1	164023
141	521	705	560	1	164728
142	705	560	1704	1	165288
143	560	1704	1199	0	166992
144	1704	1199	1186	0	168191
145	1199	1186	1195	0	169377
146	1186	1195	1167	0	170572
147	1195	1167	1179	0	171739
148	1167	1179	1175	0	172918
149	1179	1175	1172	0	174093
150	1175	1172	1175	0	175265
151	1172	1175	1194	0	176440
152	1175	1194	1199	0	177634
153	1194	1199	1179	0	178833
154	1199	1179	1206	0	180012
155	1179	1206	1202	0	181218
156	1206	1202	1183	0	182420
157	1202	1183	1171	0	183603
158	1183	1171	1179	0	184774
159	1171	1179	1179	0	185953
160	1179	1179	1152	0	187132
161	1179	1152	1156	0	188284
162	1152	1156	1175	0	189440
163	1156	1175	1159	0	190615
164	1175	1159	1152	0	191774
165	1159	1152	1171	0	192926
166	1152	1171	1175	0	194097
167	1171	1175	1168	0	195272
168	1175	1168	1163	0	196440
169	1168	1163	1175	0	197603
170	1163	1175	1191	0	198778
171	1175	1191	1191	0	199969
172	1191	1191	1159	0	201160
173	1191	1159	1156	0	202319
174	1159	1156	1136	0	203475
175	1156	1136	1132	0	204611
176	1136	1132	1129	0	205743
177	1132	1129	1155	0	206872
178	1129	1155	1164	0	208027
179	1155	1164	1163	0	209191
180	1164	1163	1171	0	210354
181	1163	1171	1203	0	211525
182	1171	1203	1206	0	212728
183	1203	1206	1202	0	213934
184	1206	1202	1206	0	215136
185	1202	1206	1218	0	216342
186	1206	1218	1222	0	217560
187	1218	1222	1214	0	218782
188	1222	1214	1218	0	219996
189	1214	1218	1226	0	221214
190	1218	1226	1229	0	222440
