i-1	i+0	i+1	Filter
1078	642	646	0
642	646	397	0
646	397	898	1
397	898	643	2
898	643	634	0
643	634	646	0
634	646	626	0
646	626	623	0
626	623	614	0
623	614	631	0
614	631	626	0
631	626	607	0
626	607	638	0
607	638	386	0
638	386	891	1
386	891	611	2
891	611	626	0
611	626	623	0
626	623	614	0
623	614	623	0
614	623	615	0
623	615	618	0
615	618	619	0
618	619	630	0
619	630	642	0
630	642	650	0
642	650	654	0
650	654	650	0
654	650	661	0
650	661	417	0
661	417	930	1
417	930	657	2
930	657	654	0
657	654	665	0
654	665	638	0
665	638	646	0
638	646	642	0
646	642	638	0
642	638	646	0
638	646	631	0
646	631	630	0
631	630	626	0
630	626	631	0
626	631	634	0
631	634	630	0
634	630	623	0
630	623	611	0
623	611	615	0
611	615	626	0
615	626	381	0
626	381	880	1
381	880	615	2
880	615	607	0
615	607	626	0
607	626	588	0
626	588	614	0
588	614	600	0
614	600	607	0
600	607	603	0
607	603	607	0
603	607	607	0
607	607	603	0
607	603	607	0
603	607	615	0
607	615	381	0
615	381	864	1
381	864	611	2
864	611	622	0
611	622	607	0
622	607	603	0
607	603	596	0
603	596	599	0
596	599	603	0
599	603	603	0
603	603	607	0
603	607	599	0
607	599	607	0
599	607	607	0
607	607	611	0
607	611	607	0
611	607	603	0
607	603	619	0
603	619	595	0
619	595	611	0
595	611	611	0
611	611	599	0
611	599	604	0
599	604	610	0
604	610	611	0
610	611	615	0
611	615	611	0
615	611	607	0
611	607	607	0
607	607	615	0
607	615	618	0
615	618	592	0
618	592	615	0
592	615	381	0
615	381	848	1
381	848	603	2
848	603	619	0
603	619	615	0
619	615	607	0
615	607	615	0
607	615	626	0
615	626	428	0
626	428	833	1
428	833	630	2
833	630	627	0
630	627	626	0
627	626	405	0
626	405	856	1
405	856	622	2
856	622	627	0
622	627	618	0
627	618	405	0
618	405	860	1
405	860	615	2
860	615	626	0
615	626	607	0
626	607	615	0
607	615	599	0
615	599	611	0
599	611	603	0
611	603	603	0
603	603	623	0
603	623	603	0
623	603	615	0
603	615	619	0
615	619	618	0
619	618	627	0
618	627	626	0
627	626	627	0
626	627	630	0
627	630	634	0
630	634	634	0
634	634	405	0
634	405	883	1
405	883	658	2
883	658	646	0
658	646	650	0
646	650	389	0
650	389	922	1
389	922	459	2
922	459	837	1
459	837	646	2
837	646	642	0
646	642	397	0
642	397	894	1
397	894	662	2
894	662	658	0
662	658	389	0
658	389	953	1
389	953	447	2
953	447	903	1
447	903	681	2
903	681	669	0
681	669	666	0
669	666	673	0
666	673	416	0
673	416	930	1
416	930	669	2
930	669	650	0
669	650	658	0
650	658	385	0
658	385	938	1
385	938	661	2
938	661	662	0
661	662	673	0
662	673	385	0
673	385	973	1
385	973	685	2
973	685	673	0
685	673	677	0
673	677	385	0
677	385	992	1
385	992	456	2
992	456	937	1
456	937	693	2
937	693	681	0
693	681	389	0
681	389	977	1
389	977	684	2
977	684	666	0
684	666	669	0
666	669	665	0
669	665	662	0
665	662	661	0
662	661	662	0
661	662	669	0
662	669	669	0
669	669	409	0
669	409	961	1
409	961	677	2
961	677	677	0
677	677	677	0
677	677	669	0
677	669	471	0
669	471	891	1
471	891	670	2
891	670	661	0
670	661	413	0
661	413	937	1
413	937	673	2
937	673	658	0
673	658	665	0
658	665	654	0
665	654	673	0
654	673	666	0
673	666	692	0
666	692	704	0
692	704	705	0
704	705	716	0
705	716	708	0
716	708	704	0
708	704	712	0
704	712	704	0
712	704	479	0
704	479	922	1
479	922	685	2
922	685	413	0
685	413	957	1
413	957	692	2
957	692	685	0
692	685	397	0
685	397	977	1
397	977	685	2
977	685	404	0
685	404	996	1
404	996	693	2
996	693	700	0
693	700	393	0
700	393	1004	1
393	1004	708	2
1004	708	401	0
708	401	1020	1
401	1020	719	2
1020	719	716	0
719	716	393	0
716	393	1043	1
393	1043	704	2
1043	704	409	0
704	409	1012	1
409	1012	696	2
1012	696	424	0
696	424	985	1
424	985	700	2
985	700	697	0
700	697	393	0
697	393	1007	1
393	1007	709	2
1007	709	397	0
709	397	996	1
397	996	684	2
996	684	689	0
684	689	397	0
689	397	977	1
397	977	685	2
977	685	700	0
685	700	393	0
700	393	973	1
393	973	669	2
973	669	681	0
669	681	401	0
681	401	965	1
401	965	673	2
965	673	677	0
673	677	404	0
677	404	977	1
404	977	704	2
977	704	701	0
704	701	393	0
701	393	1004	1
393	1004	704	2
1004	704	700	0
704	700	393	0
700	393	993	1
393	993	696	2
993	696	700	0
696	700	397	0
700	397	989	1
397	989	681	2
989	681	404	0
681	404	965	1
404	965	681	2
965	681	417	0
681	417	961	1
417	961	684	2
961	684	428	0
684	428	958	1
428	958	688	2
958	688	428	0
688	428	969	1
428	969	685	2
969	685	444	0
685	444	937	1
444	937	681	2
937	681	689	0
681	689	401	0
689	401	973	1
401	973	684	2
973	684	417	0
684	417	969	1
417	969	688	2
969	688	428	0
688	428	958	1
428	958	684	2
958	684	452	0
684	452	938	1
452	938	700	2
938	700	689	0
700	689	404	0
689	404	985	1
404	985	688	2
985	688	421	0
688	421	976	1
421	976	670	2
976	670	424	0
670	424	941	1
424	941	685	2
941	685	448	0
685	448	918	1
448	918	689	2
918	689	665	0
689	665	409	0
665	409	965	1
409	965	677	2
965	677	451	0
677	451	922	1
451	922	666	2
922	666	447	0
666	447	895	1
447	895	669	2
895	669	666	0
669	666	408	0
666	408	922	1
408	922	662	2
922	662	432	0
662	432	906	1
432	906	677	2
906	677	670	0
677	670	684	0
670	684	685	0
684	685	685	0
685	685	685	0
685	685	412	0
685	412	985	1
412	985	696	2
985	696	421	0
696	421	972	1
421	972	693	2
972	693	432	0
693	432	953	1
432	953	681	2
953	681	689	0
681	689	677	0
689	677	677	0
677	677	685	0
677	685	684	0
685	684	685	0
684	685	681	0
685	681	685	0
681	685	689	0
685	689	696	0
689	696	697	0
696	697	685	0
697	685	708	0
685	708	685	0
708	685	696	0
685	696	716	0
696	716	693	0
716	693	696	0
693	696	704	0
696	704	693	0
704	693	697	0
693	697	712	0
697	712	692	0
712	692	689	0
692	689	689	0
689	689	424	0
689	424	973	1
424	973	688	2
973	688	428	0
688	428	969	1
428	969	681	2
969	681	444	0
681	444	910	1
444	910	662	2
910	662	673	0
662	673	685	0
673	685	677	0
685	677	688	0
677	688	693	0
688	693	416	0
693	416	996	1
416	996	701	2
996	701	689	0
701	689	396	0
689	396	993	1
396	993	677	2
993	677	451	0
677	451	965	1
451	965	704	2
965	704	689	0
704	689	409	0
689	409	1000	1
409	1000	700	2
1000	700	685	0
700	685	685	0
685	685	677	0
685	677	696	0
677	696	681	0
696	681	405	0
681	405	984	1
405	984	697	2
984	697	681	0
697	681	681	0
681	681	677	0
681	677	673	0
677	673	681	0
673	681	685	0
681	685	412	0
685	412	969	1
412	969	692	2
969	692	693	0
692	693	409	0
693	409	957	1
409	957	654	2
957	654	673	0
654	673	661	0
673	661	658	0
661	658	404	0
658	404	938	1
404	938	666	2
938	666	665	0
666	665	661	0
665	661	662	0
661	662	673	0
662	673	669	0
673	669	689	0
669	689	428	0
689	428	973	1
428	973	712	2
973	712	669	0
712	669	677	0
669	677	681	0
677	681	669	0
681	669	685	0
669	685	681	0
685	681	405	0
681	405	961	1
405	961	665	2
961	665	677	0
665	677	658	0
677	658	657	0
658	657	642	0
657	642	697	0
642	697	696	0
697	696	693	0
696	693	697	0
693	697	692	0
697	692	693	0
692	693	404	0
693	404	1000	1
404	1000	697	2
1000	697	677	0
697	677	689	0
677	689	673	0
689	673	669	0
673	669	673	0
669	673	673	0
673	673	666	0
673	666	677	0
666	677	669	0
677	669	662	0
669	662	404	0
662	404	938	1
404	938	661	2
938	661	654	0
661	654	658	0
654	658	389	0
658	389	922	1
389	922	638	2
922	638	646	0
638	646	634	0
646	634	405	0
634	405	872	1
405	872	638	2
872	638	634	0
638	634	615	0
634	615	607	0
615	607	638	0
607	638	619	0
638	619	614	0
619	614	619	0
614	619	607	0
619	607	409	0
607	409	844	1
409	844	615	2
844	615	618	0
615	618	603	0
618	603	607	0
603	607	611	0
607	611	607	0
611	607	607	0
607	607	401	0
607	401	829	1
401	829	615	2
829	615	611	0
615	611	603	0
611	603	618	0
603	618	405	0
618	405	837	1
405	837	603	2
837	603	603	0
603	603	599	0
603	599	611	0
599	611	409	0
611	409	824	1
409	824	600	2
824	600	603	0
600	603	583	0
603	583	588	0
583	588	432	0
588	432	790	1
432	790	618	2
790	618	592	0
618	592	595	0
592	595	599	0
595	599	592	0
599	592	591	0
592	591	611	0
591	611	584	0
611	584	599	0
584	599	592	0
599	592	587	0
592	587	603	0
587	603	424	0
603	424	814	1
424	814	626	2
814	626	584	0
626	584	603	0
584	603	603	0
603	603	428	0
603	428	813	1
428	813	592	2
813	592	599	0
592	599	603	0
599	603	591	0
603	591	425	0
591	425	809	1
425	809	607	2
809	607	599	0
607	599	607	0
599	607	607	0
607	607	424	0
607	424	813	1
424	813	604	2
813	604	618	0
604	618	611	0
618	611	611	0
611	611	611	0
611	611	622	0
611	622	607	0
622	607	615	0
607	615	401	0
615	401	868	1
401	868	611	2
868	611	603	0
611	603	611	0
603	611	595	0
611	595	447	0
595	447	798	1
447	798	599	2
798	599	615	0
599	615	603	0
615	603	607	0
603	607	417	0
607	417	817	1
417	817	607	2
817	607	615	0
607	615	595	0
615	595	607	0
595	607	611	0
607	611	603	0
611	603	611	0
603	611	599	0
611	599	599	0
599	599	615	0
599	615	607	0
615	607	611	0
607	611	611	0
611	611	603	0
611	603	615	0
603	615	611	0
615	611	408	0
611	408	868	1
408	868	611	2
868	611	615	0
611	615	614	0
615	614	611	0
614	611	413	0
611	413	856	1
413	856	595	2
856	595	607	0
595	607	619	0
607	619	603	0
619	603	603	0
603	603	619	0
603	619	622	0
619	622	588	0
622	588	622	0
588	622	607	0
622	607	619	0
607	619	619	0
619	619	622	0
619	622	603	0
622	603	623	0
603	623	611	0
623	611	618	0
611	618	623	0
618	623	607	0
623	607	615	0
607	615	611	0
615	611	622	0
611	622	603	0
622	603	611	0
603	611	615	0
611	615	607	0
615	607	627	0
607	627	599	0
627	599	630	0
599	630	592	0
630	592	607	0
592	607	618	0
607	618	592	0
618	592	599	0
592	599	615	0
599	615	595	0
615	595	607	0
595	607	607	0
607	607	599	0
607	599	599	0
599	599	604	0
599	604	595	0
604	595	595	0
595	595	599	0
595	599	600	0
599	600	595	0
600	595	615	0
595	615	591	0
615	591	603	0
591	603	611	0
603	611	592	0
611	592	583	0
592	583	615	0
583	615	623	0
615	623	393	0
623	393	836	1
393	836	607	2
836	607	611	0
607	611	634	0
611	634	576	0
634	576	599	0
576	599	607	0
599	607	604	0
607	604	603	0
604	603	618	0
603	618	600	0
618	600	599	0
600	599	615	0
599	615	618	0
615	618	619	0
618	619	634	0
619	634	623	0
634	623	401	0
623	401	867	1
401	867	623	2
867	623	622	0
623	622	615	0
622	615	615	0
615	615	638	0
615	638	592	0
638	592	618	0
592	618	615	0
618	615	603	0
615	603	615	0
603	615	615	0
615	615	607	0
615	607	614	0
607	614	619	0
614	619	631	0
619	631	583	0
631	583	631	0
583	631	622	0
631	622	603	0
622	603	619	0
603	619	615	0
619	615	607	0
615	607	614	0
607	614	615	0
614	615	592	0
615	592	614	0
592	614	631	0
614	631	611	0
631	611	611	0
611	611	611	0
611	611	607	0
611	607	603	0
607	603	603	0
603	603	599	0
603	599	615	0
599	615	603	0
615	603	615	0
603	615	614	0
615	614	607	0
614	607	611	0
607	611	607	0
611	607	607	0
607	607	631	0
607	631	587	0
631	587	599	0
587	599	615	0
599	615	611	0
615	611	599	0
611	599	615	0
599	615	599	0
615	599	607	0
599	607	619	0
607	619	599	0
619	599	607	0
599	607	611	0
607	611	599	0
611	599	607	0
599	607	600	0
607	600	607	0
600	607	614	0
607	614	592	0
614	592	630	0
592	630	584	0
630	584	615	0
584	615	591	0
615	591	615	0
591	615	607	0
615	607	622	0
607	622	592	0
622	592	615	0
592	615	603	0
615	603	603	0
603	603	626	0
603	626	588	0
626	588	607	0
588	607	615	0
607	615	611	0
615	611	610	0
611	610	611	0
610	611	619	0
611	619	623	0
619	623	618	0
623	618	627	0
618	627	611	0
627	611	618	0
611	618	631	0
618	631	622	0
631	622	615	0
622	615	623	0
615	623	638	0
623	638	583	0
638	583	615	0
583	615	607	0
615	607	607	0
607	607	611	0
607	611	619	0
611	619	603	0
619	603	619	0
603	619	607	0
619	607	614	0
607	614	627	0
614	627	607	0
627	607	618	0
607	618	615	0
618	615	623	0
615	623	618	0
623	618	623	0
618	623	634	0
623	634	611	0
634	611	623	0
611	623	626	0
623	626	607	0
626	607	611	0
607	611	611	0
611	611	611	0
611	611	603	0
611	603	611	0
603	611	615	0
611	615	603	0
615	603	595	0
603	595	615	0
595	615	603	0
615	603	607	0
603	607	619	0
607	619	607	0
619	607	618	0
607	618	604	0
618	604	614	0
604	614	615	0
614	615	611	0
615	611	615	0
611	615	611	0
615	611	607	0
611	607	618	0
607	618	607	0
618	607	619	0
607	619	642	0
619	642	588	0
642	588	614	0
588	614	627	0
614	627	591	0
627	591	623	0
591	623	615	0
623	615	618	0
615	618	611	0
618	611	638	0
611	638	596	0
638	596	611	0
596	611	630	0
611	630	626	0
630	626	611	0
626	611	627	0
611	627	607	0
627	607	615	0
607	615	622	0
615	622	619	0
622	619	618	0
619	618	611	0
618	611	600	0
611	600	622	0
600	622	599	0
622	599	615	0
599	615	630	0
615	630	584	0
630	584	607	0
584	607	607	0
607	607	599	0
607	599	619	0
599	619	615	0
619	615	603	0
615	603	619	0
603	619	603	0
619	603	611	0
603	611	603	0
611	603	615	0
603	615	607	0
615	607	610	0
607	610	600	0
610	600	622	0
600	622	596	0
622	596	614	0
596	614	596	0
614	596	614	0
596	614	604	0
614	604	607	0
604	607	618	0
607	618	596	0
618	596	610	0
596	610	615	0
610	615	603	0
615	603	619	0
603	619	607	0
619	607	611	0
607	611	611	0
611	611	615	0
611	615	607	0
615	607	614	0
607	614	619	0
614	619	599	0
619	599	615	0
599	615	603	0
615	603	611	0
603	611	599	0
611	599	615	0
599	615	607	0
615	607	615	0
607	615	615	0
615	615	599	0
615	599	611	0
599	611	607	0
611	607	615	0
607	615	611	0
615	611	595	0
611	595	619	0
595	619	610	0
619	610	607	0
610	607	615	0
607	615	599	0
615	599	607	0
599	607	611	0
607	611	607	0
611	607	611	0
607	611	607	0
611	607	607	0
607	607	607	0
607	607	611	0
607	611	607	0
611	607	615	0
607	615	603	0
615	603	603	0
603	603	611	0
603	611	607	0
611	607	603	0
607	603	607	0
603	607	599	0
607	599	596	0
599	596	614	0
596	614	627	0
614	627	576	0
627	576	599	0
576	599	603	0
599	603	595	0
603	595	596	0
595	596	603	0
596	603	611	0
603	611	595	0
611	595	595	0
595	595	611	0
595	611	596	0
611	596	615	0
596	615	599	0
615	599	618	0
599	618	592	0
618	592	622	0
592	622	623	0
622	623	603	0
623	603	603	0
603	603	627	0
603	627	607	0
627	607	614	0
607	614	615	0
614	615	615	0
615	615	607	0
615	607	623	0
607	623	595	0
623	595	626	0
595	626	604	0
626	604	610	0
604	610	623	0
610	623	603	0
623	603	611	0
603	611	607	0
611	607	626	0
607	626	604	0
626	604	610	0
604	610	607	0
610	607	611	0
607	611	619	0
611	619	603	0
619	603	619	0
603	619	615	0
619	615	603	0
615	603	611	0
603	611	614	0
611	614	627	0
614	627	373	0
627	373	864	1
373	864	619	2
864	619	603	0
619	603	611	0
603	611	611	0
611	611	615	0
611	615	607	0
615	607	595	0
607	595	622	0
595	622	619	0
622	619	370	0
619	370	864	1
370	864	607	2
864	607	591	0
607	591	638	0
591	638	623	0
638	623	603	0
623	603	626	0
603	626	600	0
626	600	645	0
600	645	600	0
645	600	614	0
600	614	611	0
614	611	635	0
611	635	618	0
635	618	354	0
