i-1	i+0	i+1	Filter
1735	895	895	0
895	895	763	0
895	763	502	0
763	502	1261	1
502	1261	867	2
1261	867	782	0
867	782	510	0
782	510	891	1
510	891	736	2
891	736	824	0
736	824	518	0
824	518	1109	1
518	1109	790	2
1109	790	704	0
790	704	522	0
704	522	840	1
522	840	696	2
840	696	841	0
696	841	778	0
841	778	809	0
778	809	724	0
809	724	693	0
724	693	766	0
693	766	872	0
766	872	533	0
872	533	1101	1
533	1101	673	2
1101	673	810	0
673	810	521	0
810	521	1152	1
521	1152	860	2
1152	860	692	0
860	692	510	0
692	510	856	1
510	856	704	2
856	704	856	0
704	856	806	0
856	806	840	0
806	840	747	0
840	747	724	0
747	724	518	0
724	518	1233	1
518	1233	759	2
1233	759	739	0
759	739	514	0
739	514	1085	1
514	1085	670	2
1085	670	871	0
670	871	806	0
871	806	829	0
806	829	727	0
829	727	673	0
727	673	670	0
673	670	747	0
670	747	856	0
747	856	533	0
856	533	1124	1
533	1124	708	2
1124	708	697	0
708	697	833	0
697	833	825	0
833	825	836	0
825	836	755	0
836	755	739	0
755	739	494	0
739	494	1269	1
494	1269	747	2
1269	747	856	0
747	856	693	0
856	693	653	0
693	653	666	0
653	666	506	0
666	506	1171	1
506	1171	794	2
1171	794	778	0
794	778	685	0
778	685	645	0
685	645	642	0
645	642	526	0
642	526	910	1
526	910	798	2
910	798	782	0
798	782	778	0
782	778	759	0
778	759	697	0
759	697	638	0
697	638	649	0
638	649	689	0
649	689	712	0
689	712	673	0
712	673	666	0
673	666	646	0
666	646	642	0
646	642	626	0
642	626	739	0
626	739	674	0
739	674	716	0
674	716	688	0
716	688	712	0
688	712	685	0
712	685	533	0
685	533	880	1
533	880	712	2
880	712	696	0
712	696	708	0
696	708	681	0
708	681	728	0
681	728	696	0
728	696	724	0
696	724	732	0
724	732	751	0
732	751	712	0
751	712	731	0
712	731	525	0
731	525	962	1
525	962	657	2
962	657	669	0
657	669	670	0
669	670	688	0
670	688	693	0
688	693	739	0
693	739	779	0
739	779	778	0
779	778	743	0
778	743	747	0
743	747	751	0
747	751	739	0
751	739	724	0
739	724	747	0
724	747	739	0
747	739	740	0
739	740	735	0
740	735	732	0
735	732	747	0
732	747	723	0
747	723	748	0
723	748	731	0
748	731	728	0
731	728	735	0
728	735	743	0
735	743	724	0
743	724	724	0
724	724	766	0
724	766	732	0
766	732	731	0
732	731	740	0
731	740	719	0
740	719	716	0
719	716	728	0
716	728	708	0
728	708	708	0
708	708	709	0
708	709	712	0
709	712	696	0
712	696	724	0
696	724	533	0
724	533	887	1
533	887	697	2
887	697	712	0
697	712	521	0
712	521	907	1
521	907	696	2
907	696	708	0
696	708	720	0
708	720	724	0
720	724	720	0
724	720	712	0
720	712	712	0
712	712	708	0
712	708	724	0
708	724	525	0
724	525	926	1
525	926	728	2
926	728	723	0
728	723	720	0
723	720	732	0
720	732	517	0
732	517	961	1
517	961	709	2
961	709	716	0
709	716	509	0
716	509	942	1
509	942	716	2
942	716	731	0
716	731	709	0
731	709	739	0
709	739	510	0
739	510	933	1
510	933	709	2
933	709	719	0
709	719	518	0
719	518	903	1
518	903	712	2
903	712	731	0
712	731	724	0
731	724	735	0
724	735	502	0
735	502	973	1
502	973	693	2
973	693	743	0
693	743	502	0
743	502	934	1
502	934	716	2
934	716	716	0
716	716	723	0
716	723	732	0
723	732	720	0
732	720	735	0
720	735	743	0
735	743	736	0
743	736	704	0
736	704	689	0
704	689	712	0
689	712	969	0
712	969	509	0
969	509	1125	1
509	1125	521	2
1125	521	950	1
521	950	774	2
950	774	876	0
774	876	505	0
876	505	1109	1
505	1109	658	2
1109	658	693	0
658	693	832	0
693	832	518	0
832	518	1120	1
518	1120	817	2
1120	817	720	0
817	720	685	0
720	685	771	0
685	771	875	0
771	875	514	0
875	514	1109	1
514	1109	883	2
1109	883	692	0
883	692	681	0
692	681	876	0
681	876	510	0
876	510	1167	1
510	1167	704	2
1167	704	662	0
704	662	669	0
662	669	712	0
669	712	821	0
712	821	518	0
821	518	1116	1
518	1116	716	2
1116	716	693	0
716	693	891	0
693	891	798	0
891	798	832	0
798	832	510	0
832	510	942	1
510	942	688	2
942	688	740	0
688	740	502	0
740	502	1000	1
502	1000	692	2
1000	692	681	0
692	681	685	0
681	685	677	0
685	677	677	0
677	677	712	0
677	712	720	0
712	720	724	0
720	724	708	0
724	708	739	0
708	739	724	0
739	724	716	0
724	716	724	0
716	724	716	0
724	716	704	0
716	704	720	0
704	720	708	0
720	708	704	0
708	704	716	0
704	716	708	0
716	708	708	0
708	708	709	0
708	709	513	0
709	513	926	1
513	926	708	2
926	708	701	0
708	701	498	0
701	498	930	1
498	930	692	2
930	692	709	0
692	709	712	0
709	712	727	0
712	727	518	0
727	518	965	1
518	965	724	2
965	724	750	0
724	750	736	0
750	736	755	0
736	755	681	0
755	681	665	0
681	665	665	0
665	665	712	0
665	712	771	0
712	771	751	0
771	751	731	0
751	731	728	0
731	728	759	0
728	759	751	0
759	751	751	0
751	751	762	0
751	762	709	0
762	709	537	0
709	537	1007	1
537	1007	794	2
1007	794	732	0
794	732	754	0
732	754	736	0
754	736	669	0
736	669	669	0
669	669	666	0
669	666	852	0
666	852	525	0
852	525	1136	1
525	1136	709	2
1136	709	723	0
709	723	494	0
723	494	1160	1
494	1160	494	2
1160	494	553	1
494	553	836	3
553	836	794	2
836	794	661	0
794	661	798	0
661	798	821	0
798	821	529	0
821	529	1102	1
529	1102	731	2
1102	731	654	0
731	654	692	0
654	692	817	0
692	817	514	0
817	514	1109	1
514	1109	778	2
1109	778	790	0
778	790	506	0
790	506	1054	1
506	1054	689	2
1054	689	860	0
689	860	802	0
860	802	825	0
802	825	832	0
825	832	868	0
832	868	883	0
868	883	697	0
883	697	513	0
697	513	1277	1
513	1277	751	2
1277	751	980	0
751	980	806	0
980	806	848	0
806	848	844	0
848	844	821	0
844	821	841	0
821	841	832	0
841	832	887	0
832	887	915	0
887	915	906	0
915	906	903	0
906	903	883	0
903	883	888	0
883	888	860	0
888	860	852	0
860	852	840	0
852	840	833	0
840	833	770	0
833	770	720	0
770	720	498	0
720	498	1164	1
498	1164	786	2
1164	786	766	0
786	766	747	0
766	747	747	0
747	747	514	0
747	514	1054	1
514	1054	786	2
1054	786	755	0
786	755	545	0
755	545	1074	1
545	1074	817	2
1074	817	805	0
817	805	794	0
805	794	813	0
794	813	771	0
813	771	712	0
771	712	517	0
712	517	1117	1
517	1117	880	2
1117	880	490	0
880	490	1342	1
490	1342	880	2
1342	880	474	0
880	474	1016	0
474	1016	790	0
1016	790	988	0
790	988	790	0
988	790	704	0
790	704	526	0
704	526	1120	1
526	1120	708	2
1120	708	775	0
708	775	529	0
775	529	907	1
529	907	859	2
907	859	802	0
859	802	825	0
802	825	836	0
825	836	814	0
836	814	825	0
814	825	832	0
825	832	810	0
832	810	852	0
810	852	844	0
852	844	817	0
844	817	771	0
