index	i-1	i+0	i+1	Filter	Time
1	253	934	513	0	1187
2	934	513	1284	1	1700
3	513	1284	930	0	2984
4	1284	930	506	0	3914
5	930	506	1308	1	4420
6	506	1308	930	0	5728
7	1308	930	509	0	6658
8	930	509	1331	1	7167
9	509	1331	918	0	8498
10	1331	918	506	0	9416
11	918	506	1315	1	9922
12	506	1315	930	0	11237
13	1315	930	510	0	12167
14	930	510	1261	1	12677
15	510	1261	902	0	13938
16	1261	902	510	0	14840
17	902	510	1234	1	15350
18	510	1234	887	0	16584
19	1234	887	529	0	17471
20	887	529	1226	1	18000
21	529	1226	875	0	19226
22	1226	875	522	0	20101
23	875	522	1214	1	20623
24	522	1214	879	0	21837
25	1214	879	541	0	22716
26	879	541	1241	1	23257
27	541	1241	879	0	24498
28	1241	879	522	0	25377
29	879	522	1292	1	25899
30	522	1292	926	0	27191
31	1292	926	517	0	28117
32	926	517	1308	1	28634
33	517	1308	961	0	29942
34	1308	961	509	0	30903
35	961	509	1339	1	31412
36	509	1339	949	0	32751
37	1339	949	506	0	33700
38	949	506	1331	1	34206
39	506	1331	938	0	35537
40	1331	938	513	0	36475
41	938	513	1312	1	36988
42	513	1312	902	0	38300
43	1312	902	514	0	39202
44	902	514	1315	1	39716
45	514	1315	938	0	41031
46	1315	938	506	0	41969
47	938	506	1288	1	42475
48	506	1288	930	0	43763
49	1288	930	513	0	44693
50	930	513	1292	1	45206
51	513	1292	914	0	46498
52	1292	914	499	0	47412
53	914	499	1276	1	47911
54	499	1276	902	0	49187
55	1276	902	514	0	50089
56	902	514	1187	1	50603
57	514	1187	801	0	51790
58	1187	801	545	0	52591
59	801	545	1066	1	53136
60	545	1066	806	0	54202
61	1066	806	844	0	55008
62	806	844	903	0	55852
63	844	903	945	0	56755
64	903	945	888	0	57700
65	945	888	568	0	58588
66	888	568	1288	1	59156
67	568	1288	933	0	60444
68	1288	933	522	0	61377
69	933	522	1346	1	61899
70	522	1346	977	0	63245
71	1346	977	506	0	64222
72	977	506	1377	1	64728
73	506	1377	973	0	66105
74	1377	973	502	0	67078
75	973	502	1373	1	67580
76	502	1373	954	0	68953
77	1373	954	498	0	69907
78	954	498	1385	1	70405
79	498	1385	938	0	71790
80	1385	938	498	0	72728
81	938	498	1369	1	73226
82	498	1369	926	0	74595
83	1369	926	502	0	75521
84	926	502	1304	1	76023
85	502	1304	910	0	77327
86	1304	910	510	0	78237
87	910	510	1253	1	78747
88	510	1253	895	0	80000
89	1253	895	510	0	80895
90	895	510	1276	1	81405
91	510	1276	910	0	82681
92	1276	910	510	0	83591
93	910	510	1308	1	84101
94	510	1308	933	0	85409
95	1308	933	506	0	86342
96	933	506	1304	1	86848
97	506	1304	875	0	88152
98	1304	875	518	0	89027
99	875	518	1179	1	89545
100	518	1179	836	0	90724
101	1179	836	541	0	91560
102	836	541	1276	1	92101
103	541	1276	880	0	93377
104	1276	880	537	0	94257
105	880	537	1257	1	94794
106	537	1257	887	0	96051
107	1257	887	517	0	96938
108	887	517	1273	1	97455
109	517	1273	910	0	98728
110	1273	910	529	0	99638
111	910	529	1284	1	100167
112	529	1284	930	0	101451
113	1284	930	506	0	102381
114	930	506	1346	1	102887
115	506	1346	950	0	104233
116	1346	950	502	0	105183
117	950	502	1354	1	105685
118	502	1354	953	0	107039
119	1354	953	502	0	107992
120	953	502	1339	1	108494
121	502	1339	941	0	109833
122	1339	941	502	0	110774
123	941	502	1288	1	111276
124	502	1288	907	0	112564
125	1288	907	517	0	113471
126	907	517	1273	1	113988
127	517	1273	910	0	115261
128	1273	910	502	0	116171
