i-1	i+0	i+1	Filter	Time
704	712	436	0	1459
712	436	385	1	1895
436	385	623	0	2280
385	623	720	0	2903
623	720	731	0	3623
720	731	724	0	4354
731	724	440	0	5078
724	440	377	1	5518
440	377	658	0	5895
377	658	704	0	6553
658	704	720	0	7257
704	720	708	0	7977
720	708	704	0	8685
708	704	428	0	9389
704	428	385	1	9817
428	385	635	0	10202
385	635	692	0	10837
635	692	697	0	11529
692	697	696	0	12226
697	696	677	0	12922
696	677	424	0	13599
677	424	989	1	14023
424	989	688	0	15012
989	688	681	0	15700
688	681	681	0	16381
681	681	677	0	17062
681	677	681	0	17739
677	681	685	0	18420
681	685	685	0	19105
685	685	700	0	19790
685	700	712	0	20490
700	712	720	0	21202
712	720	728	0	21922
720	728	537	0	22650
728	537	930	1	23187
537	930	731	0	24117
930	731	755	0	24848
731	755	747	0	25603
755	747	417	0	26350
747	417	373	1	26767
417	373	708	0	27140
373	708	736	0	27848
708	736	739	0	28584
736	739	739	0	29323
739	739	424	0	30062
739	424	374	1	30486
424	374	677	0	30860
374	677	720	0	31537
677	720	724	0	32257
720	724	708	0	32981
724	708	723	0	33689
708	723	417	0	34412
723	417	381	1	34829
417	381	650	0	35210
381	650	712	0	35860
650	712	704	0	36572
712	704	708	0	37276
704	708	701	0	37984
708	701	420	0	38685
701	420	405	1	39105
420	405	595	0	39510
405	595	693	0	40105
595	693	681	0	40798
693	681	688	0	41479
681	688	681	0	42167
688	681	673	0	42848
681	673	428	0	43521
673	428	954	1	43949
428	954	669	0	44903
954	669	665	0	45572
669	665	658	0	46237
665	658	673	0	46895
658	673	654	0	47568
673	654	443	0	48222
654	443	946	1	48665
443	946	669	0	49611
946	669	666	0	50280
669	666	653	0	50946
666	653	483	0	51599
653	483	844	1	52082
483	844	650	0	52926
844	650	654	0	53576
650	654	645	0	54230
654	645	639	0	54875
645	639	646	0	55514
639	646	653	0	56160
646	653	650	0	56813
653	650	650	0	57463
650	650	669	0	58113
650	669	654	0	58782
669	654	669	0	59436
654	669	662	0	60105
669	662	669	0	60767
662	669	657	0	61436
669	657	658	0	62093
657	658	681	0	62751
658	681	661	0	63432
681	661	421	0	64093
661	421	976	1	64514
421	976	677	0	65490
976	677	677	0	66167
677	677	697	0	66844
677	697	692	0	67541
697	692	417	0	68233
692	417	1004	1	68650
417	1004	681	0	69654
1004	681	681	0	70335
681	681	673	0	71016
681	673	463	0	71689
673	463	899	1	72152
463	899	673	0	73051
899	673	657	0	73724
673	657	654	0	74381
657	654	661	0	75035
654	661	643	0	75696
661	643	657	0	76339
643	657	642	0	76996
657	642	650	0	77638
642	650	650	0	78288
650	650	642	0	78938
650	642	432	0	79580
642	432	902	1	80012
432	902	650	0	80914
902	650	650	0	81564
650	650	634	0	82214
650	634	642	0	82848
634	642	642	0	83490
642	642	642	0	84132
642	642	463	0	84774
642	463	856	1	85237
463	856	650	0	86093
856	650	642	0	86743
650	642	650	0	87385
642	650	630	0	88035
650	630	650	0	88665
630	650	627	0	89315
650	627	642	0	89942
627	642	642	0	90584
642	642	649	0	91226
642	649	654	0	91875
649	654	642	0	92529
654	642	413	0	93171
642	413	945	1	93584
413	945	662	0	94529
945	662	653	0	95191
662	653	658	0	95844
653	658	654	0	96502
658	654	657	0	97156
654	657	658	0	97813
657	658	638	0	98471
658	638	650	0	99109
638	650	650	0	99759
650	650	657	0	100409
650	657	420	0	101066
657	420	919	1	101486
420	919	661	0	102405
919	661	638	0	103066
661	638	658	0	103704
638	658	634	0	104362
658	634	440	0	104996
634	440	903	1	105436
440	903	645	0	106339
903	645	635	0	106984
645	635	626	0	107619
635	626	630	0	108245
626	630	646	0	108875
630	646	448	0	109521
646	448	848	1	109969
448	848	634	0	110817
848	634	635	0	111451
634	635	630	0	112086
635	630	634	0	112716
630	634	646	0	113350
634	646	638	0	113996
646	638	642	0	114634
638	642	638	0	115276
642	638	639	0	115914
638	639	649	0	116553
639	649	646	0	117202
649	646	646	0	117848
646	646	642	0	118494
646	642	642	0	119136
642	642	646	0	119778
642	646	634	0	120424
646	634	642	0	121058
634	642	646	0	121700
642	646	638	0	122346
646	638	639	0	122984
638	639	412	0	123623
639	412	926	1	124035
412	926	646	0	124961
926	646	642	0	125607
646	642	638	0	126249
642	638	634	0	126887
638	634	642	0	127521
634	642	627	0	128163
642	627	646	0	128790
627	646	626	0	129436
646	626	638	0	130062
626	638	642	0	130700
638	642	650	0	131342
