index	i-1	i+0	i+1	Filter	Time
1	327	1078	455	0	1405
2	1078	455	1058	1	1860
3	455	1058	456	0	2918
4	1058	456	1027	1	3374
5	456	1027	459	0	4401
6	1027	459	1000	1	4860
7	459	1000	447	0	5860
8	1000	447	985	1	6307
9	447	985	451	0	7292
10	985	451	973	1	7743
11	451	973	455	0	8716
12	973	455	954	1	9171
13	455	954	451	0	10125
14	954	451	957	1	10576
15	451	957	455	0	11533
16	957	455	985	1	11988
17	455	985	459	0	12973
18	985	459	1015	1	13432
19	459	1015	456	0	14447
20	1015	456	1031	1	14903
21	456	1031	459	0	15934
22	1031	459	1031	1	16393
23	459	1031	451	0	17424
24	1031	451	1028	1	17875
25	451	1028	451	0	18903
26	1028	451	1062	1	19354
27	451	1062	452	0	20416
28	1062	452	1031	1	20868
29	452	1031	447	0	21899
30	1031	447	1028	1	22346
31	447	1028	447	0	23374
32	1028	447	1027	1	23821
33	447	1027	456	0	24848
34	1027	456	1027	1	25304
35	456	1027	463	0	26331
36	1027	463	1000	1	26794
37	463	1000	478	0	27794
38	1000	478	993	1	28272
39	478	993	459	0	29265
40	993	459	1015	1	29724
41	459	1015	448	0	30739
42	1015	448	1027	1	31187
43	448	1027	455	0	32214
44	1027	455	1012	1	32669
45	455	1012	455	0	33681
46	1012	455	1074	1	34136
47	455	1074	459	0	35210
48	1074	459	1086	1	35669
49	459	1086	463	0	36755
50	1086	463	1082	1	37218
51	463	1082	447	0	38300
52	1082	447	1082	1	38747
53	447	1082	455	0	39829
54	1082	455	1078	1	40284
55	455	1078	459	0	41362
56	1078	459	1051	1	41821
57	459	1051	455	0	42872
58	1051	455	1000	1	43327
59	455	1000	455	0	44327
60	1000	455	1043	1	44782
61	455	1043	455	0	45825
62	1043	455	1012	1	46280
63	455	1012	463	0	47292
64	1012	463	988	1	47755
65	463	988	455	0	48743
66	988	455	969	1	49198
67	455	969	456	0	50167
68	969	456	965	1	50623
69	456	965	451	0	51588
70	965	451	969	1	52039
71	451	969	447	0	53008
72	969	447	992	1	53455
73	447	992	448	0	54447
74	992	448	1000	1	54895
75	448	1000	447	0	55895
76	1000	447	1059	1	56342
77	447	1059	443	0	57401
78	1059	443	1067	1	57844
79	443	1067	447	0	58911
80	1067	447	1086	1	59358
81	447	1086	459	0	60444
82	1086	459	1081	1	60903
83	459	1081	460	0	61984
84	1081	460	1074	1	62444
85	460	1074	447	0	63518
86	1074	447	1035	1	63965
87	447	1035	459	0	65000
88	1035	459	1016	1	65459
89	459	1016	455	0	66475
90	1016	455	1012	1	66930
91	455	1012	459	0	67942
92	1012	459	1019	1	68401
93	459	1019	448	0	69420
94	1019	448	1011	1	69868
95	448	1011	452	0	70879
96	1011	452	1011	1	71331
97	452	1011	448	0	72342
98	1011	448	1019	1	72790
99	448	1019	452	0	73809
100	1019	452	1023	1	74261
101	452	1023	455	0	75284
102	1023	455	1024	1	75739
103	455	1024	447	0	76763
104	1024	447	1031	1	77210
105	447	1031	459	0	78241
106	1031	459	996	1	78700
107	459	996	456	0	79696
108	996	456	1008	1	80152
109	456	1008	459	0	81160
110	1008	459	988	1	81619
111	459	988	459	0	82607
112	988	459	981	1	83066
113	459	981	443	0	84047
114	981	443	969	1	84490
115	443	969	448	0	85459
116	969	448	945	1	85907
117	448	945	452	0	86852
118	945	452	941	1	87304
119	452	941	451	0	88245
120	941	451	962	1	88696
121	451	962	443	0	89658
122	962	443	926	1	90101
123	443	926	448	0	91027
124	926	448	949	1	91475
125	448	949	444	0	92424
126	949	444	969	1	92868
127	444	969	451	0	93837
128	969	451	980	1	94288
129	451	980	456	0	95268
130	980	456	984	1	95724
131	456	984	459	0	96708
132	984	459	977	1	97167
133	459	977	463	0	98144
134	977	463	981	1	98607
135	463	981	463	0	99588
136	981	463	953	1	100051
137	463	953	704	0	101004
138	953	704	440	0	101708
139	704	440	926	1	102148
140	440	926	451	0	103074
141	926	451	907	1	103525
142	451	907	451	0	104432
143	907	451	911	1	104883
144	451	911	451	0	105794
145	911	451	918	1	106245
146	451	918	452	0	107163
147	918	452	949	1	107615
148	452	949	459	0	108564
149	949	459	1004	1	109023
150	459	1004	459	0	110027
151	1004	459	1032	1	110486
152	459	1032	451	0	111518
153	1032	451	1070	1	111969
154	451	1070	455	0	113039
155	1070	455	1082	1	113494
156	455	1082	817	0	114576
157	1082	817	444	0	115393
158	817	444	1147	1	115837
159	444	1147	456	0	116984
160	1147	456	1167	1	117440
161	456	1167	459	0	118607
162	1167	459	1140	1	119066
163	459	1140	459	0	120206
164	1140	459	1094	1	120665
165	459	1094	459	0	121759
166	1094	459	1078	1	122218
167	459	1078	451	0	123296
168	1078	451	1027	1	123747
169	451	1027	452	0	124774
170	1027	452	1015	1	125226
171	452	1015	452	0	126241
172	1015	452	1011	1	126693
173	452	1011	456	0	127704
174	1011	456	1000	1	128160
175	456	1000	451	0	129160
176	1000	451	996	1	129611
177	451	996	463	0	130607
178	996	463	1008	1	131070
179	463	1008	459	0	132078
180	1008	459	1004	1	132537
181	459	1004	463	0	133541
182	1004	463	996	1	134004
183	463	996	459	0	135000
184	996	459	996	1	135459
185	459	996	459	0	136455
186	996	459	1004	1	136914
187	459	1004	463	0	137918
188	1004	463	996	1	138381
189	463	996	456	0	139377
190	996	456	1004	1	139833
191	456	1004	467	0	140837
192	1004	467	1019	1	141304
193	467	1019	459	0	142323
194	1019	459	1058	1	142782
195	459	1058	460	0	143840
196	1058	460	1070	1	144300
197	460	1070	459	0	145370
198	1070	459	1070	1	145829
