index	i-1	i+0	i+1	Filter	Time
1	669	670	680	0	1339
2	670	680	697	0	2019
3	680	697	700	0	2716
4	697	700	705	0	3416
5	700	705	716	0	4121
6	705	716	727	0	4837
7	716	727	720	0	5564
8	727	720	704	0	6284
9	720	704	697	0	6988
10	704	697	704	0	7685
11	697	704	720	0	8389
12	704	720	724	0	9109
13	720	724	739	0	9833
14	724	739	724	0	10572
15	739	724	723	0	11296
16	724	723	720	0	12019
17	723	720	708	0	12739
18	720	708	713	0	13447
19	708	713	715	0	14160
20	713	715	705	0	14875
21	715	705	685	0	15580
22	705	685	669	0	16265
23	685	669	650	0	16934
24	669	650	677	0	17584
25	650	677	681	0	18261
26	677	681	692	0	18942
27	681	692	705	0	19634
28	692	705	708	0	20339
29	705	708	716	0	21047
30	708	716	696	0	21763
31	716	696	708	0	22459
32	696	708	701	0	23167
33	708	701	696	0	23868
34	701	696	697	0	24564
35	696	697	704	0	25261
36	697	704	716	0	25965
37	704	716	708	0	26681
38	716	708	708	0	27389
39	708	708	728	0	28097
40	708	728	739	0	28825
41	728	739	732	0	29564
42	739	732	723	0	30296
43	732	723	720	0	31019
44	723	720	736	0	31739
45	720	736	716	0	32475
46	736	716	708	0	33191
47	716	708	704	0	33899
48	708	704	712	0	34603
49	704	712	716	0	35315
50	712	716	712	0	36031
51	716	712	701	0	36743
52	712	701	708	0	37444
53	701	708	712	0	38152
54	708	712	700	0	38864
55	712	700	697	0	39564
56	700	697	688	0	40261
57	697	688	693	0	40949
58	688	693	700	0	41642
59	693	700	701	0	42342
60	700	701	716	0	43043
61	701	716	723	0	43759
62	716	723	724	0	44482
63	723	724	712	0	45206
64	724	712	712	0	45918
65	712	712	720	0	46630
66	712	720	720	0	47350
67	720	720	704	0	48070
68	720	704	705	0	48774
69	704	705	712	0	49479
70	705	712	712	0	50191
71	712	712	704	0	50903
72	712	704	700	0	51607
73	704	700	712	0	52307
74	700	712	716	0	53019
75	712	716	709	0	53735
76	716	709	716	0	54444
77	709	716	723	0	55160
78	716	723	712	0	55883
79	723	712	712	0	56595
80	712	712	709	0	57307
81	712	709	719	0	58016
82	709	719	712	0	58735
83	719	712	705	0	59447
84	712	705	700	0	60152
85	705	700	704	0	60852
86	700	704	693	0	61556
87	704	693	681	0	62249
88	693	681	677	0	62930
89	681	677	685	0	63607
90	677	685	689	0	64292
91	685	689	692	0	64981
92	689	692	704	0	65673
93	692	704	724	0	66377
94	704	724	720	0	67101
95	724	720	724	0	67821
96	720	724	720	0	68545
97	724	720	712	0	69265
98	720	712	712	0	69977
99	712	712	704	0	70689
100	712	704	689	0	71393
101	704	689	673	0	72082
102	689	673	689	0	72755
103	673	689	688	0	73444
104	689	688	681	0	74132
105	688	681	681	0	74813
106	681	681	685	0	75494
107	681	685	696	0	76179
108	685	696	693	0	76875
109	696	693	700	0	77568
110	693	700	701	0	78268
111	700	701	712	0	78969
112	701	712	728	0	79681
113	712	728	716	0	80409
114	728	716	712	0	81125
115	716	712	704	0	81837
116	712	704	696	0	82541
117	704	696	701	0	83237
118	696	701	692	0	83938
119	701	692	697	0	84630
120	692	697	708	0	85327
121	697	708	724	0	86035
122	708	724	727	0	86759
123	724	727	724	0	87486
124	727	724	720	0	88210
125	724	720	735	0	88930
126	720	735	740	0	89665
127	735	740	731	0	90405
128	740	731	716	0	91136
129	731	716	728	0	91852
130	716	728	735	0	92580
131	728	735	728	0	93315
132	735	728	724	0	94043
133	728	724	743	0	94767
134	724	743	758	0	95510
135	743	758	748	0	96268
136	758	748	723	0	97016
137	748	723	708	0	97739
138	723	708	713	0	98447
139	708	713	696	0	99160
140	713	696	700	0	99856
141	696	700	428	0	100556
142	700	428	942	1	100984
143	428	942	440	0	101926
144	942	440	934	1	102366
145	440	934	459	0	103300
146	934	459	891	1	103759
147	459	891	459	0	104650
148	891	459	879	1	105109
149	459	879	444	0	105988
150	879	444	879	1	106432
151	444	879	444	0	107311
152	879	444	875	1	107755
153	444	875	444	0	108630
154	875	444	856	1	109074
155	444	856	447	0	109930
156	856	447	849	1	110377
157	447	849	451	0	111226
158	849	451	844	1	111677
159	451	844	452	0	112521
160	844	452	836	1	112973
161	452	836	456	0	113809
162	836	456	836	1	114265
163	456	836	459	0	115101
164	836	459	829	1	115560
165	459	829	459	0	116389
166	829	459	845	1	116848
167	459	845	490	0	117693
168	845	490	805	1	118183
169	490	805	666	0	118988
170	805	666	653	0	119654
171	666	653	670	0	120307
172	653	670	696	0	120977
173	670	696	693	0	121673
174	696	693	688	0	122366
175	693	688	382	0	123054
176	688	382	941	1	123436
177	382	941	709	0	124377
178	941	709	688	0	125086
179	709	688	681	0	125774
180	688	681	685	0	126455
181	681	685	677	0	127140
182	685	677	665	0	127817
183	677	665	654	0	128482
184	665	654	673	0	129136
185	654	673	677	0	129809
186	673	677	697	0	130486
187	677	697	661	0	131183
188	697	661	685	0	131844
189	661	685	677	0	132529
190	685	677	681	0	133206
