i-2	i-1	i+0	i+1	i+2	Filter
167	424	670	541	544	0
424	670	541	544	421	0
670	541	544	421	373	0
541	544	421	373	385	1
544	421	373	385	922	1
421	373	385	922	401	1
373	385	922	401	716	0
385	922	401	716	413	1
922	401	716	413	653	0
401	716	413	653	530	1
716	413	653	530	529	0
413	653	530	529	408	0
653	530	529	408	374	0
530	529	408	374	875	1
529	408	374	875	541	1
408	374	875	541	541	0
374	875	541	541	412	0
875	541	541	412	386	0
541	541	412	386	902	1
541	412	386	902	409	1
412	386	902	409	720	0
386	902	409	720	548	1
902	409	720	548	549	0
409	720	548	549	409	0
720	548	549	409	362	0
548	549	409	362	894	1
549	409	362	894	428	1
409	362	894	428	646	0
362	894	428	646	545	1
894	428	646	545	537	0
428	646	545	537	420	0
646	545	537	420	673	0
545	537	420	673	534	1
537	420	673	534	548	0
420	673	534	548	444	0
673	534	548	444	346	0
534	548	444	346	953	1
548	444	346	953	440	1
444	346	953	440	704	0
346	953	440	704	572	1
953	440	704	572	549	0
440	704	572	549	424	0
704	572	549	424	782	0
572	549	424	782	409	1
549	424	782	409	727	0
424	782	409	727	592	1
782	409	727	592	552	0
409	727	592	552	397	0
727	592	552	397	366	0
592	552	397	366	852	1
552	397	366	852	576	1
397	366	852	576	514	0
366	852	576	514	529	0
852	576	514	529	525	0
576	514	529	525	518	0
514	529	525	518	525	0
529	525	518	525	514	0
525	518	525	514	517	0
518	525	514	517	529	0
525	514	517	529	545	0
514	517	529	545	440	0
517	529	545	440	346	0
529	545	440	346	856	1
545	440	346	856	545	1
440	346	856	545	544	0
346	856	545	544	417	0
856	545	544	417	677	0
545	544	417	677	412	1
544	417	677	412	670	0
417	677	412	670	521	1
677	412	670	521	529	0
412	670	521	529	405	0
670	521	529	405	350	0
521	529	405	350	817	1
529	405	350	817	455	1
405	350	817	455	588	0
350	817	455	588	517	1
817	455	588	517	518	0
455	588	517	518	377	0
588	517	518	377	685	0
517	518	377	685	409	1
518	377	685	409	650	0
377	685	409	650	432	1
685	409	650	432	630	0
409	650	432	630	424	1
650	432	630	424	642	0
432	630	424	642	428	1
630	424	642	428	654	0
424	642	428	654	397	1
642	428	654	397	681	0
428	654	397	681	431	1
654	397	681	431	658	0
397	681	431	658	397	1
681	431	658	397	681	0
431	658	397	681	377	1
658	397	681	377	681	0
397	681	377	681	420	1
681	377	681	420	619	0
377	681	420	619	518	1
681	420	619	518	389	0
420	619	518	389	362	0
619	518	389	362	817	1
518	389	362	817	471	1
389	362	817	471	560	0
362	817	471	560	373	1
817	471	560	373	343	0
471	560	373	343	821	1
560	373	343	821	404	1
373	343	821	404	627	0
343	821	404	627	510	1
821	404	627	510	498	0
404	627	510	498	498	0
627	510	498	498	498	0
510	498	498	498	494	0
498	498	498	494	498	0
498	498	494	498	486	0
498	494	498	486	491	0
494	498	486	491	397	0
498	486	491	397	338	0
486	491	397	338	759	1
491	397	338	759	393	1
397	338	759	393	603	0
338	759	393	603	486	1
759	393	603	486	483	0
393	603	486	483	486	0
603	486	483	486	479	0
486	483	486	479	455	0
483	486	479	455	510	0
486	479	455	510	385	0
479	455	510	385	584	0
455	510	385	584	459	1
510	385	584	459	517	0
385	584	459	517	370	1
584	459	517	370	335	0
459	517	370	335	774	1
517	370	335	774	486	1
370	335	774	486	487	0
335	774	486	487	474	0
774	486	487	474	483	0
486	487	474	483	479	0
487	474	483	479	470	0
474	483	479	470	397	0
483	479	470	397	564	0
479	470	397	564	475	1
470	397	564	475	479	0
397	564	475	479	471	0
564	475	479	471	474	0
475	479	471	474	382	0
479	471	474	382	334	0
471	474	382	334	739	1
474	382	334	739	374	1
382	334	739	374	607	0
334	739	374	607	393	1
739	374	607	393	572	0
374	607	393	572	444	1
607	393	572	444	517	0
393	572	444	517	432	1
572	444	517	432	506	0
444	517	432	506	467	1
517	432	506	467	463	0
432	506	467	463	459	0
506	467	463	459	479	0
467	463	459	479	482	0
463	459	479	482	467	0
459	479	482	467	471	0
479	482	467	471	471	0
482	467	471	471	474	0
467	471	471	474	479	0
471	471	474	479	381	0
471	474	479	381	549	0
474	479	381	549	366	1
479	381	549	366	607	0
381	549	366	607	354	1
549	366	607	354	576	0
366	607	354	576	400	1
607	354	576	400	541	0
354	576	400	541	362	1
576	400	541	362	572	0
400	541	362	572	451	1
541	362	572	451	456	0
362	572	451	456	420	0
572	451	456	420	486	0
451	456	420	486	409	1
456	420	486	409	490	0
420	486	409	490	393	1
486	409	490	393	510	0
409	490	393	510	401	1
490	393	510	401	470	0
393	510	401	470	444	1
510	401	470	444	440	0
401	470	444	440	358	0
470	444	440	358	311	0
444	440	358	311	661	1
440	358	311	661	343	1
358	311	661	343	525	0
311	661	343	525	432	1
661	343	525	432	436	0
343	525	432	436	428	0
525	432	436	428	432	0
432	436	428	432	377	0
436	428	432	377	494	0
428	432	377	494	390	1
432	377	494	390	470	0
377	494	390	470	436	1
494	390	470	436	432	0
390	470	436	432	432	0
470	436	432	432	432	0
436	432	432	432	362	0
432	432	432	362	311	0
432	432	362	311	623	1
432	362	311	623	393	1
362	311	623	393	478	0
311	623	393	478	432	1
623	393	478	432	432	0
393	478	432	432	377	0
478	432	432	377	483	0
432	432	377	483	443	1
432	377	483	443	413	0
377	483	443	413	389	0
483	443	413	389	471	0
443	413	389	471	432	1
413	389	471	432	428	0
389	471	432	428	439	0
471	432	428	439	405	0
432	428	439	405	424	0
428	439	405	424	424	0
439	405	424	424	347	0
405	424	424	347	498	0
424	424	347	498	420	1
424	347	498	420	424	0
347	498	420	424	420	0
498	420	424	420	424	0
420	424	420	424	366	0
424	420	424	366	483	0
420	424	366	483	420	1
424	366	483	420	416	0
366	483	420	416	421	0
483	420	416	421	428	0
420	416	421	428	330	0
416	421	428	330	522	0
421	428	330	522	424	1
428	330	522	424	428	0
330	522	424	428	424	0
522	424	428	424	428	0
424	428	424	428	319	0
428	424	428	319	533	0
424	428	319	533	428	1
428	319	533	428	428	0
319	533	428	428	428	0
533	428	428	428	428	0
428	428	428	428	428	0
428	428	428	428	428	0
428	428	428	428	432	0
428	428	428	432	428	0
428	428	432	428	432	0
428	432	428	432	432	0
432	428	432	432	432	0
428	432	432	432	440	0
432	432	432	440	428	0
432	432	440	428	443	0
432	440	428	443	428	0
440	428	443	428	428	0
428	443	428	428	432	0
443	428	428	432	436	0
428	428	432	436	432	0
428	432	436	432	432	0
432	436	432	432	346	0
436	432	432	346	521	0
432	432	346	521	432	1
432	346	521	432	432	0
346	521	432	432	339	0
521	432	432	339	529	0
432	432	339	529	432	1
432	339	529	432	432	0
339	529	432	432	338	0
529	432	432	338	529	0
432	432	338	529	428	1
432	338	529	428	432	0
338	529	428	432	436	0
529	428	432	436	432	0
428	432	436	432	346	0
432	436	432	346	537	0
436	432	346	537	397	1
432	346	537	397	479	0
346	537	397	479	447	1
537	397	479	447	444	0
397	479	447	444	342	0
479	447	444	342	557	0
447	444	342	557	346	1
444	342	557	346	552	0
342	557	346	552	452	1
557	346	552	452	443	0
346	552	452	443	397	0
552	452	443	397	514	0
452	443	397	514	444	1
443	397	514	444	451	0
397	514	444	451	373	0
514	444	451	373	530	0
444	451	373	530	354	1
451	373	530	354	564	0
373	530	354	564	459	1
530	354	564	459	459	0
354	564	459	459	331	0
564	459	459	331	603	0
459	459	331	603	467	1
459	331	603	467	467	0
331	603	467	467	366	0
603	467	467	366	583	0
467	467	366	583	409	1
467	366	583	409	525	0
366	583	409	525	475	1
583	409	525	475	471	0
409	525	475	471	350	0
525	475	471	350	599	0
475	471	350	599	486	1
471	350	599	486	483	0
350	599	486	483	479	0
599	486	483	479	490	0
486	483	479	490	482	0
483	479	490	482	502	0
479	490	482	502	335	0
490	482	502	335	654	0
482	502	335	654	389	1
502	335	654	389	626	0
335	654	389	626	487	1
654	389	626	487	486	0
389	626	487	486	506	0
626	487	486	506	498	0
487	486	506	498	486	0
486	506	498	486	494	0
506	498	486	494	386	0
498	486	494	386	603	0
486	494	386	603	381	1
494	386	603	381	599	0
386	603	381	599	494	1
603	381	599	494	475	0
381	599	494	475	358	0
599	494	475	358	646	0
494	475	358	646	412	1
475	358	646	412	553	0
358	646	412	553	338	1
646	412	553	338	654	0
412	553	338	654	490	1
553	338	654	490	495	0
338	654	490	495	490	0
654	490	495	490	510	0
490	495	490	510	354	0
495	490	510	354	669	0
490	510	354	669	385	1
510	354	669	385	654	0
354	669	385	654	514	1
669	385	654	514	509	0
385	654	514	509	514	0
654	514	509	514	517	0
514	509	514	517	366	0
509	514	517	366	677	0
514	517	366	677	397	1
517	366	677	397	642	0
366	677	397	642	514	1
677	397	642	514	525	0
397	642	514	525	350	0
642	514	525	350	716	0
514	525	350	716	378	1
525	350	716	378	688	0
350	716	378	688	529	1
716	378	688	529	537	0
378	688	529	537	518	0
688	529	537	518	545	0
529	537	518	545	373	0
537	518	545	373	740	0
518	545	373	740	393	1
545	373	740	393	712	0
373	740	393	712	393	1
740	393	712	393	673	0
393	712	393	673	525	1
712	393	673	525	521	0
393	673	525	521	522	0
673	525	521	522	533	0
525	521	522	533	393	0
521	522	533	393	331	0
522	533	393	331	863	1
533	393	331	863	393	1
393	331	863	393	662	0
331	863	393	662	517	1
863	393	662	517	526	0
393	662	517	526	521	0
662	517	526	521	502	0
517	526	521	502	514	0
526	521	502	514	521	0
521	502	514	521	502	0
502	514	521	502	385	0
514	521	502	385	666	0
521	502	385	666	521	1
502	385	666	521	529	0
385	666	521	529	537	0
666	521	529	537	525	0
521	529	537	525	444	0
529	537	525	444	603	0
537	525	444	603	518	1
525	444	603	518	513	0
444	603	518	513	502	0
603	518	513	502	514	0
518	513	502	514	502	0
513	502	514	502	506	0
502	514	502	506	505	0
514	502	506	505	510	0
502	506	505	510	401	0
506	505	510	401	603	0
505	510	401	603	366	1
510	401	603	366	634	0
401	603	366	634	366	1
603	366	634	366	611	0
366	634	366	611	404	1
634	366	611	404	565	0
366	611	404	565	424	1
611	404	565	424	529	0
404	565	424	529	354	1
565	424	529	354	584	0
424	529	354	584	408	1
529	354	584	408	526	0
354	584	408	526	365	1
584	408	526	365	568	0
408	526	365	568	421	1
526	365	568	421	502	0
365	568	421	502	420	1
568	421	502	420	486	0
421	502	420	486	416	1
502	420	486	416	491	0
420	486	416	491	358	1
