index	i-2	i-1	i+0	i+1	i+2	Filter	Time
2	1035	1090	1054	1047	1054	0	3179
3	1090	1054	1047	1054	1066	0	4226
4	1054	1047	1054	1066	1094	0	5280
5	1047	1054	1066	1094	1078	0	6346
6	1054	1066	1094	1078	1097	0	7440
7	1066	1094	1078	1097	1113	0	8518
8	1094	1078	1097	1113	984	0	9615
9	1078	1097	1113	984	1187	0	10728
10	1097	1113	984	1187	1050	0	11712
11	1113	984	1187	1050	1032	0	12899
12	984	1187	1050	1032	1000	0	13949
13	1187	1050	1032	1000	941	0	14981
14	1050	1032	1000	941	1125	0	15981
15	1032	1000	941	1125	1078	0	16922
16	1000	941	1125	1078	1105	0	18047
17	941	1125	1078	1105	1054	0	19125
18	1125	1078	1105	1054	1062	0	20230
19	1078	1105	1054	1062	1070	0	21284
20	1105	1054	1062	1070	1102	0	22346
21	1054	1062	1070	1102	1105	0	23416
22	1062	1070	1102	1105	1058	0	24518
23	1070	1102	1105	1058	1031	0	25623
24	1102	1105	1058	1031	1043	0	26681
25	1105	1058	1031	1043	1058	0	27712
26	1058	1031	1043	1058	1035	0	28755
27	1031	1043	1058	1035	1055	0	29813
28	1043	1058	1035	1055	1074	0	30848
29	1058	1035	1055	1074	1109	0	31903
30	1035	1055	1074	1109	1101	0	32977
31	1055	1074	1109	1101	1117	0	34086
32	1074	1109	1101	1117	1147	0	35187
33	1109	1101	1117	1147	1125	0	36304
34	1101	1117	1147	1125	1089	0	37451
35	1117	1147	1125	1089	1059	0	38576
36	1147	1125	1089	1059	1070	0	39665
37	1125	1089	1059	1070	1113	0	40724
38	1089	1059	1070	1113	1124	0	41794
39	1059	1070	1113	1124	1152	0	42907
40	1070	1113	1124	1152	1144	0	44031
41	1113	1124	1152	1144	1241	0	45183
42	1124	1152	1144	1241	1206	0	46327
43	1152	1144	1241	1206	1133	0	47568
44	1144	1241	1206	1133	1062	0	48774
45	1241	1206	1133	1062	1035	0	49907
46	1206	1133	1062	1035	1058	0	50969
47	1133	1062	1035	1058	1117	0	52004
48	1062	1035	1058	1117	1175	0	53062
49	1035	1058	1117	1175	1261	0	54179
50	1058	1117	1175	1261	1241	0	55354
51	1117	1175	1261	1241	1167	0	56615
52	1175	1261	1241	1167	1133	0	57856
53	1261	1241	1167	1133	1105	0	59023
54	1241	1167	1133	1105	1105	0	60156
