index	i-2	i-1	i+0	i+1	i+2	Filter	Time
2	1063	463	1412	584	1338	0	3000
3	463	1412	584	1338	938	1	3584
4	1412	584	1338	938	1058	0	4922
5	584	1338	938	1058	506	0	5860
6	1338	938	1058	506	1362	0	6918
7	938	1058	506	1362	502	1	7424
8	1058	506	1362	502	1156	0	8786
9	506	1362	502	1156	770	1	9288
10	1362	502	1156	770	848	0	10444
11	502	1156	770	848	510	0	11214
12	1156	770	848	510	1307	0	12062
13	770	848	510	1307	860	1	12572
14	848	510	1307	860	915	0	13879
15	510	1307	860	915	836	0	14739
16	1307	860	915	836	938	0	15654
17	860	915	836	938	1125	0	16490
18	915	836	938	1125	1097	0	17428
19	836	938	1125	1097	1120	0	18553
20	938	1125	1097	1120	1070	0	19650
21	1125	1097	1120	1070	1047	0	20770
22	1097	1120	1070	1047	1078	0	21840
23	1120	1070	1047	1078	1047	0	22887
24	1070	1047	1078	1047	1074	0	23965
25	1047	1078	1047	1074	1023	0	25012
26	1078	1047	1074	1023	1035	0	26086
27	1047	1074	1023	1035	973	0	27109
28	1074	1023	1035	973	976	0	28144
29	1023	1035	973	976	946	0	29117
30	1035	973	976	946	934	0	30093
31	973	976	946	934	973	0	31039
32	976	946	934	973	926	0	31973
33	946	934	973	926	988	0	32946
34	934	973	926	988	973	0	33872
35	973	926	988	973	965	0	34860
36	926	988	973	965	957	0	35833
37	988	973	965	957	938	0	36798
38	973	965	957	938	968	0	37755
39	965	957	938	968	973	0	38693
40	957	938	968	973	938	0	39661
41	938	968	973	938	949	0	40634
42	968	973	938	949	950	0	41572
43	973	938	949	950	976	0	42521
44	938	949	950	976	930	0	43471
45	949	950	976	930	907	0	44447
46	950	976	930	907	957	0	45377
47	976	930	907	957	965	0	46284
48	930	907	957	965	977	0	47241
49	907	957	965	977	969	0	48206
50	957	965	977	969	1015	0	49183
51	965	977	969	1015	954	0	50152
52	977	969	1015	954	957	0	51167
53	969	1015	954	957	910	0	52121
54	1015	954	957	910	950	0	53078
55	954	957	910	950	949	0	53988
56	957	910	950	949	487	0	54938
57	910	950	949	487	1311	0	55887
58	950	949	487	1311	506	1	56374
59	949	487	1311	506	1272	0	57685
60	487	1311	506	1272	514	1	58191
61	1311	506	1272	514	1159	0	59463
62	506	1272	514	1159	806	1	59977
63	1272	514	1159	806	1066	0	61136
64	514	1159	806	1066	1140	0	61942
65	1159	806	1066	1140	502	0	63008
66	806	1066	1140	502	447	0	64148
67	1066	1140	502	447	961	1	64650
68	1140	502	447	961	522	1	65097
69	502	447	961	522	1354	0	66058
70	447	961	522	1354	945	1	66580
71	961	522	1354	945	1086	0	67934
72	522	1354	945	1086	471	0	68879
73	1354	945	1086	471	475	0	69965
74	945	1086	471	475	906	1	70436
75	1086	471	475	906	1175	1	70911
76	471	475	906	1175	1187	0	71817
77	475	906	1175	1187	486	0	72992
78	906	1175	1187	486	1401	0	74179
79	1175	1187	486	1401	537	1	74665
80	1187	486	1401	537	1378	0	76066
81	486	1401	537	1378	1023	1	76603
82	1401	537	1378	1023	1089	0	77981
83	537	1378	1023	1089	479	0	79004
84	1378	1023	1089	479	1358	0	80093
85	1023	1089	479	1358	984	1	80572
86	1089	479	1358	984	1028	0	81930
87	479	1358	984	1028	1058	0	82914
88	1358	984	1028	1058	1093	0	83942
89	984	1028	1058	1093	487	0	85000
90	1028	1058	1093	487	1366	0	86093
91	1058	1093	487	1366	552	1	86580
92	1093	487	1366	552	1257	0	87946
93	487	1366	552	1257	533	1	88498
94	1366	552	1257	533	1117	0	89755
95	552	1257	533	1117	735	1	90288
96	1257	533	1117	735	1004	0	91405
97	533	1117	735	1004	471	1	92140
98	1117	735	1004	471	490	0	93144
99	735	1004	471	490	483	1	93615
100	1004	471	490	483	1245	1	94105
101	471	490	483	1245	583	1	94588
102	490	483	1245	583	1152	0	95833
103	483	1245	583	1152	860	1	96416
104	1245	583	1152	860	483	0	97568
105	583	1152	860	483	1381	0	98428
106	1152	860	483	1381	953	1	98911
107	860	483	1381	953	1094	0	100292
108	483	1381	953	1094	478	0	101245
109	1381	953	1094	478	1366	0	102339
110	953	1094	478	1366	1008	1	102817
111	1094	478	1366	1008	976	0	104183
112	478	1366	1008	976	475	0	105191
113	1366	1008	976	475	1319	0	106167
114	1008	976	475	1319	521	1	106642
115	976	475	1319	521	1226	0	107961
116	475	1319	521	1226	560	1	108482
117	1319	521	1226	560	1141	0	109708
118	521	1226	560	1141	793	1	110268
119	1226	560	1141	793	1063	0	111409
120	560	1141	793	1063	502	0	112202
121	1141	793	1063	502	1330	0	113265
122	793	1063	502	1330	1020	1	113767
123	1063	502	1330	1020	482	0	115097
124	502	1330	1020	482	1366	0	116117
125	1330	1020	482	1366	1023	1	116599
126	1020	482	1366	1023	1059	0	117965
127	482	1366	1023	1059	482	0	118988
128	1366	1023	1059	482	1382	0	120047
129	1023	1059	482	1382	1015	1	120529
130	1059	482	1382	1015	1082	0	121911
131	482	1382	1015	1082	474	0	122926
132	1382	1015	1082	474	1331	0	124008
133	1015	1082	474	1331	1008	1	124482
134	1082	474	1331	1008	1016	0	125813
135	474	1331	1008	1016	1105	0	126821
136	1331	1008	1016	1105	486	0	127837
137	1008	1016	1105	486	1381	0	128942
138	1016	1105	486	1381	530	1	129428
139	1105	486	1381	530	1354	0	130809
140	486	1381	530	1354	1027	1	131339
141	1381	530	1354	1027	478	0	132693
142	530	1354	1027	478	1386	0	133720
143	1354	1027	478	1386	1035	1	134198
144	1027	478	1386	1035	1179	0	135584
145	478	1386	1035	1179	478	0	136619
146	1386	1035	1179	478	1401	0	137798
147	1035	1179	478	1401	1031	1	138276
148	1179	478	1401	1031	1152	0	139677
149	478	1401	1031	1152	1152	0	140708
150	1401	1031	1152	1152	502	0	141860
151	1031	1152	1152	502	1365	0	143012
152	1152	1152	502	1365	584	1	143514
153	1152	502	1365	584	1331	0	144879
154	502	1365	584	1331	891	1	145463
155	1365	584	1331	891	1113	0	146794
156	584	1331	891	1113	478	0	147685
