index	i-2	i-1	i+0	i+1	i+2	Filter	Time
2	813	922	895	895	763	0	2630
3	922	895	895	763	502	0	3525
4	895	895	763	502	1261	0	4288
5	895	763	502	1261	867	1	4790
6	763	502	1261	867	782	0	6051
7	502	1261	867	782	510	0	6918
8	1261	867	782	510	891	0	7700
9	867	782	510	891	736	1	8210
10	782	510	891	736	824	0	9101
11	510	891	736	824	518	0	9837
12	891	736	824	518	1109	0	10661
13	736	824	518	1109	790	1	11179
14	824	518	1109	790	704	0	12288
15	518	1109	790	704	522	0	13078
16	1109	790	704	522	840	0	13782
17	790	704	522	840	696	1	14304
18	704	522	840	696	841	0	15144
19	522	840	696	841	778	0	15840
20	840	696	841	778	809	0	16681
21	696	841	778	809	724	0	17459
22	841	778	809	724	693	0	18268
23	778	809	724	693	766	0	18992
24	809	724	693	766	872	0	19685
25	724	693	766	872	533	0	20451
26	693	766	872	533	1101	0	21323
27	766	872	533	1101	673	1	21856
28	872	533	1101	673	810	0	22957
29	533	1101	673	810	521	0	23630
30	1101	673	810	521	1152	0	24440
31	673	810	521	1152	860	1	24961
32	810	521	1152	860	692	0	26113
33	521	1152	860	692	510	0	26973
34	1152	860	692	510	856	0	27665
35	860	692	510	856	704	1	28175
36	692	510	856	704	856	0	29031
37	510	856	704	856	806	0	29735
38	856	704	856	806	840	0	30591
39	704	856	806	840	747	0	31397
40	856	806	840	747	724	0	32237
41	806	840	747	724	518	0	32984
42	840	747	724	518	1233	0	33708
43	747	724	518	1233	759	1	34226
44	724	518	1233	759	739	0	35459
45	518	1233	759	739	514	0	36218
46	1233	759	739	514	1085	0	36957
47	759	739	514	1085	670	1	37471
48	739	514	1085	670	871	0	38556
49	514	1085	670	871	806	0	39226
50	1085	670	871	806	829	0	40097
51	670	871	806	829	727	0	40903
52	871	806	829	727	673	0	41732
53	806	829	727	673	670	0	42459
54	829	727	673	670	747	0	43132
55	727	673	670	747	856	0	43802
56	673	670	747	856	533	0	44549
57	670	747	856	533	1124	0	45405
58	747	856	533	1124	708	1	45938
59	856	533	1124	708	697	0	47062
60	533	1124	708	697	833	0	47770
61	1124	708	697	833	825	0	48467
62	708	697	833	825	836	0	49300
63	697	833	825	836	755	0	50125
64	833	825	836	755	739	0	50961
65	825	836	755	739	494	0	51716
66	836	755	739	494	1269	0	52455
67	755	739	494	1269	747	1	52949
68	739	494	1269	747	856	0	54218
69	494	1269	747	856	693	0	54965
70	1269	747	856	693	653	0	55821
71	747	856	693	653	666	0	56514
72	856	693	653	666	506	0	57167
