index	i-2	i-1	i+0	i+1	i+2	Filter	Time
2	712	401	933	615	413	0	2128
3	401	933	615	413	790	0	2743
4	933	615	413	790	626	1	3156
5	615	413	790	626	416	0	3946
6	413	790	626	416	767	0	4572
7	790	626	416	767	587	1	4988
8	626	416	767	587	592	0	5755
9	416	767	587	592	405	0	6342
10	767	587	592	405	879	0	6934
11	587	592	405	879	700	1	7339
12	592	405	879	700	424	0	8218
13	405	879	700	424	934	0	8918
14	879	700	424	934	646	1	9342
15	700	424	934	646	417	0	10276
16	424	934	646	417	844	0	10922
17	934	646	417	844	607	1	11339
18	646	417	844	607	580	0	12183
19	417	844	607	580	404	0	12790
20	844	607	580	404	736	0	13370
21	607	580	404	736	560	1	13774
22	580	404	736	560	568	0	14510
23	404	736	560	568	409	0	15070
24	736	560	568	409	727	0	15638
25	560	568	409	727	568	1	16047
26	568	409	727	568	545	0	16774
27	409	727	568	545	584	0	17342
28	727	568	545	584	416	0	17887
29	568	545	584	416	728	0	18471
30	545	584	416	728	560	1	18887
31	584	416	728	560	572	0	19615
32	416	728	560	572	405	0	20175
33	728	560	572	405	735	0	20747
34	560	572	405	735	560	1	21152
35	572	405	735	560	565	0	21887
36	405	735	560	565	564	0	22447
37	735	560	565	564	564	0	23012
38	560	565	564	564	576	0	23576
39	565	564	564	576	588	0	24140
40	564	564	576	588	603	0	24716
41	564	576	588	603	618	0	25304
42	576	588	603	618	673	0	25907
43	588	603	618	673	705	0	26525
44	603	618	673	705	782	0	27198
45	618	673	705	782	879	0	27903
46	673	705	782	879	778	0	28685
47	705	782	879	778	432	0	29564
48	782	879	778	432	1066	0	30342
49	879	778	432	1066	748	1	30774
50	778	432	1066	748	389	0	31840
51	432	1066	748	389	1062	0	32588
52	1066	748	389	1062	724	1	32977
53	748	389	1062	724	408	0	34039
54	389	1062	724	408	922	0	34763
55	1062	724	408	922	600	1	35171
56	724	408	922	600	408	0	36093
57	408	922	600	408	845	0	36693
58	922	600	408	845	661	1	37101
59	600	408	845	661	630	0	37946
60	408	845	661	630	681	0	38607
61	845	661	630	681	740	0	39237
62	661	630	681	740	793	0	39918
63	630	681	740	793	736	0	40658
64	681	740	793	736	404	0	41451
65	740	793	736	404	1012	0	42187
66	793	736	404	1012	782	1	42591
67	736	404	1012	782	716	0	43603
68	404	1012	782	716	405	0	44385
69	1012	782	716	405	922	0	45101
70	782	716	405	922	658	1	45506
71	716	405	922	658	420	0	46428
72	405	922	658	420	848	0	47086
73	922	658	420	848	638	1	47506
74	658	420	848	638	607	0	48354
75	420	848	638	607	428	0	48992
76	848	638	607	428	833	0	49599
77	638	607	428	833	626	1	50027
78	607	428	833	626	607	0	50860
