index	i-2	i-1	i+0	i+1	i+2	Filter	Time
2	401	459	1008	467	1019	0	1868
3	459	1008	467	1019	463	1	2335
4	1008	467	1019	463	1008	0	3354
5	467	1019	463	1008	467	1	3817
6	1019	463	1008	467	1023	0	4825
7	463	1008	467	1023	463	1	5292
8	1008	467	1023	463	1024	0	6315
9	467	1023	463	1024	455	1	6778
10	1023	463	1024	455	1011	0	7802
11	463	1024	455	1011	467	1	8257
12	1024	455	1011	467	1028	0	9268
13	455	1011	467	1028	463	1	9735
14	1011	467	1028	463	957	0	10763
15	467	1028	463	957	463	1	11226
16	1028	463	957	463	914	0	12183
17	463	957	463	914	475	1	12646
18	957	463	914	475	992	0	13560
19	463	914	475	992	467	1	14035
20	914	475	992	467	1070	0	15027
21	475	992	467	1070	463	1	15494
22	992	467	1070	463	1156	0	16564
23	467	1070	463	1156	455	1	17027
24	1070	463	1156	455	1160	0	18183
25	463	1156	455	1160	459	1	18638
26	1156	455	1160	459	1113	0	19798
27	455	1160	459	1113	459	1	20257
28	1160	459	1113	459	1050	0	21370
29	459	1113	459	1050	460	1	21829
30	1113	459	1050	460	1054	0	22879
31	459	1050	460	1054	459	1	23339
32	1050	460	1054	459	1066	0	24393
33	460	1054	459	1066	452	1	24852
34	1054	459	1066	452	1004	0	25918
35	459	1066	452	1004	459	1	26370
36	1066	452	1004	459	980	0	27374
37	452	1004	459	980	459	1	27833
38	1004	459	980	459	973	0	28813
39	459	980	459	973	463	1	29272
40	980	459	973	463	1059	0	30245
41	459	973	463	1059	455	1	30708
42	973	463	1059	455	1089	0	31767
43	463	1059	455	1089	452	1	32222
44	1059	455	1089	452	1120	0	33311
45	455	1089	452	1120	459	1	33763
46	1089	452	1120	459	1140	0	34883
47	452	1120	459	1140	452	1	35342
48	1120	459	1140	452	1070	0	36482
49	459	1140	452	1070	455	1	36934
50	1140	452	1070	455	1051	0	38004
51	452	1070	455	1051	455	1	38459
52	1070	455	1051	455	1051	0	39510
53	455	1051	455	1051	451	1	39965
54	1051	455	1051	451	1035	0	41016
55	455	1051	451	1035	459	1	41467
56	1051	451	1035	459	1020	0	42502
57	451	1035	459	1020	455	1	42961
58	1035	459	1020	455	965	0	43981
59	459	1020	455	965	463	1	44436
60	1020	455	965	463	941	0	45401
61	455	965	463	941	460	1	45864
62	965	463	941	460	914	0	46805
63	463	941	460	914	463	1	47265
64	941	460	914	463	973	0	48179
65	460	914	463	973	463	1	48642
66	914	463	973	463	1000	0	49615
67	463	973	463	1000	455	1	50078
68	973	463	1000	455	981	0	51078
69	463	1000	455	981	463	1	51533
70	1000	455	981	463	949	0	52514
71	455	981	463	949	459	1	52977
72	981	463	949	459	915	0	53926
73	463	949	459	915	463	1	54385
74	949	459	915	463	910	0	55300
75	459	915	463	910	459	1	55763
76	915	463	910	459	864	0	56673
77	463	910	459	864	467	1	57132
78	910	459	864	467	802	0	57996
79	459	864	467	802	478	1	58463
80	864	467	802	478	771	0	59265
81	467	802	478	771	470	1	59743
82	802	478	771	470	755	0	60514
83	478	771	470	755	479	1	60984
84	771	470	755	479	766	0	61739
85	470	755	479	766	471	1	62218
86	755	479	766	471	778	0	62984
87	479	766	471	778	471	1	63455
88	766	471	778	471	814	0	64233
89	471	778	471	814	466	1	64704
90	778	471	814	466	880	0	65518
91	471	814	466	880	459	1	65984
92	814	466	880	459	887	0	66864
93	466	880	459	887	463	1	67323
94	880	459	887	463	887	0	68210
95	459	887	463	887	463	1	68673
96	887	463	887	463	860	0	69560
97	463	887	463	860	467	1	70023
98	887	463	860	467	880	0	70883
99	463	860	467	880	463	1	71350
100	860	467	880	463	902	0	72230
101	467	880	463	902	463	1	72693
102	880	463	902	463	934	0	73595
103	463	902	463	934	467	1	74058
104	902	463	934	467	988	0	74992
105	463	934	467	988	460	1	75459
106	934	467	988	460	1000	0	76447
107	467	988	460	1000	463	1	76907
108	988	460	1000	463	1023	0	77907
109	460	1000	463	1023	459	1	78370
110	1000	463	1023	459	1023	0	79393
111	463	1023	459	1023	460	1	79852
112	1023	459	1023	460	988	0	80875
113	459	1023	460	988	471	1	81335
114	1023	460	988	471	965	0	82323
115	460	988	471	965	471	1	82794
116	988	471	965	471	933	0	83759
117	471	965	471	933	467	1	84230
118	965	471	933	467	923	0	85163
119	471	933	467	923	474	1	85630
120	933	467	923	474	911	0	86553
121	467	923	474	911	471	1	87027
122	923	474	911	471	926	0	87938
123	474	911	471	926	478	1	88409
124	911	471	926	478	992	0	89335
125	471	926	478	992	467	1	89813
126	926	478	992	467	996	0	90805
127	478	992	467	996	471	1	91272
128	992	467	996	471	1004	0	92268
129	467	996	471	1004	467	1	92739
130	996	471	1004	467	996	0	93743
131	471	1004	467	996	467	1	94210
132	1004	467	996	467	988	0	95206
133	467	996	467	988	471	1	95673
134	996	467	988	471	985	0	96661
135	467	988	471	985	463	1	97132
136	988	471	985	463	969	0	98117
137	471	985	463	969	470	1	98580
138	985	463	969	470	981	0	99549
139	463	969	470	981	467	1	100019
140	969	470	981	467	992	0	101000
141	470	981	467	992	463	1	101467
142	981	467	992	463	969	0	102459
143	467	992	463	969	471	1	102922
144	992	463	969	471	1004	0	103891
145	463	969	471	1004	463	1	104362
146	969	471	1004	463	1035	0	105366
147	471	1004	463	1035	467	1	105829
148	1004	463	1035	467	1066	0	106864
149	463	1035	467	1066	459	1	107331
150	1035	467	1066	459	1008	0	108397
151	467	1066	459	1008	459	1	108856
152	1066	459	1008	459	942	0	109864
153	459	1008	459	942	470	1	110323
154	1008	459	942	470	965	0	111265
155	459	942	470	965	460	1	111735
156	942	470	965	460	988	0	112700
157	470	965	460	988	463	1	113160
158	965	460	988	463	1039	0	114148
159	460	988	463	1039	459	1	114611
160	988	463	1039	459	1035	0	115650
161	463	1039	459	1035	455	1	116109
162	1039	459	1035	455	1020	0	117144
163	459	1035	455	1020	455	1	117599
164	1035	455	1020	455	1008	0	118619
165	455	1020	455	1008	455	1	119074
166	1020	455	1008	455	1008	0	120082
167	455	1008	455	1008	459	1	120537
168	1008	455	1008	459	1062	0	121545
169	455	1008	459	1062	455	1	122004
170	1008	459	1062	455	1067	0	123066
171	459	1062	455	1067	455	1	123521
172	1062	455	1067	455	1078	0	124588
173	455	1067	455	1078	455	1	125043
174	1067	455	1078	455	1062	0	126121
175	455	1078	455	1062	451	1	126576
176	1078	455	1062	451	1032	0	127638
177	455	1062	451	1032	455	1	128089
178	1062	451	1032	455	1015	0	129121
179	451	1032	455	1015	456	1	129576
180	1032	455	1015	456	1004	0	130591
181	455	1015	456	1004	455	1	131047
182	1015	456	1004	455	1019	0	132051
183	456	1004	455	1019	456	1	132506
184	1004	455	1019	456	1015	0	133525
185	455	1019	456	1015	451	1	133981
186	1019	456	1015	451	1004	0	134996
187	456	1015	451	1004	460	1	135447
188	1015	451	1004	460	1007	0	136451
189	451	1004	460	1007	452	1	136911
190	1004	460	1007	452	1004	0	137918
