index	i-2	i-1	i+0	i+1	i+2	Filter	Time
2	763	732	766	732	770	0	2319
3	732	766	732	770	739	0	3051
4	766	732	770	739	767	0	3821
5	732	770	739	767	739	0	4560
6	770	739	767	739	763	0	5327
7	739	767	739	763	724	0	6066
8	767	739	763	724	778	0	6829
9	739	763	724	778	708	0	7553
10	763	724	778	708	774	0	8331
11	724	778	708	774	747	0	9039
12	778	708	774	747	763	0	9813
13	708	774	747	763	739	0	10560
14	774	747	763	739	759	0	11323
15	747	763	739	759	751	0	12062
16	763	739	759	751	735	0	12821
17	739	759	751	735	697	0	13572
18	759	751	735	697	735	0	14307
19	751	735	697	735	705	0	15004
20	735	697	735	705	716	0	15739
21	697	735	705	716	704	0	16444
22	735	705	716	704	700	0	17160
23	705	716	704	700	716	0	17864
24	716	704	700	716	716	0	18564
25	704	700	716	716	708	0	19280
26	700	716	716	708	712	0	19996
27	716	716	708	712	705	0	20704
28	716	708	712	705	723	0	21416
29	708	712	705	723	701	0	22121
30	712	705	723	701	720	0	22844
31	705	723	701	720	731	0	23545
32	723	701	720	731	704	0	24265
33	701	720	731	704	716	0	24996
34	720	731	704	716	685	0	25700
35	731	704	716	685	716	0	26416
36	704	716	685	716	704	0	27101
37	716	685	716	704	724	0	27817
38	685	716	704	724	716	0	28521
39	716	704	724	716	677	0	29245
40	704	724	716	677	701	0	29961
41	724	716	677	701	688	0	30638
42	716	677	701	688	712	0	31339
43	677	701	688	712	724	0	32027
44	701	688	712	724	716	0	32739
45	688	712	724	716	693	0	33463
46	712	724	716	693	716	0	34179
47	724	716	693	716	704	0	34872
48	716	693	716	704	692	0	35588
49	693	716	704	692	627	0	36292
50	716	704	692	627	728	0	36984
51	704	692	627	728	712	0	37611
52	692	627	728	712	677	0	38339
53	627	728	712	677	638	0	39051
54	728	712	677	638	735	0	39728
55	712	677	638	735	646	0	40366
56	677	638	735	646	720	0	41101
57	638	735	646	720	646	0	41747
58	735	646	720	646	716	0	42467
59	646	720	646	716	646	0	43113
60	720	646	716	646	716	0	43829
61	646	716	646	716	681	0	44475
62	716	646	716	681	696	0	45191
63	646	716	681	696	689	0	45872
64	716	681	696	689	716	0	46568
65	681	696	689	716	677	0	47257
66	696	689	716	677	716	0	47973
67	689	716	677	716	712	0	48650
68	716	677	716	712	704	0	49366
69	677	716	712	704	689	0	50078
70	716	712	704	689	708	0	50782
71	712	704	689	708	669	0	51471
72	704	689	708	669	740	0	52179
73	689	708	669	740	669	0	52848
74	708	669	740	669	735	0	53588
75	669	740	669	735	724	0	54257
76	740	669	735	724	704	0	54992
77	669	735	724	704	697	0	55716
78	735	724	704	697	720	0	56420
79	724	704	697	720	688	0	57117
80	704	697	720	688	732	0	57837
81	697	720	688	732	700	0	58525
82	720	688	732	700	743	0	59257
83	688	732	700	743	724	0	59957
84	732	700	743	724	716	0	60700
85	700	743	724	716	724	0	61424
86	743	724	716	724	727	0	62140
87	724	716	724	727	677	0	62864
88	716	724	727	677	759	0	63591
89	724	727	677	759	743	0	64268
90	727	677	759	743	728	0	65027
91	677	759	743	728	728	0	65770
92	759	743	728	728	712	0	66498
93	743	728	728	712	723	0	67226
