index	i-2	i-1	i+0	i+1	i+2	Filter	Time
2	226	338	829	899	821	0	1393
3	338	829	899	821	914	0	2292
4	829	899	821	914	767	0	3113
5	899	821	914	767	910	0	4027
6	821	914	767	910	786	0	4794
7	914	767	910	786	895	0	5704
8	767	910	786	895	798	0	6490
9	910	786	895	798	1214	0	7385
10	786	895	798	1214	1047	0	8183
11	895	798	1214	1047	797	0	9397
12	798	1214	1047	797	662	0	10444
13	1214	1047	797	662	638	0	11241
14	1047	797	662	638	638	0	11903
15	797	662	638	638	630	0	12541
16	662	638	638	630	623	0	13179
17	638	638	630	623	630	0	13809
18	638	630	623	630	627	0	14432
19	630	623	630	627	700	0	15062
20	623	630	627	700	634	0	15689
21	630	627	700	634	689	0	16389
22	627	700	634	689	611	0	17023
23	700	634	689	611	829	0	17712
24	634	689	611	829	821	0	18323
25	689	611	829	821	871	0	19152
26	611	829	821	871	825	0	19973
27	829	821	871	825	868	0	20844
28	821	871	825	868	821	0	21669
29	871	825	868	821	922	0	22537
30	825	868	821	922	798	0	23358
31	868	821	922	798	891	0	24280
32	821	922	798	891	840	0	25078
33	922	798	891	840	856	0	25969
34	798	891	840	856	872	0	26809
35	891	840	856	872	844	0	27665
36	840	856	872	844	849	0	28537
37	856	872	844	849	859	0	29381
38	872	844	849	859	806	0	30230
39	844	849	859	806	1249	0	31089
40	849	859	806	1249	751	0	31895
41	859	806	1249	751	673	0	33144
42	806	1249	751	673	603	0	33895
43	1249	751	673	603	623	0	34568
44	751	673	603	623	622	0	35171
45	673	603	623	622	646	0	35794
46	603	623	622	646	689	0	36416
47	623	622	646	689	677	0	37062
48	622	646	689	677	611	0	37751
49	646	689	677	611	665	0	38428
50	689	677	611	665	619	0	39039
51	677	611	665	619	658	0	39704
52	611	665	619	658	622	0	40323
53	665	619	658	622	654	0	40981
54	619	658	622	654	626	0	41603
55	658	622	654	626	666	0	42257
56	622	654	626	666	622	0	42883
57	654	626	666	622	654	0	43549
58	626	666	622	654	622	0	44171
59	666	622	654	622	635	0	44825
60	622	654	622	635	642	0	45447
61	654	622	635	642	650	0	46082
62	622	635	642	650	638	0	46724
63	635	642	650	638	657	0	47374
64	642	650	638	657	635	0	48012
65	650	638	657	635	649	0	48669
66	638	657	635	649	627	0	49304
67	657	635	649	627	669	0	49953
68	635	649	627	669	619	0	50580
69	649	627	669	619	669	0	51249
70	627	669	619	669	626	0	51868
71	669	619	669	626	666	0	52537
72	619	669	626	666	618	0	53163
73	669	626	666	618	650	0	53829
74	626	666	618	650	607	0	54447
75	666	618	650	607	693	0	55097
76	618	650	607	693	626	0	55704
77	650	607	693	626	662	0	56397
78	607	693	626	662	607	0	57023
79	693	626	662	607	646	0	57685
80	626	662	607	646	615	0	58292
81	662	607	646	615	669	0	58938
82	607	646	615	669	653	0	59553
83	646	615	669	653	666	0	60222
84	615	669	653	666	603	0	60875
85	669	653	666	603	650	0	61541
86	653	666	603	650	642	0	62144
87	666	603	650	642	700	0	62794
88	603	650	642	700	619	0	63436
89	650	642	700	619	677	0	64136
90	642	700	619	677	607	0	64755
91	700	619	677	607	646	0	65432
92	619	677	607	646	607	0	66039
93	677	607	646	607	685	0	66685
94	607	646	607	685	638	0	67292
95	646	607	685	638	657	0	67977
96	607	685	638	657	607	0	68615
97	685	638	657	607	639	0	69272
98	638	657	607	639	665	0	69879
99	657	607	639	665	677	0	70518
100	607	639	665	677	619	0	71183
101	639	665	677	619	630	0	71860
102	665	677	619	630	642	0	72479
103	677	619	630	642	696	0	73109
104	619	630	642	696	631	0	73751
105	630	642	696	631	638	0	74447
106	642	696	631	638	599	0	75078
107	696	631	638	599	658	0	75716
108	631	638	599	658	685	0	76315
109	638	599	658	685	883	0	76973
110	599	658	685	883	794	0	77658
111	658	685	883	794	887	0	78541
112	685	883	794	887	840	0	79335
113	883	794	887	840	887	0	80222
114	794	887	840	887	856	0	81062
