index	i-2	i-1	i+0	i+1	i+2	Filter	Time
2	525	895	891	903	895	0	2311
3	895	891	903	895	883	0	3214
4	891	903	895	883	887	0	4109
5	903	895	883	887	880	0	4992
6	895	883	887	880	875	0	5879
7	883	887	880	875	872	0	6759
8	887	880	875	872	864	0	7634
9	880	875	872	864	867	0	8506
10	875	872	864	867	864	0	9370
11	872	864	867	864	860	0	10237
12	864	867	864	860	856	0	11101
13	867	864	860	856	856	0	11961
14	864	860	856	856	860	0	12817
15	860	856	856	860	860	0	13673
16	856	856	860	860	868	0	14533
17	856	860	860	868	443	0	15393
18	860	860	868	443	1277	0	16261
19	860	868	443	1277	856	1	16704
20	868	443	1277	856	871	0	17981
21	443	1277	856	871	864	0	18837
22	1277	856	871	864	883	0	19708
23	856	871	864	883	884	0	20572
24	871	864	883	884	887	0	21455
25	864	883	884	887	899	0	22339
26	883	884	887	899	898	0	23226
27	884	887	899	898	891	0	24125
28	887	899	898	891	899	0	25023
29	899	898	891	899	895	0	25914
30	898	891	899	895	880	0	26813
31	891	899	895	880	887	0	27708
32	899	895	880	887	895	0	28588
33	895	880	887	895	914	0	29475
34	880	887	895	914	911	0	30370
35	887	895	914	911	891	0	31284
36	895	914	911	891	887	0	32195
37	914	911	891	887	899	0	33086
38	911	891	887	899	879	0	33973
39	891	887	899	879	895	0	34872
40	887	899	879	895	891	0	35751
41	899	879	895	891	860	0	36646
42	879	895	891	860	848	0	37537
43	895	891	860	848	860	0	38397
44	891	860	848	860	463	0	39245
45	860	848	860	463	1199	0	40105
46	848	860	463	1199	832	1	40568
47	860	463	1199	832	533	0	41767
48	463	1199	832	533	1090	0	42599
49	1199	832	533	1090	805	1	43132
50	832	533	1090	805	790	0	44222
51	533	1090	805	790	790	0	45027
52	1090	805	790	790	603	0	45817
53	805	790	790	603	981	0	46607
54	790	790	603	981	786	1	47210
55	790	603	981	786	801	0	48191
56	603	981	786	801	514	0	48977
57	981	786	801	514	1058	0	49778
58	786	801	514	1058	790	1	50292
59	801	514	1058	790	794	0	51350
60	514	1058	790	794	770	0	52140
61	1058	790	794	770	689	0	52934
62	790	794	770	689	875	0	53704
63	794	770	689	875	775	1	54393
64	770	689	875	775	774	0	55268
65	689	875	775	774	436	0	56043
66	875	775	774	436	1144	0	56817
67	775	774	436	1144	790	1	57253
68	774	436	1144	790	451	0	58397
69	436	1144	790	451	1136	0	59187
70	1144	790	451	1136	802	1	59638
71	790	451	1136	802	447	0	60774
72	451	1136	802	447	1183	0	61576
73	1136	802	447	1183	825	1	62023
74	802	447	1183	825	844	0	63206
75	447	1183	825	844	849	0	64031
76	1183	825	844	849	848	0	64875
77	825	844	849	848	852	0	65724
78	844	849	848	852	864	0	66572
79	849	848	852	864	868	0	67424
80	848	852	864	868	883	0	68288
81	852	864	868	883	455	0	69156
82	864	868	883	455	1311	0	70039
83	868	883	455	1311	864	1	70494
84	883	455	1311	864	852	0	71805
85	455	1311	864	852	856	0	72669
86	1311	864	852	856	845	0	73521
87	864	852	856	845	844	0	74377
88	852	856	845	844	848	0	75222
89	856	845	844	848	860	0	76066
90	845	844	848	860	856	0	76914
91	844	848	860	856	864	0	77774
92	848	860	856	864	883	0	78630
93	860	856	864	883	903	0	79494
94	856	864	883	903	911	0	80377
95	864	883	903	911	918	0	81280
96	883	903	911	918	938	0	82191
97	903	911	918	938	937	0	83109
98	911	918	938	937	946	0	84047
99	918	938	937	946	949	0	84984
100	938	937	946	949	938	0	85930
101	937	946	949	938	930	0	86879
102	946	949	938	930	934	0	87817
103	949	938	930	934	930	0	88747
104	938	930	934	930	926	0	89681
105	930	934	930	926	910	0	90611
106	934	930	926	910	903	0	91537
107	930	926	910	903	907	0	92447
108	926	910	903	907	899	0	93350
109	910	903	907	899	910	0	94257
110	903	907	899	910	907	0	95156
111	907	899	910	907	914	0	96066
112	899	910	907	914	907	0	96973
113	910	907	914	907	910	0	97887
114	907	914	907	910	895	0	98794
115	914	907	910	895	899	0	99704
116	907	910	895	899	494	0	100599
117	910	895	899	494	424	0	101498
118	895	899	494	424	926	1	101992
119	899	494	424	926	880	1	102416
120	494	424	926	880	887	0	103342
121	424	926	880	887	887	0	104222
122	926	880	887	887	876	0	105109
123	880	887	887	876	879	0	105996
124	887	887	876	879	903	0	106872
125	887	876	879	903	918	0	107751
126	876	879	903	918	903	0	108654
127	879	903	918	903	891	0	109572
128	903	918	903	891	914	0	110475
129	918	903	891	914	922	0	111366
130	903	891	914	922	884	0	112280
131	891	914	922	884	902	0	113202
132	914	922	884	902	915	0	114086
133	922	884	902	915	875	0	114988
134	884	902	915	875	899	0	115903
135	902	915	875	899	899	0	116778
136	915	875	899	899	875	0	117677
137	875	899	899	875	868	0	118576
138	899	899	875	868	879	0	119451
139	899	875	868	879	864	0	120319
140	875	868	879	864	837	0	121198
141	868	879	864	837	840	0	122062
142	879	864	837	840	849	0	122899
143	864	837	840	849	832	0	123739
144	837	840	849	832	856	0	124588
145	840	849	832	856	860	0	125420
146	849	832	856	860	856	0	126276
147	832	856	860	856	436	0	127136
148	856	860	856	436	1296	0	127992
149	860	856	436	1296	860	1	128428
150	856	436	1296	860	860	0	129724
151	436	1296	860	860	875	0	130584
152	1296	860	860	875	868	0	131444
153	860	860	875	868	879	0	132319
154	860	875	868	879	907	0	133187
155	875	868	879	907	891	0	134066
156	868	879	907	891	903	0	134973
157	879	907	891	903	914	0	135864
158	907	891	903	914	910	0	136767
159	891	903	914	910	888	0	137681
160	903	914	910	888	879	0	138591
161	914	910	888	879	875	0	139479
162	910	888	879	875	872	0	140358
163	888	879	875	872	872	0	141233
164	879	875	872	872	860	0	142105
165	875	872	872	860	447	0	142977
166	872	872	860	447	1261	0	143837
167	872	860	447	1261	852	1	144284
168	860	447	1261	852	875	0	145545
169	447	1261	852	875	872	0	146397
170	1261	852	875	872	887	0	147272
171	852	875	872	887	887	0	148144
172	875	872	887	887	880	0	149031
173	872	887	887	880	871	0	149918
174	887	887	880	871	868	0	150798
175	887	880	871	868	872	0	151669
176	880	871	868	872	883	0	152537
177	871	868	872	883	899	0	153409
178	868	872	883	899	902	0	154292
179	872	883	899	902	915	0	155191
180	883	899	902	915	914	0	156093
181	899	902	915	914	926	0	157008
182	902	915	914	926	926	0	157922
183	915	914	926	926	934	0	158848
184	914	926	926	934	938	0	159774
185	926	926	934	938	934	0	160708
186	926	934	938	934	926	0	161646
187	934	938	934	926	930	0	162580
188	938	934	926	930	918	0	163506
189	934	926	930	918	926	0	164436
190	926	930	918	926	915	0	165354
191	930	918	926	915	926	0	166280
192	918	926	915	926	933	0	167195
193	926	915	926	933	930	0	168121
194	915	926	933	930	942	0	169054
195	926	933	930	942	926	0	169984
196	933	930	942	926	915	0	170926
197	930	942	926	915	914	0	171852
198	942	926	915	914	922	0	172767
199	926	915	914	922	922	0	173681
200	915	914	922	922	895	0	174603
201	914	922	922	895	907	0	175525
202	922	922	895	907	906	0	176420
203	922	895	907	906	907	0	177327
204	895	907	906	907	899	0	178233
205	907	906	907	899	918	0	179140
206	906	907	899	918	922	0	180039
207	907	899	918	922	926	0	180957
208	899	918	922	926	907	0	181879
209	918	922	926	907	903	0	182805
210	922	926	907	903	903	0	183712
211	926	907	903	903	898	0	184615
212	907	903	903	898	872	0	185518
213	903	903	898	872	879	0	186416
214	903	898	872	879	876	0	187288
215	898	872	879	876	848	0	188167
216	872	879	876	848	448	0	189043
217	879	876	848	448	1249	0	189891
218	876	848	448	1249	821	1	190339
219	848	448	1249	821	482	0	191588
220	448	1249	821	482	1156	0	192409
221	1249	821	482	1156	805	1	192891
222	821	482	1156	805	798	0	194047
223	482	1156	805	798	650	0	194852
224	1156	805	798	650	918	0	195650
225	805	798	650	918	798	0	196300
226	798	650	918	798	805	0	197218
227	650	918	798	805	817	0	198016
228	918	798	805	817	564	0	198821
229	798	805	817	564	1047	0	199638
230	805	817	564	1047	809	1	200202
231	817	564	1047	809	810	0	201249
232	564	1047	809	810	805	0	202058
233	1047	809	810	805	813	0	202868
234	809	810	805	813	825	0	203673
235	810	805	813	825	829	0	204486
236	805	813	825	829	432	0	205311
237	813	825	829	432	1261	0	206140
238	825	829	432	1261	863	1	206572
239	829	432	1261	863	857	0	207833
240	432	1261	863	857	863	0	208696
241	1261	863	857	863	884	0	209553
242	863	857	863	884	879	0	210416
243	857	863	884	879	875	0	211300
244	863	884	879	875	888	0	212179
245	884	879	875	888	883	0	213054
246	879	875	888	883	903	0	213942
247	875	888	883	903	918	0	214825
248	888	883	903	918	926	0	215728
249	883	903	918	926	910	0	216646
250	903	918	926	910	915	0	217572
251	918	926	910	915	926	0	218482
252	926	910	915	926	926	0	219397
253	910	915	926	926	914	0	220323
254	915	926	926	914	911	0	221249
255	926	926	914	911	910	0	222163
256	926	914	911	910	915	0	223074
257	914	911	910	915	903	0	223984
258	911	910	915	903	898	0	224899
259	910	915	903	898	888	0	225802
260	915	903	898	888	879	0	226700
261	903	898	888	879	883	0	227588
262	898	888	879	883	887	0	228467
263	888	879	883	887	891	0	229350
264	879	883	887	891	891	0	230237
265	883	887	891	891	907	0	231128
266	887	891	891	907	914	0	232019
267	891	891	907	914	927	0	232926
268	891	907	914	927	922	0	233840
269	907	914	927	922	926	0	234767
270	914	927	922	926	934	0	235689
271	927	922	926	934	933	0	236615
272	922	926	934	933	934	0	237549
273	926	934	933	934	938	0	238482
274	934	933	934	938	918	0	239416
275	933	934	938	918	923	0	240354
276	934	938	918	923	926	0	241272
277	938	918	923	926	922	0	242195
278	918	923	926	922	922	0	243121
279	923	926	922	922	934	0	244043
280	926	922	922	934	934	0	244965
281	922	922	934	934	922	0	245899
282	922	934	934	922	926	0	246833
283	934	934	922	926	914	0	247755
284	934	922	926	914	903	0	248681
285	922	926	914	903	918	0	249595
286	926	914	903	918	938	0	250498
287	914	903	918	938	942	0	251416
288	903	918	938	942	926	0	252354
289	918	938	942	926	941	0	253296
290	938	942	926	941	946	0	254222
291	942	926	941	946	926	0	255163
292	926	941	946	926	907	0	256109
293	941	946	926	907	910	0	257035
294	946	926	907	910	911	0	257942
295	926	907	910	911	891	0	258852
296	907	910	911	891	910	0	259763
297	910	911	891	910	915	0	260654
298	911	891	910	915	910	0	261564
299	891	910	915	910	907	0	262479
300	910	915	910	907	910	0	263389
301	915	910	907	910	899	0	264296
302	910	907	910	899	759	0	265206
303	907	910	899	759	447	0	266105
304	910	899	759	447	1389	0	266864
305	899	759	447	1389	891	1	267311
306	759	447	1389	891	888	0	268700
307	447	1389	891	888	906	0	269591
308	1389	891	888	906	883	0	270479
309	891	888	906	883	884	0	271385
310	888	906	883	884	895	0	272268
311	906	883	884	895	879	0	273152
312	883	884	895	879	883	0	274047
313	884	895	879	883	887	0	274926
314	895	879	883	887	868	0	275809
315	879	883	887	868	864	0	276696
316	883	887	868	864	864	0	277564
317	887	868	864	864	848	0	278428
318	868	864	864	848	844	0	279292
319	864	864	848	844	864	0	280140
320	864	848	844	864	868	0	280984
321	848	844	864	868	864	0	281848
322	844	864	868	864	887	0	282716
323	864	868	864	887	883	0	283580
324	868	864	887	883	868	0	284467
325	864	887	883	868	883	0	285350
326	887	883	868	883	895	0	286218
327	883	868	883	895	887	0	287101
328	868	883	895	887	899	0	287996
329	883	895	887	899	907	0	288883
330	895	887	899	907	906	0	289782
331	887	899	907	906	899	0	290689
332	899	907	906	899	895	0	291595
333	907	906	899	895	903	0	292494
334	906	899	895	903	914	0	293389
335	899	895	903	914	899	0	294292
336	895	903	914	899	914	0	295206
337	903	914	899	914	915	0	296105
338	914	899	914	915	930	0	297019
339	899	914	915	930	930	0	297934
340	914	915	930	930	941	0	298864
341	915	930	930	941	961	0	299794
342	930	930	941	961	946	0	300735
343	930	941	961	946	949	0	301696
344	941	961	946	949	946	0	302642
345	961	946	949	946	953	0	303591
346	946	949	946	953	957	0	304537
347	949	946	953	957	958	0	305490
348	946	953	957	958	957	0	306447
349	953	957	958	957	969	0	307405
