index	i-2	i-1	i+0	i+1	i+2	Filter	Time
2	237	747	709	696	693	0	1693
3	747	709	696	693	688	0	2389
4	709	696	693	688	685	0	3082
5	696	693	688	685	673	0	3770
6	693	688	685	673	666	0	4455
7	688	685	673	666	646	0	5128
8	685	673	666	646	634	0	5794
9	673	666	646	634	634	0	6440
10	666	646	634	634	483	0	7074
11	646	634	634	483	782	0	7708
12	634	634	483	782	743	1	8191
13	634	483	782	743	724	0	8973
14	483	782	743	724	720	0	9716
15	782	743	724	720	727	0	10440
16	743	724	720	727	736	0	11160
17	724	720	727	736	719	0	11887
18	720	727	736	719	724	0	12623
19	727	736	719	724	736	0	13342
20	736	719	724	736	735	0	14066
21	719	724	736	735	724	0	14802
22	724	736	735	724	727	0	15537
23	736	735	724	727	724	0	16261
24	735	724	727	724	708	0	16988
25	724	727	724	708	666	0	17712
26	727	724	708	666	649	0	18420
27	724	708	666	649	646	0	19086
28	708	666	649	646	923	0	19735
29	666	649	646	923	859	0	20381
30	649	646	923	859	748	0	21304
31	646	923	859	748	743	0	22163
32	923	859	748	743	723	0	22911
33	859	748	743	723	716	0	23654
34	748	743	723	716	709	0	24377
35	743	723	716	709	696	0	25093
36	723	716	709	696	685	0	25802
37	716	709	696	685	669	0	26498
38	709	696	685	669	658	0	27183
39	696	685	669	658	650	0	27852
40	685	669	658	650	980	0	28510
41	669	658	650	980	802	0	29160
42	658	650	980	802	700	0	30140
43	650	980	802	700	669	0	30942
44	980	802	700	669	654	0	31642
45	802	700	669	654	642	0	32311
46	700	669	654	642	638	0	32965
47	669	654	642	638	638	0	33607
48	654	642	638	638	884	0	34245
49	642	638	638	884	828	0	34883
50	638	638	884	828	732	0	35767
51	638	884	828	732	677	0	36595
52	884	828	732	677	661	0	37327
53	828	732	677	661	642	0	38004
54	732	677	661	642	639	0	38665
55	677	661	642	639	634	0	39307
56	661	642	639	634	638	0	39946
57	642	639	634	638	638	0	40580
58	639	634	638	638	891	0	41218
59	634	638	638	891	782	0	41856
60	638	638	891	782	708	0	42747
61	638	891	782	708	666	0	43529
62	891	782	708	666	634	0	44237
63	782	708	666	634	619	0	44903
64	708	666	634	619	926	0	45537
65	666	634	619	926	844	0	46156
66	634	619	926	844	790	0	47082
67	619	926	844	790	782	0	47926
68	926	844	790	782	755	0	48716
69	844	790	782	755	739	0	49498
70	790	782	755	739	724	0	50253
71	782	755	739	724	708	0	50992
72	755	739	724	708	716	0	51716
73	739	724	708	716	700	0	52424
74	724	708	716	700	697	0	53140
75	708	716	700	697	681	0	53840
76	716	700	697	681	673	0	54537
77	700	697	681	673	665	0	55218
78	697	681	673	665	1000	0	55891
79	681	673	665	1000	868	0	56556
80	673	665	1000	868	774	0	57556
81	665	1000	868	774	709	0	58424
82	1000	868	774	709	681	0	59198
83	868	774	709	681	665	0	59907
84	774	709	681	665	650	0	60588
85	709	681	665	650	646	0	61253
86	681	665	650	646	638	0	61903
87	665	650	646	638	642	0	62549
88	650	646	638	642	957	0	63187
89	646	638	642	957	802	0	63829
90	638	642	957	802	696	0	64786
91	642	957	802	696	677	0	65588
92	957	802	696	677	665	0	66284
93	802	696	677	665	646	0	66961
94	696	677	665	646	642	0	67626
95	677	665	646	642	642	0	68272
96	665	646	642	642	635	0	68914
97	646	642	642	635	926	0	69556
98	642	642	635	926	829	0	70191
99	642	635	926	829	712	0	71117
100	635	926	829	712	681	0	71946
101	926	829	712	681	669	0	72658
102	829	712	681	669	657	0	73339
103	712	681	669	657	662	0	74008
104	681	669	657	662	977	0	74665
105	669	657	662	977	832	0	75327
106	657	662	977	832	712	0	76304
107	662	977	832	712	689	0	77136
108	977	832	712	689	665	0	77848
109	832	712	689	665	662	0	78537
110	712	689	665	662	654	0	79202
111	689	665	662	654	653	0	79864
112	665	662	654	653	658	0	80518
113	662	654	653	658	969	0	81171
114	654	653	658	969	817	0	81829
115	653	658	969	817	759	0	82798
116	658	969	817	759	696	0	83615
117	969	817	759	696	677	0	84374
118	817	759	696	677	650	0	85070
119	759	696	677	650	634	0	85747
120	696	677	650	634	642	0	86397
121	677	650	634	642	619	0	87031
122	650	634	642	619	887	0	87673
123	634	642	619	887	743	0	88292
124	642	619	887	743	689	0	89179
125	619	887	743	689	661	0	89922
126	887	743	689	661	639	0	90611
127	743	689	661	639	626	0	91272
128	689	661	639	626	619	0	91911
129	661	639	626	619	607	0	92537
130	639	626	619	607	595	0	93156
131	626	619	607	595	595	0	93763
132	619	607	595	595	588	0	94358
133	607	595	595	588	611	0	94953
134	595	595	588	611	615	0	95541
135	595	588	611	615	618	0	96152
136	588	611	615	618	611	0	96767
137	611	615	618	611	615	0	97385
138	615	618	611	615	619	0	97996
139	618	611	615	619	610	0	98611
140	611	615	619	610	611	0	99230
141	615	619	610	611	611	0	99840
142	619	610	611	611	615	0	100451
143	610	611	611	615	611	0	101062
144	611	611	615	611	607	0	101677
145	611	615	611	607	611	0	102288
146	615	611	607	611	611	0	102895
147	611	607	611	611	603	0	103506
148	607	611	611	603	622	0	104117
149	611	611	603	622	611	0	104720
150	611	603	622	611	623	0	105342
151	603	622	611	623	615	0	105953
152	622	611	623	615	622	0	106576
153	611	623	615	622	623	0	107191
154	623	615	622	623	626	0	107813
155	615	622	623	626	623	0	108436
156	622	623	626	623	626	0	109062
157	623	626	623	626	627	0	109685
158	626	623	626	627	630	0	110311
159	623	626	627	630	634	0	110938
160	626	627	630	634	631	0	111568
161	627	630	634	631	630	0	112202
162	630	634	631	630	630	0	112833
163	634	631	630	630	635	0	113463
164	631	630	630	635	638	0	114093
165	630	630	635	638	642	0	114728
166	630	635	638	642	653	0	115366
167	635	638	642	653	646	0	116008
168	638	642	653	646	646	0	116661
169	642	653	646	646	642	0	117307
170	653	646	646	642	646	0	117953
171	646	646	642	646	650	0	118595
172	646	642	646	650	646	0	119241
173	642	646	650	646	650	0	119891
174	646	650	646	650	650	0	120537
175	650	646	650	650	649	0	121187
176	646	650	650	649	650	0	121837
177	650	650	649	650	650	0	122486
178	650	649	650	650	642	0	123136
179	649	650	650	642	642	0	123786
180	650	650	642	642	634	0	124428
181	650	642	642	634	611	0	125070
182	642	642	634	611	631	0	125704
183	642	634	611	631	653	0	126315
184	634	611	631	653	662	0	126946
185	611	631	653	662	669	0	127599
186	631	653	662	669	669	0	128261
187	653	662	669	669	673	0	128930
188	662	669	669	673	790	0	129599
189	669	669	673	790	712	0	130272
190	669	673	790	712	662	0	131062
191	673	790	712	662	646	0	131774
192	790	712	662	646	638	0	132436
193	712	662	646	638	615	0	133082
194	662	646	638	615	614	0	133720
195	646	638	615	614	623	0	134335
196	638	615	614	623	619	0	134949
197	615	614	623	619	867	0	135572
198	614	623	619	867	782	0	136191
199	623	619	867	782	736	0	137058
200	619	867	782	736	654	0	137840
201	867	782	736	654	642	0	138576
202	782	736	654	642	634	0	139230
203	736	654	642	634	630	0	139872
204	654	642	634	630	627	0	140506
205	642	634	630	627	630	0	141136
206	634	630	627	630	626	0	141763
207	630	627	630	626	895	0	142393
208	627	630	626	895	798	0	143019
209	630	626	895	798	728	0	143914
210	626	895	798	728	685	0	144712
211	895	798	728	685	653	0	145440
212	798	728	685	653	631	0	146125
213	728	685	653	631	634	0	146778
214	685	653	631	634	622	0	147409
215	653	631	634	622	619	0	148043
216	631	634	622	619	619	0	148665
217	634	622	619	619	891	0	149284
218	622	619	619	891	797	0	149903
219	619	619	891	797	701	0	150794
220	619	891	797	701	654	0	151591
221	891	797	701	654	645	0	152292
222	797	701	654	645	619	0	152946
223	701	654	645	619	623	0	153591
224	654	645	619	623	611	0	154210
225	645	619	623	611	871	0	154833
226	619	623	611	871	798	0	155444
227	623	611	871	798	681	0	156315
228	611	871	798	681	642	0	157113
229	871	798	681	642	638	0	157794
230	798	681	642	638	615	0	158436
231	681	642	638	615	599	0	159074
232	642	638	615	599	840	0	159689
233	638	615	599	840	744	0	160288
234	615	599	840	744	712	0	161128
235	599	840	744	712	646	0	161872
236	840	744	712	646	618	0	162584
237	744	712	646	618	607	0	163230
238	712	646	618	607	607	0	163848
239	646	618	607	607	592	0	164455
240	618	607	607	592	579	0	165062
