index	i-2	i-1	i+0	i+1	i+2	Filter	Time
2	848	502	638	981	1089	0	1988
3	502	638	981	1089	1105	0	2969
4	638	981	1089	1105	514	0	4058
5	981	1089	1105	514	634	0	5163
6	1089	1105	514	634	946	1	5677
7	1105	514	634	946	1078	0	6311
8	514	634	946	1078	1077	0	7257
9	634	946	1078	1077	522	0	8335
10	946	1078	1077	522	642	0	9412
11	1078	1077	522	642	938	1	9934
12	1077	522	642	938	1070	0	10576
13	522	642	938	1070	521	0	11514
14	642	938	1070	521	638	0	12584
15	938	1070	521	638	961	1	13105
16	1070	521	638	961	1082	0	13743
17	521	638	961	1082	506	0	14704
18	638	961	1082	506	661	0	15786
19	961	1082	506	661	1016	1	16292
20	1082	506	661	1016	1054	0	16953
21	506	661	1016	1054	1074	0	17969
22	661	1016	1054	1074	1066	0	19023
23	1016	1054	1074	1066	498	0	20097
24	1054	1074	1066	498	627	0	21163
25	1074	1066	498	627	922	1	21661
26	1066	498	627	922	1031	0	22288
27	498	627	922	1031	1059	0	23210
28	627	922	1031	1059	1042	0	24241
29	922	1031	1059	1042	495	0	25300
30	1031	1059	1042	495	649	0	26342
31	1059	1042	495	649	954	1	26837
32	1042	495	649	954	1097	0	27486
33	495	649	954	1097	1078	0	28440
34	649	954	1097	1078	1078	0	29537
35	954	1097	1078	1078	1089	0	30615
36	1097	1078	1078	1089	1093	0	31693
37	1078	1078	1089	1093	1039	0	32782
38	1078	1089	1093	1039	491	0	33875
39	1089	1093	1039	491	634	0	34914
40	1093	1039	491	634	965	1	35405
41	1039	491	634	965	1050	0	36039
42	491	634	965	1050	495	0	37004
43	634	965	1050	495	642	0	38054
44	965	1050	495	642	934	1	38549
45	1050	495	642	934	1070	0	39191
46	495	642	934	1070	1073	0	40125
47	642	934	1070	1073	491	0	41195
48	934	1070	1073	491	642	0	42268
49	1070	1073	491	642	941	1	42759
50	1073	491	642	941	1028	0	43401
51	491	642	941	1028	517	0	44342
52	642	941	1028	517	627	0	45370
53	941	1028	517	627	848	1	45887
54	1028	517	627	848	984	0	46514
55	517	627	848	984	1012	0	47362
56	627	848	984	1012	1062	0	48346
57	848	984	1012	1062	1027	0	49358
58	984	1012	1062	1027	1074	0	50420
59	1012	1062	1027	1074	1102	0	51447
60	1062	1027	1074	1102	1085	0	52521
61	1027	1074	1102	1085	1082	0	53623
62	1074	1102	1085	1082	1109	0	54708
63	1102	1085	1082	1109	1109	0	55790
64	1085	1082	1109	1109	1039	0	56899
65	1082	1109	1109	1039	1062	0	58008
66	1109	1109	1039	1062	1070	0	59047
67	1109	1039	1062	1070	1070	0	60109
68	1039	1062	1070	1070	1043	0	61179
69	1062	1070	1070	1043	1089	0	62249
70	1070	1070	1043	1089	1125	0	63292
71	1070	1043	1089	1125	1128	0	64381
72	1043	1089	1125	1128	1074	0	65506
73	1089	1125	1128	1074	1078	0	66634
74	1125	1128	1074	1078	1089	0	67708
75	1128	1074	1078	1089	1074	0	68786
76	1074	1078	1089	1074	1047	0	69875
77	1078	1089	1074	1047	1031	0	70949
78	1089	1074	1047	1031	1039	0	71996
79	1074	1047	1031	1039	1047	0	73027
80	1047	1031	1039	1047	1019	0	74066
81	1031	1039	1047	1019	1039	0	75113
82	1039	1047	1019	1039	1039	0	76132
83	1047	1019	1039	1039	1023	0	77171
84	1019	1039	1039	1023	965	0	78210
85	1039	1039	1023	965	506	0	79233
86	1039	1023	965	506	619	0	80198
87	1023	965	506	619	837	1	80704
88	965	506	619	837	1007	0	81323
89	506	619	837	1007	981	0	82160
90	619	837	1007	981	502	0	83167
91	837	1007	981	502	626	0	84148
92	1007	981	502	626	872	1	84650
93	981	502	626	872	1054	0	85276
94	502	626	872	1054	1078	0	86148
95	626	872	1054	1078	1047	0	87202
96	872	1054	1078	1047	1082	0	88280
97	1054	1078	1047	1082	1109	0	89327
98	1078	1047	1082	1109	1101	0	90409
99	1047	1082	1109	1101	1074	0	91518
100	1082	1109	1101	1074	1116	0	92619
101	1109	1101	1074	1116	1113	0	93693
102	1101	1074	1116	1113	1109	0	94809
103	1074	1116	1113	1109	1055	0	95922
104	1116	1113	1109	1055	1062	0	97031
105	1113	1109	1055	1062	1074	0	98086
106	1109	1055	1062	1074	1058	0	99148
107	1055	1062	1074	1058	1059	0	100222
108	1062	1074	1058	1059	1077	0	101280
109	1074	1058	1059	1077	1098	0	102339
110	1058	1059	1077	1098	1046	0	103416
111	1059	1077	1098	1046	1055	0	104514
112	1077	1098	1046	1055	1050	0	105560
113	1098	1046	1055	1050	1067	0	106615
114	1046	1055	1050	1067	1050	0	107665
115	1055	1050	1067	1050	494	0	108732
116	1050	1067	1050	494	638	0	109782
117	1067	1050	494	638	942	1	110276
118	1050	494	638	942	1082	0	110914
119	494	638	942	1082	1074	0	111856
120	638	942	1082	1074	1027	0	112938
121	942	1082	1074	1027	510	0	114012
122	1082	1074	1027	510	638	0	115039
123	1074	1027	510	638	930	1	115549
124	1027	510	638	930	1027	0	116187
125	510	638	930	1027	1035	0	117117
126	638	930	1027	1035	1078	0	118144
127	930	1027	1035	1078	1097	0	119179
128	1027	1035	1078	1097	1078	0	120257
129	1035	1078	1097	1078	494	0	121354
130	1078	1097	1078	494	646	0	122432
131	1097	1078	494	646	965	1	122926
132	1078	494	646	965	1105	0	123572
133	494	646	965	1105	1101	0	124537
134	646	965	1105	1101	498	0	125642
135	965	1105	1101	498	642	0	126743
136	1105	1101	498	642	1008	1	127241
137	1101	498	642	1008	1097	0	127883
138	498	642	1008	1097	506	0	128891
139	642	1008	1097	506	650	0	129988
140	1008	1097	506	650	988	1	130494
141	1097	506	650	988	1094	0	131144
142	506	650	988	1094	525	0	132132
143	650	988	1094	525	650	0	133226
144	988	1094	525	650	996	1	133751
145	1094	525	650	996	1089	0	134401
146	525	650	996	1089	514	0	135397
147	650	996	1089	514	642	0	136486
148	996	1089	514	642	988	1	137000
149	1089	514	642	988	1059	0	137642
150	514	642	988	1059	1074	0	138630
151	642	988	1059	1074	1054	0	139689
152	988	1059	1074	1054	506	0	140763
153	1059	1074	1054	506	630	0	141817
154	1074	1054	506	630	961	1	142323
155	1054	506	630	961	1016	0	142953
156	506	630	961	1016	1035	0	143914
157	630	961	1016	1035	1054	0	144930
158	961	1016	1035	1054	1078	0	145965
159	1016	1035	1054	1078	1047	0	147019
160	1035	1054	1078	1047	494	0	148097
161	1054	1078	1047	494	634	0	149144
162	1078	1047	494	634	934	1	149638
163	1047	494	634	934	1059	0	150272
164	494	634	934	1059	498	0	151206
165	634	934	1059	498	630	0	152265
166	934	1059	498	630	942	1	152763
167	1059	498	630	942	1054	0	153393
168	498	630	942	1054	1066	0	154335
169	630	942	1054	1066	1027	0	155389
170	942	1054	1066	1027	499	0	156455
171	1054	1066	1027	499	657	0	157482
172	1066	1027	499	657	973	1	157981
173	1027	499	657	973	1089	0	158638
174	499	657	973	1089	1074	0	159611
175	657	973	1089	1074	1125	0	160700
176	973	1089	1074	1125	1132	0	161774
177	1089	1074	1125	1132	1109	0	162899
178	1074	1125	1132	1109	1097	0	164031
179	1125	1132	1109	1097	1129	0	165140
180	1132	1109	1097	1129	1140	0	166237
181	1109	1097	1129	1140	1128	0	167366
182	1097	1129	1140	1128	1086	0	168506
183	1129	1140	1128	1086	1105	0	169634
184	1140	1128	1086	1105	1113	0	170720
185	1128	1086	1105	1113	1085	0	171825
186	1086	1105	1113	1085	1051	0	172938
187	1105	1113	1085	1051	1062	0	174023
188	1113	1085	1051	1062	1059	0	175074
189	1085	1051	1062	1059	1015	0	176136
190	1051	1062	1059	1015	494	0	177195
191	1062	1059	1015	494	635	0	178210
192	1059	1015	494	635	902	1	178704
193	1015	494	635	902	1035	0	179339
194	494	635	902	1035	1028	0	180241
195	635	902	1035	1028	498	0	181276
196	902	1035	1028	498	630	0	182304
197	1035	1028	498	630	907	1	182802
198	1028	498	630	907	1035	0	183432
199	498	630	907	1035	1035	0	184339
200	630	907	1035	1035	494	0	185374
201	907	1035	1035	494	630	0	186409
202	1035	1035	494	630	895	1	186903
203	1035	494	630	895	1047	0	187533
204	494	630	895	1047	1074	0	188428
205	630	895	1047	1074	1027	0	189475
206	895	1047	1074	1027	498	0	190549
207	1047	1074	1027	498	634	0	191576
208	1074	1027	498	634	957	1	192074
209	1027	498	634	957	1047	0	192708
210	498	634	957	1047	996	0	193665
211	634	957	1047	996	506	0	194712
212	957	1047	996	506	638	0	195708
213	1047	996	506	638	907	1	196214
214	996	506	638	907	1062	0	196852
215	506	638	907	1062	1039	0	197759
216	638	907	1062	1039	1082	0	198821
217	907	1062	1039	1082	1116	0	199860
218	1062	1039	1082	1116	1105	0	200942
219	1039	1082	1116	1105	1067	0	202058
220	1082	1116	1105	1067	1093	0	203163
221	1116	1105	1067	1093	1105	0	204230
222	1105	1067	1093	1105	1097	0	205323
223	1067	1093	1105	1097	1055	0	206428
224	1093	1105	1097	1055	1070	0	207525
225	1105	1097	1055	1070	1093	0	208580
226	1097	1055	1070	1093	1090	0	209650
227	1055	1070	1093	1090	1058	0	210743
228	1070	1093	1090	1058	1055	0	211833
229	1093	1090	1058	1055	1062	0	212891
230	1090	1058	1055	1062	1066	0	213946
231	1058	1055	1062	1066	1023	0	215008
232	1055	1062	1066	1023	1035	0	216074
233	1062	1066	1023	1035	1059	0	217097
234	1066	1023	1035	1059	1058	0	218132
235	1023	1035	1059	1058	1012	0	219191
236	1035	1059	1058	1012	494	0	220249
237	1059	1058	1012	494	634	0	221261
238	1058	1012	494	634	891	1	221755
239	1012	494	634	891	1039	0	222389
240	494	634	891	1039	1035	0	223280
241	634	891	1039	1035	498	0	224319
242	891	1039	1035	498	650	0	225354
243	1039	1035	498	650	961	1	225852
